證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　 取得無活絡市場之債券投資,　　 現金增資,　　　　 利息費用,　　　　 不動產、廠房及設備轉列費用數,　　 發行特別股負債
6415,2015年01月01日至2015年09月30日,,                807641,                807641,,,                 14136,                 14560,                  2492,                -11569,                 67376,                     12,                     77,                 -2072,                 30751,                   -429,                115334,,,                -93761,                  6551,               -373320,                -21795,                   -148,               -482473,,                 -2103,                 64396,                    650,                  9399,                 72342,               -410131,               -294797,                512844,                  8607,                -14005,                507446,,               -102247,                -35335,                              0,                -86512,                -12272,                  1718,                 -3954,                   -117,               -328700,               -113621,               -681040,,                -15000,               -321628,                  9517,               -327111,                 86087,               -414618,              1621755,              1207137,              1207137,,,,,,,,,,
6415,2015年01月01日至2015年06月30日,,                513993,                513993,,,                  9538,                  9365,                    850,                 -7423,                 33737,                     12,                    376,                 -2072,                 20075,                     16,                 64474,,,               -120576,                 -9046,               -113632,                  4214,                   -100,               -239140,,                 -2105,                 98582,                -16123,                    238,                 80592,               -158548,                -94074,                419919,                  4743,                 -3442,                421220,,                              0,                -35335,,                -86512,                 -4975,                     48,                 -6013,                   -117,               -462900,                -51184,               -500056,,                -15000,                -24580,                  6506,                -33074,                -81408,               -193318,              1621755,              1428437,              1428437,                146932,,,,,,,,,
6415,2015年01月01日至2015年03月31日,,                207447,                207447,,,                  4738,                  4573,                   -402,                 -3136,                 16285,                     12,                    379,                 -2072,                  9148,                    -10,                 29515,,,                -23920,                -17952,                -20893,                -31913,                    -43,                -94721,,                 -2105,                -33221,                 10228,                 15687,                 -9411,               -104132,                -74617,                132830,                  3485,                    -34,                136281,,                138167,,,                -86512,                 -3738,                     50,                              0,                    -85,               -469500,,               -421323,,                -15000,                -21633,                  2268,                -34365,                -37050,               -356457,              1621755,              1265298,              1265298,,                    295,,,,,,,,
6415,2014年01月01日至2014年09月30日,,                557419,                557419,,,                 10048,                  6127,                  2315,                 -8854,                  3793,                    227,                              0,                              0,                 46483,                   -316,                 59823,,,               -131865,                 -5512,               -156085,                -15634,                              0,               -309096,,                              0,                 91342,                -26099,                 -9642,                 55601,               -253495,               -193672,                363747,                  6336,                -23881,                346202,,               -617557,                -98897,                -71508,               -302637,                -35167,                              0,                 10607,                    -61,                              0,                              0,             -1115220,,                              0,               -158945,                  9931,               -149014,                 48331,               -869701,              2005608,              1135907,              1135907,,,,                 59823,                              0,               -617557,                              0,,,
6415,2014年01月01日至2014年06月30日,,                343998,                343998,,,                  6379,                  3093,                  1180,                 -5829,                  3106,                              0,                              0,                              0,                 31636,                  1187,                 40752,,,                -77918,                -13456,                -95708,                 -7517,                              0,               -194599,,                              0,                 70964,                -37147,                -10931,                 22886,               -171713,               -130961,                213037,                  2547,                -13734,                201850,,               -598652,                -98561,,               -302637,                 -9662,                              0,                 11496,                              0,                              0,                              0,               -998016,,                              0,                              0,                  9931,                  9931,                  1713,               -784522,              2005608,              1221086,              1221086,                              0,,,,,,,,,
6415,2014年01月01日至2014年03月31日,,                114667,                114667,,,                  3098,                     89,                    253,                 -1825,                    888,                              0,                              0,                              0,                 14393,                  1104,                 18000,,,                 -5975,                -11226,                -47672,                 -5271,                              0,                -70144,,                              0,                 28313,                -12240,                 -3597,                 12476,                -57668,                -39668,                 74999,                    772,                 -9303,                 66468,,               -251159,,,                              0,                 -1910,                              0,                 -2660,                              0,                -99056,,               -354785,,                              0,                              0,                              0,                              0,                 55470,               -232847,              2005608,              1772761,              1772761,,                              0,,,,,,,,
6415,2013年01月01日至2013年12月31日,,                530325,                530325,,,                  8970,                  2908,                     21,                 -2733,                  4335,,                      4,,                 15855,                  2768,,,,                 28768,                 -4506,               -108156,                  1167,,                -82677,,,                 12348,                 40769,                  2754,                 55871,                -26806,                  5428,                535753,                  2821,                    -24,                538550,,,,,,                -31339,                              0,                -19092,                 -2939,,,               -149917,,,,                  2303,              1071014,                 49325,              1508972,                496636,              2005608,              2005608,,,,                 32234,                     50,                -96547,              1068711,                              0,                    106,                              0
6415,2013年01月01日至2013年09月30日,,                347862,                347862,,,                  5438,                  2173,                  1634,                 -1983,                  3164,                              0,,,                 13767,                  2179,,,,                 44643,                -49379,               -193650,                 -5651,,               -204628,,,                  6187,                -12980,                  3231,                 -3562,               -208190,               -181818,                166044,                  1928,                              0,                167972,,,                              0,                              0,                              0,                -21004,,                 -8234,                 -2904,,,               -125092,,,                              0,                    154,                 40140,                 24303,                107323,                496636,                603959,                603959,,,,                 26372,                   -591,                -92950,                 39986,,,
6415,2013年01月01日至2013年06月30日,,                215696,                215696,,,                  3288,                  1214,                  2573,                 -1325,                  2104,,,,                  7590,                  3420,,,,                 54991,                -10173,               -229922,                -26573,,               -211627,,,                 98213,                -24772,                  4258,                 77699,               -133928,               -115064,                100632,                    965,                              0,                101597,,,                              0,,                              0,                -18192,,                 -8238,                 -2897,,,               -127007,,,,                    154,                 40140,                 41929,                 56659,                496636,                553295,                553295,,,,                 18864,                     50,                -97680,                 39986,,,
6415,2013年01月01日至2013年03月31日,,                 94832,                 94832,,,                  1544,                    695,                              0,                   -222,                  1683,,,,                  8749,                  2327,,,,                 43431,                 -3450,                -84952,                    442,,                -44480,,,                 56299,                -24098,                  2139,                 34340,                -10140,                  4636,                 99468,                    346,                              0,                 99814,,,,,,                 -5360,,                 -7559,                 -2797,                              0,,                -21996,,,,,                 15762,                 29170,                122750,                496636,                619386,                619386,,,,                 14776,                     49,                 -6280,                 15762,,,
