證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他非流動資產增加,　　 停業單位稅前淨利（淨損）,　　　　　 預付款項（增加）減少,　　 無活絡市場之債務商品投資到期還本,　　 其他應收款－關係人減少,　　 其他非流動資產減少,　　 其他籌資活動
6442,2015年01月01日至2015年09月30日,,                314864,                314864,,,                 54484,                  7379,                   -155,                  2305,                 -1863,                  8236,                    389,                              0,                              0,                  5759,                  9428,                 85962,,,                 14869,                  3564,                  4851,                 15467,                              0,               -116968,                 -6638,                -84855,,                -55597,                 85523,                 -1375,                -31169,                 -8637,                  1183,                 -2721,                -12793,                -97648,                -11686,                303178,                  1522,                 -2364,                -83534,                218802,,                 -5000,               -124758,                 39611,                -92011,                     34,                    -76,                   -425,                              0,               -182625,,                680000,               -880000,                   -212,               -120000,                273600,                -46612,                 -6185,                -16620,                672656,                656036,                656036,,,,,,,,,,,,,
6442,2015年01月01日至2015年06月30日,,                162488,                162488,,,                 36259,                  4917,                     13,                  1837,                 -1695,                  8236,                    346,                              0,,                              0,                  4278,                 54191,,,                    606,                 10683,                    829,                 17360,                              0,                 26788,                 -5164,                 51102,,                -26889,                -38850,                   -706,                -45499,                 -3138,                    -89,                 -1814,               -116985,                -65883,                -11692,                150796,                  1074,                 -1870,                -46701,                103299,,                 -5000,               -110831,                 28360,                -51567,                     34,                     -5,                   -425,                              0,               -139434,,                680000,               -700000,                   -382,,,                -20382,                 -3850,                -60367,                672656,                612289,                612289,                              0,,,,,,,,,,,,
6442,2015年01月01日至2015年03月31日,,                 91591,                 91591,,,                 18226,                  2434,                   -115,                    840,                   -919,,                    289,                              0,,                              0,                  2127,                 22882,,,                   -727,                 26170,                  2912,                 10968,                              0,                 -6016,                 -3188,                 30119,,                -49655,                 18989,                 -1290,                -52563,                 -1303,                   -287,                   -907,                -87016,                -56897,                -34015,                 57576,                    198,                   -749,                 -2824,                 54201,,,,,                -24843,                     33,                              0,                              0,                              0,                -24810,,                300000,               -250000,                   -220,,,                 49780,                 -3579,                 75592,                672656,                748248,                748248,,,,,,,,,,,,,
6442,2014年度,,                299698,                299698,,,                 71257,                  7674,                 63662,                  3534,                 -2385,,                  4295,                    -90,                  3667,                 20914,                  7889,,,,                 -7636,               -321971,                 -1805,                 -1614,                    804,                -77272,                 -2361,               -411855,,                 45110,                 58806,                  1408,                 64472,                 -7073,                  2111,,                160793,               -251062,                -70645,                229053,                  2385,                 -3506,                -50657,                177275,,,,,                -75671,                  2341,                 -1650,                 -8915,                  3672,                -83901,,              1770000,             -1800000,                    316,                -54000,,                -83684,                 11012,                 20702,                651954,                672656,                672656,,,                180417,                 -4041,                -51376,                 47698,                              0,,,,,,
6442,2014年01月01日至2014年09月30日,,                179862,                179862,,,                 53938,                  5287,                 63328,                  2675,                 -1768,                              0,                  3047,                    -90,                  3667,                 19676,                  8048,                157808,,,                 -1470,               -233643,                    577,                 11559,                   -402,                 10339,                 -2393,               -215433,,                 22949,                 47278,                  4259,                 13637,                 -4886,                  2976,                 -3031,                 83182,               -132251,                 25557,                205419,                  1768,                 -2668,                -44711,                159808,,                              0,                -23438,                 22329,                -42603,                  2041,                 -1245,                 -8226,                  3672,                -47470,,              1370000,             -1350000,                    -78,                              0,                              0,                 19922,                    883,                133143,                651954,                785097,                785097,,,,,,,,,,,,,
6442,2014年01月01日至2014年06月30日,,                 78405,                 78405,,,                 36266,                  3447,                 63735,                  1733,                 -1379,                              0,                  1986,                    -90,,                 16727,                  5150,                127575,,,                 -1949,               -191871,                 -1561,                 -3867,                 -1122,                 37882,                   -825,               -163313,,                 24003,                  2831,                     60,                -17736,                 -1970,                  5695,                 -2020,                 10863,               -152450,                -24875,                 53530,                  1379,                 -1736,                -26266,                 26907,,                              0,                -11917,                 12107,                -17264,                  1402,                              0,                 -1508,                    -88,                -17253,,              1020000,               -920000,                   -198,,,                 99802,                 -4577,                104879,                651954,                756833,                756833,                     15,,,,,,,,,,,,
6442,2014年01月01日至2014年03月31日,,                 60249,                 60249,,,                 18804,                  1821,                 14801,                    770,                   -915,,                    556,                    -45,,                  3848,                  2352,                 41992,,,                 -6840,                -35042,                 -1225,                  8054,                   -453,                 12863,                 -3380,                -26023,,                 -7044,                -14584,                    481,                -31317,                   -816,                    659,                 -1010,                -53631,                -79654,                -37662,                 22587,                    384,                   -689,                     -3,                 22279,,,,,                 -7362,                    580,                     -5,                 -1508,                    -44,                 -8339,,                280000,               -230000,                     67,,,                 50067,                  9807,                 73814,                651954,                725768,                725768,,,,,,,,,,,,,
6442,2013年度,,                148785,                148785,,,                 82496,                  6509,                 37029,                  4158,                 -2949,,                  7548,                              0,                              0,                              0,                 28124,,,,                 -7140,                123358,                   -881,                  4941,                   -804,                -31947,                  2604,                 90131,,                -44289,                -88371,                 -6637,                -12095,                 -7520,                 -1012,,               -167761,                -77630,                 85285,                234070,                  2536,                 -4314,                -30983,                201309,,,,,                -33144,                  2083,                    -57,                 -2034,                 20390,                  2763,,                230000,               -300000,                 -3080,                              0,,                -73080,                 24065,                155057,                496897,                651954,                651954,,,                162915,                 -7837,                -61562,                 80825,                 -3738,,,,,,
6442,2013年01月01日至2013年12月31日,,                148785,                148785,,,                 82496,                  6509,                 37029,                  4158,                 -2949,,                  7548,,,                              0,                 28124,,,,                 -7140,                123358,                   -881,                  4941,                   -804,                -31947,                  2604,                 90131,,                -44289,                -88371,                 -6637,                -12095,                 -7520,                 -1012,,               -167761,                -77630,                 85285,                234070,                  2536,                 -4314,                -30983,                201309,,,,,                -33144,                  2083,                    -57,                 -2034,,                  2763,,                230000,               -300000,                 -3080,                              0,,                -73080,                 24065,                155057,                496897,                651954,                651954,                              0,,                162915,                 -7837,                -61562,                 80825,                 -3738,,,                 20390,                              0,                              0,                              0
6442,2013年01月01日至2013年06月30日,,                 81740,                 81740,,,                 42701,                  2974,                    358,                  2098,                 -1281,,                  5689,,,                              0,                 16489,,,,                 -5046,                 61873,                 -1853,                  2493,                   -648,                -77948,,                -22836,,                -87623,                  6590,                 -6637,                -10603,                 -6735,                   -375,,               -110301,               -133137,                -64109,                 17631,                  1281,                 -2098,                -17446,                   -632,,,,,                -20793,                  1287,                    884,                              0,                   -110,                 21438,,                200000,               -300000,                  3102,,,                -96898,                  5624,                -70468,                496897,                426429,                426429,,,                 69028,                 -4918,                -28814,                 48594,,                              0,                 -1707,                 20390,,,
6442,2012年01月01日至2012年12月31日,,                135365,                135365,,,                 88903,                  3125,                 15998,                  3513,                 -6457,,                  2068,,,                  2660,                 34665,,,,                  9067,               -226615,                 40856,                   -315,                137533,               -116088,                 -1885,               -157447,,                -69486,                162190,                  6171,                 26832,                -14890,                 -2230,,                 90661,                -66786,                 77689,                213054,                  6457,                 -3484,                -55990,                160037,,,,,                -77694,                  2792,                              0,                 -2769,,                 61648,,                449725,               -349725,                 -5865,                -90000,,               -408865,                 -7809,               -194989,                691886,                496897,                496897,                     17,,                144475,                -17926,                -69341,                 48492,                              0,,,                  1400,                136048,                 22703,               -413000
