證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）
6449,2015年01月01日至2015年09月30日,,                190843,                190843,,,                 73545,                  7941,                   -984,                     21,                   -793,                 79730,,,                -48755,                 42896,                              0,                  7807,                 17195,                 19143,,                -45710,                   -388,                 20174,                -25924,                 -6781,                 72949,                263792,                    984,                 -7889,                -44879,                212008,,                 -2363,                   -545,               -123837,                              0,                -10508,                 -4289,               -141542,,                164770,                              0,                -67888,               -117104,                              0,                -46959,                -67181,                  4307,                  7592,                518268,                525860,                525860,,,,,,
6449,2015年01月01日至2015年06月30日,,                 95511,                 95511,,,                 47821,                  5158,                   -742,                     21,                 -1350,                 50908,,,                 53553,                 38372,                              0,                -23492,                  9984,                 78417,,                -32278,                   -355,                 -9526,                -42159,                 36258,                 87166,                182677,                    742,                 -5547,                -26155,                151717,,,                   -545,                -75036,                              0,                -10126,                -21646,               -107353,,                  5915,                              0,                -45259,,                              0,,                -39344,                  3070,                  8090,                518268,                526358,                526358,,,,,,
6449,2015年01月01日至2015年03月31日,,                 52278,                 52278,,,                 23863,                  2926,                   -323,                      2,                    169,                 26637,,,                 20082,                 54545,,                  8510,                 10914,                 94051,,                -30029,                   -236,                  1365,                -28900,                 65151,                 91788,                144066,                    323,                 -3301,                     -4,                141084,,,                   -545,                -42380,,                -10248,                 -4171,                -57344,,                              0,                              0,                -22629,,                              0,,                -56654,                 -6026,                 21060,                518268,                539328,                539328,                -34025,,,,,
6449,2014年度,,                287725,                287725,,,                 86299,                 15507,                 -1126,                  1505,                  2171,,,,                -21707,                    583,                    258,                -54521,                -40338,               -115725,,                  9455,                 -8969,                 -2751,                 -2265,               -117990,                -13634,                274091,                  1126,                -15297,                -55206,                204714,,,,                -91351,                    421,                   -591,                 -1818,                -93339,,,                 80000,                -18332,                -53032,                 12200,,                170502,                 -9047,                272830,                245438,                518268,                518268,                -71134,,                104356,                220800,,
6449,2014年01月01日至2014年09月30日,,                197943,                197943,,,                 62987,                 11973,                   -811,                    996,                  1408,                 76553,,,                -40096,                 32570,                    257,                -41154,                -16427,                -64850,,                 17185,                 -8394,                -14625,                 -5834,                -70684,                  5869,                203812,                    811,                -11266,                -47822,                145535,,                              0,                              0,                -80225,                    110,                 -3360,                 -2550,                -86025,,                129100,                 80000,                -14165,                -53032,                 12200,                              0,                154103,                   -859,                212754,                245438,                458192,                458192,,,,,,
6449,2014年01月01日至2014年06月30日,,                123238,                123238,,,                 41864,                  7827,                   -607,                    576,                    325,                 49985,,,                -22544,                 32292,                    258,                -33191,                -29009,                -52194,,                  9373,                 -3874,                -23805,                -18306,                -70500,                -20515,                102723,                    607,                 -5822,                -20230,                 77278,,,                              0,                -52635,                     50,                 -3285,                 -5755,                -61625,,                110429,                 80000,                 -9998,,                 12200,,                192631,                  1815,                210099,                245438,                455537,                455537,,,,,,
6449,2014年01月01日至2014年03月31日,,                 65461,                 65461,,,                 21128,                  3445,                   -210,                              0,                  5270,                 29633,,,                -48484,                 72250,,                  2871,                -26144,                    493,,                  4581,                 -1889,                -17479,                -14787,                -14294,                 15339,                 80800,                    210,                 -3223,                     -1,                 77786,,,                              0,                -10323,,                 -8513,                 -1835,                -20671,,                115643,                 80000,                 -5832,,                 12200,,                202011,                -12476,                246650,                245438,                492088,                492088,                              0,,,,,
6449,2013年度,,                156394,                156394,,,                 82093,                  9664,                 -1004,                  5897,                  9928,,,,                -47965,                 24393,                    140,                 25170,                  6226,                  7964,,                -27975,                  7926,                 12458,                 -7591,                    373,                106951,                263345,                  1004,                 -9992,                -19823,                234534,,,,               -151935,                    100,                  5234,                  2863,               -143738,,,                 50000,                 -6668,                -31645,                 17800,,                -31196,                -15683,                 43917,                201521,                245438,                245438,                -60683,,                106578,                              0,,
6449,2013年01月01日至2013年09月30日,,                 97518,                 97518,,,                 56215,                  7184,                   -653,,                 -4129,,,,                -21836,                 22119,                    117,                    -53,                  3720,                  3875,,                -36260,                  1243,                 -2891,                -44260,                -40385,                 18232,                115750,                    653,                 -7939,                -12688,                 95776,,,,                -99544,                    100,                  5234,                  1181,                -93029,,,                              0,                 -5001,                -31645,                              0,,                -90039,                -13121,               -100413,                201521,                101108,                101108,                -53393,,                 58617,,                   -192,                 -6352
6449,2013年01月01日至2013年06月30日,,                 44679,                 44679,,,                 34732,                  4785,                   -456,,                 -5560,,,,                 24666,                 56895,                    -93,                 -3666,                  9835,                 87637,,                -73243,                    792,                 26765,                -45466,                 42171,                 75672,                120351,                    456,                 -3720,                -10691,                106396,,,,                -76415,                    100,                   -165,                    118,                -76362,,                              0,                              0,                 -3334,,                              0,,                -88126,                -10753,                -68845,                201521,                132676,                132676,                -84792,,                 33501,,,                    220
