證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他應收款減少,　　 長期應收租賃款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 除列避險之衍生金融負債,　　 其他非流動負債增加,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　　　 其他項目,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他借款減少
6505,2015年01月01日至2015年09月30日,,             40666914,             40666914,,,             16141010,              2105907,                              0,              1761369,               -385632,             -1465890,             -1297340,                   -327,                 -1265,                              0,                 -8640,             16849192,,,             -1655959,              2153701,                314485,             13837260,             13372479,               -453155,                              0,             27568811,,                 -6156,             -4517837,              2242468,             -2367344,                 40471,             -4608398,             22960413,             39809605,             80476519,                -29915,             80446604,,            -11100000,              5201330,                -25000,                              0,                    441,             -4628400,                  1867,             -3153468,                              0,             -4883699,                152557,               -859017,                378308,              3401711,                -30851,            -15544221,,                              0,            -26099899,                              0,             -3500000,                              0,            -18000000,              6497097,            -18222427,                              0,             -7344106,               -154904,                -34038,             -8084813,             -2379227,                 -3455,            -77325772,                  9477,            -12413912,             40653905,             28239993,             28239993,                              0,,,,,,,,,,,,,,
6505,2015年01月01日至2015年06月30日,,             30315482,             30315482,,,             10788780,              1456776,                              0,              1239437,               -213545,                              0,               -800000,                     24,                   -291,                              0,                 -8640,             12462541,,,                    357,            -10066914,               -575231,             15051926,             11257282,                 52480,                              0,             15719900,,                 -3082,              1884470,              1601607,             -2226646,                 28084,              1284433,             17004333,             29466874,             59782356,                -21629,             59760727,,,                200438,                -25000,                              0,                    441,             -3142108,                  1497,               -171754,,             -2298226,                152557,               -541777,                216837,              1501775,                -24522,             -4129842,,,            -28839987,                              0,,,            -12000000,              6497097,            -14451276,,             -7464963,,                 -6309,                    -65,             -1416706,,            -57682209,                244808,             -1806516,             40653905,             38847389,             38847389,,,,,,,,,,,,,,,
6505,2015年01月01日至2015年03月31日,,              1301333,              1301333,,,              5417013,                751522,                              0,                657145,                -96397,,               -366510,                    103,                   -291,                              0,                 -8640,              6353945,,,                    272,               -795178,                -33654,             25923591,              4987435,               -133076,                              0,             29949390,,                 -3080,             -6108136,               -289179,             -2187442,                 14354,             -8573483,             21375907,             27729852,             29031185,                 -5480,             29025705,,,                200438,                -25000,,                    441,             -1543788,                  1417,             -1890906,                              0,             -2352525,                152557,               -476366,                 96490,,                -20169,             -5857411,,                              0,            -11395027,                              0,,,                              0,              5497097,            -11477376,,             -6975203,,                 -3602,                              0,               -565159,,            -24919270,                118996,             -1631980,             40653905,             39021925,             39021925,,                              0,,,,,,,,,,,,,
6505,2014年度,,              9099539,              9099539,,,             21828475,              3236780,               -599206,              2922684,               -571011,               -758587,             -1771164,                 50313,               -209573,                 52774,,,,,                    241,             39080321,              2362662,               -284667,            -11525517,               -110972,              1481826,             31003894,,                 -6087,              2605413,                482612,                421172,,              3559657,             34563551,             58745036,             67844575,             -2964614,             64879961,,               -500000,                764057,                -23630,             -1162876,,             -6308564,                  7243,,              1812783,,               -123211,             -2844524,                596556,              2716831,                -65625,             -5130960,,              3550630,,                200000,                              0,              6000000,            -18000000,             72534490,            -81077519,              7662991,                              0,,                              0,            -23814256,             -3053028,                   -794,            -35992653,                245822,             24002170,             16651735,             40653905,             40653905,,,,                              0,             24181485,                 56547,                              0,                  4833,,,,,,,
6505,2014年01月01日至2014年09月30日,,             24001498,             24001498,,,             16262794,              2499010,               -421106,              2188395,               -438153,               -758587,             -1291294,                 38970,                              0,                  3039,                              0,             18083068,,,                 -1568,             19540132,              1994252,            -23866775,             -6294021,                -68108,              1303726,             -7392362,,                 -6742,              7547596,               -880063,             -1606639,                 44376,              5098528,             -2293834,             15789234,             39790732,             -2947063,             36843669,,                              0,                              0,                -23630,             -1162876,                              0,             -4309175,                  3932,                              0,              1993828,                              0,                 29499,             -2658650,                464405,              2615093,               -103729,             -3151303,,              2114102,                              0,             10000000,                              0,              6000000,            -15000000,             72434490,            -77968435,             14534429,                              0,                              0,                -29125,            -23814289,             -2507110,                   -794,            -14236732,                158782,             19614416,             16651735,             36266151,             36266151,                              0,,,,,,,,,,,,,,
6505,2014年01月01日至2014年06月30日,,             16115604,             16115604,,,             10862407,              1692623,               -324022,              1449258,               -313068,                   -400,               -625754,                 29605,                              0,                  3039,                              0,             12773688,,,                    157,             15566451,              2284572,             -6475232,             -4698434,                -46000,                205105,              6836619,,                 -3664,             10483787,               -542095,             -1739821,                 29627,              8227834,             15064453,             27838141,             43953745,             -2947801,             41005944,,,                              0,                              0,             -1162877,                              0,             -3005776,                  1490,               -991973,,                              0,                 29349,             -1171306,                335406,              1367688,                -82133,             -4680132,,,             -6760575,                200000,,,             -9000000,             46634490,            -47428505,,                              0,,                -21035,                    -48,             -1689074,,            -18064747,                -62215,             18198850,             16651735,             34850585,             34850585,,,,,,,,,,,,,,,
6505,2014年01月01日至2014年03月31日,,             10442340,             10442340,,,              5435981,                857059,               -694624,                701109,               -155659,,               -431694,                 28967,                              0,                  3039,                              0,              5744178,,,                 -1019,              1394201,             -2718288,            -19365837,             -2894926,               -723506,                146805,            -24162570,,                 -3188,             25170754,              4828287,             -1496937,                 14616,             28513532,              4350962,             10095140,             20537480,                -18434,             20519046,,,                              0,                              0,,                              0,             -1971073,                  1231,                              0,              2150217,                              0,                 29346,                              0,                166159,,                -63114,                806032,,             10862704,                              0,              6300000,,,             -3000000,             30880820,            -33754863,,                              0,,                -27671,                     -3,               -616809,,             10644178,                130477,             32099733,             16651735,             48751468,             48751468,,                493266,,,,,,,,,,,,,
6505,2013年度,,             31015874,             31015874,,,             22095153,              3348633,             -1303812,              3324671,               -467236,               -288415,             -2134760,                 43634,                              0,                 18248,,,,,              2527174,             -8221935,               -211521,             -4382641,             -5137591,               -275301,               -209270,            -15911085,,                -13093,             -2497442,               -196107,              2346842,,               -303496,            -16214581,              8443172,             39459046,                -45136,             39413910,,                              0,                              0,                              0,            -12751476,,             -9847785,                    316,,              6948479,,                  1010,             -3485673,                449960,              1922896,                              0,            -16762273,,              3721783,,                              0,             -9700000,             20000000,            -15000000,             21487568,            -40231195,                              0,             -1000000,,               -442348,             -2477118,             -3403237,                 -1956,            -27122857,                -10412,             -4481632,             21133367,             16651735,             16651735,,,,                 21637,             24657753,                 56304,                -76354,                              0,,,,,,,
6505,2013年01月01日至2013年12月31日,,             31015874,             31015874,,,             22095153,              3348633,             -1303812,              3324671,               -467236,,             -2050666,                 43634,,                 18248,,,,,              2527174,             -8221935,               -211521,             -4382641,             -5137591,               -275301,               -209270,            -15911085,,                -13093,             -2497442,               -196107,              2346842,,               -303496,            -16214581,              8815681,             39831555,                -45136,             39786419,,                              0,,,            -12835570,,             -9847785,                    316,                              0,              6948479,,                  1010,             -3485673,                449960,              1634481,                              0,            -17134782,,              3721783,,,             -9700000,             20000000,            -15000000,             21487568,            -40231195,,             -1000000,,,             -2477118,             -3403237,                 -1956,            -27122857,                -10412,             -4481632,             21133367,             16651735,             16651735,,,,                 21637,             25030262,                 56304,                -76354,               -442348,,,,,,,
6505,2013年01月01日至2013年09月30日,,             23202888,             23202888,,,             16781560,              2444667,             -1102259,              2595994,               -303826,               -288415,             -1403467,                  2185,,                  1339,,,,,              2521861,              4410433,             -1311032,             -8656931,            -15082909,             -2030827,                 18452,            -20130953,,                -13558,             11502400,              2325113,                261657,,             14117893,             -6013060,             12714718,             35917606,                -48126,             35869480,,,,                              0,            -12413976,,             -7706432,                    227,,              3919065,,                 78567,             -2875149,                286355,              1914358,                -17072,            -16814057,,             17163972,,                              0,             -5400000,             20000000,            -12000000,             15340636,            -31390036,                              0,             -1000000,,               -446623,             -2477162,             -2736007,                 -1956,             -3023529,                105184,             16137078,             21133367,             37270445,             37270445,,,,,             18727778,                 42281,                -76353,,,,,,,,
