證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 其他借款減少,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 存出保證金增加,　　 取得投資性不動產,　　 應付短期票券增加,　　 其他金融資產增加,　　 預付設備款減少,　　　　 處分採用權益法之投資損失（利益）,　　 處分無形資產,　　 存入保證金增加,　　 預收款項減少－處分資產
8033,2015年01月01日至2015年09月30日,,                -73284,                -73284,,,                 46533,                  6197,                  5944,                 20021,                   -735,                 -4157,                    150,                -61803,                  7623,                  3272,                 23045,,,                 -1283,                 31339,                 -7506,                  9619,                 17580,                 -1518,                 -8207,                              0,                 40024,,                  3456,                -37228,                  5594,                              0,                  5938,                    161,                -22079,                 17945,                 40990,                -32294,                    733,                -19397,                 -8070,                -59028,,                -39361,                              0,                              0,                    408,                 -4682,                 81459,                -38790,                              0,                   -966,,               -193996,                              0,                              0,                     65,                -29290,                              0,                              0,                              0,                              0,                              0,                              0,                210000,                              0,                  1651,                -11570,                  7653,                -63911,                274941,                211030,                211030,,,,,,,,,,,,,,
8033,2015年01月01日至2015年06月30日,,                -37314,                -37314,,,                 31410,                  4055,                  7307,                 13807,                   -508,                 -2489,                    103,                -61568,                  5898,                  3272,                  1287,,,                    -70,                -43317,                -15063,                 18868,                 -4114,                    851,                    967,                              0,                -41878,,                 -1077,                -14589,                  1783,                              0,                 19193,                    161,                  5471,                -36407,                -35120,                -72434,                    486,                -14844,                 -2287,                -89079,,                -22356,                              0,                              0,                    448,                 -4571,                 81150,                 -2660,                              0,                 52011,,                              0,               -170713,                              0,                              0,                -21342,                              0,                              0,                              0,                              0,                              0,                              0,                210000,                              0,                  1651,                 19596,                 61016,                 43544,                274941,                318485,                318485,,,,,,,,,,,,,,
8033,2015年01月01日至2015年03月31日,,                -66909,                -66909,,,                 16077,                  1983,                    268,                  7994,                   -167,                 -1440,                     69,,                  2217,                  3272,                 30273,,,                    -53,                  9488,                 -3178,                    169,                  5962,                 -1108,                   -498,                              0,                 10016,,                 -3476,                -28960,                 -2455,                              0,                  8982,                    637,                -25272,                -15256,                 15017,                -51892,                     50,                 -8397,                              0,                -60239,,                 -9109,                              0,                 10081,                    500,                   -341,,                    574,                    -51,                  1654,,                  7954,                              0,                              0,                              0,                -13460,                              0,                              0,                   -648,                              0,                              0,                              0,                210000,                              0,                  1650,                205496,                  6182,                153093,                274941,                428034,                428034,                   -766,,,,,,,,,,,,,
8033,2014年度,,               -162059,               -162059,,,                 58010,                  7421,                  1558,                 32990,                 -1010,                 -3296,                    284,,                 -2421,                  1323,,,,                    303,                -20945,                 -1678,                 -5500,                 12424,                -29863,                -12288,                 -2285,                -60912,,                -33449,                 28614,                 -6128,                   -245,                -11304,,                -24095,                -85007,                  9852,               -152207,                    724,                -31731,                 14638,               -168576,,                -65059,                    182,                              0,                              0,                 -6305,,                  6773,                 -5306,                -74493,,                 59407,                              0,                              0,                 76980,                -37012,                              0,                              0,                   -648,                              0,                              0,                 -6398,                229500,                 18624,                 47867,                388320,                -10664,                134587,                140354,                274941,                274941,                 -1080,,                 94859,                 -1583,                              0,                 -4778,,,,,,,,
8033,2014年01月01日至2014年09月30日,,               -116652,               -116652,,,                 43260,                  5435,                    380,                 24350,                   -484,                 -3117,                    115,                              0,                    565,                  1323,                 71827,,,                   -148,                -14738,                  4974,                -11564,                 -1497,                -37959,                -12377,                    706,                -72603,,                -38202,                    496,                 -2358,                   -245,                 -7223,                              0,                -47532,               -120135,                -48308,               -164960,                    421,                -23842,                 14148,               -174233,,                -51187,                    506,                              0,                -10305,                 -5953,                              0,                 18681,                              0,                -48258,,                 38344,                              0,                              0,                 76980,                -18929,                              0,                              0,                   -624,                              0,                              0,                 -6214,                229500,                 39976,                 60030,                419063,                -25312,                171260,                140354,                311614,                311614,,,,,,,,,,,,,,
8033,2014年01月01日至2014年06月30日,,                -58057,                -58057,,,                 28697,                  3552,                   -554,                 15945,                   -554,                 -1758,                     45,                              0,                    542,                  1323,                 47238,,,                    429,                -32734,                  3436,                 -7756,                 32027,                -14937,                -13255,                    729,                -32061,,                -30619,                 14544,                  2063,                              0,                  6267,                              0,                 -7745,                -39806,                  7432,                -50625,                    745,                -15258,                 -7861,                -72999,,                -44567,                    501,                              0,                -10278,                 -5306,                              0,                 10770,                              0,                -48880,,                 43695,                              0,                              0,                 65200,                -10617,                              0,                              0,                     -3,                   -245,                              0,                 -4473,                229500,                 39944,                 60032,                423033,                -10410,                290744,                140354,                431098,                431098,,,,,,,,,,,,,,
8033,2014年01月01日至2014年03月31日,,                -37802,                -37802,,,                 13496,                  1753,                              0,                  7740,                    -41,                   -532,                    871,,                    621,                              0,                 23908,,,                    407,                -31403,                  4722,                 -3379,                 52004,                -11958,                   -732,                              0,                  9661,,                 -4601,                -10324,                 -4962,                              0,                  2649,                              0,                -17238,                 -7577,                 16331,                -21471,                     31,                 -7353,                 -1058,                -29851,,                -11995,                              0,                              0,                -10000,                 -3506,,                -20000,                    181,                -45320,,                 67801,                              0,                              0,                 37073,                 -3496,                              0,                              0,                    -15,                   -245,                              0,                 -2277,                              0,                              0,                 26190,                125031,                 -8092,                 41768,                140354,                182122,                182122,                              0,,,,,,,,,,,,,
8033,2013年度,,                 38904,                 38904,,,                 60961,                  5140,                    935,                 33188,                   -504,                    100,               -174923,,                    720,                              0,,,,                     19,                 16492,                -12545,                  5861,                 41355,                 -2917,                 16989,                              0,                 65254,,                 16105,                 -5595,                 -2784,                              0,                  4810,,                 11674,                 76928,                  2545,                 41449,                    475,                -33920,                  5588,                 13592,,                -29856,                296167,                              0,                  5553,                 -2424,,                 23490,                -16773,                265132,,                              0,               -135233,                -11000,                              0,                -92510,                              0,                -86970,                 -1500,                 -1474,                              0,                -15631,                              0,                  9355,                 72217,               -262746,                -21276,                 -5298,                145652,                140354,                140354,                              0,,                -74383,                   -862,                -11025,                              0,,,,,,,,
8033,2013年01月01日至2013年12月31日,,                 38904,                 38904,,,                 60961,                  5140,                              0,                 33188,,,               -174923,,,,,,,                     19,                 16492,                -12545,                  5861,                 41355,                 -2917,                 16989,,                 65254,,                 16105,                 -5595,                 -2784,,                  4810,,                 11674,                 76928,                  1394,                 40298,                    475,                -33920,                  5588,                 12441,,                -29856,                296167,                              0,                  5553,,,,                -16773,                265132,,                              0,               -135233,                -11000,,                -92510,                              0,                -86970,                 -1500,                 -1474,,                -15631,                              0,,                 72217,               -272101,                -10770,                 -5298,                145652,                140354,                140354,,,                -75534,                   -862,                -11025,                              0,,,                 23490,,                    100,                 -2424,,
8033,2013年01月01日至2013年09月30日,,               -100651,               -100651,,,                 46445,                  3884,                              0,                 24280,                              0,                              0,                     10,,                              0,                              0,,,,                   -530,                  2542,                              0,                 -3092,                  7749,                -19711,                  4728,                              0,                 -9886,,                -14489,                 35269,                  5642,                 -1952,                -10160,,                 12778,                  2892,                 77511,                -23140,                    217,                -24425,                 -2080,                -49428,,                -24311,                              0,,,                 -2138,,                 18325,                    297,                -15146,,                629043,               -542098,                -11000,                              0,                -78016,,                -86970,                   -675,,,                -23839,                              0,                  9355,                 57218,                -46982,                 74881,                -36675,                145652,                108977,                108977,                 -1572,,                 74619,                 -1532,,                  3706,                -11025,,,,,,,
