證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分子公司,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　 其他金融資產增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 存入保證金增加,　　 其他金融負債增加,　　 其他投資活動
8101,2015年01月01日至2015年09月30日,,               -226110,               -226110,,,                187944,                 14348,                  1616,                 53339,                -16761,                -12000,                -26562,                   -244,                              0,                  8149,                 17258,                227087,,,                 40163,                 72088,                -52093,                100960,                 82329,                243447,,                201750,               -610606,                -46043,                 22342,                    116,               -432441,               -188994,                 38093,               -188017,                 13107,                 12000,                -52286,                -10039,               -225235,,               -181054,                -70000,                              0,               -301589,                 -8580,                -13442,                              0,               -574665,,               -453566,                564346,                -21681,                 10429,                 99528,                 92398,               -607974,              3889323,              3281349,              3281349,,,,,,,,,,,,,,,,,,,,
8101,2015年01月01日至2015年06月30日,,               -129329,               -129329,,,                124460,                  9334,                 -1154,                 32983,                -11019,                -12000,                -26562,                    -48,                              0,                  2152,                 18959,                137105,,,              1562573,                247708,                395342,                 91154,                 66656,              2363433,,             -1906222,               -739202,                -35074,                 57565,                    110,             -2622823,               -259390,               -122285,               -251614,                 11560,,                -33436,                -10039,               -283529,,               -157239,                -70000,,               -117486,                -10908,                -12485,                              0,               -389799,,               -925531,                572184,,                  9368,               -343979,                 34382,               -982925,              3889323,              2906398,              2906398,                -21681,,,,,,,,,,,,,,,,,,,
8101,2015年01月01日至2015年03月31日,,                -68852,                -68852,,,                 61761,                  4799,                 -1254,                 18312,                 -5906,,                  3600,,,                    373,                 15386,                 97071,,,              1094050,                185224,                572334,                128944,                -20531,              1960021,,             -2339012,               -172810,                -24053,                    569,                     61,             -2535245,               -575224,               -478153,               -547005,                  4723,,                -16652,                    -41,               -558975,,                -98174,,,                -84594,                  2767,                 -1864,,               -181865,,                693557,                 75157,,                  7444,                776158,                 28145,                 63463,              3889323,              3952786,              3952786,,                              0,,,,,,,,,,,,,,,,,,
8101,2014年度,,                247508,                247508,,,                258959,                 20387,                 -1538,                115769,                -68455,,                 23108,,               -121738,                 71947,                327806,,,,                523796,               -317039,               -147639,               -364516,                141858,               -163540,,             -2012689,                174422,                 63095,                135092,                  5079,             -1635001,             -1798541,             -1172296,               -924788,                 71318,,               -114171,                -99337,             -1066978,,,,                -14022,               -287494,                -33860,                -15632,                324725,                 -8988,,                588140,                              0,                 24500,                751948,              1364588,                 43173,                331795,              3557528,              3889323,              3889323,,,                              0,,                              0,                626245,                              0,                 17295,,,,,,,,,,,,
8101,2014年01月01日至2014年09月30日,,                100401,                100401,,,                193334,                 15183,                   -221,                 96988,                -60014,                              0,                 16434,                              0,               -121738,                 11186,                324829,                475981,,,             -1119865,                -18926,             -1377239,               -273237,                223698,             -2565569,,               -974409,                 86715,                 43470,                 77951,                    921,               -765352,             -3330921,             -2854940,             -2754539,                 63367,                              0,                -95838,                -99337,             -2886347,,                              0,                              0,                -14022,               -168795,                -31016,                -14545,                324725,                 96347,,              1272877,                              0,                 24500,                748417,              2045794,                  3356,               -740850,              3557528,              2816678,              2816678,,,,,,,,,,,,,,,,,,,,
8101,2014年01月01日至2014年06月30日,,                 87636,                 87636,,,                129410,                  9884,                 -2866,                 75197,                -40154,                              0,                  7445,                              0,               -121738,                 10041,                323485,                390704,,,              1552922,                -15978,                 65694,               -146307,                 76440,              1532771,,             -2998203,                -51171,                 33689,                 63654,                  1690,             -2950341,             -1417570,             -1026866,               -939230,                 33684,,                -67413,                -40486,             -1013445,,                              0,                              0,,                -84508,                 -6482,                -10795,                324725,                222940,,              1973146,                              0,,             -1345702,                627444,                -11774,               -174835,              3557528,              3382693,              3382693,                              0,,,,,,,,,,,,,,,,,,,
8101,2014年01月01日至2014年03月31日,,                 95585,                 95585,,,                 64776,                  4969,                   -526,                 25205,                -20333,,                  5375,,,                  8805,                 47122,                154442,,,               -762314,                 33330,                124096,               -283723,             -1182291,             -2070902,,             -1161087,               -320648,                171832,                127801,                  1806,             -1180296,             -3251198,             -3096756,             -3001171,                  8437,,                -14179,                -11051,             -3017964,,                              0,,,                -27973,                 -6781,                   -128,,                -34882,,              3718212,                              0,,             -1307572,              2410640,                 -1601,               -643807,              3557528,              2913721,              2913721,,                 19049,,,,,,,,,,,,,,,,,,
8101,2013年度,,                308554,                219794,,,                320863,                 77442,                 -2209,                 71508,                -34424,,                 81584,,                              0,                 85081,                 20344,,,,              2127240,                -91894,               -821713,               -154299,               -231959,                827375,,                346313,                176681,                  8926,                 94591,                -26007,                600504,              1427879,              2112513,              2332307,                 31062,,                -71702,                   -694,              2290973,,,,                              0,               -184377,                 24542,                -30419,                              0,               -128249,,                213164,                -34884,                              0,               -739483,               -561203,                  5591,              1607112,              1950416,              3557528,              3557528,,,                -88760,,                 64445,                684634,                 -6153,                 68158,,,,,,,,,,,,
8101,2013年01月01日至2013年12月31日,,                308554,                219794,,,                320863,                 77442,                 -2209,                 71508,                -34424,,                 81584,,,                 85081,                 33180,,,,              2127240,                -91894,               -821713,,               -231959,                827375,,                346313,                185607,,,                -26007,                587668,              1415043,              2112513,              2332307,                 31062,,                -71702,                   -694,              2290973,,,,,               -184377,                 24542,                -30419,,               -128249,,                213164,                              0,,               -739483,               -561203,                  5591,              1607112,              1950416,              3557528,              3557528,,,                -88760,,                 64445,                697470,                 -6153,                 68158,,               -154299,                              0,                 81755,                              0,                              0,                -34884,                              0,                              0,,,
8101,2013年01月01日至2013年09月30日,,                238983,                177904,,,                253047,                 57769,                    862,                 56288,                -20310,,                 71192,,                              0,                 63641,                 10851,,,,               -720912,                -57651,               -848010,               -108028,               -221709,             -1956310,,              1990893,                207963,,                 87702,                -19823,              2266735,                310425,                803765,                981669,                 18781,,                -57627,                   -508,                942315,,,,                              0,                -99931,                 20442,                -28918,                              0,               -108407,,              2001607,                -34884,                              0,               -723072,              1243651,                  7067,              2084626,              1950416,              4035042,              4035042,,,                -61079,,,                493340,,,,,,,,,,,,,,
