證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行公司債,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 支付之利息,　　 償還公司債,　　　　　 其他營業資產（增加）減少
8429,2015年01月01日至2015年09月30日,,              1108966,              1108966,,,                 11245,                 -3240,                  8878,                -12667,                              0,                    145,                  4361,,,                151280,                   -189,                -39230,                 72450,                184311,,                 23484,                 53698,                 77182,                261493,                265854,              1374820,                 12667,               -323285,              1064202,,                 -2682,                              0,                              0,                 -2682,,                              0,                              0,                              0,                              0,                              0,                130949,              1192469,              4599851,              5792320,              5792320,,,,,
8429,2015年01月01日至2015年06月30日,,                749935,                749935,,,                  8416,                  8040,                  5937,                 -8065,                              0,                     96,                 14424,,,                 21848,                    320,                  6687,                  4432,                 33287,,                 35386,                  9801,                 45187,                 78474,                 92898,                842833,                  8065,               -206524,                644374,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,               -145821,                498553,              4599851,              5098404,              5098404,,,,,
8429,2015年01月01日至2015年03月31日,,                338699,                338699,,,                  4245,                  2400,                  2951,                 -4138,                              0,                     49,                  5507,,,                291239,                    320,                -45568,                 77157,                323148,,                 21375,                 10025,                 31400,                354548,                360055,                698754,                  4138,                -77924,                624968,,,,,,,                              0,                              0,                              0,                              0,                              0,                -60860,                564108,              4599851,              5163959,              5163959,,,,,
8429,2014年度,,              1544905,              1544905,,,                 17184,                  6120,                 12419,                -12803,                              0,                    189,,,,                -93820,                  1952,                 25715,                 -5375,                -71528,,                -19733,                 80517,                 60784,                -10744,                 12365,              1557270,                 12803,               -479723,              1090350,,               -491804,                              0,                              0,               -491804,,              1200000,               -477826,                              0,                 -5000,                717174,                206429,              1522149,              3077702,              4599851,              4599851,,                 23109,,,
8429,2014年01月01日至2014年09月30日,,              1125720,              1125720,,,                 12834,                  6840,                  9553,                 -9343,                              0,                    141,                 20025,,,                156557,                  1736,                  1390,                 72613,                232296,,                -94996,                 57457,                -37539,                194757,                214782,              1340502,                  9343,               -381459,                968386,,               -488524,                              0,                              0,               -488524,,              1200000,               -477826,                              0,                 -5000,                717174,                 25023,              1222059,              3077702,              4299761,              4299761,,,,,
8429,2014年01月01日至2014年06月30日,,                764473,                764473,,,                  8560,                  5040,                  6804,                 -6126,                              0,                     94,                 14372,,,                -81537,                  2272,                 55478,                 97962,                 74175,,                 -7661,                 27897,                 20236,                 94411,                108783,                873256,                  6126,               -225737,                653645,,               -488126,                              0,                              0,               -488126,,              1200000,                              0,                              0,                 -5000,              1195000,               -116138,              1244381,              3077702,              4322083,              4322083,,,,,
8429,2014年01月01日至2014年03月31日,,                362955,                362955,,,                  4547,                  1560,                  1697,                 -2714,                              0,                     48,                  5138,,,                137341,                  2272,                 -9427,                 71681,                201867,,                 -7341,                 29228,                 21887,                223754,                228892,                591847,                  2714,               -122799,                471762,,,,,,,              1200000,                              0,                              0,                 -5000,              1195000,                -19122,              1647640,              3077702,              4725342,              4725342,,,,,
8429,2013年度,,              1425567,              1425567,,,                 16117,                              0,                              0,                 -8490,                  1164,                    185,,,,               -145738,                 -1915,                -27354,               -148007,               -323014,,                 38807,                -18699,                 20108,               -302906,               -293930,              1131637,                  8490,               -282175,                857952,,                -26243,                  1601,               -199345,               -223987,,                              0,               -520165,                              0,                              0,               -520165,                198183,                311983,              2765719,              3077702,              3077702,,                  8976,,,
8429,2013年01月01日至2013年12月31日,,              1425567,              1425567,,,                 16117,,                              0,                 -8490,                  1164,                    185,,,,               -145738,                 -1915,                -27354,               -148007,               -323014,,                 38807,                -18699,                 20108,               -302906,               -293930,              1131637,                  8490,               -282175,                857952,,                -26243,                  1601,               -199345,               -223987,,,               -520165,                              0,,               -520165,                198183,                311983,              2765719,              3077702,              3077702,,                  8976,                              0,                              0,
8429,2013年01月01日至2013年09月30日,,              1027977,              1027977,,,                 11698,                              0,                              0,                 -5920,                              0,                    139,,,,                -23821,                   -236,                -35701,               -336900,               -396658,,               -167891,                 -7790,               -175681,               -572339,               -566422,                461555,                  5920,               -209977,                257498,,                -22728,                              0,               -199013,               -221741,,                              0,               -520165,                              0,                              0,               -520165,                121724,               -362684,              2765719,              2403035,              2403035,,                  5917,,,
8429,2013年01月01日至2013年06月30日,,                649500,                649500,,,                  7642,                              0,                              0,                 -3568,                              0,                     92,,,,                -12100,                    357,                -29491,                 -1719,                -42953,,                -21337,                -32979,                -54316,                -97269,                -93103,                556397,                  3568,                -73888,                486077,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                170577,                656654,              2765719,              3422373,              3422373,,                  4166,,,
8429,2013年01月01日至2013年03月31日,,                282219,                282219,,,                  3776,                              0,                              0,                 -1507,                              0,                     45,,,,                126985,                    357,                -33102,                 -2545,                 91695,,                 -4516,                -12626,                -17142,                 74553,                 76867,                359086,                  1507,                -40103,                320490,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                111720,                432210,              2765719,              3197929,              3197929,,                  2314,,,
8429,2012年01月01日至2012年12月31日,,              1185385,              1185385,,,                 15206,,                  4405,                 -6599,                              0,                    180,,,,                456522,                     55,                 18055,                    -50,                474582,,                -86131,                -38397,               -124528,                350054,                363246,              1548631,                  6599,               -321026,              1225418,,                   -618,                              0,                              0,                   -618,,,             -1033886,                923830,,               -261101,                -63206,                900493,              1865226,              2765719,              2765719,,                 13192,                 -8786,               -151045,
8429,2012年01月01日至2012年09月30日,,                827709,                827709,,,                 11493,,                  4427,                 -5296,,                    135,,,,                616787,                   -155,                 16431,                   -809,                632254,,               -149849,                -45606,               -195455,                436799,                447558,              1275267,                  5296,               -281454,                990312,,                              0,,                              0,                              0,,,             -1033886,,,             -1184931,                -80707,               -275326,              1865226,              1589900,              1589900,,                 10759,                 -8797,               -151045,
8429,2012年01月01日至2012年06月30日,,                538570,                538570,,,                  7764,,                  4419,                 -3728,,,,,,                589119,                    412,                 39948,                 -1691,                627878,,               -160280,                -84702,               -244982,                382896,                391351,                929921,                  3728,               -100018,                829283,,,,,,,,,,,               -151045,                -30849,                647389,              1865226,              2512615,              2512615,,                  8455,                 -4348,               -151045,                     90
8429,2012年01月01日至2012年03月31日,,                210827,                210827,,,                  4048,,                  5470,                 -1616,,,,,,                743830,                    412,                 12865,                 -2516,                754636,,               -158528,                -50538,               -209066,                545570,                553472,                764299,                  1616,                -73594,                692321,,,,,,,,,,,                -31160,                -60001,                601160,              1865226,              2466386,              2466386,,                  7902,,                -31160,                     45
