證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應付款－關係人增加（減少）,　　 其他金融資產減少,　　 存出保證金減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　　　　 應付建造合約款（增加）減少,　　 處分採用權益法之投資
8926,2015年01月01日至2015年09月30日,,                970642,                970642,,,                 99234,                  2553,                 35973,                 -4965,                 -8000,               -837302,                 -2140,                    230,                 -4726,                -12610,               -731753,,,                      9,                    322,                182039,                 10574,               -129960,                 26227,                  4794,                  3393,                 37176,                 -1643,                 31093,                164024,,                -16589,                     23,                 -1900,                  8965,                 12426,                -25652,                -38137,                -20355,                   -356,                -77950,               -159525,                  4499,               -727254,                243388,                  6415,              1101951,                -35686,                   -258,              1315810,,                 34579,                              0,                 -1127,                  4628,                -14812,                 -1353,                 21915,,               -351000,                675000,               -830000,                 -2040,               -942478,             -1450518,                  4384,               -108409,                986522,                878113,                878113,,,,,,,,,,
8926,2015年01月01日至2015年06月30日,,                618107,                618107,,,                 66227,                  1807,                 24348,                 -3199,,               -576023,                 -2140,                    230,                 -3093,                -12910,               -504753,,,                      9,                    705,                 54483,                -18161,                 22966,                 18108,                   -711,                  3190,                 65894,                  3581,                 20470,                170534,,                 -9089,                     11,                  3920,                   -623,                 13560,                 -9493,                -29851,                   -255,                 -2021,               -134769,               -168610,                  1924,               -502829,                115278,                  4333,,                -24102,                   -135,                 95374,,,                              0,                   -218,                  4628,                -14771,                 -1337,                 19299,,               -281000,                470000,               -380000,                  1920,,               -189080,                  2047,                -72360,                986522,                914162,                914162,                              0,                 30997,,,,,,,,
8926,2015年01月01日至2015年03月31日,,                225925,                225925,,,                 33181,                    883,                 12380,                 -1498,,               -234154,                 -2173,,                  1879,                 -6066,               -195568,,,                      9,                   -526,                 59806,                -43782,                 33627,                 21461,                   -711,                  2116,                 39427,                  4472,                 10107,                126006,,                -18009,                    -18,                  1926,                  9178,                 28875,                -20453,                -18388,                   -385,                 -3665,                -38249,                -59188,                 66818,               -128750,                 97175,                  2719,,                -12125,,                 87769,,,                              0,                    -23,                  4562,                -14745,                 -1321,                  3945,,                              0,                470000,               -310000,                  2920,,               -141080,                 -2299,                -51665,                986522,                934857,                934857,,                 15472,                              0,               -304000,,,,,,
8926,2014年度,,              1754294,              1754294,,,                132667,                  3517,                 41067,                 -8389,                 -7000,             -1284180,                      9,                              0,                 -7946,               -436502,,,,                     -9,                 -1091,                -61868,                -21451,                567164,                -20441,                 -2279,                  2213,                -13305,                 11406,                 38006,                498345,,                -25019,                    -41,                  2273,                   -720,                              0,                 28643,                -41824,                -29815,,               -290956,               -352275,                146070,             -1420687,                333607,                  7648,                944631,                -43273,                 -5435,              1237178,,,             -1649130,                -46824,                      1,,                 -1703,             -1674774,,                215635,              2260000,             -1359000,                  7283,               -706858,                417060,                  9454,                -11082,                997604,                986522,                986522,                              0,                 11172,                 11710,,,             -1566757,                  5184,,,
8926,2014年01月01日至2014年09月30日,,              1450490,              1450490,,,                 99311,                  2632,                 28581,                 -6237,                 -7000,               -990230,                      8,                              0,                 -7786,               -429941,             -1310662,,,                              0,                              0,               -118585,                -54282,                567400,                  5203,                 -2155,                  1456,                 46067,                 15891,                 28147,                489142,,                -38387,                     -7,                  3396,                 -1136,                  9213,                 34818,                -49821,                -32912,                  2390,               -319125,               -391571,                 97571,             -1213091,                237399,                  6463,                944631,                -30178,                 -5650,              1152665,,                  7816,             -1020630,                -46061,                      1,                 10670,                 -1703,             -1049907,,                 95635,              1540000,             -1159000,                  6431,               -706858,               -223792,                  8096,               -112938,                997604,                884666,                884666,,,,,,,,,,
8926,2014年01月01日至2014年06月30日,,              1019727,              1019727,,,                 65899,                  1747,                 18566,                 -4251,,               -616680,                      8,                              0,                  1826,               -395279,               -928164,,,                   -161,                              0,                -44983,                 -3614,                208600,                 -1211,                 -2000,                  1746,                 29642,                  1366,                 18530,                207915,,                -39181,                    -34,                  7738,                   -749,                              0,                 38820,                -39229,                -46901,                  2655,               -188944,               -265790,                -57875,               -986039,                 33688,                  3493,,                -19853,                 -5565,                 11763,,,               -880000,                -45602,                      1,                  5715,                 -1687,               -900137,,                285635,              1318000,               -842000,                  8889,,                770524,                 -1390,               -119240,                997604,                878364,                878364,                     35,                 21436,,,,,,,,
8926,2014年01月01日至2014年03月31日,,                615366,                615366,,,                 32850,                    836,                  8171,                 -2016,,               -230546,                      7,,                 -2004,               -382323,               -575025,,,                              0,                              0,                 97012,               -132809,                 53011,                  3025,                 -2000,                 -1210,                -14483,                 -8942,                  9150,                  2754,,                 18660,                    -64,                -10103,                   -990,                 61430,                 20180,                -28699,                -49147,                    948,               -243131,               -230916,               -228162,               -803187,               -187821,                  2054,,                 -7968,,               -193735,,,               -880000,                -36741,                      1,                              0,                 -1378,               -905503,,                295545,                915000,               -176000,                  5239,,              1039784,                  2284,                -57170,                997604,                940434,                940434,,                  6928,                  5687,                              0,,,,,,
8926,2013年度,,                794169,                794169,,,                132107,                  2795,                 30979,                 -8148,                 -9000,             -1070023,                     64,                 18846,                 -2328,                -13492,,,,                              0,                              0,                 39235,                108925,               -148453,                 19181,                 -2839,                    320,                 84846,                -12487,                 34403,                123131,,               -129030,                     64,                 -1618,                 -1630,               -146620,                 -6575,                -33344,                 26145,,                103676,               -194261,                -71130,               -989330,               -195161,                  7511,                824611,                -38135,                 -6702,                592124,,,                -38253,                 -7447,                     44,,                 -5409,                -30749,,                   -635,                806000,               -886000,                 -2100,               -706858,               -789593,                 -2284,               -230502,              1228106,                997604,                997604,                    -77,                 18882,                  1434,,,               -918200,                 -5252,,,
8926,2013年01月01日至2013年12月31日,,                794169,                794169,,,                132107,                  2795,                 30979,                 -8148,                 -9000,             -1070023,                     64,                 18846,                 -2328,                -13492,,,,,                              0,                 39235,                108925,               -148453,                 19181,                 -2839,                    320,                 84846,                -12487,                 34403,                123131,,               -129030,                     64,                 -1618,                 -1630,,                 -6575,                -33344,                 26145,,                103676,               -194261,                -71130,               -989330,               -195161,                  7511,                824611,                -38135,                 -6702,                592124,,,                -38253,                 -7447,                     44,                  1434,                 -5409,                -30749,,                   -635,                806000,               -886000,                 -2100,               -706858,               -789593,                 -2284,               -230502,              1228106,                997604,                997604,                    -77,                 18882,,,,               -918200,                 -5252,,               -146620,                              0
8926,2013年01月01日至2013年09月30日,,                489648,                489648,,,                 99122,                  1968,                 23334,                 -6119,                 -9000,               -819992,                     -2,                 18846,                  5440,                   -333,,,,,,                 90940,                112000,               -330524,                 15258,                -18474,                  1802,                 63019,                -28511,                 25478,                -69012,,               -141139,                    148,                 13667,                 12811,               -143439,                 -8379,                -26789,                -24175,,                 92779,               -231938,               -300950,               -987686,               -498038,                  5896,                737606,                -28867,                 -4314,                212283,,,                -38253,                 -6763,                     38,,                 -5409,                -59954,,                154750,                190000,               -170000,                  2480,               -706858,               -529628,                 -9648,               -386947,              1228106,                841159,                841159,                    -77,,                  1964,,,               -686736,                 -7345,                -11531,,
