證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 金融資產重分類淨損失（利益）,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得投資性不動產,　　 存入保證金增加,　　 預付設備款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他應付款－關係人增加
9906,2015年01月01日至2015年09月30日,,                 34093,                 34093,,,                  2184,                    860,                  8830,                   -154,                              0,                 11720,,,                -11110,                     49,                129413,               -129603,                  2222,                  9823,                    794,,                  4627,                 23686,                 24597,                 46544,               -268959,                -29999,                   -956,               -200460,               -199666,               -187946,               -153853,                    154,                              0,                -51753,                              0,                 -1207,               -206659,,                   -931,                              0,                              0,                177246,                              0,                   -548,                179220,                354987,,                              0,               -589606,                976746,               -461354,                    -60,                              0,                     84,                -74190,                              0,                 74138,                111428,                185566,                185566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年度,,                -55204,                -55204,,,                  2950,                    828,                  6058,                   -298,                 -2270,,,,                  1552,                 31985,                              0,               -749552,                  3720,                -35396,               -747691,,                -14432,                -40618,                -24242,                 33976,                119506,                 20828,                 -4281,                 90737,               -656954,               -649686,               -704890,                    298,,                -59516,,                -21498,               -785606,,                 -5279,                 88398,                 25775,,                              0,                 -1778,                  2623,                105201,,                218641,,                660290,               -351820,,,,                527159,                              0,               -153246,                264674,                111428,                111428,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                  7268,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 -4538,                     48,,,
9906,2014年01月01日至2014年09月30日,,                -40185,                -40185,,,                  2243,                    610,                  4269,                   -171,                 -2270,                  4681,,,                  1612,                              0,                 -7032,               -552184,                    436,                -26263,               -583431,,                -16065,                -19193,                -16939,                -16698,                              0,                  4732,                -11541,                -75704,               -659135,               -654454,               -694639,                    171,                              0,                 -2562,                              0,                -14155,               -711185,,                 -5193,                 88398,                -10358,                              0,                 30808,                 -1523,                 -8545,                 93587,,                233200,                              0,                454660,               -254000,                              0,                 84710,                              0,                518570,                              0,                -99028,                264674,                165646,                165646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年01月01日至2014年06月30日,,                -25136,                -25136,,,                  1475,                    354,                  2164,                   -171,,,,,                 -9362,                   -602,                              0,               -366952,                   -808,                -15300,               -429373,,                -15857,                -30363,                 16711,                -13458,                              0,                 -3277,                -12928,                -59131,               -488504,               -484682,               -509818,                    171,,                   -409,,                -14146,               -524202,,                   -721,,             -1123184,              1197173,                 30792,                   -319,,                102082,,                168400,                              0,                304000,               -200049,,                 86386,,                358737,                              0,                -63383,                264674,                201291,                201291,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,                  3822,,,,,,,,,                -36349,,,,,                     41,,,,,,,,                              0,,,,,                 -1659,                              0,
9906,2014年01月01日至2014年03月31日,,                -11412,                -11412,,,                    732,                    175,                  2545,                              0,                              0,,,,                  1575,                 -2599,,               -142833,                  2835,                 -9925,               -153182,,                -22373,                -26514,                  1061,                -15041,,                 -6905,                    214,                -69558,               -222740,               -219288,               -230700,                              0,,                 -6818,,,               -237518,,                   -231,,                   -122,,                 31940,                              0,,                 30963,,                100000,                              0,                262000,               -199261,,,,                177830,                              0,                -28725,                264674,                235949,                235949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  3452,,,,,,,,,                 -2235,,,,,,,,,,,,,                              0,,,,,                   -624,,                 15091
9906,2013年度,,                 24108,                 24108,,,                  2790,                    729,                  7147,                   -548,                              0,,,,                 10285,                    -97,                              0,             -1169301,                 -1779,                 15921,             -1144971,,                 14260,                136382,                 28804,                 46717,                158222,               -199814,                 11564,                196135,               -948836,               -942988,               -918880,                    548,,                -26306,,                    -29,               -944667,,                   -693,                              0,               -307051,,               -162699,                   -152,               -181843,               -497615,,                495000,,                935000,               -351820,,,,              1078180,                  6869,               -357233,                621907,                264674,                264674,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 -4270,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                  5848,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 10610,               -250000,                394213,                              0,                              0,,,
9906,2013年01月01日至2013年12月31日,,                 24108,                 24108,,,                  2790,                    729,                  7147,                   -548,                              0,,,,                 10285,                    -97,,             -1169301,                 -1779,                 15921,             -1326814,,                 14260,                136382,                 28804,                 46717,                 24337,               -199814,                 11564,                 62250,             -1264564,             -1258716,             -1234608,                    548,,                -26306,,                    -29,             -1260395,,                   -693,,               -307051,,               -162699,                   -152,,               -315772,,                495000,,                935000,               -351820,,                133885,,              1212065,                  6869,               -357233,                621907,                264674,                264674,                              0,,                              0,,,,,,,,,,,,,                 -4270,,,,,                              0,,,,,,,,                  5848,,,,,                              0,,,,               -181843,,,,,,,,,,,,,                 10610,               -250000,                394213,,                              0,,,
9906,2013年01月01日至2013年09月30日,,                 -7394,                 -7394,,,                  2066,                    577,                 16585,                   -368,                              0,,,,                -46943,                393746,               -249055,             -1619670,                 31632,                -52740,             -1717170,,                  9278,                236422,                 32943,                  3660,                -26492,                  3998,                 16328,                276137,             -1441033,             -1426443,             -1433837,                    368,,                -13299,,                    -39,             -1446807,,                              0,                              0,               -479189,                172427,                              0,                    -20,,               -296172,,                              0,                -55000,              1060500,               -218660,,                480810,,              1267650,                  6869,               -468460,                621907,                153447,                153447,,,,,,,,,,,,,,,,                 -4270,,,,,,,,,,,,,                 14590,,,,,,,,,               -174140,,,,,,,,,,,,,                 10610,,,,,,,
9906,2013年01月01日至2013年06月30日,,                -11088,                -11088,,,                  1378,                    409,                    509,                   -368,,,,,                  3449,                394134,                -38459,               -292226,                 -9925,               -236213,               -230100,,                 -2742,                 18548,                 -7860,                 24110,               -188160,                 64422,                 15328,                -76354,               -306454,               -308796,               -319884,                    368,,                   -582,,                              0,               -320098,,                              0,,               -249186,                161794,                              0,                    -20,,                -76802,,                              0,                -55000,                104500,                              0,,                              0,,                 49500,                 -4418,               -351818,                621907,                270089,                270089,,,,,,,,,,,,,,,,                 -4270,,,,,,,,,,,,,                 -2342,,,,,,,,,                -50860,,,,,                              0,,,,,,,,                 10610,,,,,                              0,                              0,
9906,2013年01月01日至2013年03月31日,,                    906,                    906,,,                    689,                    210,                    212,                    -16,                 -4270,,,,                  5497,                400553,,                -83754,                -33497,                 -3003,                285796,,                 -6264,                 10427,                 -3307,                   -335,,                 39522,                 -1209,                 38834,                324630,                321455,                322361,                     16,,                 -3721,,,                318656,,                              0,,               -149500,,                              0,                    -20,,               -138910,,                              0,                -55000,                 55000,                              0,,,,               -250000,                -11111,                -81365,                621907,                540542,                540542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 -3175,,,,,,,,,                              0,,,,,,,,,,,,,                 10610,,,,,                              0,,               -250000
