證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票處分,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損迴轉利益,　　 預付設備款減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存出保證金減少,　　 其他預付款項增加,　　 非控制權益變動
9917,2015年01月01日至2015年09月30日,,              1965412,              1965412,,,                753758,                 83698,                  8586,                     50,                 19656,               -214094,                -26671,                 24989,                -14500,                 -1013,                 38710,                673169,,,                427351,                 36571,               -146472,                 28455,                  1408,                147026,               -143432,                -27916,                322991,,               -131735,                -57183,                  6430,             -1114939,                   -763,                 79199,                -28338,                 -3416,             -1250745,               -927754,               -254585,              1710827,                214092,                -19491,               -496146,              1409282,,               -176545,                519381,                 11790,                              0,                              0,                              0,                  1724,                 10549,               -219182,                              0,                -15209,             -1019774,                 50985,                 -6948,                -51149,                   -390,                114735,                -35108,                104288,               -710853,,              1020418,                 45036,                              0,                -42376,                 31461,                 -2805,             -1804788,                 26816,                -75133,               -801371,                  1239,               -101703,              3942981,              3841278,              3841278,                              0,,,,,,,,,,,
9917,2015年01月01日至2015年06月30日,,              1305037,              1305037,,,                496319,                 62221,                  6125,,                 13033,               -211220,                 -7000,                  7197,                -14076,                   -972,                 38710,                390226,,,                427392,                 14827,                -82552,                 33096,                 11458,                147604,               -250360,                 21376,                322841,,                -88936,               -134185,                  3954,             -1065335,                   -165,                 91218,                -14687,                  5941,             -1202195,               -879354,               -489128,                815909,                211220,                -12968,               -300329,                713832,,               -176545,                519340,                 11790,,,                              0,                  1724,                 10549,               -150049,,,               -577932,                 49663,                  2072,                -43817,                   -390,                 20222,,                  7000,               -332221,,                360961,                 25026,,                -23330,                 20269,                   -231,,                 26816,                              0,                409511,                 -3213,                787909,              3942981,              4730890,              4730890,,                   -111,                 -5848,,,,,,,,,
9917,2015年01月01日至2015年03月31日,,                637139,                637139,,,                244859,                 21171,                  1784,                              0,                  6558,                 -1398,                              0,                 -6797,                 -7176,                -64298,                 36515,                230795,,,,                 -7936,                 28606,                -16368,                  4360,                 53979,               -148113,                -34696,               -120168,,                -29176,               -100455,                 -3952,             -1091963,                              0,                119006,                -12960,                  4140,             -1115360,             -1235528,             -1004733,               -367594,                  1398,                 -6228,                 -1549,               -373973,,                -65000,                137298,,,,                              0,                              0,,                              0,,,               -291835,                 11860,                  7380,,                              0,                 33046,,                              0,               -183938,,                727858,                 -4969,,                -23749,                  9675,                 -3379,,,,                705436,                 -3978,                143547,              3942981,              4086528,              4086528,,                   -423,                  9551,                -26238,,,,,,,,
9917,2014年度,,              2564453,              2564453,,,                918940,                 93460,                 10142,,                 25866,                -16567,                -24910,               -137070,                  4204,                -12105,                 16667,,,,                 -4169,                 16668,                -55843,                -64106,                -14910,                -70341,                -85343,                716364,                438320,,                145783,                115181,                -11633,                622002,                   -990,                 25230,                 83851,,              1019785,              1458105,              2333364,              4897817,                 16597,                -25377,               -424030,              4465007,,               -283000,                353542,,,                              0,                 -2000,                  3058,,               -125223,                              0,,             -1368538,                 36531,                              0,,                 -8896,                -59702,                  8916,                 33235,             -1478001,,               -483152,                  4991,                 26779,,                 28452,                  6181,             -1555852,,,             -1942740,                 -2921,              1041345,              2901636,              3942981,              3942981,,                 -3368,,                -40303,,                875259,                 40361,                              0,                              0,                -25621,                              0,                 29861
9917,2014年01月01日至2014年09月30日,,              1891539,              1891539,,,                679960,                 71308,                  2879,                 -1830,                 18951,                -11671,                -24157,                -84070,                  5112,                 -7799,                  9917,                658600,,,                -34392,                 10135,               -129982,                -51485,                -21873,                -88796,                -97014,                695243,                281836,,                 89254,                 41314,                 -6033,               -496479,                   -843,                113067,                 64644,                 41721,               -153355,                128481,                787081,              2678620,                 11701,                -18495,               -424741,              2247085,,               -180000,                272884,                              0,                              0,                              0,                 -2000,                  3058,                              0,               -125223,                              0,                              0,               -898364,                 33785,                 23556,                -45743,                 -8896,                  7500,                -12939,                 32483,               -899899,,               -467934,                     12,                              0,                              0,                 29263,                  4704,                -42634,                              0,                 24886,               -451703,                 -5003,                890480,              2901636,              3792116,              3792116,                              0,,,,,,,,,,,
9917,2014年01月01日至2014年06月30日,,              1230650,              1230650,,,                450954,                 49260,                  1916,,                 12521,                 -8300,                 -6569,                -44081,                   -260,                 -7272,                  3917,                450928,,,                -54583,                 19357,                -55633,                -52937,                -28611,               -136570,                -26341,                645471,                310153,,                 44437,                -22861,                 -8067,               -258814,                   -246,                 79039,                 72042,                 28694,                -65776,                244377,                695305,              1925955,                  8330,                -11893,               -219878,              1702514,,               -150000,                 79808,                              0,,,                 -2000,                  3058,                              0,               -125223,,,               -542846,                  2234,                  8460,                -34648,                   -551,                 33053,,                  6569,               -716523,,               -142740,                     -5,,                              0,                 17425,                    749,,                              0,                              0,               -124571,                 -3780,                857640,              2901636,              3759276,              3759276,,                 -1158,                  5563,,,,,,,,,
9917,2014年01月01日至2014年03月31日,,                604284,                604284,,,                223897,                 25201,                  1063,                -54985,                  6334,                 -3609,                 -4719,                -16068,                    -90,                   -416,                  3917,                179694,,,,                  5112,                 17294,                 -5097,                  2466,                -93455,                -30384,                676160,                572096,,                 53409,                  3674,                -14457,               -514506,                              0,                 83388,                 66319,                 20860,               -301313,                270783,                450477,              1054761,                  3639,                 -6000,                 -4312,              1048088,,                -40000,                 64218,,,,                 -2000,                  3058,,                -40000,,,               -283356,                    912,                 11964,,                   -551,                 -9671,,                  4719,               -298299,,               -127808,                 30010,,                              0,                  5166,                  3127,,,,                -89505,                    588,                660872,              2901636,              3562508,              3562508,,                   -831,                 10326,                -17918,,,,,,,,
9917,2013年度,,              2415787,              2415787,,,                894275,                111967,                  3320,,                 21547,                -20022,                -21731,               -125439,                 -3835,                 -6900,                125374,,,,                -20447,                -20695,                -29211,                 10802,                -48627,                -60418,                -66147,               -794752,             -1029495,,                -85804,                 22948,                 10780,               -714842,                   -294,                 19047,                 24182,,               -679663,             -1709158,               -733140,              1682647,                 20107,                -21667,               -414761,              1266326,,               -289299,                360978,,,                 20000,                -12000,                  2602,,               -303524,                              0,,             -1407893,                  9565,                              0,,                -22046,                -65249,               -791494,                 62442,             -2478076,,              1603393,                 39973,                              0,,                 17503,                  6026,             -1511399,,,                206796,                 14537,               -990417,              3892053,              2901636,              2901636,,                 -2538,,                    370,,                976018,                 44320,                              0,                  3000,                -45528,                              0,                 51300
9917,2013年01月01日至2013年12月31日,,              2415787,              2415787,,,                894275,                111967,                  3320,,                 21547,                -20022,                -21731,               -125439,                 -3835,                 -6900,                125374,,,,                -20447,                -20695,                -29211,                 10802,                -48627,                -60418,                -66147,               -794752,             -1029495,,                -85804,                 22948,                 10780,               -714842,                   -294,                 19047,                 24182,,               -679663,             -1709158,               -733140,              1682647,                 20107,                -21667,               -414761,              1266326,,               -289299,                360978,,,                 20000,                -12000,                  2602,,               -303524,                              0,,             -1407893,                  9565,                              0,,                -22046,                -65249,               -791494,                 62442,             -2478076,,              1603393,                 39973,                              0,,                 17503,                  6026,             -1511399,,,                206796,                 14537,               -990417,              3892053,              2901636,              2901636,,                 -2538,,                    370,,                976018,                 44320,                              0,                  3000,                -45528,                              0,                 51300
9917,2013年01月01日至2013年09月30日,,              1796336,              1796336,,,                673173,                 79158,                  4087,               -108903,                 15134,                -15237,                -17910,                -22381,                 -2252,                 -6900,                 26452,,,,,                    847,                -12240,                  8821,                -25694,                -79481,                -68911,               -109617,               -286275,,                -58896,                -52009,                    421,             -1210957,                   -294,                 63830,                  9649,,             -1209364,             -1495639,               -872578,                923758,                 15318,                -15214,               -423628,                500234,,               -196652,                358564,,,                 20000,                -12000,                              0,,               -261197,                              0,,               -873105,                  7282,                -33657,,               -304829,                 19726,                -20217,                 58643,             -1289523,,              1077187,                 69998,                              0,,                 19809,                 -6839,             -1511399,,                 51300,               -299944,                  4146,             -1085087,              3892053,              2806966,              2806966,,                 -1360,,                -52081,,                623061,                 38892,                              0,,,,
