證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金增加,　　 取得投資性不動產,　　 償還公司債,　　 舉借長期借款,　　 庫藏股票買回成本,　　 取得採用權益法之投資,　　 其他籌資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
9934,2015年01月01日至2015年09月30日,,                635155,                635155,,,                222842,                 71872,                 10276,                  3334,                 68274,                -26108,                  1062,                  3536,               -272424,                 82664,,,                 -6582,                -31113,                -11265,                221646,               -115349,                -40166,                 16902,                 34073,,                 11516,                 32786,               -153093,                -42986,                  5026,                 -7297,                -14698,               -168746,               -134673,                -52009,                583146,                 26108,                -65521,               -685410,               -141677,,                              0,              1007918,                              0,                 17637,               -397175,                 15894,                 17945,                -26133,                636086,,                              0,               -275997,               -135110,               -177152,                              0,                              0,               -588259,                177500,                 83650,              2570387,              2654037,              2654037,,,,,,,,,,,,,,,,
9934,2015年01月01日至2015年06月30日,,                420490,                420490,,,                148248,                 47315,                  5630,                -24057,                 46512,                -17122,                    697,                     46,               -299507,                -60546,,,                 11649,                 -4377,                 92458,                280443,               -106110,                 67279,               -138364,                202978,,                 -9034,                 22670,                -74271,               -116627,                  1208,                 -7871,                 -3770,               -187695,                 15283,                -45263,                375227,                 17122,                -45300,               -593350,               -246301,,,                992470,,,               -111374,                  9732,                 19119,                   -510,                909437,,               -276573,,                -75110,,                              0,                              0,               -351683,                -99918,                211535,              2570387,              2781922,              2781922,                 31692,,,,,,,,,,,,,,,
9934,2015年01月01日至2015年03月31日,,                153428,                153428,,,                 75636,                 24497,                  3401,                -23918,                 23577,                 -8128,                    171,                    943,               -168991,                -72812,,,                 11892,                 -2892,                192785,                132606,               -130265,                143902,                -53807,                294221,,                -10000,                 13910,               -418817,                -64982,                  1745,                 -8542,                 -1768,               -488454,               -194233,               -267045,               -113617,                  8128,                -22901,               -353107,               -481497,,,                760405,,,                -70654,                  2188,                 18379,                   -518,                709800,,                              0,               -113916,                -75110,,                              0,                              0,               -189026,                -47503,                 -8226,              2570387,              2562161,              2562161,,,,,,,,,,,,,,,,
9934,2014年度,,                302600,                302600,,,                304882,                101416,                -20840,                 18997,                 94518,                -34470,                 21786,                 14741,                 75777,,,,                 -9457,                 28821,                -67843,               -483499,                 50973,                -86331,                -81142,               -648478,,                 10938,                -11444,                   -539,               -385405,                -64314,,                 -2391,               -462190,             -1110668,               -531820,               -229220,                 34470,                -82019,                -91718,               -368487,,,                446096,                -49780,                              0,               -310990,                 21378,                              0,                 -7172,                 82672,,                863959,,                              0,                -82396,                  4651,                 -2142,                231247,                186759,                132191,              2438196,              2570387,              2570387,,,                    321,                  1720,                              0,                578848,                 -9035,                              0,                -16860,                              0,               -750310,                197485,                              0,,,
9934,2014年01月01日至2014年09月30日,,                277014,                277014,,,                227960,                 75876,                 -8803,                 -4361,                 63665,                -25863,                 12923,                              0,                              0,                341397,,,                    -82,                 16988,                 72201,               -110862,                -83757,               -220823,                -20948,               -347283,,                    985,                  4111,               -338669,               -266777,                 11887,                -10247,                 -3392,               -602102,               -949385,               -607988,               -330974,                 25863,                -52636,                -48356,               -406103,,               -500000,                              0,                -49780,                              0,               -270065,                 26929,                 10370,                 -4172,               -786718,,                815517,                              0,                -69839,                              0,                  4651,                   -500,                749829,                 34782,               -408210,              2438196,              2029986,              2029986,,,,,,,,,,,,,,,,
9934,2014年01月01日至2014年06月30日,,                186834,                186834,,,                152836,                 50646,                 11878,                  8273,                 41804,                -16866,                 12747,                              0,                              0,                261318,,,                  7769,                 21499,                    706,               -165189,                -91361,               -245295,                 16603,               -455268,,                 -1680,                 -4181,                133620,               -382875,                 22745,                 -5107,                 -3861,               -241339,               -696607,               -435289,               -248455,                 16866,                -34412,                -38562,               -304563,,,                              0,,,               -233727,                 15302,                 11340,                 -4102,               -211187,,                218475,,                -25248,,                  4651,                   -500,                197378,                -16055,               -334427,              2438196,              2103769,              2103769,                              0,,,,,,,,,,,,,,,
9934,2014年01月01日至2014年03月31日,,                 36539,                 36539,,,                 77522,                 25216,                  4025,                 25469,                 21968,                 -8100,                 12775,                              0,                              0,                158875,,,                  7770,                 28955,               -143487,                 95513,                -79932,               -216114,                 -3582,               -310877,,                 -1680,                -19373,               -127024,               -299383,                 38909,                 -2409,                 -1595,               -412555,               -723432,               -564557,               -528018,                  8100,                -17994,                -27094,               -565006,,,                              0,,,               -163012,                  3523,                  3212,                 -1952,               -158229,,                314135,                              0,                -13505,,                  3403,                   -500,                303533,                 46560,               -373142,              2438196,              2065054,              2065054,,,,,,,,,,,,,,,,
9934,2013年度,,              2054696,              2054696,,,                312175,                100404,                 24950,                -10024,                 92919,                -38714,                  6736,                  2562,             -2022221,,,,                 30616,                 -9022,               -712136,                180200,                  2372,                -34085,                -32349,               -574404,,                 -4671,                 10939,                435536,                -14577,                 45498,,                    -54,                460932,               -113472,             -1645385,                409311,                 38714,                -72370,                -44688,                330967,,,                              0,                              0,                  4985,               -227999,                 31717,                  1911,                -18757,               -189844,,                424079,,               -238308,                              0,                 28677,               -496693,               -439304,                217501,                -80680,              2518876,              2438196,              2438196,,,                -10000,                              0,                  9300,             -1531913,                -11739,                 24169,                              0,                 -5870,                              0,                              0,               -157059,,,
9934,2013年01月01日至2013年12月31日,,              2054696,              2054696,,,                312175,                100404,                 24950,                -10024,                 92919,                -38714,                  6736,                  2562,             -2022221,,,,                 30616,                 -9022,               -712136,                180200,                  2372,                -34085,                -32349,               -574404,,                 -4671,                 10939,                435536,                -14577,                 45498,,                    -54,                460932,               -113472,             -1645385,                409311,                 38714,                -72370,                -44688,                330967,,,,,                  4985,               -227999,                 31717,                              0,                -18757,               -189844,,                424079,,               -238308,                              0,                 28677,               -496693,               -439304,                217501,                -80680,              2518876,              2438196,              2438196,,,                -10000,                              0,                  9300,             -1531913,                -11739,                 24169,                  1911,                 -5870,                              0,,               -157059,                              0,,
9934,2013年01月01日至2013年09月30日,,                137793,                137793,,,                232777,                 74293,                 21534,                 -3618,                 71952,                -28528,                  4245,                  2462,                    715,,,,                    476,                 17839,               -500335,                322328,                -25508,                 43686,                 -4244,               -145758,,                 -3769,                  1383,                123054,                -12935,                  8186,,                   -193,                104414,                -41344,                333788,                471581,                 28528,                -55733,                -48797,                395579,,                              0,,                              0,                  4985,               -173431,                 33074,                              0,                 -2390,               -121089,,                131780,,               -218413,,                  6413,                              0,               -237279,                181958,                219169,              2518876,              2738045,              2738045,,,                -10000,,                  9300,                375132,                -11312,                 23709,                 -1277,                 -5759,,,               -157059,,,
