證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　 存出保證金增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 取得無活絡市場之債券投資,　　 庫藏股票買回成本,　　 取得子公司股權,　　　　 非金融資產減損迴轉利益,　　 應付短期票券增加
9938,2015年01月01日至2015年09月30日,,              1455133,              1455133,,,                380815,                  8869,                    720,                 40161,                -69413,                 -1146,                  3842,                -15398,                 37427,                 -7723,                 -3043,                375111,,,                 12774,                -17301,                 50107,               -195636,                -85104,               -235160,,                 14346,                -39816,                  2164,                    142,                -19397,                 10043,                -32518,               -267678,                107433,              1562566,                 69413,                -39471,               -375029,              1217479,,               -295830,                              0,                 53229,               -401255,                  3165,                  7814,                -97622,                 -9285,               -750595,                -94245,             -1584624,,              1080415,                630689,               -403141,                  2018,               -595928,               -127391,                586662,                 25257,                244774,              3561072,              3805846,              3805846,,,,,,,,,,,,
9938,2015年01月01日至2015年06月30日,,                947392,                947392,,,                252741,                  5866,                  1413,                 25531,                -46707,                 -1045,                  3948,                -15398,                 35216,                  3626,                 -1555,                263636,,,                 10971,                -63470,                 -3368,               -266803,                -79485,               -402155,,                 -5234,                -34102,                -18633,                 -1093,                -14175,                  4615,                -68622,               -470777,               -207141,                740251,                 46707,                -26036,               -256515,                504407,,,                              0,                 53229,               -313711,                  1432,                  7709,                -91176,                -21471,               -286781,                -93424,               -744193,,                225061,                250459,               -303114,,,                              0,                174545,                -40139,               -105380,              3561072,              3455692,              3455692,                  2139,,,,,,,,,,,
9938,2015年01月01日至2015年03月31日,,                416993,                416993,,,                124272,                  2716,                  7000,                 13079,                -23097,                    430,                    172,                -15398,                 28846,                    -18,                 -1141,                136861,,,                 26732,                 67244,                 23482,               -125110,                -45672,                -53324,,                -12478,                 29695,               -151003,                 -1754,                 15121,                  2070,               -118349,               -171673,                -34812,                382181,                 23097,                -13398,                -52220,                339660,,,                              0,                 53229,               -178157,                     28,,                -14531,                 -8987,                -21894,,               -162811,,,,                -99771,                  2196,,                              0,               -127674,                -30885,                 18290,              3561072,              3579362,              3579362,,                  7501,                -30099,,,,,,,,,
9938,2014年度,,              1566424,              1566424,,,                543446,                 13704,                 22382,                 47712,                -68589,                   -528,                  5148,,                 29078,                 -9180,                 -3021,,,,                 23486,                -77407,                -53088,                117905,                -29731,                -18835,,                 20037,                -20785,                 84350,                  3180,                -27091,,                 63925,                 45090,                625242,              2191666,                 68589,                -45851,               -210991,              2003413,,,,,               -274899,                 12243,                  5461,                -13091,                 38978,               -342194,                -14658,               -568068,,,                993528,             -1350000,                 -1637,               -446946,                593243,                 10471,                 50870,              1496686,              2064386,              3561072,              3561072,,,                222283,,                580152,                  4234,                 20092,,,,,
9938,2014年01月01日至2014年09月30日,,              1108079,              1108079,,,                421849,                  8857,                  8704,                 35526,                -46668,                 -1029,                 -3098,                              0,                  6808,                 -2840,                 -5285,                422824,,,                 39406,                -22720,                -15709,                 -1454,                -32937,                -33414,,                 22079,                 20891,                 -6736,                    659,                -20760,                  8742,                 24875,                 -8539,                414285,              1522364,                 42847,                -38157,               -202441,              1324613,,                              0,                 20092,                              0,               -212333,                  9107,                  4485,                -10096,                 11385,               -286399,                              0,               -463759,,                 95111,                591515,               -850000,                              0,               -446946,                593243,                -17077,                  8412,                852189,              2064386,              2916575,              2916575,,,,,,,,,,,,
9938,2014年01月01日至2014年06月30日,,                773419,                773419,,,                282650,                  5777,                  1867,                 24237,                -27823,                    -37,                    932,                              0,                 16359,                  1611,                 -1549,                304024,,,                -13494,                  6938,                 -9461,                -48067,                -12520,                -76604,,                 20791,                -91981,                -75881,                    891,                -46781,                  5844,               -187117,               -263721,                 40303,                813722,                 26296,                -22364,               -137277,                680377,,,                 20092,                              0,               -101169,                  1932,                -12736,                 -4790,                  1560,               -205987,                              0,               -301098,,                 56321,                 50459,               -700000,,,                701327,                108107,                -26197,                461189,              2064386,              2525575,              2525575,                              0,,,,,,,,,,,
9938,2014年01月01日至2014年03月31日,,                336094,                336094,,,                145090,                  2977,                  5489,                 12361,                -11283,                     39,                    -65,                              0,                 12543,                 -1986,                   -743,                164422,,,                 19279,                -49392,                 -3318,                  3633,                -32197,                -61995,,                     79,                 86717,               -146241,                 -1352,                -37960,                  4395,                -94362,               -156357,                  8065,                344159,                 11283,                -13151,                -34819,                307472,,,                 20092,                              0,                -60304,                    454,,                   -265,                  9102,                -74225,,               -108154,,,,                -99771,                    -29,,                824684,                817068,                 -4808,              1011578,              2064386,              3075964,              3075964,,                 -3008,                 92184,,,,,,,,,
9938,2013年度,,              1124416,              1124416,,,                530679,                 12275,                 10580,                 46519,                -48652,                   -542,                 11546,,                 62821,                  1293,                 -2945,,,,                 26617,                -72374,                -27035,               -149937,                 43942,               -178787,,                -35117,                -49111,                104270,                  1816,                 49936,,                 80294,                -98493,                525081,              1649497,                 48652,                -45178,               -189672,              1463299,,,,,               -448061,                 53954,                 -1011,             -1033039,                 -1021,               -377626,                -31901,             -1688413,,,                550918,               -157496,                     94,               -297964,                -47119,                -32810,                 95226,               -162698,              2227084,              2064386,              2064386,,,                -81243,,                623574,                  8500,                150292,,,,,
9938,2013年01月01日至2013年12月31日,,              1124416,              1124416,,,                530679,                 12275,                 10580,                 46519,                -48652,                   -542,                 11546,,                 62821,                  1293,                 -2945,,,,                 26617,                -72374,                -27035,               -149937,                 43942,               -178787,,                -35117,                -49111,                104270,                  1816,                 49936,,                 80294,                -98493,                525081,              1649497,                 48652,                -45178,               -189672,              1463299,,,,,               -448061,                 53954,                 -1011,             -1033039,                 -1021,               -377626,                -31901,             -1688413,,,                550918,               -157496,                     94,               -297964,                -36804,                -32810,                 95226,               -162698,              2227084,              2064386,              2064386,,,                -81243,,                623574,                  8500,                150292,                              0,                              0,                -10315,,
9938,2013年01月01日至2013年09月30日,,                812480,                812480,,,                399752,                 13770,                 13219,                 33420,                -39370,                    203,                  9831,,                  6189,                   -261,                 -2225,,,,                 34942,                -22233,                 -6928,               -173821,                 17756,               -150284,,                -30237,                -35688,                 18650,                    179,                 66140,,                 25486,               -124798,                309730,              1122210,                 39370,                -36489,               -175445,                949646,,,,,               -377743,                 28500,                 -5716,               -529509,                    -97,               -199916,                -16817,               -998547,,,                150689,                -57512,,               -297964,                -47119,                -33979,                 14453,                -68427,              2227084,              2158657,              2158657,,,                217927,,                434528,                  6442,                162384,                -59633,,,,
9938,2013年01月01日至2013年06月30日,,                579500,                579500,,,                271930,                  9990,                  8352,                 21574,                -26387,                    281,                  9695,,                  2889,                 -1861,                 -1476,,,,                 -5185,                  6116,                -77915,                -75208,                 14828,               -137364,,                 11111,               -141938,                -21429,                    924,                 64466,,                -81930,               -219294,                 75693,                655193,                 26387,                -23856,                -86494,                571230,,,,,               -294702,                 25839,                    704,               -527686,                  1126,               -108530,                -16794,               -757659,,,                150459,                -57501,,,                -10315,                 18350,                 44565,               -123514,              2227084,              2103570,              2103570,,,                -64293,,                294987,                  4936,                162384,,,,,
9938,2013年01月01日至2013年03月31日,,                201397,                201397,,,                147680,                  4421,                  5747,                 11297,                -14735,                    893,                    530,,                   -606,                 -2279,                   -760,,,,                 38133,                162280,                 -4385,                -70731,                -40941,                 84356,,                -16804,                -35770,               -116211,                   -247,                 15218,,               -151048,                -66692,                 85496,                286893,                 14735,                -10567,                -29214,                261847,,,,,               -155176,                 13301,,                              0,                  1055,                -17183,                 -1908,               -199857,,,                100229,                -53719,                      8,,                -10315,                 -2485,                 32293,                 91798,              2227084,              2318882,              2318882,,               -197084,                -38688,,                152188,                  2766,                157138,,,,,
9938,2012年01月01日至2012年12月31日,,                727134,                727134,,,                568307,                 17490,                   -307,                 52693,                -69934,                   -243,                 19520,,                 37227,                    101,                 -2898,,,,                -34516,                 55328,                 -9327,                 65833,                -41311,                 36007,,                 27577,                 92222,                -27545,                 -5367,                 20066,,                112304,                148311,                770267,              1497401,                 69934,                -55043,                -94423,              1417869,,,,,               -713041,                 55066,                    203,                              0,                  7470,               -183033,                              0,               -910615,,,                300918,               -308324,                  3009,                -83541,                -14090,               -732848,                -83863,               -309457,              2536541,              2227084,              2227084,,,               -334248,,                621956,                  5351,                              0,                -77280,               -275901,                -20671,,
