公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分其他資產損失（利益）,　　 其他投資活動,　　 存入保證金減少,　　　　　 應收票據（增加）減少,　　 存出保證金增加,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　 預付設備款減少,　　　　 呆帳費用提列（轉列收入）數,　　 其他非流動資產減少,　　　　　 其他應收款（增加）減少
1213,2016年01月01日至2016年09月30日,,23295,23295,,,7855,5741.0,122,-2898,,,,,,-92882,18125,-1441,-76397,,15298,14744,1343,-9685,275,21975,-54422,-43600,-20305,2918,-5891,-23400,,-2362,,263.0,0,-2791.0,-50442.0,-55332,,30000.0,,-122,29909,63,-48760,261704,212944,212944,2.0,,-91.0,-254.0,,,,10822.0,55.0,,,0.0,
1213,2016年01月01日至2016年06月30日,,14983,14983,,,5192,3799.0,72,-2043,,,,,,-26396,12178,-1524,-15727,,-1320,6840,162,-11236,324,-5230,-20957,-13952,1031,2053,-3808,-796,,-1788,,,0,-2519.0,-24765.0,-28809,,5000.0,0.0,-72,4938,30,-24637,261704,237067,237067,-15.0,,-62.0,,263.0,,,7005.0,15.0,,0.0,0.0,
1213,2016年01月01日至2016年03月31日,,6094,6094,,,2584,1876.0,3,-1034,,,,,,-17187,10761,-2122,-8535,,7584,-17944,-954,-5698,163,-16849,-25384,-21953,-15859,1034,-61,-14889,,-707,,263.0,0,-740.0,-16110.0,-17294,,15000.0,0.0,-3,14941,9,-17233,261704,244471,244471,2.0,,-59.0,,,,,3431.0,13.0,,,,
1213,2015年度,,21458,21458,,,10621,10070.0,12,-4096,0.0,6500.0,,,,-3630,-10900,-225,-13548,,-1396,17140,1170,6355,-506,22763,9215,30718,52176,4095,-3363,52896,,-5780,0.0,0.0,1302,,-5679.0,-3408,,,,-12,-478,1,49011,212693,261704,261704,32.0,9584.0,-478.0,0.0,-2835.0,,,21503.0,,,-1636.0,,1207.0
1213,2015年01月01日至2015年09月30日,,37194,37194,,,8009,9210.0,3,-3057,0.0,,,,,-130548,8967,-1619,-123535,,6574,51782,2761,1027,-373,61771,-61764,-47631,-10437,3066,-3259,-10633,,-4811,0.0,,2490,0.0,-1375.0,3018,,0.0,,-3,-308,-8,-7931,212693,204762,204762,-32.0,,-308.0,-335.0,-2616.0,,,14133.0,,,,9330.0,
1213,2015年01月01日至2015年06月30日,,15147,15147,,,5411,6023.0,2,-2068,,,,,,-29121,4731,-691,-23928,,-3207,20202,1398,2228,-645,19976,-3952,5066,20213,2077,-2152,20136,,-3486,,,1652,,0.0,6613,,,201.0,-2,201,-5,26945,212693,239638,239638,0.0,,,0.0,-2616.0,,,9018.0,1153.0,,-350.0,11063.0,
1213,2015年01月01日至2015年03月31日,,13595,13595,,,2792,2923.0,1,-1029,,,,,,-52955,-865,717,-51949,,10752,16199,881,-1202,702,27332,-24617,-19930,-6335,1029,-256,-5563,,-2655,,356.0,829,-2352.0,,-3822,,0.0,133.0,-1,133,-2,-9254,212693,203439,203439,0.0,,,0.0,,,,4687.0,1154.0,0.0,,,
1213,2014年度,,16526,16526,,,11296,10774.0,107,-3901,-4.0,4000.0,21799.0,,,-7505,7621,3262,4458,,3049,-11837,-1002,-439,-109,-10338,-5880,15919,32445,3897,-4940,31295,,-5215,4.0,,3983,,-4813.0,-2073,,,,-107,-11,8,29219,183474,212693,212693,-473.0,-11863.0,-11.0,1080.0,15831.0,0.0,,,,,,,
1213,2014年01月01日至2014年09月30日,,24335,24335,,,8551,,89,-2871,-4.0,0.0,5754.0,,,-121574,10341,1728,-108425,,19012,30885,3185,-5399,-333,47350,-61075,-55321,-30986,2875,-4836,-33036,,-4953,4.0,,3178,,-1999.0,11636,,10000.0,,-89,10113,1016,-10271,183474,173203,173203,-11.0,-676.0,113.0,1080.0,16082.0,,,,,,,,
1213,2014年01月01日至2014年06月30日,,6509,6509,,,5779,,69,-1925,0.0,0.0,3927.0,,,-30385,13535,1826,-13944,,-5987,11589,1464,-7388,-441,-763,-14707,-10780,-4271,1930,-3412,-5822,,-4718,0.0,,584,,-316.0,12509,,0.0,,-69,37,-1,6723,183474,190197,190197,4.0,877.0,37.0,1080.0,16082.0,,,,,,,,
