公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　 其他非流動資產減少,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 短期借款增加,　　 存入保證金減少,　　 發放現金股利,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 應付短期票券增加,　　 存入保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　　　 利息收入,　　 收取之利息,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　　 其他投資活動,　　　　　 預收款項增加（減少）
1232,2016年01月01日至2016年09月30日,,779138,779138,,,71845,825,482,7316.0,3040,908,0.0,-812,,,,,15960,-79135,15473,-14909,-301480,-49145,,-413236,,-31604,27133,-83748,,,-136951,-550187,-466145,312993,-2964,-187918.0,124979,,-48899,88,-874,-54167,,,,,-5919,-688012,0.0,-617200,1232661,615461,615461,,,,-6323.0,69354.0,,-799875.0,,0.0,47995.0,433.0,,1950.0,-2868.0,2868.0,0.0,,3306.0,84042.0,-584.0,-109.0,,-48148.0
1232,2016年01月01日至2016年06月30日,,545645,545645,,,48049,556,259,5011.0,2017,538,0.0,-380,,,,,29101,-45556,14140,15174,155931,-28024,,140766,,-54592,8684,-145312,-60675.0,,-252269,-111503,-54703,490942,-1993,-94189.0,397098,,-34018,88,-607,-35048,,,,,-5919,57728,0.0,419778,1232661,1652439,1652439,,,,-390.0,47689.0,,,,0.0,15999.0,-41.0,,,-2338.0,2338.0,0.0,,3088.0,56800.0,-374.0,-121.0,,
1232,2016年01月01日至2016年03月31日,,212942,212942,,,23437,278,279,31424.0,929,453,0.0,-1292,,,,,-1460,-519,12802,9444,139605,-9589,,150283,,-58227,3135,-112063,-22080.0,,-189448,-39165,16284,229226,-923,0.0,229577,,-14892,0,-607,-8202,,,,,0,-1136,0.0,220239,1232661,1452900,1452900,,,,7293.0,-35986.0,,0.0,,0.0,35000.0,-150.0,,,-1274.0,1274.0,0.0,,1215.0,55449.0,-213.0,,4.0,
1232,2015年度,,1121889,1121889,,,92145,1060,283,20723.0,1866,-1430,0.0,-20798,,,,,4973,47998,71698,-3119,189965,-26515,,285000,,85231,-5136,-10273,72818.0,,123821,408821,502355,1624244,-1912,-244023.0,1383937,,-118788,1635,-1409,-97208,,,,,-805794,-1035232,0.0,251497,981164,1232661,1232661,,,,3220.0,-218231.0,,0.0,,18228.0,-10997.0,-210.0,,0.0,-5628.0,5628.0,-897.0,,6210.0,93534.0,-18819.0,-94.0,,
1232,2015年01月01日至2015年09月30日,,854313,854313,,,69258,821,12,9759.0,1403,-1455,0.0,-7163,,,,,43379,-30147,86049,8643,891584,-33626,,965882,,-196,-3813,-52919,-21172.0,,-81091,884791,956301,1810614,-1377,-239545.0,1573940,,-82340,1638,-571,-59967,,,,,-5919,-991227,0.0,522746,981164,1503910,1503910,,0.0,,3078.0,-174256.0,,-799875.0,,18228.0,-10997.0,-180.0,,,-4248.0,4248.0,-897.0,,4020.0,71510.0,-2991.0,,,
1232,2015年01月01日至2015年06月30日,,521053,521053,,,46710,551,23,20552.0,923,-645,0.0,-21222,,,,,16884,67580,88719,11534,436034,-22285,,598466,,-19135,-3148,-88217,26834.0,,-86524,511942,557369,1078422,-981,-140650.0,939377,,-38037,827,-571,-12394,,-320769.0,-10997.0,,-5919,-337865,0.0,589118,981164,1570282,1570282,,0.0,,7159.0,,-180.0,,,18228.0,,,,,-2586.0,2586.0,-897.0,,2018.0,45427.0,-2858.0,,,
1232,2015年01月01日至2015年03月31日,,293744,293744,,,23764,282,63,26527.0,641,-355,,-13012,,,,,54654,-30615,84015,5204,-43477,-16671,,53110,,-20005,50260,-124849,-13115.0,,-110406,-57296,-20245,273499,-669,,273969,,-10654,373,-276,8923,,-266086.0,,,0,-257266,,25626,981164,1006790,1006790,,,,,,-180.0,,,18228.0,9000.0,,1252.0,0.0,-1139.0,1139.0,-897.0,,1177.0,37051.0,-2697.0,,,
1232,2014年度,,1204164,1204164,,,114458,1194,-661,-9283.0,3831,-1013,-5082.0,21813,122222.0,,,,13795,-9958,-62867,2307,-983348,-50055,,-1090126,,-42818,10427,39002,9480.0,,5492,-1084634,-962412,241752,-3818,-154382.0,86572,,-74255,1499,0,-78170,,,,,-5919,-377804,5082.0,-364320,1345484,981164,981164,,,-10599.0,-7489.0,224673.0,,-607905.0,,1575.0,10997.0,350.0,,500.0,-3020.0,3020.0,-15.0,,,,,,,
1232,2014年01月01日至2014年09月30日,,715196,715196,,,91123,917,-1043,-3180.0,3236,108,-3797.0,50548,136046.0,,,,37596,-161231,18768,10604,-794430,-60601,,-949294,,-86204,48498,-36547,-10287.0,,-94990,-1044284,-908238,-193042,-3278,-150507.0,-344961,,-52215,204,0,-65681,,-105233.0,,,-5919,-683115,3797.0,-1089960,1345484,255524,255524,,,-10450.0,-14170.0,,-50.0,-607905.0,,,35992.0,,,500.0,-1866.0,1866.0,,,,,,,,
1232,2014年01月01日至2014年06月30日,,535964,535964,,,66846,618,-1043,19440.0,1872,-2,-2315.0,16827,100411.0,,,,68631,-164762,23296,14640,-1504688,-30127,,-1593010,,-43251,22722,-38137,74.0,,-68882,-1661892,-1561481,-1025517,-1914,-85625.0,-1111224,,-24976,2,0,-33087,,-120095.0,,,-5920,133878,2315.0,-1008118,1345484,337366,337366,,,-10290.0,-8613.0,,-50.0,,,,259943.0,,,500.0,-1832.0,1832.0,,,,,,,,
