公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 存入保證金減少,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　 處分投資性不動產,　　 短期借款減少,　　　　 股利收入,　　 取得投資性不動產,　　 發放現金股利,　　 收取之股利,　　 現金減資,　　 處分子公司,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分待出售非流動資產,　　　　　 預收款項增加（減少）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損損失,　　 預收款項增加－處分資產
1234,2016年01月01日至2016年09月30日,,1111407,1111407,,,176581,1807,2213,3923,-20728,-88487,-1106,-1339,0,,,,-53502,-552054,-3367,-976699,-161517,-30049,-1777188,,72804,147474,103512,3473,,-16975,-1794163,-2247070,-1135663,-4620,-115334,-1255617,,-1161000,1617340,-189170,7245,0.0,3501.0,-2522,-374161.0,,20728,131750,,635337.0,0.0,-10681.0,,21849,-35477,-1137495,3377050,2239555,2239555,,,,,,0.0,18250.0,,-602807.0,,,,,-452907.0,-344238.0,209789.0,,-544021.0,,0.0
1234,2016年01月01日至2016年06月30日,,819843,819843,,,117866,1145,1431,2152,-8043,-63152,-735,-1121,0,,,,-57570,-301631,-5225,-578565,-48333,6651,-984673,,39658,118079,128529,-1242,,-60016,-1044689,-1548459,-728616,-3029,-63085,-794730,,-954000,1315122,-57494,7081,,1589.0,-2523,-159495.0,,8043,377404,,5337.0,,-10720.0,,-5383,-21852,-444561,3377050,2932489,2932489,,,,,,,,,,,,,,-503770.0,-345040.0,219081.0,,-553313.0,,
1234,2016年01月01日至2016年03月31日,,102156,102156,,,57626,588,432,1572,-4543,-50548,-137,-823,0,,,,883,-32438,-7169,-141885,-21507,-7340,-209456,,7203,56604,17303,9090,,-244246,-453702,-442604,-340448,-2638,-2314,-345400,,-625000,704824,-59483,1178,0.0,1346.0,0,-62027.0,,4543,171387,,0.0,,-9538.0,,-354201,4773,-523441,3377050,2853609,2853609,,,,,,-344663.0,,,,,,,,11098.0,-334446.0,1183.0,,293.0,6638.0,204823.0
1234,2015年度,,721252,721252,,,280069,2438,178,8827,-31083,-100663,14053,-19924,218,,,,2977,-60968,-568,-1125222,-58461,-7434,-1249676,,-5021,24776,81279,-29080,,56613,-1193063,-1038530,-317278,-8999,-90201,-416478,,-2269508,2312924,-380011,10993,,-207393.0,-2116,,24376.0,31104,312684,,,4556.0,,,-607776,-19558,-731128,4108178,3377050,3377050,,,,,,-130087.0,,,-482245.0,9123.0,,0.0,,154533.0,-15341.0,31122.0,,-15424.0,15844.0,752070.0
1234,2015年01月01日至2015年09月30日,,678162,678162,,,225390,1776,1939,7265,-25142,-89676,-15785,-19244,113,,,,-91413,-337492,1908,37228,10975,-34742,-413536,,88033,49956,65709,-633,,528307,114771,210531,888693,-8503,-86007,794183,,-1579508,1372244,-183607,1118,-213615.0,,-2117,-127469.0,0.0,25163,-676669,,,10.0,0.0,-5535.0,-617385,1791,-498080,4108178,3610098,3610098,,,,,,-129615.0,9124.0,,-482245.0,,,0.0,,95760.0,-2.0,31122.0,325244.0,,,
1234,2015年01月01日至2015年06月30日,,329055,329055,,,150087,1124,1394,5124,-17621,-61054,-15875,-7103,112,,,,-33818,-224785,-341,128335,3529,-25910,-152990,,63794,101676,106943,-3271,,267936,114946,171134,500189,-6362,-48868,444959,,-300000,330103,-153812,1172,,1239.0,-53,-40175.0,0.0,17642,-112762,,19010.0,,-187.0,-5510.0,13313,6429,351939,4108178,4460117,4460117,,,,,,0.0,,,,,,,,56188.0,-1206.0,31122.0,,,,
1234,2015年01月01日至2015年03月31日,,147829,147829,,,75330,561,214,2174,-8422,-34107,-15687,-2241,57,,,,-22608,-111749,3379,123079,-17596,-21118,-46613,,1134,66257,-34873,-179,,31909,-14704,3175,151004,-3412,-1537,146055,,-80000,198241,-16548,312,-590.0,0.0,-53,-88431.0,,8443,52496,,6400.0,,-372.0,,6028,10382,214961,4108178,4323139,4323139,,,,,,,,,,,,,,17879.0,-430.0,31122.0,,,,
1234,2014年度,,479222,479222,,,253499,2141,303,10870,-36815,-80617,-3445,-6701,222,139457.0,,,-14947,-36188,-4756,673109,37899,-7361,647756,,-34092,-14709,31268,39983,-19555.0,2895,650651,790108,1269330,-10647,-642685,615998,,-1844000,1624344,-2097604,3989,,1440.0,-2978,0.0,1204928.0,36796,-821062,,,102.0,,,-928703,-20176,-1153943,5262121,4108178,4108178,,0.0,,,0.0,-125063.0,,,-803742.0,250025.0,0.0,1998.0,,,,,,,,
1234,2014年01月01日至2014年09月30日,,394351,394351,,,183019,1560,2293,8506,-28289,-64093,-3151,-5335,166,344701.0,,,-77482,-330908,485,381591,25260,-17429,-18483,,99535,78679,93446,30857,3078.0,305595,287112,631813,1026164,-9521,-641687,374956,,-1434000,1530978,-1848676,3559,-2130.0,,-2978,0.0,1247959.0,28291,-474999,,,0.0,-539.0,630.0,-977583,-746,-1078372,5262121,4183749,4183749,,0.0,,,0.0,-173933.0,250025.0,,-803741.0,,,1998.0,,,,,,,,
1234,2014年01月01日至2014年06月30日,,154286,154286,,,108542,955,838,6107,-19984,-36836,-2707,-1377,111,55649.0,,,-33780,-187785,-2054,273430,-21776,-2887,25148,,48235,88648,83134,53832,4638.0,278487,303635,359284,513570,-6296,-609446,-102172,,-670000,781377,-1627934,3086,0.0,378.0,-2978,0.0,1242132.0,19986,-253953,,,0.0,-682.0,130.0,-152315,4441,-503999,5262121,4758122,4758122,0.0,0.0,,,0.0,-151763.0,,,,,,,,,,,,,,
