公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 收取之股利,　　 以成本衡量之金融資產減資退回股款,　　 應付短期票券增加,　　　　 其他項目,　　 處分採用權益法之投資,　　　　 利息收入,　　　　 處分採用權益法之投資損失（利益）,　　 收取之利息,　　 對子公司之收購（扣除所取得之現金）,　　 應付短期票券減少,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 其他投資活動,　　　 收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得以成本衡量之金融資產,　　 短期借款減少,　　 處分子公司,　　 庫藏股票處分,　　　　 非金融資產減損損失,　　 其他應收款增加,　　　　 金融資產減損損失
1303,2016年01月01日至2016年09月30日,,25388648,25388648,,,11830916,1249227,,1189832,-15268011,10072,56935.0,-19935,56813,308051,-38188,,,,26596,276535,-930291,2927379,-1081047,1219172,,665599,602629,-67408,,-201622,1017550,17429,25406077,-1498150,-2246855,36711800,,-4928053,1895031,-85000.0,-7968207,55900,0.0,-4956281.0,-3614993,-19541490,,2072283.0,4991430.0,-10448698,4252880,-3508493,0.0,200.0,,-27172304,-296434,-21650351,-3053924,-7533965,51911314,44377349,44377349,14194372.0,25952.0,8448707.0,,,-558518.0,,856356.0,,,34161.0,0.0,19864.0,0.0,-9786.0,0.0,,-1434.0,-1000121.0,-1402442.0,0.0,,0.0,,,,184119.0
1303,2016年01月01日至2016年06月30日,,16324590,16324590,,,7939601,780792,,807405,-10417182,3042,28771.0,-9886,57123,283962,810,,,,-217521,979487,-255817,385944,-123299,768794,,1163506,217841,-11442,,857047,1625841,888721,17213311,-891854,-1823322,16817330,,-4928053,1210686,-85000.0,-4825176,38129,0.0,,-2624426,-9839566,,,,-3000000,556983,-2475175,,600.0,0.0,-728,-289571,-5528669,-1709191,-260096,51911314,51651218,51651218,1845568.0,25952.0,449686.0,,,-394254.0,,473627.0,,,23.0,1348299.0,45822.0,0.0,-62764.0,0.0,,-1423.0,-737120.0,-512858.0,0.0,-753522.0,0.0,,,,184119.0
1303,2016年01月01日至2016年03月31日,,6342169,6342169,,,3973933,405944,,402585,-3552338,-6699,13.0,-9886,52207,883130,123,,,,536920,-14122,45181,-495071,382496,455404,,409388,-1688749,41362,,-1208192,-752788,1191097,7533266,-276658,-236063,7251162,,-2491550,1210686,,-3525804,20590,0.0,,-610341,-2229514,,96306.0,,0,395582,-2064305,,1800.0,0.0,-178,-4228,2845427,-1756073,6111002,51911314,58022316,58022316,,,4448515.0,,,-203714.0,,230617.0,,,5669.0,3161236.0,19078.0,0.0,-47143.0,,,,1943885.0,29807.0,0.0,0.0,,,-1413.0,0.0,
1303,2015年度,,43644537,43644537,,,15836101,1995157,,1767999,-19570370,51607,55329.0,-1765643,-33973,-465593,-11673,,,,371839,9189929,486219,10924476,1719656,22692119,,575052,685406,252339,,-1154054,21538065,18600187,62244724,-2315985,-3140741,63214686,,-4100000,7701276,-1944354.0,-10071962,623142,-58522.0,,-3369267,-4444054,,,0.0,-25770784,16903569,-21217280,-8946.0,0.0,66456.0,-17238063,-813568,-44835055,1343021,15278598,36632716,51911314,51911314,5380469.0,32441.0,5548282.0,-35926.0,1655909.0,-760893.0,,1046219.0,,0.0,0.0,4433896.0,,-32600.0,,-1015005.0,,,-2937878.0,-2666851.0,-25000.0,-2272121.0,1693392.0,,,,
1303,2015年01月01日至2015年09月30日,,37642582,37642582,,,12006263,1345464,,1396906,-15929695,-3156,51482.0,-673727,-12019,-1148642,13809,,,,180015,4622587,-259645,7442060,1207420,13192437,,-1506351,1534951,418168,,266035,13458472,9891136,47533718,-1770299,-2412846,48852627,,-3600000,7169249,0.0,-5832581,102631,-80525.0,,-2608651,-1053568,,4374527.0,0.0,-8000000,5161327,-10008879,-9425.0,0.0,,-17264723,-650973,-26434072,2502322,23867309,36632716,60500025,60500025,5179711.0,32441.0,,,0.0,-577806.0,0.0,322343.0,,0.0,,3110413.0,,-32600.0,-3326.0,-1014937.0,,-36215.0,-3567336.0,-180733.0,-25000.0,,1693392.0,0.0,,,
1303,2015年01月01日至2015年06月30日,,25795870,25795870,,,8005621,844020,,945403,-11392710,-12425,17244.0,-241019,3372,-167434,16096,,,,-403937,-2123761,504886,1818932,593592,389712,,1866825,3267472,431733,,5430609,5820321,3391147,29187017,-1394293,-1178087,28215808,,0,2764722,0.0,-2709881,93286,-20138.0,,-1281001,6102238,,,0.0,-6000000,4699094,-8515798,,,108836.0,-17465,-1097640,-14515437,-960665,18841944,36632716,55474660,55474660,1466580.0,,,,0.0,-411675.0,0.0,134591.0,,0.0,0.0,6733906.0,45385.0,-32600.0,0.0,333838.0,,-35667.0,-2429174.0,-135421.0,-25000.0,-3705249.0,212506.0,,,,
1303,2015年01月01日至2015年03月31日,,9817972,9817972,,,3993941,465070,,473861,-3141560,-20635,10309.0,-323113,-214,-121248,-418,,,,122690,-2948156,1136101,4173370,-74297,2409708,,1091473,-1637020,107624,,-496472,1913236,3060944,12878916,-257535,-370977,12359080,,0,2264685,,-1078502,45846,-26789.0,,-770895,4663517,,,,0,3988407,-6418897,0.0,,22424.0,-981,-54038,-4415224,-569835,12037538,36632716,48670254,48670254,0.0,,,,0.0,-187691.0,0.0,108676.0,0.0,0.0,,4254172.0,25271.0,-21400.0,,,,-594.0,1147708.0,-58549.0,-25000.0,-1956010.0,,,,,
1303,2014年度,,34516098,34516098,,,15326343,1949764,0.0,2147670,-15515623,31540,0.0,-4538705,13492,-721212,-918,-2574822.0,,,-1114678,-8086596,-793881,-2939415,554421,-12380149,,-1820797,-1053922,176953,-192894.0,-2890660,-15270809,-17845631,16670467,-2309531,-2463737,20332582,,-7053280,8691387,-1186296.0,-6240125,55378,952.0,39768464.0,-3849901,33852763,,-5136088.0,14966816.0,-18000000,19485924,-36898000,-28250.0,16700.0,8695.0,-15069990,9800,-45143699,3043697,12085343,24547373,36632716,36632716,7128769.0,15818.0,-4499306.0,120666.0,3650366.0,-1387839.0,,1306614.0,,,,,,,,,,,,,,,,,,,
1303,2014年01月01日至2014年09月30日,,30144230,30144230,,,11420618,1665743,0.0,1659238,-14645902,28156,0.0,-1174102,6221,-338848,-918,-5025442.0,,,-969407,-6415880,-450736,-4114371,-782790,-12733184,,-624230,-1481995,635890,-147585.0,-1617920,-14351104,-19376546,10767684,-1579047,-2006724,15250735,,-2413528,6165019,-1178458.0,-5433297,20027,-15688.0,19812121.0,-2007231,18611349,,2032080.0,9974575.0,-12600000,19230727,-26449550,-11847.0,11200.0,-7610.0,-15075519,-143161,-27538411,835471,7159144,24547373,31706517,31706517,7083574.0,15818.0,,,3650366.0,-1106697.0,-2538951.0,985248.0,,-4499306.0,,,,,,-3800.0,,,,,,,,,,,
1303,2014年01月01日至2014年06月30日,,19164908,19164908,,,7600715,959757,0.0,1095407,-9382042,14347,,-738947,12000,90731,2259,-3635482.0,,,16835,-4916012,-403421,-1462601,-751811,-7517010,,1235170,-167675,256079,-102818.0,1220756,-6296254,-9931736,9233172,-906818,-1793141,8692550,,-704,3025006,-1282862.0,-3478154,13470,,3745291.0,-1107632,4572416,,-1513988.0,9999850.0,-5500000,11790405,-17106579,0.0,0.0,0.0,-5885,-78261,-6895566,-125318,6244082,24547373,30791455,30791455,1495413.0,,0.0,,3650366.0,-750758.0,-2538951.0,663924.0,,-4499306.0,7635.0,0.0,29520.0,-1200.0,-10122.0,,,,,,,,,,,,
1303,2014年01月01日至2014年03月31日,,10458217,10458217,,,3782549,384929,0.0,539073,-4979198,13413,0.0,-21408,1759,-209366,2774,-3398360.0,,,534778,-1189753,-124660,-821564,-581129,-2182328,,-357543,-1177884,262633,-74024.0,-1346818,-3529146,-6927506,3530711,-344984,-712263,2959745,,-704,1532527,0.0,-1876872,7147,-4676.0,4490549.0,-1052779,6629327,,-429455.0,0.0,-2500000,5550000,-6413487,-36274.0,-5600.0,10731.0,0,15903,-8307488,806945,2088529,24547373,26635902,26635902,149416.0,,,,3650366.0,-373934.0,-2538951.0,336865.0,-116231.0,-4499306.0,,,,,,,,,,,,,,,,,
1303,2013年度,,30957463,30957463,,,14744325,1413952,-28560.0,2200700,-12726562,-374930,12160.0,-20055,5605,-185071,-54895,3457749.0,,,-1182990,-3850530,150017,-2364495,-1436244,-8684242,,-171805,-703199,-339758,-339956.0,-1554718,-10238960,-6781211,24176252,-2283999,-195079,25426536,,-4300005,1752993,-11399315.0,-9757385,988493,-2536.0,-19250936.0,-4331277,-46299968,,5012421.0,31262271.0,-17500000,10021963,-13623695,30655.0,1900.0,18715.0,-2353884,1844215,19213867,865120,-794445,25341818,24547373,24547373,2175466.0,0.0,4499306.0,-4667.0,0.0,-1524253.0,,1553896.0,,,,,,,,,,,,,,,,,,,
1303,2013年01月01日至2013年12月31日,,30957463,30957463,,,14744325,1413952,-28560.0,2200700,-12726562,-374930,12160.0,-20055,5605,-185071,-54895,4982002.0,,,-1182990,-3850530,179660,-2364495,-1436244,-8654599,,-171805,-703199,-339758,-339956.0,-1554718,-10209317,-5227315,25730148,-2283999,-195079,25426536,,-4300005,1752993,-11399315.0,-9757385,988493,-2536.0,-19250936.0,-4331277,-46299968,,5012421.0,31262271.0,-17500000,10021963,-13623695,30655.0,1900.0,18715.0,-2353884,1844215,19213867,865120,-794445,25341818,24547373,24547373,2175466.0,0.0,4499306.0,-4667.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1303,2013年01月01日至2013年09月30日,,22760063,22760063,,,11054160,1295033,-28560.0,86406,-8671746,-382189,12102.0,-9183,6438,118811,-51052,3430220.0,,,-648166,-3310713,-247989,-2990050,-1698794,-8895712,,-775069,3893206,-332492,-267716.0,2517929,-6377783,-2947563,19812500,-1613495,-687599,19686872,,-4300005,944290,-11399315.0,-7940050,954070,-44539.0,-17766128.0,-3749634,-43301311,,6263743.0,20927777.0,-10100000,7953239,-10977748,-19806.0,2008400.0,108684.0,-2327577,1773769,23108121,278732,-227586,25341818,25114232,25114232,2175466.0,0.0,7497640.0,,,,,,,,,,,,,,,,,,,,,,,,
1303,2013年01月01日至2013年06月30日,,13246475,13246475,,,7418975,681421,-18641.0,51409,-4508138,-381978,,-4280,1019,-205626,51754,3085915.0,,,-980357,-3223280,-80033,-3166878,-1432383,-8882931,,-1042020,2906493,-297574,-220122.0,1346777,-7536154,-4450239,8796236,-844925,-540833,8742373,,-4300005,344280,-9875671.0,-5195707,650875,35194.0,-18737190.0,-2635204,-39713428,,11909442.0,5984720.0,-5000000,2708068,-733572,-14466.0,4001600.0,33260.0,-56425,1724704,25656179,920458,-4394418,25341818,20947400,20947400,1331895.0,0.0,5098848.0,,,,,,,,,,,,,,,,,,,,,,,,
1303,2013年01月01日至2013年03月31日,,8204364,8204364,,,3723880,392700,-9406.0,44939,-2947121,-379692,1134.0,-2331,8752,-228397,1992,606450.0,,,191049,994751,-99902,-3505842,-992018,-3411962,,-1961453,1755330,-345988,-156800.0,-708911,-4120873,-3514423,4689941,-319753,-397104,3973084,,0,200000,-2935794.0,-3068833,562669,-4558.0,-20555742.0,-770007,-26572265,,8641314.0,5984720.0,-2500000,1143063,-733572,-2325.0,1995400.0,57797.0,-1494,185444,14770347,659322,-7169512,25341818,18172306,18172306,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2012年01月01日至2012年12月31日,,5602751,5602751,,,15228038,1423500,-32644.0,2374080,10917469,-762426,58.0,-960944,-17751,-34183,-40149,28095042.0,,,476454,1194413,2320108,1005350,491540,5487865,,137886,-2489253,218165,356479.0,-1776723,3711142,31806184,37408935,-2232428,-5794178,34587911,,-3395000,3710731,-10798877.0,-15028299,1301481,-77644.0,1849217.0,-4414597,-26017429,,-3124972.0,11969444.0,-7500000,12500000,-8044248,-11651.0,-7358.0,-12590.0,-16473396,-1011488,-11716259,157328,-2988449,28330267,25341818,25341818,5205582.0,2516.0,0.0,-6.0,833043.0,,,,,,,,,,,,,,,,,,,,,,
1303,2012年01月01日至2012年09月30日,,6202583,6202583,,,11303205,1076105,-21869.0,34883,8244344,-773772,0.0,-960944,-45278,112073,7075,18975822.0,,,317631,-1664474,1874020,-143922,363865,747120,,-267905,22633,116552,231865.0,103145,850265,19826087,26028670,-1630629,-5040062,24210561,,-3100000,3710731,-6029532.0,-10709435,1210501,-81049.0,-16111384.0,-4197449,-35305827,,5062506.0,11969594.0,-2500000,12569556,-8277834,-45008.0,2395742.0,18548.0,-16499970,-497916,12294445,-882876,316303,28330267,28646570,28646570,4852582.0,1790.0,8099227.0,,,,,,,,,,,,,,,,,,,,,,,,
1303,2012年01月01日至2012年06月30日,,550127,550127,,,7555819,717133,-11265.0,22570,7490898,-253069,,-7019,-50038,-80695,6099,15390433.0,,,156482,-2708595,1650871,-2756424,506614,-3151052,,-2741144,1042964,16016,178899.0,-1503265,-4654317,10736116,11286243,-1225032,-3225237,7085393,,-2100000,2205910,-1498622.0,-6148513,619663,-2918.0,-22370347.0,-3663944,-32956981,,7175963.0,0.0,-2500000,4400000,-1274763,-36134.0,11687842.0,14723.0,6910,-495725,27673263,-55456,1746219,28330267,30076486,30076486,249419.0,1790.0,8694447.0,,,,,,,,,,,,,,,,,,,,,,,,
1303,2012年01月01日至2012年03月31日,,2688383,2688383,,,3796912,330350,-2342.0,11287,2565434,-256123,0.0,-2247,-30889,29646,372,6442400.0,,,663608,-3467445,-359621,-1458538,787700,-3834296,,3411697,-251521,390752,103640.0,3654568,-179728,6262672,8951055,-426637,-162367,8362051,,-1100000,1400161,-160763.0,-3423827,596966,-23664.0,-5684866.0,-2615223,-11011216,,-220871.0,0.0,0,2000000,-1263251,-53526.0,1997306.0,27768.0,-5645,-67391,2414390,-561243,-796018,28330267,27534249,27534249,,,,,,,,,,,,,,,,,,,,,,,,,,,
