公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 處分待出售非流動資產,　　 存出保證金減少,　　 短期借款增加,　　 舉借長期借款,　　 取得備供出售金融資產,　　 其他非流動資產減少,　　 其他預付款項減少,　　 發放現金股利,　　　　 利息收入,　　　　 股利收入,　　　　　 應付帳款－關係人增加（減少）,　　 收取之利息,　　 存入保證金增加,　　 取得採用權益法之投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 應付短期票券增加,　　 現金減資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 非金融資產減損損失,　　　　　 負債準備增加（減少）,　　 非控制權益變動
1315,2016年01月01日至2016年09月30日,,233054,233054,,,45826,-2080,8223,-13468,-527,-19671,332,1805,,,,,13381,-76233,12553,1933,-118,37768,-25258,108,9595,-26271,,25299,41318,22359,114,,61108,34837,-73710,159344,137550.0,-7843,-26160,265454,,77127,,-17937,846,-12547.0,,-106747,,,,-27741,0,132367,-23371,267703,683871,951574,951574,,,,0.0,153761.0,21763.0,-153090.0,-1146.0,,-209948.0,-2563.0,-129857.0,751.0,2563.0,1593.0,0.0,3433.0,-6617.0,180000.0,,,-108547.0,-22116.0,,,12939.0
1315,2016年01月01日至2016年06月30日,,48790,48790,,,30615,-1671,5113,-318,-259,-19671,0,1220,,,,,-45835,38619,8072,-1905,43,-59762,-14324,262,13600,-61230,,7894,17850,-5208,6531,,6218,-55012,-31547,17243,6450.0,-5063,-13361,7030,,77127,,-11084,316,-99.0,0.0,-67891,,,,-19122,0,245609,-19067,165681,683871,849552,849552,,,,0.0,203086.0,,-134243.0,92.0,,,-1761.0,,-4.0,1761.0,1645.0,0.0,10197.0,1241.0,60000.0,,,23465.0,-22086.0,,,
1315,2016年01月01日至2016年03月31日,,34680,34680,,,15265,-1601,2417,546,5,-19671,1800,617,,,,,43289,28893,5813,-887,-98,58814,-21658,-1541,-1229,111396,,-35293,32059,-33945,-1791,,-68584,42812,45589,80269,,-2361,-3237,75430,,77127,,-6269,31,-22.0,,-49109,,,0.0,-17418,0,145523,-5913,165931,683871,849802,849802,,,,0.0,132941.0,,-120565.0,589.0,,,-778.0,,-4.0,759.0,,0.0,4177.0,-6403.0,30000.0,,,2777.0,-23207.0,,,
1315,2015年度,,282469,282469,,,63452,-5212,9593,-12227,-758,-113442,-1625,2407,,,,0.0,9809,64977,-3716,-2126,122,-27753,13104,-105,28394,82706,,-6299,-15244,37776,9422,,-14330,68376,-24468,258001,105789.0,-9377,-40242,317111,,145329,,-34337,808,0.0,-1023.0,31052,,0.0,,-15372,-97,-127346,-2912,217905,465966,683871,683871,,,,1259.0,55558.0,,-80773.0,0.0,,-209947.0,-2940.0,-95325.0,-372.0,2940.0,,-211.0,14088.0,2999.0,30000.0,0.0,,-92844.0,-43290.0,49145.0,678.0,12512.0
1315,2015年01月01日至2015年09月30日,,230334,230334,,,47638,-7850,7128,-14194,-13,-28787,-1611,1794,,,,0.0,19545,93144,-945,15907,166,-4369,338,-791,19106,142101,,-19395,37609,9258,4640,,8140,150241,166110,396444,10464.0,-6778,-39881,362236,,39804,,-25758,109,0.0,-1959.0,-53236,,0.0,,-11037,-108,-83128,11153,237025,465966,702991,702991,,,,1378.0,107965.0,,-66599.0,0.0,,-209948.0,-1998.0,,-376.0,1987.0,0.0,-211.0,13762.0,-2975.0,30000.0,,,15869.0,-20621.0,,,
1315,2015年01月01日至2015年06月30日,,37785,37785,,,32617,-5020,4460,1505,-10,-28787,866,1189,,,,0.0,-17957,14401,1362,71,128,-41126,6255,-48,29726,-7188,,-10749,8243,-20866,3337,,-29906,-37094,-20513,17272,8550.0,-4154,-22677,293,,39805,0.0,-17121,24,0.0,-554.0,4811,,,,-9820,-108,148853,3162,157119,465966,623085,623085,,0.0,,631.0,158781.0,,-17763.0,0.0,,,-1302.0,,-376.0,1302.0,0.0,-211.0,11063.0,,,,,16581.0,-9495.0,,,
1315,2015年01月01日至2015年03月31日,,6542,6542,,,16545,-3955,2127,655,-24,-4899,227,600,,,,0.0,48719,107146,1888,5754,-16,-5095,-7306,-28,-4241,146821,,-33254,36626,-40586,2371,,-36943,109878,128626,135168,0.0,-1949,-2759,130978,,6884,0.0,-12663,25,0.0,,-5068,,,-30000.0,-4711,-108,-9822,-792,115296,465966,581262,581262,,,,558.0,24997.0,,0.0,339.0,,,-519.0,,-376.0,518.0,0.0,-211.0,7991.0,-133.0,,,,18748.0,-1591.0,,,
1315,2014年度,,270412,270412,,,64336,-1261,8832,-10869,754,-44733,-21526,2323,-101725.0,,,576.0,17223,-2921,5615,-12258,625,36687,353,5762,-9526,42136,,44025,-3124,950,-1775,-5976.0,28795,70931,-30794,239618,93249.0,-8935,-24309,302618,,63245,0.0,-38651,2328,-1773.0,,-70619,,-4053.0,0.0,-20706,-28,-388968,9267,-147702,613668,465966,465966,0.0,,0.0,0.0,,0.0,-92760.0,1273.0,0.0,-212070.0,-2988.0,-82267.0,-7431.0,2995.0,,-4281.0,-14326.0,2126.0,59959.0,-212070.0,,,,,,
1315,2014年01月01日至2014年09月30日,,182505,182505,,,48192,-2245,6532,-11672,-282,-15738,-3861,1731,20309.0,,,-5593.0,33351,523,-630,7377,629,910,-13749,4974,9904,37696,,27938,32697,11795,7074,-6699.0,72805,110501,130810,313315,10677.0,-6340,-20678,299329,,21344,0.0,-35808,1297,-1685.0,,-87691,,-10965.0,0.0,-14167,0,-237132,6513,-18981,613668,594687,594687,0.0,0.0,0.0,0.0,,0.0,-69987.0,1536.0,0.0,-212070.0,-2348.0,,,2355.0,70.0,-4388.0,,,,,,,,,,
1315,2014年01月01日至2014年06月30日,,27064,27064,,,31897,2068,4421,1277,-290,-15738,1196,1156,24280.0,,,576.0,-14567,-81946,3468,4362,526,-64048,-8555,4968,-4728,-159944,,20926,12732,-14331,1476,-4562.0,9352,-150592,-126312,-99248,10677.0,-4421,-14942,-106221,,21344,-2555.0,-26721,1285,-216.0,0.0,-43768,,,0.0,-6574,0,20648,-5525,-134866,613668,478802,478802,0.0,918.0,0.0,0.0,27157.0,0.0,-38001.0,1096.0,,,-1707.0,,-7807.0,1713.0,65.0,,,,,,,,,,,
