公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 預收款項增加（減少）,　　 發行公司債,　　 存入保證金增加,　　 庫藏股票買回成本,　　 庫藏股票處分,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　 收取之股利,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 其他非流動資產減少,　　 短期借款減少,　　 發放現金股利,　　 其他籌資活動,　　　　 買回應付公司債損失（利益）,　　　　　 預付款項（增加）減少,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 其他金融資產增加,　　 其他非流動資產增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 預付投資款增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他預付款項增加,　　 償還公司債,　　　 收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 對子公司之收購（扣除所取得之現金）,　　　　　 持有供交易之金融資產（增加）減少,　　 取得持有至到期日金融資產
1316,2016年01月01日至2016年09月30日,,-70550,-70550,,,9615,1109,0,-4492,12109,-567,-285,,,,,,-48720,54226,-3205,-368694,-22339,659,-398871,,-60130,122237,-23,1358,227357,-171514,-149587,-220137,567,-11564,-7170.0,-234337,,-16041,,-3744,428,,-133.0,,-19655,,247860.0,192600.0,0.0,,0,-6700.0,183482,-13027,-83537,623994,540457,540457,,,,163915.0,,,,,-3967.0,,594.0,3967.0,,,,,-225000.0,-25278.0,,,-10830.0,,,,31.0,,,,-196.0,0.0,,,,7811.0,21927.0,,0.0,0.0,32.0,
1316,2016年01月01日至2016年06月30日,,-59512,-59512,,,6596,737,0,-3708,5101,-459,-288,,,,,,-51434,43432,4763,-234107,-19062,446,-246097,,-51702,124555,-10340,921,150604,-95493,-82063,-141575,459,-6902,-3200.0,-151218,,-14634,,-2470,432,,-133.0,,-48380,,,163000.0,,,0,1844.0,163844,-6678,-42432,623994,581562,581562,,,,87170.0,,,,,,,244.0,,,,,,-1000.0,,,,9833.0,,,-27464.0,-76.0,,,,212.0,,,,,5207.0,13430.0,,,,32.0,-4247.0
1316,2016年01月01日至2016年03月31日,,-30860,-30860,,,3405,365,0,-2212,3916,-110,-199,,,,,,-75586,88184,5068,-39148,-3273,226,-42055,,-56440,15862,-17311,-765,-16195,-58250,-48875,-79735,110,-3497,,-83122,,-24943,,-446,203,0.0,-133.0,,-24945,,,0.0,,,0,,-40000,-8255,-156322,623994,467672,467672,,,,42459.0,,,,,,,1607.0,,,,,,-40000.0,,,,-17558.0,,,,-913.0,,,,1287.0,,,,,2603.0,9375.0,,,,32.0,
1316,2015年01月01日至2015年09月30日,,-83644,-83644,,,10187,291,-75,4185,13454,-2497,-878,0.0,,,,,-3248,-130759,2810,-112771,-14779,1683,-327773,,47968,-2276,-58895,-577,175827,-151946,-114038,-197682,2497,-10832,-7610.0,-213627,,-108056,0.0,-4213,1301,0.0,-70.0,,-55283,,66000.0,113000.0,-113000.0,,300000,-20832.0,234181,-1818,-36547,792932,756385,756385,,,,189607.0,,0.0,,,,0.0,467.0,,,,,20000.0,-96587.0,-14400.0,,,-70709.0,,,,-3627.0,0.0,0.0,0.0,10062.0,10574.0,,0.0,,12774.0,37908.0,0.0,30000.0,-11254.0,,
1316,2015年01月01日至2015年06月30日,,-58072,-58072,,,6828,194,-74,1977,9373,-1837,-529,0.0,,,,,-14795,-179772,282,-93703,-7120,437,-320010,,51837,48712,-7801,-239,218579,-101431,-75474,-133546,1837,-6930,-6223.0,-144862,,-107061,0.0,-3643,59,,-70.0,,-101141,,0.0,113300.0,0.0,0.0,300000,0.0,382713,-6135,130575,792932,923507,923507,,,,126070.0,,,,,,0.0,-145.0,,,,,,-30587.0,,,,-25339.0,,,-7.0,-1780.0,0.0,0.0,0.0,11361.0,0.0,,,,10170.0,25957.0,,,,,
1316,2015年01月01日至2015年03月31日,,-46955,-46955,,,3444,84,-47,2131,5044,-538,7,0.0,,,,,-4724,-43056,145,-95216,-10752,221,-171870,,61091,64095,-6084,-369,197783,25913,43219,-3736,538,-3325,0.0,-6523,,-73936,0.0,-1688,59,-597.0,-70.0,,-76758,,0.0,113300.0,0.0,,300000,0.0,382713,-2944,296488,792932,1089420,1089420,,,,79050.0,,,,,,,-244.0,,,,,,-30587.0,,,,-18488.0,,,,-526.0,0.0,0.0,,0.0,,,,,7425.0,17306.0,,,,0.0,
1316,2014年01月01日至2014年09月30日,,-125094,-125094,,,14513,507,1580,-2449,13169,-1110,85,-4284.0,,27768.0,,,-5126,88261,-23415,-457275,546,794,-390545,,-24079,-28298,-14019,976,43730,-346815,-319047,-444141,1110,-13082,-11017.0,-467130,,-57457,36019.0,-1404,742,-1126.0,-133.0,0.0,-49107,,151107.0,0.0,-11850.0,,0,-1222.0,107654,2107,-406476,772306,365830,365830,,,,109150.0,,1970.0,,,,3463.0,266.0,,-60000.0,0.0,0.0,0.0,,-13951.0,,0.0,5670.0,,,,-345.0,2028.0,16339.0,,,19458.0,-1200.0,-18400.0,,,,,,,,
1316,2014年01月01日至2014年06月30日,,-76955,-76955,,,9821,335,2406,-1905,9513,-875,63,-4284.0,,17306.0,,,-17424,90014,-19723,-101810,6473,487,-76008,,-7598,-32730,-24445,2064,16779,-59229,-41923,-118878,875,-7788,-6800.0,-132591,,-53326,36019.0,-837,680,0.0,-133.0,,10304,,44400.0,0.0,-11850.0,-30.0,0,-1222.0,31298,-1067,-92056,772306,680250,680250,,,,79488.0,,0.0,0.0,,,3463.0,-131.0,,,0.0,,,0.0,,,,-34025.0,,,,,-1100.0,9495.0,-1200.0,148.0,19458.0,,,,,,,,,,
1316,2014年01月01日至2014年03月31日,,-30136,-30136,,,5066,162,-96,-2309,5488,-215,-92,-4218.0,,-341.0,,,8776,26943,646,-32039,5444,165,-21233,,-11935,37882,-20673,694,44116,22883,22542,-7594,215,-4553,-683.0,-12615,,0,35333.0,-96,160,892.0,,0.0,40048,,39400.0,,-2689.0,,0,-1222.0,35489,7734,70656,772306,842962,842962,,,,38148.0,,,,,,,-2806.0,,,,,,,,,,-31168.0,,,,,-1321.0,3759.0,,,,,,,,,,,,,
1316,2013年01月01日至2013年12月31日,,-206311,-206311,,,53688,579,-10,-11247,26298,-1088,12328,-3731.0,5199.0,147346.0,,,-10150,-11172,-384,-296927,-4119,843,-383345,,3534,4907,36480,141,329166,-54179,93167,-113144,1088,-18375,-10471.0,-140902,,-49110,5772.0,-14137,15581,-22356.0,-11924.0,12154.0,-76093,,-46013.0,240741.0,-14229.0,,633300,-97487.0,520791,9711,313507,458799,772306,772306,,0.0,,284104.0,0.0,-200.0,,,0.0,61994.0,-2311.0,0.0,0.0,8433.0,,,,-1214.0,-194107.0,5647.0,-61436.0,0.0,11340.0,-30025.0,-1821.0,,,,,,,,,,,,,,,
1316,2013年01月01日至2013年09月30日,,-129598,-129598,,,44585,436,1794,-10908,15149,-681,10141,-1670.0,0.0,72617.0,,,8927,4185,880,-316338,-24252,632,-325966,,-2377,12625,-6681,6284,201620,-124346,-51729,-181327,681,-5654,-8550.0,-194850,,-37816,3.0,-15626,13039,-12587.0,0.0,12154.0,-19994,,105987.0,240740.0,-10688.0,,255300,-78601.0,317447,7618,110221,458799,569020,569020,,11154.0,,191769.0,0.0,30.0,,,0.0,4814.0,-2197.0,0.0,8433.0,0.0,11340.0,1066.0,0.0,-1214.0,-194107.0,,,,,,,,,,,,,,,,,,,,,
