公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 其他金融負債增加,　　 發放現金股利,　　　　　 應付票據增加（減少）,　　 現金增資,　　　　 股份基礎給付酬勞成本,　　 其他金融資產減少,　　　　 金融資產減損損失,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　 收取之股利,　　 持有至到期日金融資產到期還本,　　 對子公司之收購（扣除所取得之現金）,　　　　　 應付帳款－關係人增加（減少）,　　 其他籌資活動
1338,2016年01月01日至2016年09月30日,,595229,595229,,,339499,4541,10263,21603,-19507,3684,12177,4425,,,,-77785,402645,45671,-76270,-23662,-2629,267970,,-134887,11955,2877,-8643,,-207979,59991,479656,1074885,19507,-22549,-155673,924786,,,-344079,34794,-24976,,-188439,,-56089,-615097,,,92773,230985.0,-117421,139535.0,-31408,-198734,79547,2315158,2394705,2394705,-45421.0,,-377280.0,0.0,,,9113.0,42980.0,,,419665.0,8616.0,,,-79281.0,0.0
1338,2016年01月01日至2016年06月30日,,401390,401390,,,232329,2661,97,13835,-13868,2038,7912,8793,,,,-57187,381579,43106,-19361,1817,3133,353087,,-297813,48038,1688,652,-134344.0,-381779,-28692,254277,655667,13868,-12887,-111466,553954,,,-212591,6049,-11335,,-196146,,715,-453448,,,-113901,230673.0,-55726,39751.0,100797,-106448,94855,2315158,2410013,2410013,-46243.0,,,0.0,,,6103.0,29172.0,,,282969.0,8772.0,,,,
1338,2016年01月01日至2016年03月31日,,234494,234494,,,116924,1135,-112,6692,-6253,-3031,2392,10740,,,,-60313,303468,5834,-21123,41472,-10644,258694,,-195223,10431,-12413,-16277,-123431.0,-336913,-78219,64982,299476,6253,-6620,-64105,235004,,,-94307,1944,-1011,,-56345,,360,-145585,,,-114901,51557.0,-8264,,-71608,-32339,-14528,2315158,2300630,2300630,0.0,,,0.0,,,3774.0,14714.0,,,143201.0,,,,,
1338,2015年度,,996669,996669,,,430170,6560,440,21324,-25079,-1219,-3172,42908,,,,7299,487872,11191,37797,-50061,-11631,482467,,-620112,-8203,13212,-2776,52557.0,-605377,-122910,364427,1361096,25079,-21869,-239435,1133715,,0.0,-448114,37110,-4048,29427.0,-315333,,1441,-776338,,,38256,620119.0,-117336,146214.0,377045,-26334,708088,1607070,2315158,2315158,-120372.0,,-310208.0,-40055.0,0.0,,,15405.0,0.0,,487337.0,8844.0,0.0,43551.0,,
1338,2015年01月01日至2015年09月30日,,711197,711197,,,318116,4992,400,16017,-18810,3372,846,24782,,,,-23342,358191,-34528,29905,858,-16904,314180,,-381180,6279,36331,-24295,-14378.0,-417616,-103436,258912,970109,18810,-14237,-191281,788749,,0.0,-300591,29702,-3568,,-235719,,1089,-539670,,,190796,194127.0,-51242,106043.0,129516,10291,388886,1607070,1995956,1995956,-57149.0,,-310208.0,-40373.0,0.0,,26566.0,12633.0,,,362348.0,5348.0,,,-14378.0,0.0
1338,2015年01月01日至2015年06月30日,,477211,477211,,,205307,2845,-20,10361,-10770,5471,-5124,-2921,,,,20270,130937,39835,-5356,-7519,-41077,137090,,-283065,-535,50030,-1780,-19828.0,-294886,-157796,52077,529288,10770,-11244,-137801,399780,,,-178521,20333,-2584,,-127126,,714,-320394,,,309337,61265.0,-30831,106043.0,445814,-46091,479109,1607070,2086179,2086179,-56208.0,,0.0,-39708.0,,0.0,22998.0,4724.0,,,209873.0,8767.0,,,,
1338,2015年01月01日至2015年03月31日,,237063,237063,,,101432,1604,-11,5019,-5372,161,-658,-218,,,,4002,531039,36359,-9309,797,-22727,540161,,-322466,-1303,61875,-18214,-40740.0,-360944,179217,281174,518237,5372,-5908,-84897,432804,,,-79302,10320,-9106,,-24140,,361,-102905,,,111137,62143.0,-11695,,161585,11651,503135,1607070,2110205,2110205,-20235.0,,,-40096.0,,,19197.0,,,,101957.0,,,,,
1338,2014年度,,889498,889498,,,377203,8081,-2643,26303,-19042,3454,15857,55890,474385.0,,,12641,66690,40092,-19769,36503,60723,196880,,-296462,-36219,-70548,17291,-43565.0,-418341,-221461,252924,1142422,19042,-26012,-244833,890619,,-3028.0,-378975,86160,-13881,50590.0,-62386,,16265,-473376,,,-347661,0.0,-324561,0.0,-265760,68179,219662,1387408,1607070,1607070,-168121.0,0.0,-195250.0,11162.0,713269.0,,,9282.0,-111557.0,,,,,,,
1338,2014年01月01日至2014年09月30日,,605926,605926,,,280145,4871,-2583,23814,-13676,4211,18614,42880,358276.0,,,13723,281298,59011,14121,39470,93074,500697,,-411282,5115,-77554,23325,-38422.0,-476587,24110,382386,988312,13676,-21313,-190866,789809,,-3008.0,-241496,55815,-4631,,-19733,,15811,-319699,,,-563875,0.0,-311128,0.0,-356984,20158,133284,1387408,1520692,1520692,-170440.0,0.0,-195250.0,22231.0,713269.0,,47983.0,,,,,,,,,
1338,2014年01月01日至2014年06月30日,,401916,401916,,,186041,3325,-2464,17257,-10127,3692,13246,32492,246166.0,,,-10975,-176117,65240,7038,40421,12310,-62083,,-222606,-999,-59622,25910,-60499.0,-323209,-385292,-139126,262790,10127,-14655,-126173,132089,,,-135281,9523,-4425,0.0,-17429,,15490,-194354,,,-41300,,-100869,0.0,-337419,-24877,-424561,1387408,962847,962847,-69183.0,0.0,-195250.0,-5393.0,,2704.0,6951.0,,,,,,,,,
