公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分無形資產,　　 取得投資性不動產,　　 長期應收租賃款增加,　　 其他金融資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　 償還公司債,　　 存入保證金減少,　　 發放現金股利,　　 持有至到期日金融資產到期還本,　　 以成本衡量之金融資產減資退回股款,　　 其他金融資產減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　　　　 應付建造合約款增加（減少）,　　 處分子公司,　　　　 投資性不動產公允價值調整損失(利益),　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　　　 已實現銷貨損失（利益）,　　 其他應收款增加,　　 其他非流動資產增加,　　　　 非金融資產減損損失,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 現金增資,　　 預付設備款減少
1402,2016年01月01日至2016年09月30日,,11686421,11686421,,,11335885,3082651,434117,1826984,-278497,-200268,-811273,699747,25201.0,111,,,,24078,,,,557886,,,82375,21643,,3737661,,-140503,3520730,,13065,,,,-629060,,47767,651731,445169,,-31557,390023,3910753,18087243,29773664,269727,3125926,-1754167,-1773654,29641496,,-6420,202059,,,-139262,111959,-14692674,17815,12055,125740.0,-8829711,5.0,-1723,-271595,489331.0,-29821,,-22716360,,8235462,3056000,15600000.0,110126865,-116032497,55160.0,-23848,91822.0,-5200344,-74109,1650683,40878814,42529497,42529497,-39780.0,,-746248.0,0.0,-13329500.0,,-12979808.0,,,,7916.0,,701393.0,-82870.0,0.0,0.0,46934.0,,-1746402.0,,,,14176490.0,-772549.0,295728.0,-278.0,,,-175786.0,,,,154.0
1402,2016年01月01日至2016年06月30日,,7789947,7789947,,,7484677,2038502,268843,1223634,-197272,-185315,-651040,355598,25201.0,69,,53117.0,,6206,,,,662125,,,-309846,336354,,2608897,,77395,1762959,,65292,,,,-1043837,,41670,418029,393178,,-164126,845840,2608799,11693534,19483481,187813,724078,-1199213,-865559,18330600,,-6420,202059,,,-81702,111959,-9521473,8684,-56153,-292450.0,-8631612,154.0,-1077,-195847,,-6236,,-17308694,,2228310,-1111000,11800000.0,70265678,-69379357,53323.0,-5709,-22400.0,3441187,-107371,4355722,40878814,45234536,45234536,-15454.0,,-672326.0,,-10479500.0,,,,,717551.0,-939640.0,,1013961.0,191185.0,,0.0,-8799.0,,-1131101.0,,,,9084735.0,-60713.0,443869.0,-278.0,,,-190652.0,,,91842.0,
1402,2016年01月01日至2016年03月31日,,3564557,3564557,,,3718976,978011,106455,623388,-89942,-2792,-113458,138670,25201.0,0,,4787.0,,-15128,,,,1337670,,,18617,680049,,1123641,,61810,3954611,,318066,,,,-2189249,,10005,10911,110332,,-32051,163588,4118199,8298113,11862670,87886,2792,-531015,-95011,11327322,,-3739,202059,,,-58390,112096,-4963345,31676,-12518,364390.0,-222699,,-5147,-186,-8180054.0,-8618,,-11672648,,2232065,864000,0.0,34451834,-33204623,-7013.0,-1035,,1335155,-244897,744932,40878814,41623746,41623746,-16425.0,,-510756.0,,-3000000.0,,-73.0,,,553609.0,1243580.0,,1701606.0,91754.0,,0.0,158053.0,,-1028482.0,,,,4179914.0,-15839.0,518218.0,,,,-149347.0,,,,
1402,2015年度,,19700673,19700673,,,14310140,3954803,268113,2450149,-483727,-230007,-2721771,960258,-941564.0,616,,180574.0,,-116318,,,,-2873779,,,1313023,1207888,,-2443256,,133261,2584891,,-807,,,,143431,,66312,-167413,-301075,,-36723,1716635,4301526,16442395,36143068,505819,4186716,-2423380,-4374190,34038033,,-753486,818285,,0.0,-776192,33025,-24117793,2366380,-129866,-3246100.0,-993621,479.0,-244552,-180336,-239820.0,-820629,,-28080172,,-3055744,1938000,23600000.0,209820146,-196534129,-53870.0,-14989,435874.0,8553893,381641,14893395,25985419,40878814,40878814,-665900.0,-555.0,1165863.0,-66802.0,-13350000.0,,-14231395.0,0.0,,154.0,4081891.0,,2107495.0,-132242.0,-159449.0,66347.0,10102.0,0.0,-4658509.0,,,,12140869.0,27555.0,,,,-582440.0,-165433.0,946244.0,0.0,,
1402,2015年01月01日至2015年09月30日,,16581363,16581363,,,10497014,2956438,208875,1832484,-390743,-228904,-2275289,605641,-983629.0,522,,122127.0,94500.0,5315,,,,-268906,,,1456657,1588125,,-1327139,,-102193,6306881,,20362,,,,-141353,,30246,136519,332978,,-32019,1830847,8137728,16384030,32965393,412345,4156666,-1774562,-4415139,31344703,,-198559,816810,,,-568455,13425,-16317546,67930,-160766,-100000.0,-662070,478.0,-244552,-176512,-135044.0,118212,,-17959466,,950197,14088000,13600000.0,152334616,-149340951,56337.0,-22434,566337.0,5703335,83486,19172058,25985419,45157477,45157477,-633800.0,-278.0,263539.0,-66802.0,-12350000.0,,-14178767.0,0.0,0.0,38.0,4696798.0,,1345298.0,,-159449.0,66347.0,319030.0,0.0,-3563971.0,,,,8246302.0,-180214.0,1720486.0,,,-1973437.0,,,,,
1402,2015年01月01日至2015年06月30日,,13355615,13355615,,,6854654,1918716,160047,1213084,-259798,-204400,-1567886,432451,-983629.0,409,,120704.0,-123872.0,-180,,,,-459903,,,1004626,1962196,,-3080451,,-147024,-406776,,18515,,,,20270,,26190,60107,495970,,227,2613025,2206249,5889814,19245429,210366,406293,-1155354,-3034368,15672366,,-32209,212850,,,-548960,13425,-11921644,64042,-135863,,-485665,477.0,-244552,-2998,-105750.0,123178,,-11915003,,1157927,1879000,10600000.0,124687145,-117577155,-17880.0,-28145,490917.0,16541809,-69542,20229630,25985419,46215049,46215049,-79647.0,,59287.0,,-4650000.0,,,,,647875.0,254493.0,,2331456.0,-178244.0,,66347.0,-27448.0,0.0,-3796810.0,,,,3683565.0,-134018.0,434444.0,-278.0,0.0,,,,,,
1402,2015年01月01日至2015年03月31日,,6978106,6978106,,,3343717,868222,79104,646867,-153014,0,-382636,109406,-983629.0,511,,119160.0,-27585.0,-32681,,,,822248,,,1316085,1645328,,-1691704,,-116657,3645359,,7606,,,,-644894,,22825,94311,-410101,,48420,701629,4346988,5449230,12427336,163357,0,-525127,-1419425,10646141,,-4228,56700,,,-342738,0,-6040926,15201,-72402,0.0,-227059,,-239938,-176,-60528.0,138304,,-6589035,,-1245074,1844000,2600000.0,64518769,-61100051,-22806.0,-5713,,6589125,-35888,10610343,25985419,36595762,36595762,-6700.0,,-99013.0,,,,,,,-65396.0,1769072.0,,1833928.0,-184830.0,,66347.0,22655.0,0.0,-2478500.0,,,,1102242.0,-88291.0,187804.0,,,,,,,,
1402,2014年度,,21598059,21598059,,,13821978,3086032,283862,1934871,-482434,-687663,-4293787,879765,,6478,,153155.0,1025.0,-20996,8401329.0,,,67572,,,-813125,-865592,12069.0,2179417,,-880341,-1592888,,217,,,,1696316,-2688.0,104229,15158,-24420,-231702.0,-49908,-2199249,-3792137,4609192,26207251,472415,4601081,-1888711,-2321714,27070322,,-127922,330734,0.0,8348.0,-2949573,37395,-28367682,189798,-114850,-19000.0,-909863,1067.0,-11803,-145448,-1018143.0,-242347,,-34475376,,-415188,-455000,8400000.0,200844269,-179786649,49909.0,-68468,853126.0,6014410,730489,-660155,26645574,25985419,25985419,-57742.0,-556.0,-1028244.0,0.0,-8750000.0,,-14657589.0,100000.0,0.0,1312777.0,-264644.0,,-3656601.0,252054.0,0.0,,-301904.0,-857294.0,-6222659.0,-1722570.0,31000.0,,,,,,,,,,,,
1402,2014年01月01日至2014年09月30日,,17904746,17904746,,,10372447,2211855,226338,1405442,-334836,-170531,-3151662,681187,,1329,,34692.0,40190.0,-22228,6415595.0,,,447422,,,-550245,-231797,244685.0,1083427,,-1338085,-4160531,,43992,,,,1291931,52625.0,84015,-180101,-33247,-211562.0,324846,1496897,-2663634,3751961,21656707,266175,4076068,-1383853,-2200661,22414436,,-72588,330734,-512921.0,0.0,-2529090,53366,-21665282,171618,-85684,-213303.0,-642182,,-6776,-144591,-1056345.0,8870,,-26205031,,1097867,849000,6200000.0,138999063,-121079684,73456.0,-98334,433931.0,5091656,682094,1983155,26645574,28628729,28628729,-73713.0,-278.0,-1835142.0,0.0,-7250000.0,,-14133643.0,100000.0,8348.0,908089.0,-1980796.0,,346472.0,-14131.0,0.0,,-207943.0,-857294.0,-4804637.0,,,,,,,,,,,,,,
1402,2014年01月01日至2014年06月30日,,12852386,12852386,,,6933761,1404147,169826,907016,-205705,-142662,-2586387,464529,,1329,,19792.0,2404.0,-9503,3709896.0,,,-134406,-1791557.0,255457.0,-962730,-27718,71045.0,1736494,,-1091354,-2867457,,5869,422679.0,280680.0,,57959,19700.0,61194,-199659,1157136,-138322.0,158817,2197961,-669496,3040400,15892786,153608,134424,-915800,-1039260,14225758,,-22588,166200,-158569.0,,-2126294,56111,-14924264,76190,-43079,-19000.0,-436057,0.0,-5994,-144945,-1031936.0,-64541,,-19429154,,-1317778,-1387000,3000000.0,104393285,-86756095,34206.0,-78849,434850.0,15572619,62735,10431958,26645574,37077532,37077532,-61924.0,-278.0,-922688.0,0.0,-2750000.0,,,,,106906.0,,,,,,,371908.0,-857294.0,-3186449.0,,,,,,,,,,,,,,
