公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　 非控制權益變動,　　 取得持有至到期日金融資產,　　 發放現金股利,　　　　 股利收入,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 取得無活絡市場之債券投資,　　 其他非流動資產增加,　　　　 未實現外幣兌換損失（利益）,　　 短期借款增加,　　 持有至到期日金融資產到期還本,　　　　　 其他營業負債增加（減少）,　　 現金減資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 存出保證金增加,　　 預付設備款減少
1410,2016年01月01日至2016年09月30日,,115452,115452,,,38038,,220,-3208,-294,,,,-2313,7446,132,7112,1082,13459,,-1645,1935,-2988,498,,-7536,5923,39273,154725,3208,-220,-26658,131943,,2472.0,-38891,486.0,,-52492,,,,-102466.0,-23015,439502,416487,416487,-470.0,-48.0,,-8866.0,-6256.0,-93600.0,-888.0,,888.0,,,0.0,,,-5336.0,,,33350.0,-12004.0,0.0,-3000.0,,-4.0,4705.0
1410,2016年01月01日至2016年06月30日,,83067,83067,,,25313,0.0,61,-2208,-294,,,,-1454,-12091,62,7248,1040,-5195,,582,3592,-5199,540,,-6265,-11460,11242,94309,2208,-61,-14253,82410,,0.0,-34635,486.0,,-76475,,,,,5935,439502,445437,445437,37.0,0.0,,,,,-207.0,,207.0,,,,,,-5780.0,,,22702.0,-39326.0,0.0,-3000.0,0.0,,
1410,2016年01月01日至2016年03月31日,,38601,38601,,,12600,,31,-1063,-357,,,,4808,749,205,2444,1400,9606,,-1401,5549,-8830,73,,-5866,3740,14815,53416,1063,-31,-40,54408,,,-14367,486.0,,-76481,,,,,-22073,439502,417429,417429,-136.0,,,,,,,,,,,0.0,,,-1257.0,,,11075.0,-59600.0,,-3000.0,,,
1410,2015年度,,153531,153531,,,57780,,140,-6343,97,,,,-2435,2226,241,1507,875,2414,,877,2233,4643,-126,,-5525,-3111,53456,206987,6343,-140,-26762,188095,,8491.0,-43935,150.0,,16901,,,10.0,-93483.0,111513,327989,439502,439502,7019.0,-726.0,,-7093.0,,-86400.0,-1667.0,,1667.0,,0.0,267.0,,,-13152.0,0.0,,56567.0,47803.0,4392.0,,,,
1410,2015年01月01日至2015年09月30日,,119763,119763,,,44201,,105,-4476,67,,,,-2814,7167,443,-1544,-860,2392,,21,7866,-436,1095,,10102,12494,50769,170532,4476,-105,-26575,149842,,2182.0,-33779,150.0,,-11024,,,,-93493.0,45325,327989,373314,373314,0.0,-375.0,,-7093.0,,-86400.0,-1514.0,,1514.0,,0.0,267.0,,,1556.0,,,38275.0,16031.0,4392.0,,,,
1410,2015年01月01日至2015年06月30日,,77287,77287,,,30353,267.0,70,-3316,56,,,,-11938,-9834,292,-3453,-2279,-27212,,2363,17812,1105,22,,22397,-4815,21890,99177,3316,-70,-15615,87158,,,-27297,150.0,,-20417,,,,,66741,327989,394730,394730,0.0,-375.0,2182.0,,,,-350.0,,350.0,,,,,,1095.0,,,26705.0,156.0,4392.0,,,,
1410,2015年01月01日至2015年03月31日,,29115,29115,,,15048,,35,-1819,0,,,,9524,-2274,441,1515,494,9700,,713,5655,-8713,716,,-1166,8534,21847,50962,1819,-35,-175,52571,,,-13940,,,38263,,,,,90834,327989,418823,418823,0.0,,,,,,,,,,,49.0,,,463.0,,,13313.0,52203.0,,,,,
1410,2014年度,,135361,135361,,,76576,,140,-6745,1284,69484.0,,,-5616,564,-418,-4156,-188,-9814,,-1581,-8052,5549,-2454,,-10777,-20591,48893,184254,6745,-140,-11966,180576,,1433.0,-51042,518.0,,-16407,,,,-265256.0,-101087,429076,327989,327989,94.0,78.0,0.0,-4256.0,,-81000.0,-1683.0,,1683.0,32687.0,-3.0,-260.0,,0.0,-4239.0,-180000.0,,,,,,,,
1410,2014年01月01日至2014年09月30日,,100219,100219,,,58747,,105,-5634,790,52620.0,,,-16508,-11214,-59,-11559,-398,-39738,,1494,-2041,2713,-1023,-2249.0,-1106,-40844,11776,111995,5634,-105,-11856,107174,,1433.0,-44196,518.0,,-21441,,,,-85256.0,477,429076,429553,429553,127.0,78.0,0.0,-4256.0,,-81000.0,-1506.0,,1506.0,20807.0,-3.0,-87.0,,0.0,,,,,,,,,,
1410,2014年01月01日至2014年06月30日,,51890,51890,,,39690,,70,-2526,384,37362.0,,,-10612,-10520,-273,-13470,50,-34825,,3829,12392,9943,-2118,-2780.0,21266,-13559,23803,75693,2526,-70,-5793,72697,,1433.0,-40345,117.0,,-68215,,,,-4256.0,226,429076,429302,429302,16.0,78.0,0.0,-4256.0,,,-341.0,,341.0,-29420.0,,-9.0,,,,,,,,,,,,
