公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 其他非流動負債增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 收取之股利,　　 取得以成本衡量之金融資產,　　 取得投資性不動產,　　 發放現金股利,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產減少,　　 應付短期票券減少,　　 其他非流動負債減少
1417,2016年01月01日至2016年09月30日,,-155804,-155804,,,83562,280,2752,-12021,5379,-3145,12288,2,-116370,3182,,,,-1773,59996,-148629,-109932,19342,-180996,,79908,-41854,-10415,2090,,-46479,-227475,-248502,-404306,-5735,-410041,,,212139.0,,-17024,479,4740.0,-1200,,3145,377224,,50000,-202021.0,20,-3025,-155026,-29811,-217654,856994,639340,639340,42744.0,-39680.0,,,39680.0,,,,,,,,-21027.0,-76208.0,,134627.0,638.0,,
1417,2016年01月01日至2016年06月30日,,-68177,-68177,,,58079,190,1769,-4785,3788,-2485,7607,148,-116383,627,,,,18227,54714,53265,50823,13811,190840,,15418,-30954,-14637,7671,,-99156,91684,25264,-42913,-4891,-47804,,,212295.0,,-12185,228,3921.0,70965,,2485,287950,,0,-151520.0,-22,-2031,-153573,-18481,68092,856994,925086,925086,-5177.0,-9798.0,,,9798.0,,,,,,,,-66420.0,-76654.0,,,443.0,,
1417,2016年01月01日至2016年03月31日,,-121101,-121101,,,30903,97,884,-2329,1858,-1175,2137,74,-1253,2998,,,,0,-17965,74203,-18902,-9162,28174,,57337,-39847,-7044,7603,,-57052,-28878,-34165,-155266,-369,-155635,,,14510.0,,-10200,253,5295.0,44704,,1175,55800,,20000,-909.0,-93,-902,18096,-8078,-89817,856994,767177,767177,-39481.0,,,,,,,,,,,,-5287.0,-75101.0,,,63.0,,
1417,2015年度,,-380135,-380135,,,182136,384,4809,17025,11213,-9702,14660,-446,-85088,-935,,,,119510,68689,-325203,303536,-17383,149149,,5309,24070,9869,3710,,40418,189567,415154,35019,-1340,33679,,,84925.0,0.0,-125735,2105,-2588.0,-25235,1148.0,9702,-4465,,-50000,-134182.0,852,-7180,-190510,2446,-158850,1015844,856994,856994,142744.0,-51213.0,,0.0,51213.0,,,0.0,,,,,225587.0,-2540.0,,,,,
1417,2015年01月01日至2015年09月30日,,-311915,-311915,,,123868,288,5961,29373,8537,-7933,8186,-377,-21491,-1347,,,,67502,63285,-564662,236033,-50789,-248631,,43491,5047,2172,-144,,47441,-201190,-53495,-365410,-1137,-366547,,,,0.0,-90537,1534,,0,,7933,102999,,200000,,1871,-5599,43058,15666,-204824,1015844,811020,811020,53818.0,-51188.0,0.0,0.0,51188.0,,,0.0,,,,,147695.0,-3125.0,2077.0,130358.0,446.0,-153214.0,0.0
1417,2015年01月01日至2015年06月30日,,-182581,-182581,,,82921,191,5050,2562,5651,-6246,4719,-152,-5434,1592,,,,40730,3259,-173869,208223,-12042,66301,,29220,-8013,-3026,2219,,16660,82961,172216,-10365,-1083,-11448,,,,0.0,-66730,1308,1250.0,102433,-99.0,6246,63309,,190000,-152188.0,-1725,-3674,32413,-5342,78932,1015844,1094776,1094776,17302.0,-18901.0,,0.0,18901.0,,,,,,,,89255.0,-3740.0,,,,,
1417,2015年01月01日至2015年03月31日,,-92584,-92584,,,41079,97,2986,809,2930,-3065,1005,-152,-5434,533,,,,70790,-18286,-201093,139026,-14356,-23919,,137272,-37015,-4858,4426,,100335,76416,135019,42435,-279,42156,,,,0.0,-42902,152,947.0,28092,360.0,3065,-10286,,160000,-151281.0,-202,-1988,6529,-1368,37031,1015844,1052875,1052875,17815.0,,,0.0,,,,,,,,,58603.0,510.0,,,,,
1417,2014年度,,19923,19923,,,133177,377,-7679,-10463,9510,-22825,-341,-1420,-33102,-7743,32950.0,,,151475,42930,-232933,-281614,-2557,-322699,,-10847,-31425,1704,-14745,2019.0,-53294,-375993,-343043,-323120,-29319,-352439,,,,8606.0,-145879,0,-1689.0,-174152,8346.0,22825,-206932,,30000,116653.0,-6083,-6489,58104,35345,-465922,1481766,1015844,1015844,19926.0,-46467.0,,4549.0,46467.0,0.0,0.0,-75977.0,0.0,23995.0,0.0,,,,,,,,
1417,2014年01月01日至2014年09月30日,,3903,3903,,,94798,281,-8292,-7529,6876,-18840,-5485,-4260,-33356,-1693,-17659.0,,,105686,52411,-353835,-102073,-33941,-331752,,6461,2611,-2913,-810,1530.0,6879,-324873,-342532,-338629,-32874,-371503,,0.0,,8606.0,-99459,0,4001.0,0,-14929.0,18840,-32534,,190000,-52143.0,-4510,-4739,52631,4997,-346409,1481766,1135357,1135357,5983.0,-46142.0,,4265.0,46142.0,0.0,0.0,-75977.0,,,,,,,,,,,
1417,2014年01月01日至2014年06月30日,,79473,79473,,,63276,188,-7268,-12061,4352,-13962,-11653,2,-11177,1056,-21035.0,,,103530,101902,40302,-58205,6950,194479,,-9676,-43384,-9500,2955,1034.0,-58571,135908,114873,194346,-29034,165312,,0.0,,8606.0,-68558,0,4388.0,0,-17021.0,13962,-37443,,100000,-151448.0,-3369,-2852,-57669,-22741,47459,1481766,1529225,1529225,-12608.0,-16928.0,-4252.0,4252.0,16928.0,,,,,,,,,,,,,,
1417,2014年01月01日至2014年03月31日,,92960,92960,,,29625,95,-7530,-7909,2272,-6977,-15869,-4226,-7390,-1621,,,,129733,33581,-64960,-37644,7428,68138,,-9706,-71958,-7207,-10339,,-98716,-30578,-39776,53184,-8325,44859,,,,8606.0,-25852,0,5141.0,0,-757.0,6977,-1659,,-10000,-50902.0,-4499,-1503,-66904,4732,-18972,1481766,1462794,1462794,10332.0,,,4226.0,,,,,,,,,-9198.0,494.0,,,,,
1417,2013年度,,32223,32223,,,94592,371,11255,-18308,9848,-39892,18959,-318,-87592,-746,67862.0,,,-133849,-27358,-114318,-10050,3380,-282195,,-122313,12228,-1500,-1671,-1660.0,-114916,-397111,-329249,-297026,-53461,-350487,,,,6804.0,-104744,1132,-10257.0,53152,1962.0,39892,71249,,120000,-53613.0,-3077,-5545,-132177,72553,-338862,1820628,1481766,1481766,129763.0,-50070.0,,0.0,50070.0,-454.0,-134.0,-189942.0,-14845.0,92891.0,-44220.0,,,,,,,,
1417,2013年01月01日至2013年09月30日,,-81926,-81926,,,69629,278,5757,-9803,7365,-32516,9237,9,-5412,443,108434.0,,,7052,-16216,-294193,-78153,-26626,-408136,,-14781,-45636,-2508,-15483,-2094.0,-80502,-488638,-380204,-462130,-53597,-515727,,-14867.0,,6804.0,-72317,769,-3899.0,53053,-50579.0,32516,-8028,,210000,-32805.0,606,-4136,-16277,54696,-485336,1820628,1335292,1335292,104527.0,-41080.0,,0.0,41080.0,-454.0,-134.0,-189942.0,,,,,,,,,,,
1417,2013年01月01日至2013年06月30日,,-52732,-52732,,,45061,185,3067,-1615,4931,-21998,4063,-165,-5170,-1645,94748.0,,,7670,180,5152,-10598,-28861,-26457,,-21996,-43781,-4693,1688,-536.0,-69318,-95775,-1027,-53759,-48562,-102321,,-14834.0,0.0,6804.0,-35668,769,-1240.0,-639078,-50580.0,21998,-711829,,140000,-1836.0,-2719,-2656,132789,59880,-621481,1820628,1199147,1199147,68034.0,,,,,,,,,,,,,,,,,,
1417,2013年01月01日至2013年03月31日,,-2619,-2619,,,22772,92,1350,-5908,2378,-10711,1167,-237,-5093,-12199,-6389.0,,,6636,-40308,-105110,-52449,-575,-191806,,7164,-63367,-6783,-11833,398.0,-74421,-266227,-272616,-275235,-13650,-288885,,-14741.0,0.0,6804.0,-10913,464,-437.0,-683888,-53577.0,10711,-745577,,230000,-100876.0,-1809,-1141,126174,37995,-870293,1820628,950335,950335,,,,,,,,,,,,,,,,,,,
