公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 收取之股利,　　 短期借款增加,　 匯率變動對現金及約當現金之影響,　　　　　 其他營業負債增加（減少）,　　 應付短期票券減少,　　 存出保證金增加,　　 預付設備款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 庫藏股票處分,　　 其他籌資活動,　　 非控制權益變動,　　　　 其他項目,　　 其他金融資產增加
1418,2016年01月01日至2016年09月30日,,-111972,-111972,,,60202,0,14804,-170,1333,,,,930,,-8854,,447,10572,1852,-679,4268,,-233,4290,-39336,-7531,,-813,,-57901,-53633,17615,-94357,170,-14965,-16,-109168,,-23908,,-27083,,,,,122959,-13256,50695,37439,37439,-8840.0,0.0,-236.0,,299.0,8840.0,122959.0,36.0,-91.0,,,,,71248.0,-14187.0,0.0,0.0,,4155.0,-12314.0
1418,2016年01月01日至2016年06月30日,,-54092,-54092,,,40435,0,9877,-165,863,,,,-1213,,-646,,1443,-35784,569,-24352,-59983,,-274,12239,58223,-4574,,334,,56633,-3350,36960,-17132,165,-9403,-16,-26386,,-8324,,-8025,,0.0,,,23631,-10780,50695,39915,39915,0.0,,-206.0,,299.0,0.0,23631.0,,-106.0,,,,,40310.0,-9209.0,0.0,,,-10494.0,
1418,2016年01月01日至2016年03月31日,,-25099,-25099,,,20391,0,4920,-132,416,,,,-91,,-13377,,-989,-35961,-7053,-28497,-85968,,-55,15522,81518,-5263,,295,,87459,1491,25360,261,132,-4683,0,-4290,,-510,-1816.0,-3372,,6419.0,,,6419,-1243,50695,49452,49452,,,-1726.0,,,,,,-107.0,,-1046.0,,,23869.0,-4451.0,0.0,,,,
1418,2015年度,,-177171,-177171,,,92297,288,19515,-228,5465,,,,5548,,42766,,-2973,82631,578,8087,136637,,226,-2624,-45011,10772,,295,,-51128,85509,185512,8341,228,-20117,37,-11511,,-40362,,-20834,,,,0.0,32399,54,50641,50695,50695,-17015.0,-619.0,300.0,619.0,0.0,17015.0,18440.0,0.0,24.0,,,1894.0,,100003.0,-14810.0,15459.0,,-1500.0,,
1418,2015年01月01日至2015年09月30日,,-108986,-108986,,,69535,216,14412,-196,1719,,,,5245,,29578,,2303,24783,147,-3615,58441,,11,-8932,-28914,2703,,-384,,-46383,12058,83901,-25085,196,-14744,34,-39599,,-31046,-3509.0,-17540,,,,0.0,46057,-11082,50641,39559,39559,-17015.0,0.0,3172.0,0.0,0.0,17015.0,32098.0,0.0,-82.0,,,,,71843.0,-10785.0,15459.0,-1500.0,,,
1418,2015年01月01日至2015年06月30日,,-86283,-86283,,,46650,144,9771,-189,1161,,,,5165,,24209,,1538,79962,3106,7929,121909,,-85,-2541,-42757,2823,,-435,,-50181,71728,112293,26010,189,-10413,34,15820,,-20940,-156.0,-4151,,-22636.0,,0.0,-7177,4492,50641,55133,55133,-16945.0,0.0,-27.0,0.0,0.0,16945.0,0.0,0.0,-97.0,,,,,40565.0,-7089.0,15459.0,,,,
1418,2015年01月01日至2015年03月31日,,-60814,-60814,,,23152,73,4791,-148,438,,,,2201,,22827,,1405,-76161,-6795,-7359,-63882,,62,-8800,-63092,5282,,-435,,-70691,-134573,-107236,-168050,148,-4590,34,-172458,,-9339,-3604.0,-12943,,167977.0,,0.0,170060,-15341,50641,35300,35300,,,-969.0,,,,,0.0,-112.0,,0.0,,,27337.0,-3596.0,2083.0,,,,
1418,2014年度,,-157239,-157239,,,100732,287,17235,-194,3300,100930.0,,,3714,0.0,-31823,0.0,1145,-63054,1642,-35538,-123914,,-1385,-1947,-94700,-14772,,742,-13985.0,-125973,-249887,-148957,-306196,194,-17034,-3,-323039,,-43866,0.0,-12434,,0.0,,-15400.0,325596,-9877,60518,50641,50641,-23711.0,-35.0,3316.0,2180.0,5464.0,23711.0,340996.0,0.0,74.0,0.0,,77.0,,,,,,,,
1418,2014年01月01日至2014年09月30日,,-93540,-93540,,,76721,216,12908,-176,1447,68010.0,,,3880,0.0,-11090,,-3052,-117783,-4899,-882,-133826,,-1356,-4233,-97287,-8943,,581,-10498.0,-121772,-255598,-187588,-281128,176,-12613,-3,-293568,,-36792,-5068.0,-12572,,,,-11700.0,287403,-18732,60518,41786,41786,-23711.0,116.0,489.0,113.0,5464.0,23711.0,299103.0,5.0,-36.0,,,,,,,,,,,
1418,2014年01月01日至2014年06月30日,,-50198,-50198,,,51944,144,8538,-171,1085,36249.0,,,591,0.0,-25605,,-11047,-168862,836,-890,-204977,,866,-3972,-133150,-8562,,133,-7086.0,-151820,-356797,-320548,-370746,171,-8132,-2,-378709,,-23214,-5880.0,-4883,,,,-7800.0,379917,-3676,60518,56842,56842,-23634.0,116.0,-1773.0,113.0,464.0,23634.0,387717.0,-1.0,-49.0,,,,,,,,,,,
