公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分投資性不動產,　　 其他預付款項增加,　　 處分子公司股權（未喪失控制力）,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 發放現金股利,　　 預付設備款增加,　　 短期借款增加,　　 存入保證金減少,　　 非控制權益變動,　　 處分子公司,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　　　 呆帳費用提列（轉列收入）數,　　 應付短期票券增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分持有至到期日金融資產,　　 應付短期票券減少,　　　　 金融資產減損損失,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 其他非流動資產增加
1419,2016年01月01日至2016年09月30日,,129270,129270,,,81690,2586,22802,-501,-221222,-4198,266.0,17580,14771,,,,,2654,2447,66029,-75533,-11261,15398,-266,,-27742,30233,72543,4155,375,,75786,75520,-6169,123101,-23058,-298.0,99745,,-139196.0,,-20666,-302.0,0.0,-53.0,501,221222,-1529,,,5703,149211,-15182,232245,514142,746387,746387,,,,,,3280.0,180234.0,8168.0,220.0,-1491.0,-103835.0,-10183.0,207000.0,,0.0,,-15000.0,,-960.0,40343.0,,-81689.0,-3778.0,0.0,0.0,2217.0,5123.0,-229216.0,-890.0
1419,2016年01月01日至2016年06月30日,,-31185,-31185,,,54103,1896,15288,-268,-11920,757,,7809,5465,,,,,-1197,11058,44129,-25290,-9839,-164,18697,,-20042,3762,44281,-3401,704,,22814,41511,118703,87518,-15514,-188.0,71816,,-61133.0,,-14831,-286.0,0.0,-53.0,268,664,-214338,,,5618,330516,-5674,182320,514142,696462,696462,,,,,,1845.0,94902.0,7825.0,,-1491.0,,-1110.0,390000.0,,0.0,,-15000.0,,,,,77192.0,-2490.0,,-65102.0,2217.0,5123.0,-229216.0,
1419,2016年01月01日至2016年03月31日,,-16707,-16707,,,26502,921,7690,-19,-120,297,,4230,6109,,,,,3228,20388,71163,-18671,-4881,289,71516,,-9466,3428,6431,-867,1128,,-582,70934,116538,99831,-7958,,91873,,-60000.0,,-3521,,123.0,,19,120,-26245,,,4741,33884,-6141,93371,514142,607513,607513,,,,,,-6.0,50006.0,,,,,-3115.0,16000.0,,0.0,,-15000.0,,,13143.0,,45604.0,-1236.0,,0.0,,5123.0,,
1419,2015年度,,113097,113097,,,108815,3753,32144,-586,-202758,-1271,724.0,21793,-7307,,,,,2327,5374,-70827,-66050,9006,3613,-116557,,8490,-1140,-8064,-6936,-5007,,-17351,-133908,-120339,-7242,-31214,-1781.0,-40237,,-78312.0,,-51351,0.0,390.0,0.0,586,202758,361339,,,53028,-72023,7039,256118,258024,514142,514142,,,,,,6569.0,71753.0,13253.0,822.0,-930.0,-93602.0,1199.0,356000.0,0.0,67500.0,0.0,0.0,1221.0,1027.0,-454949.0,,13569.0,-4694.0,199950.0,,50666.0,,,
1419,2015年01月01日至2015年09月30日,,132895,132895,,,82519,2823,24286,-359,-202758,-1582,396.0,7874,-7380,,,,,1630,15498,-2593,-82650,476,4182,-63457,,-859,19471,42355,8256,-4124,,61565,-1892,-96061,36834,-23724,-1769.0,11341,,-78311.0,,-32700,0.0,209.0,0.0,359,178759,349322,,,50638,-163872,7366,204157,258024,462181,462181,,,,,,-1015.0,71752.0,13253.0,150.0,-930.0,-93602.0,-3169.0,205000.0,0.0,67500.0,0.0,0.0,0.0,1027.0,,,-94169.0,-3534.0,199950.0,-393408.0,,,,
1419,2015年01月01日至2015年06月30日,,-48207,-48207,,,54680,1892,16459,-343,-15509,887,0.0,1564,4833,,,,,403,32912,1078,-14798,-7494,20129,32230,,-11454,-2774,19787,5767,-3470,,5450,37680,101134,52927,-15687,-1769.0,35471,,-33312.0,,-13651,0.0,865.0,0.0,343,1657,-16721,,450000.0,51882,209877,-5023,223604,258024,481628,481628,,,,,,-1009.0,26747.0,3472.0,,-30.0,,-2812.0,,,67500.0,0.0,0.0,0.0,,-359505.0,,63454.0,-2406.0,,,,,,
1419,2015年01月01日至2015年03月31日,,-26393,-26393,,,27214,941,8144,-17,-120,295,0.0,2988,2261,,,,,790,20606,1057,-9162,-125,337,13503,,-835,-1912,-4688,-2130,-1069,,-11864,1639,42538,16145,-7704,,8441,,-20428.0,,-1967,0.0,989.0,0.0,17,120,-9140,,,29370,172159,-2377,169083,258024,427107,427107,0.0,,,,,-807.0,15582.0,,,,,-3453.0,410000.0,,67500.0,0.0,,,,-334711.0,,40899.0,-1230.0,,,,,,
1419,2014年度,,107986,107986,,,114866,3351,26771,-186,-192469,-2715,48028.0,3680,-6324,,-11596.0,,,3598,-39744,3872,-56168,-8380,-12518,-109340,,-18468,14374,11477,-8079,3667,-3996.0,-1025,-110365,-121961,-13975,-27125,-1754.0,-42854,,-84004.0,0.0,-91808,-2244.0,,-534875.0,186,192469,-478874,,,0,592136,7760,78168,179856,258024,258024,0.0,,0.0,,,-4435.0,70248.0,30142.0,,-3578.0,-134657.0,-4417.0,140000.0,-17647.0,0.0,-993.0,-50000.0,,-2163.0,604440.0,,,,,,,,,
1419,2014年01月01日至2014年09月30日,,144840,144840,,,84659,2410,18987,-103,-184669,-3095,5.0,7429,-1192,,-79883.0,,,6917,-18115,-1954,-78070,-4320,3717,-91825,,4788,19170,61329,-5048,4105,-3214.0,81130,-10695,-90578,54262,-19254,-1748.0,33260,,-59002.0,0.0,-76829,-324.0,,-534793.0,103,184669,-494966,,,0,519049,2275,59618,179856,239474,239474,0.0,,0.0,,,-4314.0,40126.0,,,-3577.0,-134657.0,-6089.0,669395.0,-15689.0,,-993.0,-50000.0,11743.0,,,,,,,,,,,
1419,2014年01月01日至2014年06月30日,,63723,63723,,,56286,1507,12454,-86,-86221,615,1.0,4305,85,,-15383.0,,,8355,4416,956,-16425,-7961,-1048,-11707,,-18192,7269,30842,-5888,396,-2072.0,12355,648,-14735,48988,-12525,-1604.0,34859,,-49002.0,0.0,-15433,-324.0,,-7317.0,86,2220,-111925,,90340.0,318,90658,28,13620,179856,193476,193476,0.0,,0.0,0.0,,-4329.0,38099.0,,,-809.0,,-32699.0,,,0.0,-993.0,-50000.0,4247.0,,,,,,,,,,,
1419,2014年01月01日至2014年03月31日,,-11689,-11689,,,27193,733,6194,-15,-120,285,1.0,2492,107,0.0,36809.0,,,8016,1741,2593,-6493,-5360,-1212,-715,,-26290,10910,14693,-4914,850,-1010.0,-5761,-6476,30333,18644,-6491,0.0,12153,,-32864.0,0.0,-4743,-178.0,0.0,-6700.0,15,120,-18866,,0.0,167,10408,1,3696,179856,183552,183552,0.0,,,,,-61.0,32019.0,,,,,-5542.0,10241.0,,,-993.0,,,,,,,,,,,,,
1419,2013年度,,167995,167995,,,86485,2880,32732,-164,-187675,-2775,-40504.0,2620,717,,-107591.0,,,-2987,-30678,638,-27182,-13968,2322,-71855,,-17569,4617,2427,-120994,-2628,-3594.0,-137741,-209596,-317187,-149192,-32598,-6359.0,-188149,,-234037.0,-600.0,-121766,-109.0,,-1070.0,164,187675,4733,,,4606,134436,53,-48927,228783,179856,179856,0.0,,49830.0,,,-1907.0,161610.0,1499.0,,-1447.0,-150021.0,-37016.0,250000.0,0.0,50.0,0.0,0.0,,0.0,29801.0,,,,,,,,,
1419,2013年01月01日至2013年12月31日,,167995,167995,,,86485,2880,32732,-164,-187675,-2775,-40504.0,2620,717,,-107591.0,,,-2987,-30678,638,-27182,-13968,2322,-71855,,-17569,4617,2427,-120994,-2628,-3594.0,-137741,-209596,-317187,-149192,-32598,-6359.0,-188149,,-234037.0,-600.0,-121766,-109.0,,-1070.0,164,187675,4733,,,4606,134436,53,-48927,228783,179856,179856,,,49830.0,,,-1907.0,161610.0,1499.0,,-1447.0,-150021.0,-37016.0,279801.0,0.0,50.0,,,,,,,,,,,,,,
1419,2013年01月01日至2013年09月30日,,178683,178683,,,61813,2041,16010,-88,-170041,-3179,-40505.0,2723,-2707,,-133727.0,,,1604,-48061,1928,-17913,-14277,1323,-75396,,-31564,9519,52918,18487,-256,-2635.0,46469,-28927,-162654,16029,-15790,-1117.0,-878,,-81954.0,-600.0,-118003,-565.0,,0.0,88,170041,17380,,70140.0,2223,-77658,82,-61074,228783,167709,167709,,,47772.0,,,206.0,601.0,0.0,0.0,0.0,-150021.0,,,,,,,,,,,,,,,,,,
1419,2013年01月01日至2013年06月30日,,115833,115833,,,40385,1457,10602,-72,-89037,818,-40505.0,188,1115,,-75049.0,,,-4800,-16722,2621,6700,-14818,-911,-27930,,-5603,5334,27646,20112,-485,-1734.0,45270,17340,-57709,58124,-10714,-1116.0,46294,,,-900.0,-21153,-59.0,,-43.0,72,6191,-24360,,-94826.0,1897,-92879,102,-70843,228783,157940,157940,,0.0,47764.0,-56232.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1419,2013年01月01日至2013年03月31日,,-11701,-11701,,,20209,728,5354,-9,-120,250,0.0,5965,107,240.0,32724.0,,,807,-19879,4667,-13639,-31756,-930,-60730,,-26409,21998,3343,13989,972,-858.0,13035,-47695,-14971,-26672,-5080,1.0,-31751,,0.0,-300.0,-3137,-9.0,0.0,0.0,9,120,-3317,,-59943.0,38,-59905,59,-94914,228783,133869,133869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,2012年01月01日至2012年12月31日,,177788,177788,,,80209,2312,22144,-131,-188868,-3356,-6.0,4822,-42,,-82916.0,,,11610,32863,2455,-6160,23413,-2181,62000,,-20218,1594,3410,-11305,3786,-5321.0,-28054,33946,-48970,128818,-22403,-1698.0,104717,,-1535.0,0.0,-108359,-2172.0,,-810.0,131,188868,71500,,,0,-116630,0,59587,169196,228783,228783,,,100.0,,,0.0,0.0,2996.0,,-2541.0,-180025.0,-5178.0,64964.0,-1569.0,0.0,,,,,,,,,,,,,,
1419,2012年01月01日至2012年09月30日,,168726,168726,,,59124,1482,16368,-72,-188868,-3653,-9.0,11780,0,,-103848.0,,,11810,24516,3631,-36381,3918,-4367,3127,,-20715,24167,58750,-8634,-423,-2895.0,50250,53377,-50471,118255,-16553,-1689.0,100013,,-1186.0,0.0,-93103,-1904.0,,-810.0,72,188868,94492,,-50160.0,-68,-230253,0,-35748,169196,133448,133448,,,0.0,,,0.0,0.0,2996.0,100.0,-541.0,-180025.0,,,,,,,,,,,,,,,,,,
1419,2012年01月01日至2012年06月30日,,21044,21044,,,39084,853,10962,-63,-15402,740,14.0,3615,0,,39803.0,,,14986,50121,-5911,3572,9044,-1024,70788,,-45692,4558,22210,-11132,-216,-2298.0,-32570,38218,78021,99065,-11036,-2373.0,85656,,,0.0,-9369,-1176.0,,-810.0,63,15402,-15719,,-129797.0,-404,-130201,0,-60264,169196,108932,108932,,-1256.0,0.0,-18573.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1419,2012年01月01日至2012年03月31日,,10907,10907,,,19217,359,5491,-8,0,109,6.0,2530,0,0.0,27704.0,,,6165,26204,2353,903,4719,-2,40342,,-28836,13021,683,-7612,-500,-608.0,-23852,16490,44194,55101,-5564,974.0,50511,,-1256.0,0.0,-4263,0.0,200.0,-810.0,8,0,-6121,,-100007.0,64,-99943,0,-55553,169196,113643,113643,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
