公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 其他應收款（增加）減少,　　　　　 負債準備增加（減少）,　　 收取之股利,　　 取得以成本衡量之金融資產,　　 其他應收款－關係人減少,　　 存入保證金減少,　　　　 處分投資損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他應收款－關係人增加,　　　　 金融資產減損損失,　　 員工執行認股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得避險之衍生金融資產,　　 處分無活絡市場之債務工具投資
1444,2016年01月01日至2016年09月30日,,-145334,-145334,,,432571,55048,14177,6467,40249,-37220,45970,-1891,,3802,-564,52733,,,,,32225,-34732,-37232,-306823,-51570,-11326.0,-790826.0,-1200284,,16096,4693,-40667,9737,,-49957,-1250241,-650346,-795680,38754,-40072,-64248,-795678,,,0.0,,-307666,8690,-755630.0,2504.0,-916,,-1005076,,1759615,320000,,-87000,19500.0,,-60620.0,1479021,-70206,-391939,3691833,3299894,3299894,-2994.0,,,65568.0,-20000.0,,791.0,-8453.0,0.0,-473265.0,,,19800.0,,0.0,,599895.0,-39816.0,-29732.0,48619.0,,29255.0
1444,2016年01月01日至2016年06月30日,,74965,74965,,,286505,37606,3142,6037,25475,-22324,21975,-1079,,-11719,405,38239,,,,,47520,-51249,-33712,-264850,-25916,-1266.0,-288335.0,-617808,,19228,25210,-67954,32569,,-25588,-643396,-268233,-193268,23203,-25468,-33889,-192447,,,,,-188444,4753,,-421.0,-487,,-91047,,887000,190000,,-74667,11500.0,,-60620.0,953929,-56676,613759,3691833,4305592,4305592,-670.0,,,36975.0,-20000.0,,716.0,-8429.0,0.0,,,,65424.0,,0.0,,375163.0,-34641.0,-29732.0,48605.0,,29255.0
1444,2016年01月01日至2016年03月31日,,1993,1993,,,143237,19432,1606,-42662,12440,-8842,45763,-921,,-24536,-282,120627,,,,,-15984,2359,-145349,-49812,-16384,-4799.0,-34318.0,-264287,,10503,-36675,-17421,7917,,-61105,-325392,-61267,-59274,8910,-12160,-2074,-64598,,,,,-85213,4019,,28.0,0,-500.0,-65765,,567000,140000,,-12334,6500.0,,,702491,-133906,438222,3691833,4130055,4130055,,,,,-20000.0,,1325.0,-1737.0,,,,,-3416.0,,,,264125.0,-25429.0,,9185.0,,30132.0
1444,2015年度,,464227,464227,,,513332,62274,-2552,70981,35222,-34880,-48925,-1861,,-28877,261,-1879,,,,,45199,48361,124870,212995,-80798,-4272.0,,337211,,-31125,15799,32711,-3269,,18864,356075,916746,1380973,28032,-34942,-80517,1343747,,,-5737.0,,-899313,3533,,-741.0,-2402,106644.0,-772598,,1268000,1380000,,-279933,12000.0,,0.0,1927530,3609,2502288,1189545,3691833,3691833,-6438.0,-9144.0,,50201.0,-1000.0,,600.0,1457.0,632.0,-473265.0,,,12858.0,2556.0,20128.0,,560671.0,4748.0,0.0,11696.0,1232.0,
1444,2015年01月01日至2015年09月30日,,386480,386480,,,375648,44710,-2008,58477,24119,-25707,-63335,-1598,,-35175,-233,-19288,,,,,-29098,27914,27411,323558,-65232,-11022.0,-647689.0,-374158,,-16702,-99722,4166,7717,,-101230,-475388,-128864,257616,23143,-24512,-74742,232939,,,-5737.0,,-587507,3269,,-1594.0,-2308,16567.0,-503537,,1450000,470000,,-217600,,,,1249500,14725,993627,1189545,2183172,2183172,-7670.0,,,51434.0,-1000.0,,237.0,-1416.0,316.0,-473265.0,,,74457.0,0.0,20128.0,,346524.0,3311.0,,,,
1444,2015年01月01日至2015年06月30日,,225366,225366,,,247949,28267,-2209,33001,14093,-14493,-28513,-2432,,-26409,96,12756,,,,,-78322,28969,77061,-144446,-29717,-7858.0,-623495.0,-777808,,-13800,-99921,-18042,11711,,-117842,-895650,-634820,-409454,12911,-14370,-57438,-465998,,,0.0,,-328263,2432,,-1531.0,-2138,92961.0,-180766,,1380000,240000,,-211267,,,,1428916,-4594,777558,1189545,1967103,1967103,-61.0,,,2353.0,-1000.0,,55.0,-1215.0,316.0,,,,56457.0,0.0,20128.0,,260830.0,2210.0,,,,
1444,2015年01月01日至2015年03月31日,,118087,118087,,,122439,14059,-1518,8841,6107,-5447,23646,-380,,-48281,168,31520,,,,,-90040,-2088,17009,103046,-10701,-1660.0,-18087.0,-2521,,-26532,65660,-3220,11598,,48621,46100,197187,315274,4560,-6086,-505,313243,,,,,-227542,380,,-895.0,-304,101684.0,-139677,,240000,36000,,-157933,213000.0,,,330521,-22825,481262,1189545,1670807,1670807,,,,,,,-546.0,-67.0,,,,,-13000.0,,,,151087.0,1115.0,,,,
1444,2014年度,,286527,286527,,,460938,73800,506,-16143,27791,-22224,-181032,-5568,3041.0,73418,-89,-8754,0.0,401105.0,,,-14342,-16099,72984,214791,-54767,53433.0,0.0,281810,,12638,-62681,-12565,-2992,3980.0,-61620,220190,621295,907822,20513,-27798,-18712,915192,,0.0,-20000.0,0.0,-714274,134458,,852.0,-3771,-49515.0,-756486,,395000,350000,0.0,-295188,,0.0,89250.0,558569,2293,719568,469977,1189545,1189545,-5050.0,25810.0,,33367.0,-50091.0,,57.0,187.0,197.0,0.0,0.0,-29366.0,-24976.0,284.0,19450.0,,,,,,,
1444,2014年01月01日至2014年09月30日,,202415,202415,,,341409,57434,397,-14166,20663,-15213,-180530,-5291,,13918,-323,-23547,0.0,189972.0,,,13413,-13981,-20517,185914,-53940,39628.0,12907.0,163424,,10352,121347,-5668,-1200,3021.0,127852,291276,481248,683663,13248,-20669,-17739,691871,,0.0,-20000.0,0.0,-427466,134182,,-265.0,-1410,-155244.0,-433532,,1133000,730000,0.0,-270254,,0.0,0.0,1612586,20152,1891077,469977,2361054,2361054,-5050.0,,0.0,33368.0,-49941.0,,390.0,-13.0,197.0,0.0,,,86415.0,284.0,19450.0,,,,,,,
1444,2014年01月01日至2014年06月30日,,113857,113857,,,231964,39247,6382,-18483,12820,-7904,-83334,-555,,-7988,-430,22971,0.0,194713.0,,,60013,-44368,-172751,17115,-39474,33214.0,-116649.0,-262900,,22989,23675,-10876,25575,2022.0,63385,-199515,-4802,109055,7117,-12687,-15605,90353,,0.0,-20000.0,0.0,-121811,695,,-52.0,-1150,-235070.0,-309973,,1464000,350000,,-163502,,0.0,0.0,1670366,-16735,1434011,469977,1903988,1903988,-248.0,,0.0,2473.0,,,418.0,-13.0,0.0,,,,67415.0,284.0,19450.0,,,,,,,
