公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分其他資產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 應付款項減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業負債增加（減少）,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　 短期借款減少,　　 發放現金股利,　　 庫藏股票處分,　 匯率變動對現金及約當現金之影響,　　　　 股利收入,　　　　 金融資產減損損失,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　　 其他應付款－關係人增加,　　 其他非流動負債增加,　　 現金增資,　　　　 處分投資損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 其他籌資活動,　　　　　 應付建造合約款增加（減少）,　　 其他非流動資產減少,　　 應付短期票券增加,　　 存入保證金增加,　　 取得採用權益法之投資,　　　　　 其他金融資產（增加）減少,　　 處分子公司,　　 舉借長期借款,　　　　 非金融資產減損迴轉利益,　　　　 投資性不動產公允價值調整損失(利益),　　 其他金融資產增加,　　 應付款項增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產減少,　　 其他非流動負債減少,　　　　　 負債準備增加（減少）,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 除列避險之衍生金融負債,　　 預付投資款增加,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 預收款項增加－處分資產,　　 預收款項減少－處分資產,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損迴轉利益,　　 發行公司債,　　　　 處分採用權益法之投資損失（利益）
1449,2016年01月01日至2016年09月30日,,-181624,-181624,,,11964,8948,-478,79243,-368,-1224,-8254,,,-2972,,,,,-20651,1826,,-102863,-85.0,59238,892,640,-32704,43670,-17455,-67492,,-175571,-12787,68542,23102,,-15333,37788,,-81204,-148696,-72595,-254219,385,-77509,-1309.0,-321707,,,,-24716,2133.0,4904.0,0,,-39903,,121423.0,0.0,-123832,,0.0,,220935,-141273,342655,201382,201382,,,,,,0.0,-598.0,-10945.0,,10945.0,0.0,,,0.0,,,3077.0,,9510.0,146.0,12206.0,94.0,-9698.0,,,186130.0,,,-11672.0,,,76101.0,-19532.0,0.0,-86.0,,,-1000.0,,,,,,,,,,,,,,25000.0,187.0
1449,2016年01月01日至2016年06月30日,,-164651,-164651,,,8175,12269,-53,52279,-328,360,-4875,,,-2899,,,,,-2651,5319,,-63760,1902.0,28697,3823,-2144,21250,43859,-2984,33311,,-164317,22903,47082,3298,,-13259,12688,,-82834,-49523,4649,-160002,345,-53347,-1309.0,-214313,,,,-13057,53.0,680.0,0,,-12194,,0.0,-7794.0,-90498,,0.0,,93312,-133917,342655,208738,208738,,,,-12975.0,,,-722.0,-10943.0,,,0.0,,,25149.0,,,3194.0,,18171.0,50.0,,,-9698.0,,,179430.0,,,-11000.0,,,54172.0,-12594.0,21778.0,,,,-1000.0,,,,,,,,,,,,,,,187.0
1449,2016年01月01日至2016年03月31日,,-114458,-114458,,,4229,6418,-126,26028,-102,415,-2812,,,-2196,,,,,-2651,7441,,-29313,782.0,50745,-7706,220,13151,38965,1106,72740,,-97952,33043,19218,-9292,,-1908,6600,,-66138,6602,38456,-76002,90,-25557,,-101469,,,,-9583,53.0,0.0,0,,-36500,,-53126.0,-100.0,-33170,,-1004.0,,30655,-108111,342655,234544,234544,,,,,,,-797.0,,,,,-17743.0,,,,,-5755.0,,-3092.0,1024.0,,241.0,,0.0,,117910.0,,,,,,31854.0,-7000.0,-9251.0,-96.0,,,-1000.0,,,,,,,,,,,,,,,
1449,2015年度,,-211125,-211125,,,16066,20098,294,86836,-833,-4782,-16728,,,-2642,,,,,508,15328,,-5258,-605.0,-114446,30765,1349,21987,9078,-11241,-52535,,-6561,85724,-7520,-89184,,-20333,-23250,,-88856,-141391,-151980,-363105,829,-83242,1387.0,-431791,,0.0,1319.0,-28542,5787.0,15626.0,-1526,,72568,,330028.0,-41690.0,-1515375,,-3452.0,-2266.0,558364,199043,143612,342655,342655,,,,0.0,,7593.0,-98.0,-12340.0,,12340.0,0.0,0.0,,5153.0,0.0,0.0,19205.0,,714.0,,0.0,1109.0,-17043.0,,,1502264.0,,35884.0,0.0,0.0,,-10589.0,-47651.0,20410.0,,,,-10000.0,,,,,,,,,86537.0,,,-132442.0,0.0,275000.0,
1449,2015年01月01日至2015年09月30日,,-258696,-258696,,,11682,10758,567,61053,-761,-2634,-11777,,,-1433,,,,,205,22085,751.0,-11242,,-28948,10030,218,25156,4802,-34202,-11145,,-48775,82385,-61864,-91657,,-5403,42395,,-67462,-78607,-23492,-282188,761,-61677,-61.0,-330825,,0.0,636.0,-20937,5787.0,1750.0,-12455,,-66804,,380449.0,-21091.0,-1490454,0.0,-2421.0,0.0,639257,241629,143612,385241,385241,,,0.0,0.0,,7589.0,1.0,-12340.0,,12340.0,0.0,0.0,,282186.0,0.0,,42332.0,0.0,5769.0,,0.0,1151.0,0.0,,0.0,1481848.0,,,,,,55115.0,-32644.0,-41585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1449,2015年01月01日至2015年06月30日,,-193295,-193295,,,7974,7033,530,38064,-690,-2213,-8818,,,-2032,,,,,100,15168,,-23903,1149.0,-7260,8112,946,54135,5453,-8428,45472,,-38296,49240,-81532,-91221,,4787,43346,,-98516,-53044,-25533,-218828,690,-39090,-57.0,-257285,,0.0,,-933,5433.0,11650.0,-4136,,19170,,194398.0,-599.0,-1465689,0.0,-1202.0,0.0,196879,-40995,143612,102617,102617,,,,,,,241.0,-12337.0,,,636.0,0.0,,624.0,0.0,,33223.0,0.0,7341.0,,0.0,,0.0,,,1469347.0,,,0.0,,,27511.0,-25404.0,6520.0,,,,,,,,,,,,,,,,,,,
1449,2015年01月01日至2015年03月31日,,-68506,-68506,,,4150,4071,129,14876,-162,104,-2606,,,-1841,,,,,0,29372,,45153,1747.0,17843,1423,638,-51920,14269,-1010,55997,,-42172,35053,-62417,-33246,,-3655,8840,,-118981,-62984,-44263,-112769,162,-14682,,-127289,,0.0,,-312,,10609.0,-246,,18423,,70068.0,-20599.0,-1443237,,-3156.0,,56974,-51892,143612,91720,91720,,,,,,,,,,,0.0,0.0,,0.0,0.0,,-16378.0,,1778.0,0.0,0.0,,,-1518.0,,1454083.0,,,,,,18721.0,-6784.0,8372.0,-185.0,,,,,,,,,,,,,,,,,,
1449,2014年度,,25525,25525,,,24659,22904,541,56847,-808,-7839,-51605,,,-6609,,-305463.0,,,5155,9631,,428,-1507.0,-4806,-1206,-3882,29534,76664,-1957,108054,,75964,52656,99683,-7303,,3302,43985,-80424.0,185569,293623,-11840,13685,808,-56908,-615.0,-34282,,675.0,,-20042,101713.0,,-3692,5522.0,-5686,,0.0,,-37489,0.0,0.0,-68.0,130820,90852,52760,143612,143612,,0.0,0.0,-38078.0,0.0,0.0,,-8748.0,,8748.0,4355.0,-13217.0,,2786.0,80034.0,815.0,24628.0,,-26922.0,,17903.0,1276.0,-75000.0,,,100000.0,-50592.0,-285028.0,-6000.0,4456.0,,,,,,,,,,,,,,,,,,,,,,,
1449,2014年01月01日至2014年09月30日,,-186784,-186784,,,19745,10189,548,42189,-374,-3086,-46190,,,-2295,,11980.0,,,4900,14506,,8103,-2544.0,-49443,10556,-3830,49424,79807,-20125,95933,,92635,45817,30227,-5180,,15017,-7498,-61434.0,124973,220906,232886,46102,374,-42430,-497.0,12295,,0.0,488.0,-16903,95806.0,,-3193,-13423.0,-35890,,0.0,0.0,-19108,-1432.0,,-68.0,138650,115053,52760,167813,167813,,,0.0,-32972.0,0.0,0.0,-2.0,-8746.0,,8746.0,,-23665.0,,,80034.0,0.0,43893.0,-6206.0,-28504.0,,18402.0,,-75000.0,4579.0,0.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2014年01月01日至2014年06月30日,,-128660,-128660,,,13953,4777,374,27777,-365,2573,-36434,,,1140,,5049.0,,,5349,24841,,44029,-8926.0,508,10393,-3659,102868,47398,-13078,209723,,-38230,20996,-7687,-12785,,5481,17261,-50935.0,-104439,105284,110333,-18327,365,-27912,-28.0,-45902,,712.0,,-23107,75206.0,0.0,-1299,-14654.0,-35044,,48778.0,0.0,-9000,-409.0,,-68.0,134312,53363,52760,106123,106123,,,0.0,0.0,,,-3.0,-8746.0,,,4355.0,-1257.0,,,80034.0,0.0,-43128.0,-4024.0,4588.0,,19001.0,,-75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
