公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 收取之利息,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 應付租賃款減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款增加,　　 其他借款增加,　　 存入保證金增加,　　 其他非流動負債減少,　　 舉借長期借款,　 匯率變動對現金及約當現金之影響,　　　　　 負債準備增加（減少）,　　 應付租賃款增加,　　 現金增資,　　 其他借款減少,　　　　 呆帳費用提列（轉列收入）數,　　　　　 其他營業資產（增加）減少,　　　　 金融資產減損損失,　　　　　 其他金融資產（增加）減少,　　　　　 預收款項增加（減少）,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　　　 其他項目,　　 其他非流動資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分待出售非流動資產,　　　　 攤銷費用,　　 取得無形資產,　　 支付之股利
1456,2016年01月01日至2016年09月30日,,-33027,-33027,,,26418,39055,-18,0,70.0,,,0.0,,,,,-33811,,29603,,70,,-224456,,-7753,-237558,,-2669,,-9710,,6781,,18751,,26673,-210885,-145153,-178180,-98268,,-276430,,,0.0,,,48.0,,,18,,13140,,-254000,-1658327,,,,250522,-12768,23269,10501,10501,,222810.0,,,0.0,1896039.0,,,,,,0.0,,,-1211.0,18042.0,13482.0,0.0,,,44000.0,,-390.0,,65732.0,-4522.0,,207.0,0.0,
1456,2016年01月01日至2016年06月30日,,-29810,-29810,,,17978,26270,-17,0,115.0,,,0.0,,,,,-1044,,7349,,-30,,-100901,,-2322,-94620,,1459,,-25731,,-8730,,-172,,-27238,-121858,-77375,-107185,-66062,,-173230,,,0.0,,,,,,17,,13482,,-224858,-1648327,,,,148053,-11695,23269,11574,11574,,130060.0,,,0.0,1895678.0,,,,,,0.0,,,2328.0,10424.0,,13482.0,,,-4500.0,,0.0,,44483.0,-4488.0,0.0,137.0,0.0,
1456,2016年01月01日至2016年03月31日,,-26343,-26343,,,9088,15011,-2,0,,,,,,,,,0,0.0,-2,8659.0,74,,-34822,,132,-27413,,38,,42,-9476.0,-4902,2406.0,645,,-6769,-34182,-10016,-36359,-38120,,-74477,,,,,,,,,2,,15322,,-218858,-1529496,,,,59881,726,23269,23995,23995,,74950.0,,,0.0,1695285.0,,,,,,,,,-1454.0,7240.0,,15322.0,,,38000.0,,0.0,,24166.0,-2762.0,0.0,69.0,,
1456,2015年度,,116128,116128,,,34263,58995,-66,1745,-60.0,,,-133240.0,,,,,40,0.0,1837,60336.0,-1911,,-273359,,3578,-214949,,-11011,,-7237,88947.0,-14045,-11956.0,-3168,,71288,-143661,-208251,-92123,-126852,,-219425,,,120.0,5982.0,-72.0,324.0,,,66,0.0,99738,,-664771,-227144,,,,137248,17561,5708,23269,23269,,903350.0,0.0,,-12695.0,250508.0,,,,0.0,,196.0,,0.0,-5470.0,72705.0,,13915.0,,-112000.0,,-27500.0,-1173.0,,-64590.0,-42947.0,80642.0,1077.0,,-516.0
1456,2015年01月01日至2015年09月30日,,-58115,-58115,,,24955,46100,-44,1552,-166.0,,,-120.0,,,,,40,0.0,33,37122.0,-2580,,-188917,,712,-159559,,-10267,,31604,,4307,-5329.0,44191,,87888,-71671,-1083,-59198,-94293,,-153447,,,120.0,,0.0,305.0,,,44,,13789,,-479837,-220827,,,-12688.0,141888,2230,5708,7938,7938,,613389.0,,,,213151.0,,,,0.0,,-1804.0,,0.0,-5969.0,30472.0,-2374.0,16018.0,1120.0,,28700.0,,,,70588.0,-7090.0,,115.0,-1400.0,
1456,2015年01月01日至2015年06月30日,,-43298,-43298,,,15636,32156,-38,1433,0.0,,,-120.0,,,,,-40,-4091.0,31,46267.0,165,,-146147,,1649,-113195,,-11733,,-9214,,-258,-6983.0,-1136,,-15515,-128710,-79716,-123014,-65532,0.0,-188508,,,120.0,,0.0,0.0,,,38,,57127,,-390305,-57299,,,0.0,136405,5024,5708,10732,10732,,537857.0,,,-10627.0,59279.0,,,,0.0,,-118.0,,,-11029.0,18275.0,0.0,10043.0,1120.0,,-2500.0,,,,48994.0,-4466.0,47244.0,45.0,-1400.0,
1456,2015年01月01日至2015年03月31日,,-22163,-22163,,,7151,14444,-7,1284,0.0,,,,,,,,40,-6707.0,33,42531.0,211,,-92727,,-2430,-73747,,-8682,,-7509,,-6254,-3730.0,-175,,-19245,-92992,-70120,-92283,-28541,0.0,-120817,,,,,0.0,0.0,,,7,,50393,,-373923,-5685,,,-12037.0,81775,11351,5708,17059,17059,,526780.0,,,,54640.0,,,,0.0,,,,,-14698.0,9386.0,3431.0,,-282.0,,-108000.0,,,,22872.0,-2281.0,47244.0,,,
1456,2014年度,,-1121535,-1121535,,,28332,64022,-170,-1720,2781.0,0.0,,,,1080459.0,,,324,65194.0,-1647,-94297.0,119454,0.0,-810060,0.0,21931,-689340,,-15084,,-39409,0.0,-35991,-3644.0,48595,-30735.0,-29963,-719303,361156,-760379,-94678,-121.0,-855008,,,,,-13195.0,33.0,0.0,,170,,-20491,,-1189016,-793893,,,,869385,-6114,11822,5708,5708,,979895.0,1504.0,0.0,0.0,1566395.0,,0.0,0.0,348000.0,,3396.0,,983218.0,9761.0,46305.0,,-6239.0,,0.0,-43500.0,600.0,-1090.0,,,,,,,
1456,2014年01月01日至2014年09月30日,,-1103174,-1103174,,,20089,45864,-118,-2251,-33.0,0.0,,,,1049873.0,,,312,65194.0,-1322,-105407.0,116336,,-804627,,28990,-700532,,8590,,-47142,0.0,-7346,-1724.0,-27042,-29662.0,-38754,-739286,310587,-792587,-63853,0.0,-856322,,,,,-13195.0,34.0,,,118,,-10556,,-1156172,-772230,,,1559.0,889321,22443,11822,34265,34265,,948518.0,,,,1543646.0,,,,348000.0,,3104.0,,983218.0,-8.0,65572.0,19695.0,-16000.0,-1090.0,0.0,-24000.0,,,,,,,,,
1456,2014年01月01日至2014年06月30日,,-125389,-125389,,,13977,28508,-114,-920,0.0,0.0,-33.0,,,42476.0,,,121,53382.0,171,-21775.0,325,114727.0,-279698,21842.0,7957,-156456,,-27054,,-46474,0.0,-19599,-22012.0,27246,-12467.0,-98087,-254543,-212067,-337456,-28645,-7.0,-366108,,,,,-1145.0,,-5650.0,33.0,114,1213.0,-5435,,-1137629,-674936,,-30.0,0.0,531031,159488,-18343,141145,141145,0.0,377016.0,0.0,1610.0,,1623799.0,0.0,2273.0,,348000.0,-6799.0,1058.0,-53508.0,,,,,,,,,,,,,,,,,
