公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 買回應付公司債損失（利益）,　　　　　 負債準備增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得無形資產,　　 償還公司債,　　 舉借長期借款,　　 停業單位稅前淨利（淨損）,　　 短期借款增加,　　 其他借款增加,　　 其他借款減少,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　 存入保證金減少,　　 庫藏股票處分,　　　　 其他項目,　　　　　 預收款項增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付短期票券增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　 現金增資,　　 員工執行認股權,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資
1466,2016年01月01日至2016年09月30日,,-105188,-105188,,,118378,383,13406,-977,-93,,,,,23401,-54960,-129,13725,8947,476,-8540,,0,-6451,61631,-12056,-6315,,37441,28901,175551,70363,977,-6544,-2633,62163,,-101695,101,11151.0,0.0,0,-9783.0,-29285,,,,,,,,27114,59992,75462,135454,135454,1967.0,,98031.0,0.0,-40800.0,,,20417.0,0.0,-102503.0,0.0,-1100.0,0.0,,,,,150000.0,14686.0,,,,,146650.0,632.0,,,-27090.0
1466,2016年01月01日至2016年06月30日,,-74453,-74453,,,80937,255,9709,-791,-93,,,,,31620,-27689,-2447,16273,-5429,-817,11511,,0,3916,95422,-7861,19336,,111230,122741,219627,145174,791,-5048,-2617,138300,,-77890,141,,9967.0,-12711,,17538,,0.0,,,,,,21558,177396,75462,252858,252858,1967.0,,98031.0,0.0,-40800.0,,,7805.0,0.0,-75447.0,,-1100.0,0.0,,,,,130000.0,6002.0,,,,,96886.0,417.0,,,
1466,2016年01月01日至2016年03月31日,,-50236,-50236,,,40588,128,5661,141,7,,,,,-1385,3458,5635,25021,23657,-896,55490,,0,2998,36695,-4489,14544,,49953,105443,157182,106946,-141,-3582,0,103223,,-52361,41,,5356.0,-30552,,-76670,,,,,,,,13364,39917,75462,115379,115379,1967.0,,0.0,,-40800.0,,,21888.0,0.0,-47724.0,,-1100.0,0.0,,,,,80000.0,4347.0,,,,,51739.0,205.0,,846.0,
1466,2015年度,,11139,11139,,,146317,452,16183,1254,1260,,,,,34958,98161,6504,137807,-45193,1928,234165,,-4041,-20585,-245202,-4926,6182,,-266253,-32088,131639,142778,-1254,-6143,-8022,127359,,-758327,988,0.0,49840.0,0,88251.0,-624927,,-34780.0,110000.0,0.0,,,-616.0,363407,-134161,209623,75462,75462,,1600.0,-4146.0,-1533.0,0.0,,,,349020.0,,-55576.0,-1508.0,-4641.0,0.0,,,,,-231.0,0.0,0.0,0.0,,163727.0,719.0,,,
1466,2015年01月01日至2015年09月30日,,14583,14583,,,108875,325,11400,899,1254,,,,,-6515,63633,6476,-140854,-27339,768,-103831,,-3046,-27127,37213,-33162,4142,,-21500,-125331,-4452,10131,-899,-4124,-8011,-2903,,-618965,988,0.0,-98295.0,23537,0.0,-698217,,0.0,0.0,0.0,,,,568474,-132646,209623,76977,76977,,,-3948.0,-1534.0,0.0,,,59850.0,328841.0,,-55576.0,-1507.0,-4641.0,0.0,0.0,,,240000.0,-367.0,,,,,120879.0,480.0,,,
1466,2015年01月01日至2015年06月30日,,-11528,-11528,,,72844,197,7525,927,1253,,,,,32934,49121,2623,51537,-15007,-1646,119562,,-52,-29904,-149288,-31877,5202,,-205621,-86059,3594,-7934,-927,-2594,-3820,-15275,,-73481,988,,15465.0,0,-377064.0,-437176,,-34780.0,,,,,,419049,-33402,209623,176221,176221,,,-1550.0,-1534.0,0.0,,,0.0,348470.0,,,-1607.0,-4641.0,0.0,0.0,0.0,,110000.0,8514.0,,,,,89653.0,298.0,0.0,,
1466,2015年01月01日至2015年03月31日,,-149,-149,,,36383,44,3441,287,-203,,,,,10052,52827,2517,2277,12161,-1375,78459,,-2733,-24259,-69716,-3633,1716,,-98474,-20015,22084,21935,-287,-906,-29,20713,,-50126,210,,30375.0,-70126,,-90979,,0.0,,,,,,177074,106808,209623,316431,316431,,,-1312.0,,,,,83643.0,68072.0,,,-2523.0,-4641.0,0.0,,,,30000.0,4670.0,,,,,42099.0,151.0,,,
1466,2014年度,,64685,64685,,,132377,249,11442,338,-776,129955.0,,,,19558,-36443,2066,19199,-22654,2526,-15748,,1459,30107,-30719,-6241,-20263,-625.0,-23962,-39710,90245,154930,-338,-3070,-8373,143149,,-275634,1475,-35388.0,,-3991,,-407994,,-8242.0,-100000.0,395960.0,,0.0,0.0,430472,165627,43996,209623,209623,0.0,2320.0,-94456.0,0.0,-22600.0,,0.0,,112255.0,,-49894.0,-5935.0,-90.0,2371.0,,,,,-481.0,-7259.0,100000.0,712.0,,,,,,
1466,2014年01月01日至2014年09月30日,,35700,35700,,,97934,204,8776,209,251,96491.0,,,,32705,-54395,-1282,-45162,-21096,-1800,-91030,,-736,37249,48013,-15868,3061,-775.0,70944,-20086,76405,112105,-209,-2958,-7362,101576,,-130406,75,0.0,4800.0,-103275,,-228806,,-11759.0,-100000.0,395960.0,,0.0,,275154,147924,43996,191920,191920,0.0,0.0,,0.0,-22600.0,,,,61166.0,0.0,-49894.0,-6202.0,-90.0,2371.0,-4681.0,,,,,,,,,,,,,
1466,2014年01月01日至2014年06月30日,,34382,34382,,,65302,160,5824,-164,104,62603.0,,,,67345,564,-2130,-89034,-4496,3342,-24409,,-1935,8834,-15066,4232,-131,-2881.0,-17936,-42345,20258,54640,164,-2051,-1519,51234,,-97500,75,,4645.0,9276,0.0,-83504,,0.0,0.0,0.0,,0.0,,190443,158173,43996,202169,202169,0.0,0.0,,0.0,-22600.0,,0.0,68485.0,52277.0,0.0,,-3942.0,-90.0,2371.0,-4681.0,-10989.0,0.0,90000.0,,,,,,,,,,
