公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 取得無形資產,　　 其他金融資產減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 非控制權益變動,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　 其他金融負債增加,　　 舉借長期借款,　　　 收益費損項目,　　　　 收益費損項目合計,　　 短期借款減少,　　 存入保證金增加,　　　　 其他項目,　　 以成本衡量之金融資產減資退回股款
1468,2016年01月01日至2016年09月30日,,-24385,-24385,,,40866,2933,12739,19009,-876,1075,1813,,,,113,0,3221,7622,23959,0,-31238,3724,-5380,1828,,37313,,7051,2831,-3116,1512,,45591,47419,124965,100580,876,-16944,84512,,-2156,52,-10683.0,-3486.0,-76326,,18467,-11700,-2159,13161,19188,262078,281266,281266,0.0,-61575.0,809.0,,-21698.0,,,-193.0,,,,77546.0,,12772.0,-13.0,713.0
1468,2016年01月01日至2016年06月30日,,8329,8329,,,27522,1968,6480,13575,-562,634,3,,,,113,0,-17363,6076,-1355,0,-15235,2047,-8778,-34610,,24138,0.0,18128,1889,12059,-784,,55430,20820,70440,78769,562,-12388,66943,,-2124,0,-22060.0,-63160.0,-86528,,19005,-7800,13683,2669,-3233,262078,258845,258845,0.0,,816.0,,-25.0,,,-115.0,,,,49620.0,,2503.0,,
1468,2016年01月01日至2016年03月31日,,-1256,-1256,,,13923,991,2291,6379,-266,240,0,,,,-174,-1077,-16044,6331,-72,0,-2054,6557,-7394,-13985,,2185,0.0,12592,-1080,-3640,6431,,16488,2503,26061,24805,266,-5103,19968,,-1652,0,-15024.0,-781.0,-15307,,14964,-3900,11039,2752,18452,262078,280530,280530,,,2150.0,,-25.0,,,-58.0,,,,23558.0,,,,
1468,2015年度,,-60109,-60109,,,57954,3968,-8242,25972,-1051,453,473,,,,1014,1361,12432,-9367,-23627,0,89341,-4291,504,66640,,-10486,,-3282,7614,-344,-4611,,-11109,55531,135058,74949,1049,-19730,56268,,-1252,1199,0.0,-1876.0,-25257,,104151,-9600,19503,17322,67836,194242,262078,262078,-28570.0,,5242.0,0.0,-75048.0,,,-727.0,0.0,0.0,,79527.0,,,,
1468,2015年01月01日至2015年09月30日,,-42700,-42700,,,43692,2972,-5354,18682,-778,908,-813,,,,924,1021,9832,-10839,915,-379,63003,-7543,719,57410,,5666,0.0,-3503,3867,-852,-6477,,-1299,56111,115420,72720,778,-14179,59319,,-1085,1007,-1716.0,-1082.0,-31366,,82336,-7200,88,10122,38163,194242,232405,232405,-28570.0,,80.0,,-75048.0,,,-243.0,0.0,,,59309.0,,,,
1468,2015年01月01日至2015年06月30日,,-26026,-26026,,,29315,1977,-8220,12892,-598,581,-234,,,,1132,681,-3283,-32513,2539,-378,45961,-12428,-2545,-1004,,14992,322.0,17458,4370,-3483,-504,,33155,32151,67864,41838,598,-9491,32945,,-1085,329,-50.0,-1082.0,-30378,,22929,-4800,17639,5833,26039,194242,220281,220281,-28570.0,,80.0,,-490.0,,,-170.0,,,,35713.0,0.0,0.0,,
1468,2015年01月01日至2015年03月31日,,-10604,-10604,,,14858,977,-8744,6281,-269,229,-316,,,,1132,340,-4009,-7113,618,-382,20462,-2482,-4790,3689,,-8586,6.0,17383,1386,-883,-4091,,5215,8904,21920,11316,269,-4452,7133,,0,316,,-1082.0,5142,,0,-2400,-45201,4639,-28287,194242,165955,165955,,,5908.0,,-490.0,,,-87.0,,,,13016.0,-42311.0,,,
1468,2014年度,,-66417,-66417,,,57278,3513,-14728,28906,-661,525,259,75092.0,,,1178,-1361,20048,13625,8380,-632,44766,5438,89,90483,,-13513,0.0,-6178,-8640,-9086,-18784,0.0,-56201,34282,109374,42957,661,-17932,25686,,-2088,1028,-432.0,-1602.0,2480,,-119898,-9600,106465,-17952,116679,77563,194242,194242,0.0,,5574.0,4748.0,,,0.0,-1048.0,15.0,231200.0,,,,,,
1468,2014年01月01日至2014年09月30日,,-41005,-41005,,,42843,2645,6931,23703,-508,315,-30,75899.0,,,1974,-340,-22789,14220,212,-982,18881,-14446,3161,-410,,-867,351.0,-14699,-5342,-4237,291,0.0,-24503,-24913,50986,9981,508,-13285,-2796,,-15,30,0.0,-61.0,2256,,6053,-7200,-1132,-3942,-5614,77563,71949,71949,0.0,,2302.0,0.0,0.0,,,-301.0,15.0,,,,,,,
1468,2014年01月01日至2014年06月30日,,-25002,-25002,,,28699,1780,11194,17098,-384,326,-30,58683.0,,,1007,-680,-54528,-2707,1394,-977,9079,-5877,1702,-51797,,-27285,0.0,24951,-6172,-9703,29856,0.0,11647,-40150,18533,-6469,384,-8917,-15002,,-15,30,-106.0,-52.0,2510,,-21370,-4800,-26170,5023,-33639,77563,43924,43924,0.0,,2653.0,0.0,0.0,,,-210.0,,,,,,,,
