公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　　　 處分投資性不動產損失（利益）,　　 收取之利息,　　 處分投資性不動產,　　 其他非流動資產增加,　　 存入保證金減少,　　 處分以成本衡量之金融資產,　　 取得投資性不動產,　　 非控制權益變動,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　 現金增資,　　 取得子公司股權,　　 其他非流動資產減少,　　　　　 持有供交易之金融資產（增加）減少,　　 處分無形資產,　　　　　 其他金融資產（增加）減少,　　 取得以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 短期借款減少,　　 發行公司債,　　　　 股利收入,　　 收取之股利,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　 處分子公司
1506,2016年01月01日至2016年09月30日,,22982,22982,,,81105,645,3317,7437,18100,-886,0,,4641,152,,,,-20300,65478,-387,-5225,-9177,30389,,0,-376,-14699,-22769,-15958,,-71709,-41320,72521,95503,-4017,-6537,93792,,-27432,2642,,-212.0,0.0,-77785,,,0,-41279,-23761,-49033,355370,306337,306337,-1650.0,,1650.0,,-30461.0,,0.0,,0.0,1800.0,6380.0,,,,,,0.0,,,113841.0,-17907.0,-22322.0,0.0,-41279.0,0.0,-7193.0,7193.0,-7.0,,
1506,2016年01月01日至2016年06月30日,,17976,17976,,,54570,323,3448,10791,11876,-488,0,,2907,104,,,,9052,-23188,-3026,1188,2851,-13123,,0,-376,-407,-4092,-13955,,-29434,-42557,37218,55194,-2391,-5525,48286,,-23319,989,0.0,50.0,0.0,-62382,,,0,-41166,-1320,-56582,355370,298788,298788,-1008.0,,1008.0,,-17780.0,,0.0,,0.0,1177.0,3262.0,,,,,,0.0,,,79775.0,-10604.0,-22322.0,0.0,-41166.0,0.0,-7200.0,,13.0,,
1506,2016年01月01日至2016年03月31日,,10619,10619,,,27483,162,0,2274,5939,-27,0,,4454,52,,,,-48393,25816,3215,-29398,12848,-35912,,0,-376,19869,-35955,-14857,,-36299,-72211,-30013,-19394,-1151,-1668,-22053,,7099,57,-304.0,0.0,0.0,399,,20821.0,0,20821,9829,8996,355370,364366,364366,-160.0,,160.0,,-6453.0,,,,0.0,755.0,1253.0,,,,,,0.0,,,42198.0,-4980.0,0.0,0.0,0.0,0.0,,,13.0,,
1506,2015年度,,23531,23531,,,122006,2606,2084,-3237,23121,-2002,-3947,,1742,203,,,,-13398,-2729,-3336,-6385,-20749,-29270,,1510,-713,-14718,-16893,11708,,-39291,-68561,76718,100249,-5816,-8259,89286,,-109665,5947,-810.0,,-1798.0,-247234,,0.0,-35898,464491,-34731,271812,83558,355370,355370,-1912.0,,1912.0,,-21643.0,,12000.0,,,412.0,5402.0,,,,0.0,0.0,17327.0,0.0,,145279.0,-20185.0,-80252.0,518.0,-184178.0,684567.0,-1200.0,1200.0,1.0,-48634.0,-2897.0
1506,2015年01月01日至2015年09月30日,,38127,38127,,,87856,1195,-818,1085,15834,-142,-2926,,-1332,155,,,,-52492,37355,765,-29287,-8099,-34431,,489,-641,-22880,-40689,-3440,,-81774,-116205,-16642,21485,-3230,-6461,13281,,-82025,586,,83.0,-1831.0,-158673,,-240554.0,-35898,405218,-27260,232566,83558,316124,316124,-287.0,,287.0,,-17254.0,,12000.0,,-2897.0,,143.0,,,,0.0,0.0,17327.0,,,99563.0,-14613.0,-70750.0,518.0,,684567.0,-1200.0,1200.0,,,
1506,2015年01月01日至2015年06月30日,,11014,11014,,,57777,903,-791,3807,10602,-115,-2745,,4620,103,,,,-40266,-4364,-2590,-19835,-14273,-67001,,307,-356,37552,-31050,4513,,1174,-65827,9584,20598,-2753,-5468,12597,,-58049,5851,-90.0,,-1831.0,-80336,,-272894.0,-35898,372878,-23753,281386,83558,364944,364944,-220.0,,220.0,,-17740.0,,12000.0,,-2897.0,,270.0,,,,0.0,0.0,14327.0,,,75411.0,-9792.0,-20995.0,518.0,,684567.0,1200.0,,,,
1506,2015年01月01日至2015年03月31日,,7475,7475,,,28512,461,-387,1726,4430,30,-298,,4245,52,,,,-70624,43189,-1332,-11134,-4244,-26818,,307,1494,21735,-33866,3549,,-11677,-38495,251,7726,-1371,-2840,3540,,-28832,0,0.0,1.0,-1230.0,-50470,,0.0,-35898,337565,-15813,274822,83558,358380,358380,-25.0,,25.0,,-9341.0,,,,-2897.0,,,,,0.0,,,17327.0,,,38746.0,-4896.0,-11586.0,518.0,-308207.0,684567.0,,,,,
1506,2014年度,,9151,9151,,,128774,1541,455,304,15529,14353,-2182,0.0,-4259,2249,160505.0,,,-36435,-32445,21716,-66342,-16240,-145479,,981,1289,36082,16637,9459,-19328.0,45120,-100359,60146,69297,-15563,-87,54386,,-104331,19963,-10782.0,0.0,-1056.0,-119382,,29219.0,-28718,501,6523,-57972,141530,83558,83558,-739.0,0.0,739.0,0.0,-1719.0,0.0,0.0,,0.0,,4480.0,,,,1594.0,8889.0,-17327.0,-30346.0,,,,,,,,,,,,
1506,2014年01月01日至2014年09月30日,,8609,8609,,,95672,1145,0,254,11617,7151,-1458,0.0,1540,2226,117627.0,,,-43306,-33906,807,-54064,-19577,-148489,,281,1547,57251,11579,3206,-14219.0,59645,-88844,28783,37392,-11662,-385,25865,,-64666,21321,,-805.0,-1058.0,-35058,,44146.0,-21605,22541,6040,19388,141530,160918,160918,-520.0,0.0,520.0,0.0,1268.0,0.0,0.0,,,,,,,,1557.0,8882.0,,,,,,,,,,,,,,
1506,2014年01月01日至2014年06月30日,,-2955,-2955,,,64007,732,0,0,6476,1398,-1431,,1729,2173,74923.0,,,-74735,-6618,-7596,-20233,-236,-107861,,464,1805,33014,13443,-3011,-9420.0,36295,-71566,3357,402,-6552,-257,-6246,,-48621,25434,,-634.0,-102.0,-22149,,-21043.0,-14425,-35468,4765,-59098,141530,82432,82432,-161.0,0.0,161.0,0.0,-66.0,0.0,,,,,,,,,1557.0,1840.0,,,,,,,,,,,,,,
