公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 處分投資性不動產,　　　　 股利收入,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 舉借長期借款,　　 發放現金股利,　　　　 未實現外幣兌換損失（利益）,　　 存出保證金減少,　　 其他非流動資產減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得待出售非流動資產,　　　　 呆帳費用提列（轉列收入）數,　　　　　 負債準備增加（減少）,　　　　 處分無形資產損失（利益）,　　 其他金融資產減少
1507,2016年01月01日至2016年09月30日,,1776050,1776050,,,272926,11626,889,45,-21088,-43156,2489,71.0,,4673.0,,,,-409847,-1442,492531,9779,1060695,-24489,52,1127279,,-398105,-283091,56336,-858559,3566,,-37773,-1596681,-469402,-274363,1501687,22539,-45,-380793,1156713,,5188.0,,,1503.0,0.0,10374,-650771,25649,-15996.0,-6624.0,4494.0,0.0,-35308,-674909,,,,0.0,,,-1131132,-180282,-829610,4431513,3601903,3601903,445.0,8.0,-10745.0,1644.0,-1523.0,13325.0,,-1126586.0,-20187.0,0.0,,-4014.0,-532.0,,195039.0,-79055.0,,,,-3070.0,-13426.0
1507,2016年01月01日至2016年06月30日,,1242897,1242897,,,185334,7622,-6314,45,-16706,-23777,3094,,-1857.0,3168.0,,,,-608654,-60316,403930,8811,1000570,-6590,-958,736793,,-380713,-211629,-181088,-625371,3083,,-18738,-1496527,-759734,-599310,643587,16644,-45,-234081,426105,,5188.0,,,,,10548,-273358,20524,,-723.0,4571.0,,-230089,-516151,,,,,,,-28454,-118441,-236941,4431513,4194572,4194572,445.0,,,1673.0,708.0,,,-23123.0,10114.0,-29558.0,-23254.0,-5028.0,-303.0,,160424.0,-82071.0,0.0,,,-3125.0,
1507,2016年01月01日至2016年03月31日,,629019,629019,,,93710,3824,-2380,40,-8994,-12379,3511,,742.0,1474.0,,,,54974,-59791,215211,-10087,839361,-55679,0,983989,,-390364,-811118,-205725,-487666,3233,,-2586,-1979232,-995243,-924656,-295637,9055,-40,-52601,-339223,,4421.0,,,,,3658,-110176,3650,0.0,0.0,4624.0,,-191304,-272305,,,,,,,-19065,-57267,-687860,4431513,3743653,3743653,393.0,,,2143.0,-9680.0,,,,1345.0,7513.0,5309.0,-18967.0,-98.0,,70587.0,-85006.0,,,0.0,-3162.0,
1507,2015年度,,2494475,2494475,,,382565,15938,-28098,59,-52388,-44783,13803,,18175.0,5479.0,,,,-51697,-111241,-1029067,-5352,1459175,171905,0,433723,,-145838,-344700,14,-931362,-35,,71802,-1350762,-917039,-450724,2043751,52087,-59,-542754,1565995,,1101.0,,,125.0,644.0,11379,-820836,18418,,-17137.0,,,-140627,-832556,,,,,,0.0,-1286312,-76767,-629640,5061153,4431513,4431513,217.0,,-9100.0,-6816.0,-4916.0,12970.0,,-1256405.0,7188.0,97337.0,17040.0,-29219.0,-688.0,,466315.0,-95.0,,168992.0,-548.0,,
1507,2015年01月01日至2015年09月30日,,2034550,2034550,,,284929,11869,-23164,53,-40668,-20827,10911,,,4156.0,,,,-365003,-280911,-1479567,4720,936350,210663,16,-973732,,-428714,-28256,150570,-131662,3340,,43027,-400480,-1374212,-1167798,866752,39187,-53,-527569,391287,,0.0,,,,644.0,11923,-577614,24270,,-17055.0,,14096.0,-181383,-723038,,,,82484.0,,,-1187168,12206,-1506713,5061153,3554440,3554440,-13.0,,-9100.0,-7308.0,-3443.0,12970.0,,-1256405.0,-981.0,2081.0,,0.0,-13247.0,,206414.0,-8785.0,,,,,
1507,2015年01月01日至2015年06月30日,,1269237,1269237,,,186866,7665,-10818,53,-31688,4442,6104,,-2250.0,2738.0,,,,-270939,-164320,-697003,-18807,961160,246723,-13082,43732,,-379037,85468,-79284,-538779,2751,,13830,-909563,-865831,-702901,566336,31074,-53,-291799,305558,,0.0,,,,,13823,-497894,22366,,-12768.0,,,-70123,-503318,,,,,,,-48622,-68729,-315111,5061153,4746042,4746042,0.0,,,-5075.0,-77.0,,,-30334.0,4970.0,28151.0,17623.0,-17920.0,-368.0,,162930.0,-14512.0,-4496.0,,,,
1507,2015年01月01日至2015年03月31日,,672530,672530,,,81757,3681,-3560,46,-20342,9651,81,,1055.0,1376.0,,,,-241232,-120574,-425542,5143,1295312,159175,-21961,650321,,-344148,-1081324,-342612,-840015,3220,,3973,-2616971,-1966650,-1885266,-1212736,18668,-46,-38623,-1232737,,,,,,,0,-293688,751,-10442.0,-2214.0,,34534.0,-28865,-299924,,,,-29865.0,-191.0,,-30056,-48955,-1611672,5061153,3449481,3449481,,,,0.0,-36.0,0.0,,,7675.0,,,,,,81384.0,-16065.0,,,,,
1507,2014年度,,2868894,2868894,,,354919,11707,-44660,60,-44939,-11366,1842,,0.0,5392.0,247382.0,,,68473,156929,-609907,-4543,440262,-174095,140,-122741,,-8811,107092,176876,-277102,39,13801.0,53260,65155,-57586,189796,3058690,42587,-667,-841722,2266789,,48920.0,,,0.0,,0,-562681,15580,0.0,0.0,,,-20769,-481649,,,0.0,0.0,0.0,2.0,-1091515,130050,823675,4237478,5061153,5061153,-7537.0,,-5321.0,0.0,2049.0,7901.0,,-1035812.0,-14764.0,48296.0,-10995.0,-54918.0,-787.0,,,,,,,,
1507,2014年01月01日至2014年09月30日,,2133409,2133409,,,254231,8308,-22024,66,-40061,-2411,1823,,828.0,3908.0,186581.0,,,-979317,-29683,-678072,-8115,395386,-79704,62221,-1317284,,-426659,-137787,278800,569982,3381,5232.0,27491,320440,-996844,-810263,1323146,40291,-673,-704915,665750,,48779.0,,,0.0,,9378,-365434,1567,-847382.0,-30517.0,,8191.0,-3165,-205690,,0.0,0.0,414958.0,-448.0,0.0,-1082687,19148,-603479,4237478,3633999,3633999,-7527.0,,-5321.0,-4293.0,-1124.0,7901.0,,-1035812.0,178.0,972893.0,,-461385.0,,,,,,,,,
1507,2014年01月01日至2014年06月30日,,1236315,1236315,,,164383,5285,-11614,66,-24990,-2254,66,,,2581.0,136274.0,,,-340680,-64590,-264904,-5089,318270,-42658,61310,-338341,,-479624,-107981,-48778,311251,3021,-3819.0,601,-325329,-663670,-527396,708919,24927,-673,-452960,280213,,876.0,0.0,,0.0,,9292,-266698,856,0.0,-28208.0,,,-10887,-199323,,0.0,0.0,0.0,0.0,0.0,-98985,-20498,-38593,4237478,4198885,4198885,108.0,,,-4253.0,-1318.0,0.0,,-14087.0,8214.0,93130.0,2316.0,-84624.0,-274.0,,,,,,,,
