公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 持有至到期日金融資產到期還本,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 收取之股利,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存入保證金增加,　　 應付租賃款減少,　　　　 股利收入,　　　　 處分其他資產損失（利益）,　　 預付投資款增加,　　 應付短期票券減少,　　 存入保證金減少,　　 發放現金股利,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　　 應付票據－關係人增加（減少）,　　 處分備供出售金融資產,　　 取得投資性不動產,　　　　　 應付建造合約款增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分採用權益法之投資,　　 現金減資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分以成本衡量之金融資產,　　　　 非金融資產減損迴轉利益,　　 短期借款減少
1513,2016年01月01日至2016年09月30日,,571265,571265,,,273788,50435,-61187,-10509,21249,-14419,-62703,-165.0,-223,8732.0,,,,-193427,-46973,-36419,564505,61771,-163916,6015,-56646,27003,50192,96733,308838,,16259,49640,-414,,-209847,9711,65,3155,,-861506,-552668,-375328,195937,14567,-21121,-155128,112338,,,0,-158796,1358.0,-19035.0,0.0,-6502.0,-56832,,-1647,-237810,,525825,100000.0,0,-63000.0,,762.0,0,-14905,128265,-41384,-38591,1286950,1248359,1248359,,78083.0,,,3644.0,,,-27658.0,,0.0,0.0,-417.0,-420000.0,,0.0,0.0,,0.0,-462686.0,,,,,177340.0,-267389.0,0.0,,
1513,2016年01月01日至2016年06月30日,,362501,362501,,,183970,33098,-28516,-2126,13877,-7916,-31022,-156.0,-134,3800.0,,,,-111630,-30245,-5345,254551,16148,-202072,-5312,-47100,11967,22798,59155,-37085,,4013,90451,-2481,,-77389,81,9135,2292,,-379253,-416338,-262614,99887,7000,-13824,-76361,42407,,,0,-86247,1238.0,,2912.0,-6580.0,-1592,,-1098,-91367,,0,100000.0,17000,,,,-3849,-8252,-81996,-24151,-155107,1286950,1131843,1131843,,25705.0,,,,0.0,,-11151.0,,,,-2358.0,,,,0.0,,0.0,-292841.0,,,,,153724.0,-112514.0,,,-184537.0
1513,2016年01月01日至2016年03月31日,,205414,205414,,,91753,16524,-18603,-2477,7052,-5127,-7290,163.0,-57,,,,,-51184,-6669,-8959,8306,11794,-4213,-1789,-15408,470599,101038,61621,565136,,1597,53809,257,,-195785,33,-8161,1777,,-321622,243514,325452,530866,3888,-6939,-11290,516525,,,0,-73688,666.0,,12626.0,-6670.0,-21097,,-549,-88712,,0,100000.0,0,,,,-7132,-3265,-366272,-8682,52859,1286950,1339809,1339809,,0.0,,,,0.0,,0.0,,,0.0,-2688.0,,,0.0,0.0,,0.0,-175405.0,,,,,81938.0,256.0,,,-453187.0
1513,2015年度,,721950,721950,,,346508,59436,129536,7389,30934,-21375,-36110,-1363.0,-4450,6396.0,,,,75627,26212,22238,-392897,76030,176764,28974,3325,-649307,-270739,-55106,-958879,,2431,45471,-34745,,24084,145,33860,3690,,-7867,-966746,-492865,229085,26717,-31183,-197322,109702,,,-16067,-293973,2272.0,0.0,5542.0,-670.0,-55579,0.0,-2196,-337672,,938238,0.0,183000,,,,-21096,-1957,563938,-4113,331855,955095,1286950,1286950,,82405.0,,,3374.0,,,-35794.0,0.0,,-30000.0,-247.0,-504000.0,,4671.0,-2551.0,0.0,-517.0,-80226.0,0.0,20142.0,0.0,,473881.0,-26.0,,-11897.0,
1513,2015年01月01日至2015年09月30日,,685553,685553,,,264121,49909,89644,5657,21129,-12481,-47566,-665.0,-5538,2767.0,,,,79019,3884,-12963,-450258,75969,5499,20594,23493,-882240,-58434,7451,-1187986,,-1551,4351,-36072,,8655,125,71516,4638,,-132679,-1320665,-989032,-303479,14884,-20966,-195742,-423311,,,-1515,-191448,1043.0,,29383.0,-145.0,-17365,0.0,-1647,-162635,,1281942,0.0,15000,,,,-23631,2871,741449,14906,170409,955095,1125504,1125504,,81992.0,,,3374.0,0.0,,-35381.0,0.0,-4343.0,-30000.0,-733.0,-504000.0,,37.0,-2551.0,0.0,-77.0,-180925.0,,,,,331633.0,-865.0,20105.0,,
1513,2015年01月01日至2015年06月30日,,293396,293396,,,175082,33463,40285,-6541,13517,-7617,-13205,-521.0,-1552,2766.0,,,,76688,-2101,-19549,97490,24859,17261,14287,-45634,-638721,-44217,12446,-507191,,1324,102071,-11571,,-117905,98,56752,2769,,67253,-439938,-218630,74766,10261,-14190,-108482,23335,,,-1515,-85381,719.0,,40240.0,0.0,-12697,,-1098,-59809,,101292,120001.0,15000,,,,-24492,-5252,207272,-25269,145529,955095,1100624,1100624,,60980.0,,,0.0,723.0,,-14369.0,,,0.0,,,,,-2551.0,0.0,-77.0,38209.0,,,,,221308.0,-1943.0,,,
1513,2015年01月01日至2015年03月31日,,155684,155684,,,87186,16520,31127,-12077,5723,-3634,2688,,-552,,,,,58857,804,2832,65689,-17414,103898,24980,3594,-394548,2654,16682,-131972,,-2393,-3339,-30145,,-194678,54,-609,1696,,-393029,-525001,-398188,-242504,7421,-6330,-561,-241729,,,-1515,-48038,,0.0,27922.0,,-5678,,-549,-27935,,554432,,14852,,,,-25026,-2220,492364,-11362,211338,955095,1166433,1166433,,245.0,,,,178.0,,-245.0,,,-49852.0,0.0,,,77.0,-2551.0,,-77.0,-161980.0,,,,,126813.0,916.0,,,
1513,2014年度,,857360,857360,,,348169,61350,50363,-21589,19502,-25647,-44907,-6207.0,-13051,15422.0,330858.0,,,7322,-16011,-22238,-139393,74726,-252238,-20928,97154,-271456,284828,190065,-68169,,-1815,93691,18762,,87255,-878,62001,-50836,3424.0,-407896,-476065,-145207,712153,21919,-19787,-139378,662295,,0.0,-11962,-276978,15392.0,-2371.0,,-21072.0,0,10396.0,-2196,-229519,,177360,180017.0,278263,,,-2920.0,-2817,5386,-348711,41333,125398,536538,661936,661936,,87388.0,-130918.0,0.0,7790.0,,,-40423.0,-12124.0,,,0.0,-384000.0,,0.0,-5342.0,161181.0,0.0,-614158.0,15564.0,5655.0,-600000.0,,,,,,
1513,2014年01月01日至2014年09月30日,,493029,493029,,,260833,45110,10694,-34061,14453,-14662,2657,-12.0,-12822,11338.0,231248.0,,,49639,-80,-2477,-24375,51676,-381732,-23111,71325,-512534,44236,197272,-530161,,-1999,130572,43959,,-25991,9074,34756,-49236,2657.0,-482056,-1012217,-780969,-287940,13582,-14769,-124610,-326558,,0.0,-11962,-186967,319.0,0.0,3953.0,-19888.0,-41937,66426.0,-1647,-136369,,364846,9522.0,209978,,,,-2407,-2078,590638,2357,130068,536538,666606,666606,,87179.0,-113637.0,0.0,7790.0,10777.0,,-40214.0,-12066.0,,,0.0,0.0,,,-7893.0,161181.0,,-617955.0,,,,,,,,,
1513,2014年01月01日至2014年06月30日,,318503,318503,,,173191,31693,11799,-36404,10307,-11830,267,-32.0,-12781,11354.0,144774.0,,,86243,2310,-1479,41405,32015,-179741,-28589,74490,-239660,184301,115803,87098,,-1004,247317,20110,,-131002,-964,42528,-50291,1619.0,-189682,-102584,42190,360693,11908,-11002,-57302,353894,,0.0,-20874,-162278,317.0,0.0,19029.0,-19528.0,-35849,,-1098,-84411,,551277,0.0,249759,,,,-3729,-6809,779406,-26679,1022210,536538,1558748,1558748,,49597.0,-33101.0,,7790.0,9666.0,0.0,-32790.0,,,-20758.0,,,,,-7893.0,161181.0,,-310102.0,,,,,,,,,
