公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 應收票據－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　 取得備供出售金融資產,　　 收取之股利,　　 其他非流動負債增加,　　 發放現金股利,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 支付之股利,　　 取得採用權益法之投資,　　 預付投資款增加,　　 其他金融資產增加,　　 應付短期票券減少,　　 償還長期借款,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動負債減少,　　 短期借款減少,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　　　 金融資產減損迴轉利益,　　 處分無形資產
1522,2015年01月01日至2015年09月30日,,811046,811046,,,965967,23165,78530,-3605,-152205,1536,,,,-8916,-91674,-16489,-216440,43328,-19755,,-307807,,-35953,46757,-8909,-30992,-43324.0,,,,-67815,-375622,536155,1347201,3605,-87724,-201870,1061212,,-1419492,24285,0.0,268,-20073,,0.0,7880,,-1339008,,,422144,430841,,,,-25686.0,90369,11197,-176230,717703,541473,541473,-198.0,-2389.0,0.0,,,20736.0,10257.0,-311958.0,,,-1730.0,4528.0,2692.0,,-3548.0,,,0.0,-95345.0,0.0,0.0,0.0,,-339884.0,24083.0,0.0,,911777.0,1914.0,,26851.0,317.0,2.0
1522,2015年01月01日至2015年06月30日,,438342,438342,,,641084,17728,51737,-2035,-104806,1570,,,,-9068,-36503,-24139,-8172,61322,-21295,,-34517,,33027,40745,-7860,-146279,103274.0,,,,13282,-21235,582987,1021329,2035,-59117,-102796,861451,,-1010063,21139,,797,-7902,,0.0,6731,,-966501,,-421924.0,342674,263841,,,,,96680,-54795,-63165,717703,654538,654538,,991.0,,,,0.0,6216.0,,,271.0,-1327.0,2347.0,-10828.0,,-4058.0,,,0.0,-94127.0,0.0,0.0,0.0,0.0,,,,,604222.0,1203.0,0.0,26855.0,,
1522,2015年01月01日至2015年03月31日,,210474,210474,,,319065,9895,25739,-402,-55339,314,,,,-2550,49792,-23728,107513,-19073,-5195,,105556,,60160,-97201,-23006,-187860,32022.0,,,,-225512,-119956,178791,389265,402,-29026,33934,394575,,-481567,2459,,670,-2943,,0.0,4701,,-476675,,0.0,225069,47000,,,,,114831,-51606,-18875,717703,698828,698828,,-82.0,,,,0.0,4252.0,,,-916.0,391.0,-1121.0,-10870.0,,,,,0.0,-35543.0,0.0,0.0,0.0,,-125947.0,,,,298747.0,1243.0,0.0,5.0,,
1522,2014年度,,1003836,1003836,,,1487627,40216,188595,-10513,-29952,-75195,1449182.0,,,-94774,-298173,-22948,-406212,-79424,62214,,-840690,,46346,415934,-66295,-277228,150634.0,-3846.0,,,274213,-566477,882705,1886541,10513,-198887,-51158,1647009,,-2171600,118618,-23440.0,0,-38577,14137.0,-30609.0,0,,-1621216,,170357.0,0,2765600,,-19.0,0.0,40283.0,-31015,30169,24947,1148746,1173693,1173693,-1884.0,2901.0,0.0,,,15468.0,-1273.0,0.0,,0.0,-101416.0,-4274.0,8668.0,,,0.0,0.0,-454250.0,-2551713.0,-48296.0,74519.0,391751.0,0.0,,1681.0,26836.0,,,,,,,
1522,2014年01月01日至2014年09月30日,,702670,702670,,,1100809,30741,142345,-5724,-31282,-74971,1012001.0,,,-128219,106583,-25890,-8400,108986,-203519,,-149328,,100951,-90219,-44475,-342686,,2755.0,,129443.0,-237671,-386999,625002,1327672,5724,-150813,-71093,1111490,,-1483793,117463,-22162.0,0,-31091,6108.0,-8878.0,0,,-913278,,0.0,0,2440000,120.0,0.0,0.0,40283.0,-137454,-9534,51224,1148746,1199970,1199970,-709.0,2258.0,1900.0,,,14293.0,0.0,,,0.0,-100917.0,-1127.0,4660.0,,,,0.0,-24580.0,-2518042.0,-48291.0,74514.0,391751.0,-2188.0,-73047.0,1681.0,26836.0,,,,,,,
1522,2014年01月01日至2014年06月30日,,499078,499078,,,718343,20549,96719,-4337,-23935,-75237,585423.0,,,-155310,23353,1667,355253,-180078,88927,,131426,,126358,58032,2258,-356929,1934.0,68412.0,,,-102137,29289,614712,1113790,4337,-104648,-58364,955115,,-961313,116745,,15,-20571,112.0,,9267,,-388997,,0.0,0,2280000,,-300.0,0.0,,-633147,-15763,-82792,1148746,1065954,1065954,0.0,76.0,0.0,,,3315.0,-5078.0,,,0.0,-100403.0,-2462.0,-2202.0,,,,,-134814.0,-2450692.0,-46276.0,71682.0,391751.0,0.0,-322263.0,,,,,,,,,
1522,2014年01月01日至2014年03月31日,,284105,284105,,,357673,8759,48907,-788,-12119,118,265740.0,,,-48153,-126023,-12770,365412,-37536,-228644,,-89776,,73902,-72334,-53564,-436378,48663.0,642.0,,,-436937,-526713,-260973,23132,788,-54076,-12591,-42747,,-438827,1470,,625,-3502,122.0,0.0,8199,,6362,,328061.0,0,0,48.0,0.0,0.0,,115346,2012,80973,1148746,1229719,1229719,,-1565.0,0.0,,,3315.0,,,,18.0,-99867.0,-497.0,2132.0,,,,,-174592.0,-40477.0,-36961.0,43106.0,391854.0,2306.0,,,,,,,,,,
1522,2013年度,,309471,309471,,,1355889,33748,170869,-8326,23245,10778,1574800.0,,,24933,-479759,71944,-236006,2965,-166779,,-784425,,32092,236145,167466,290936,28770.0,-1058.0,,,605254,-179171,1395629,1705100,8326,-177768,-23873,1511785,,-1980396,17488,0.0,16863,-42813,0.0,0.0,41960,,-2251724,,94664.0,174653,517189,,-61.0,-7031.0,39576.0,524221,113887,-101831,1250577,1148746,1148746,-2766.0,-2165.0,-148595.0,,,2766.0,0.0,0.0,,99360.0,-107997.0,442.0,-502.0,,,-304567.0,-3025.0,0.0,-297438.0,0.0,0.0,0.0,2669.0,,0.0,0.0,,,,,,,
1522,2013年01月01日至2013年12月31日,,309471,309471,,,1355889,33748,170869,-8326,23245,10778,1574800.0,,,24933,-479759,71944,-236006,2965,-166779,,-784425,,32092,236145,167466,170247,149459.0,-1058.0,,-6895.0,598359,-186066,1388734,1698205,8326,-177768,-23873,1504890,,-1980396,17488,0.0,16863,-42813,,,48855,,-2244829,,94664.0,174653,517189,,-61.0,-7031.0,39576.0,524221,113887,-101831,1250577,1148746,1148746,-2766.0,-2165.0,-148595.0,,0.0,2766.0,2669.0,0.0,0.0,99360.0,-107997.0,442.0,-502.0,0.0,0.0,-304567.0,-3025.0,0.0,-297438.0,,,,,,,,,,,,,,
1522,2013年01月01日至2013年09月30日,,288628,288628,,,993730,25078,127904,-4371,-71474,2781,1067935.0,,,3526,-331631,98676,-417869,-122715,-65887,,-845793,,140284,198801,146489,76945,,-708.0,,201816.0,613308,-232485,835450,1124078,4371,-135881,-21904,970664,,-1433419,12025,0.0,16907,-33285,0.0,0.0,115755,,-1323315,,180289.0,159727,126027,0.0,-86.0,-7031.0,51851.0,517562,114218,279129,1250577,1529706,1529706,-1591.0,-3472.0,-148595.0,,,1591.0,6785.0,,,103332.0,-107454.0,-6421.0,-1724.0,,,,-2889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
