公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 預付款項（增加）減少,　　 退還（支付）之所得稅,　　 存出保證金增加,　　 因合併產生之現金流入,　　 收取之股利,　　 舉借長期借款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　 償還公司債,　　 取得無活絡市場之債務工具投資,　　 其他籌資活動,　　　　 未實現外幣兌換損失（利益）
1524,2016年01月01日至2016年09月30日,,166220,166220,,,304030,592,536,34460,-241,,,-92,-18,,,,,-3486,9978,1272,-5119,-36277,6368.0,-27264,,14569,-22256,711,,-747,,-8385,-35649,303618,469838,241,-34781,435298,,,,-216337,1034,-215773,,-40911,,5000,,0,,-186143,33382,301369,334751,334751,0.0,,0.0,-470.0,,,49393.0,,339267.0,-662.0,0.0,0.0,,-199625.0,0.0
1524,2016年01月01日至2016年06月30日,,128703,128703,,,205023,862,179,25975,-180,,,7,24,,,,,-1128,7696,23564,109,-48694,,-16659,,11216,-5622,-3890,,251,,1516,-15143,216747,345450,180,-26636,318994,,,,-134415,10,-183171,,119053,0.0,0,-25000.0,-76243,,-181815,-45992,301369,255377,255377,0.0,1794.0,0.0,-488.0,,,0.0,,231890.0,-439.0,0.0,0.0,-48278.0,-199625.0,
1524,2016年01月01日至2016年03月31日,,59894,59894,,,103226,-921,-154,12429,-17,,,0,-15,,,,,-5103,4634,49931,-1446,-29865,,17793,,9070,-4279,-10387,,1930,,-3881,13912,122999,182893,17,-11328,171582,,,,-66801,0,-66801,,0,-24347.0,0,,-28167,,-52514,52267,301369,353636,353636,0.0,-358.0,,,,,,,109087.0,-215.0,0.0,0.0,,,-5461.0
1524,2015年度,,-229008,-229008,,,426928,14152,735,54318,-332,-2793.0,0.0,309,-469,0.0,,,,-11497,2366,47930,-320,76768,,105745,,-34824,-34065,-10183,,2598,,-77224,28521,879871,650863,332,-49645,601535,,,0.0,-239925,111,-132141,,1006,0.0,94,0.0,-59356,,-353030,116364,185005,301369,301369,345101.0,-9502.0,-15.0,0.0,,2793.0,0.0,,851350.0,-750.0,104880.0,-131100.0,0.0,-163674.0,13401.0
1524,2015年01月01日至2015年09月30日,,-306323,-306323,,,321013,13316,906,41076,-233,0.0,,-2,-459,,,,,-8803,-15024,64878,100,47396,8208.0,96755,,-39486,-25244,-13267,,358,,-78179,18576,757676,451353,233,-38439,413124,,,,-212214,39,-107295,,9097,0.0,6,,-14791,,-236317,69512,185005,254517,254517,345101.0,,-23.0,,,,,,739100.0,-540.0,104880.0,-131100.0,0.0,-99529.0,18382.0
1524,2015年01月01日至2015年06月30日,,-349633,-349633,,,214276,1919,-314,27291,-211,,,24,-351,,,,,-3270,3113,78025,1419,18586,,103693,,-21216,-14557,-12006,,6025,,-42109,61584,649319,299686,211,-26638,273244,,,,-142385,3,-37502,,64383,0.0,3,0.0,0,,-71018,164724,185005,349729,349729,345101.0,5820.0,-15.0,,,,51192.0,,587735.0,-355.0,104880.0,-131100.0,0.0,-55496.0,
1524,2015年01月01日至2015年03月31日,,-257778,-257778,,,106707,1084,-336,11066,-43,,,22,-128,,,,,1162,2600,51203,-2280,-20039,,34835,,961,-27402,-10415,,1170,,-35862,-1027,385209,127431,43,-11051,116423,,,,-76482,3,28401,,16169,,1,,-6496,,-121426,23398,185005,208403,208403,267864.0,2189.0,,,,,,,386236.0,-176.0,104880.0,-131100.0,,,
1524,2014年度,,8660,8660,,,453254,2186,-1479,47261,-481,-2793.0,0.0,-3731,-101,0.0,494116.0,,,4998,561,-9885,830,8410,,-6843,,27926,-26954,-9712,,-1204,-584.0,-10528,-17371,476745,485405,481,-44999,440889,,-18980.0,0.0,-260400,4600,-271987,,0,-44658.0,14,0.0,-267422,,-312066,-143164,328169,185005,185005,0.0,-11757.0,2.0,0.0,0.0,2793.0,0.0,,,,,,,,
1524,2014年01月01日至2014年09月30日,,2558,2558,,,343554,1484,-1177,35563,-306,0.0,0.0,-3734,-89,0.0,375295.0,,,390,7130,54153,-1319,-11193,-7409.0,41752,,12263,-67014,-26224,-999.0,608,-435.0,-81801,-40049,335246,337804,306,-34156,303954,,-18980.0,0.0,-184602,4600,-198982,,0,-48107.0,9,0.0,-232863,0.0,-280961,-175989,328169,152180,152180,,,,,,,,,,,,,,,
1524,2014年01月01日至2014年06月30日,,6647,6647,,,229952,983,-1159,23341,-290,,,-3738,-55,,,,,1287,1963,73888,2882,-47243,,31016,,-2461,-63606,-26879,,3427,,-89817,-58801,190233,196880,290,-22605,174565,,,,-122976,4600,-115936,,0,-10523.0,6,0.0,-176857,,-187374,-128745,328169,199424,199424,0.0,-1761.0,0.0,,,,0.0,,249034.0,-298.0,0.0,0.0,2440.0,0.0,
