公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 未實現銷貨利益（損失）,　　 以成本衡量之金融資產減資退回股款,　　 發行公司債,　　 舉借長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 償還長期借款,　　 存入保證金減少
1530,2016年01月01日至2016年09月30日,,146717,146717,,,79314,1686,-5798,25653,-2501,570,-1310,-3942,2487,99479,,,112361,-465,191657,69519,-530,-70,143400,-12900,17643,520615,,18720,622,52561,-1410,-30772,-2800,59,34247,15416,1841,88484,609099,708578,855295,2501,-50610,807186,,0,-18950,3620,2966,-500,-8081,0,-12727,,-569145,-149875,-25967,-728749,-20815,44895,1041266,1086161,1086161,3320.0,,8218.0,0.0,62500.0,,-45997.0,0.0,,-265.0
1530,2016年01月01日至2016年06月30日,,116303,116303,,,54147,1157,669,18157,-1683,278,-1638,-590,1526,76223,,,45988,-769,129706,90458,11561,35,246293,-11612,2548,514208,,-91995,-1123,-11618,36,-34746,-1344,-112,26507,13096,-102,-101401,412807,489030,605333,1683,-23756,583260,,0,-16438,1166,680,-500,-1850,0,-8724,,-359866,-149852,-18358,-553312,-10694,10530,1041266,1051796,1051796,4200.0,0.0,8218.0,0.0,-25000.0,-236.0,0.0,,,
1530,2016年01月01日至2016年03月31日,,29347,29347,,,27642,604,100,9002,-675,1572,-155,-1803,936,38663,,,19723,102,55244,61828,4397,35,58625,-17477,2672,185149,,-54553,307,-32887,-1922,-50451,-4490,-878,37253,18852,-99,-88868,96281,134944,164291,675,-9876,155090,,0,-7826,434,-205,-500,5877,0,5998,,-72984,-99796,-9158,-194651,-1343,-34906,1041266,1006360,1006360,1440.0,0.0,8218.0,,,,,,-12500.0,-213.0
1530,2015年度,,360740,360740,,,107897,3093,-14586,31217,-3903,1459,5893,0,-40096,94142,,,-14572,1556,-52832,119241,-13609,4106,-9941,19387,22081,75417,,-182570,1331,-51721,467,-22789,1334,-4860,-42426,-25178,-1038,-327450,-252033,-157891,202849,3903,-93974,112778,,-190723,-79648,4906,-469,-3741,-15959,-1143,-277240,,313176,192740,-31651,379585,-5304,209819,831447,1041266,1041266,2000.0,1168.0,9537.0,395000.0,-336423.0,1126.0,-202398.0,48015.0,,
1530,2015年01月01日至2015年09月30日,,310158,310158,,,80383,3106,-4700,23823,-3278,-246,5964,2989,-40918,74363,,,42956,1261,-85646,38057,-16508,3252,-186647,16315,-57562,-244522,,-88846,4030,-5692,-532,-7027,-851,-1674,2131,-14499,-2,-112962,-357484,-283121,27037,3278,-86001,-55686,,-9211,-61315,3611,2409,-3782,-7602,-1143,-67496,,23615,22972,-23948,141731,6594,25143,831447,856590,856590,7240.0,,9537.0,395000.0,-323923.0,,0.0,48015.0,,
1530,2015年01月01日至2015年06月30日,,113402,113402,,,53671,2109,7595,14838,-2446,-1059,4999,0,-40675,44035,,,121985,1449,-23667,-11052,-18587,3125,-180801,-59773,-746,-168067,,-38230,415,29112,-1549,1544,9299,-300,38332,-1487,-1,37135,-130932,-86897,26505,2446,-52291,-23340,,-9211,-31342,1793,2313,0,-7264,40087,5913,,-102289,102997,-14582,165791,-5161,143203,831447,974650,974650,4000.0,1003.0,9537.0,395000.0,-215385.0,50.0,0.0,,,
1530,2015年01月01日至2015年03月31日,,94317,94317,,,24226,1100,-747,6896,-743,924,0,2568,-40621,-6397,,,60819,1043,67938,18587,-92808,2035,-162100,-26811,11933,-119364,,-48720,1273,63264,-1549,-27002,-1440,426,47,-54,-2,-13757,-133121,-139518,-45201,743,-25504,-69962,,0,-13850,326,1842,0,-4996,-54,-16732,,64000,49971,-7181,106790,-2171,17925,831447,849372,849372,,,,,,,,,,
1530,2014年度,,361838,361838,,,103053,3857,20592,24095,-2846,-9344,-700,-3928,-312,134467,,,-148119,-1359,-230182,-185390,107,3595,-135426,-44640,7842,-733572,,187334,-1581,42399,1480,28357,2550,6131,51479,54718,-222,372645,-360927,-226460,135378,2846,-48387,89837,,3070,-156343,1036,2681,-1167,-6825,-41162,-198710,,274273,151902,-23920,283648,8652,183427,648020,831447,831447,0.0,0.0,0.0,0.0,65385.0,0.0,-183992.0,0.0,,
1530,2014年01月01日至2014年09月30日,,230425,230425,,,77125,3538,7571,17699,-1791,-2552,-638,-3318,-898,96736,,,-123782,-301,-122228,-71895,-5274,3483,-203995,-23708,-28638,-576338,,135694,-1153,60398,604,-11512,782,6042,131285,-5149,4,316995,-259343,-162607,67818,1791,-40575,29034,,3070,-125237,714,4680,-717,-7319,-7234,-132043,,277866,19968,-17751,196091,2168,95250,648020,743270,743270,0.0,,0.0,0.0,100000.0,,-183992.0,0.0,,
1530,2014年01月01日至2014年06月30日,,145968,145968,,,51585,2355,5682,10698,-1297,-415,-1226,-3152,-598,63632,,,-61792,-782,-127771,-70377,-8931,-664,-120773,-20636,-3235,-414961,,126018,-297,25181,21,7061,195,4610,21796,-16093,1,168493,-246468,-182836,-36868,1297,-22528,-58099,,3070,-101001,714,4588,-467,-6364,-7873,-107333,,122600,42,-10750,111889,-5585,-59128,648020,588892,588892,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,,
