公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　 存出保證金減少,　　 預付設備款增加,　　 存入保證金增加,　　 短期借款減少,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 已實現銷貨損失（利益）,　　　　　 應付票據－關係人增加（減少）,　　 其他金融資產增加,　　 其他借款增加,　　 其他非流動負債增加,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分待出售非流動資產損失（利益）,　　　　　 其他營業負債增加（減少）,　　 處分待出售非流動資產,　　 處分不動產、廠房及設備,　　 其他借款減少,　　　　 處分投資損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　 其他金融資產減少
1538,2015年01月01日至2015年03月31日,,-86971,-86971,,,12682,1029,4710,-50,337,,,,405,5041,-12114,463,241,-2014,-7733,,-15711,,-26662,-1121,-16.0,-342,-656,-6626,,-35415,-51126,38664,-48307,50,-5276,,-53533,,-2650,,-665,-14.0,-18503,,7359.0,,-1900,-50.0,9398,-2615,-65253,174868,109615,109615,,2.0,-15230.0,0.0,-2497.0,,71548.0,0.0,,,6486.0,,-466.0,0.0,,0.0,47.0,0.0,,,89790.0,8.0,0.0,7.0
1538,2014年度,,-53203,-53203,,,60775,4250,21969,-924,4000,35773.0,,,-92,-8629,-14535,-7072,393,14918,-50893,2711.0,-63199,,-30753,-41351,,-8521,-13604,196976,22.0,73883,10684,46457,-6746,924,-25550,,-31372,,-18726,-1210.0,-2987,,187435,,,350000.0,-295618,,-109932,11593,57724,117144,174868,174868,,,-3621.0,474.0,-23303.0,0.0,1496.0,-1198.0,-4197.0,-14682.0,0.0,,-678.0,-53961.0,-24689.0,219312.0,9349.0,-141485.0,44.0,,,,,
1538,2014年01月01日至2014年09月30日,,-14452,-14452,,,47961,2905,16133,-119,2882,14384.0,,,519,-14422,-16321,-4165,410,23845,-51974,205.0,-61903,,-30318,-42555,,-8059,-15302,202404,10.0,81491,19588,33972,19520,119,-19022,,617,,-16296,,-2461,-53365.0,157781,,,350000.0,-251365,,-77520,1556,82434,117144,199578,199578,,2795.0,-1553.0,469.0,-20822.0,,,-872.0,,,,,-545.0,-53961.0,-24689.0,219312.0,9349.0,-155802.0,,,,,,
1538,2014年01月01日至2014年06月30日,,19798,19798,,,35016,1743,9757,-70,-6029,-14335.0,,,449,-17123,-18366,-6100,499,18242,-36489,-2227.0,-61115,,-29572,-32788,-4196.0,-6727,-6641,124823,2.0,20212,-40903,-55238,-35440,70,-12125,,-47495,,-11812,,-1509,-32643.0,199620,,,200000.0,-201784,,-136551,-5333,10241,117144,127385,127385,,8172.0,-83.0,376.0,-30000.0,,,-582.0,,,,,-209.0,-53961.0,-24689.0,219312.0,18183.0,-105143.0,,,,,,
1538,2014年01月01日至2014年03月31日,,24158,24158,,,21843,834,5232,-28,-5678,-32133.0,,,369,-9026,-19270,-3514,57,20171,-11631,,-22844,,-11227,-26766,-1318.0,43441,46246,-97570,-5.0,-71888,-94732,-126865,-102707,28,-6786,,-109465,,-3904,,-667,-13333.0,227119,,0.0,,-25011,,-133954,-245,-16545,117144,100599,100599,,8169.0,,376.0,0.0,,,-291.0,,,,,-84.0,-53961.0,-24689.0,219312.0,17542.0,-109319.0,,,,,,
1538,2013年度,,-466624,-466624,,,158757,4851,24327,-140,20658,402974.0,,,-572,1567,1261,15325,156,-16312,14044,-3756.0,11713,,30364,37113,,-3736,-11549,95948,-43.0,152310,164023,566997,100373,140,-26026,,74487,,-14004,8332.0,-4889,,-28989,,,0.0,-48605,,-4643,9915,50770,66374,117144,117144,,,-7663.0,60.0,-11225.0,2526.0,190631.0,-1162.0,4213.0,-10765.0,55127.0,,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1538,2013年01月01日至2013年12月31日,,-466624,-466624,,,158757,4851,24327,-140,20658,400448.0,,,-572,1567,3787,15325,156,-16312,14044,-3756.0,14239,,30364,37113,,-3736,-11549,95948,-43.0,152310,166549,566997,100373,140,-26026,0.0,74487,,-14004,8332.0,-4889,0.0,-28989,,,,-48605,0.0,-4643,9915,50770,66374,117144,117144,0.0,0.0,-7663.0,60.0,-11225.0,2526.0,190631.0,-1162.0,4213.0,-10765.0,55127.0,0.0,,,,,,,,,,,,
1538,2013年01月01日至2013年09月30日,,-189298,-189298,,,119916,3936,18176,-92,-872,141064.0,,,-471,790,-22564,5497,91,-4985,1470,-799.0,-20971,,31474,25745,,-1732,50329,-8230,-41.0,97545,76574,217638,28340,92,-19501,0.0,8931,,-10321,8325.0,-4889,0.0,-13453,,2424.0,0.0,-12003,0.0,-9519,5025,-9016,66374,57358,57358,0.0,0.0,-6568.0,60.0,0.0,,,,,,,,,,,,,,,,,,,
1538,2013年01月01日至2013年06月30日,,-138975,-138975,,,81179,2720,11695,-58,-582,94954.0,,,-1059,1217,-7539,11498,-2100,-8331,-4294,-1983.0,-12591,,20468,27227,,8962,33574,-7075,-35.0,83121,70530,165484,26509,58,-12536,0.0,14031,,-4218,8325.0,-4779,0.0,-5141,,4127.0,13622.0,-14710,0.0,3099,6642,18631,66374,85005,85005,0.0,0.0,-4469.0,60.0,,,,,,,,,,,,,,,,,,,,
1538,2013年01月01日至2013年03月31日,,-86100,-86100,,,41030,1360,5510,-22,-291,47587.0,,,-1118,3507,-20497,13821,-30,-10544,-30796,-1179.0,-46836,,4963,24350,0.0,31212,0,27539,-20.0,88044,41208,88795,2695,22,-6262,0.0,-3545,,-3525,103.0,0,-1330.0,-4752,,3982.0,0.0,-9479,0.0,-5497,7299,-6495,66374,59879,59879,,,,,,,,,,,,,,,,,,,,,,,,
