公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　　　 股利收入,　　 收取之利息,　　 取得無形資產,　　 收取之股利,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　 其他投資活動,　　　　 非金融資產減損損失,　　　　　 應付建造合約款增加（減少）,　　 備供出售金融資產減資退回股款,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 處分投資性不動產損失（利益）,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 存入保證金增加
1608,2015年度,,-403026,-403026,,,219637,236,215496,29441,-221,-5844,,,,,-12444,-387802,,-68404,46038,886047,38629,502064,,-17889,-76922,-1079,-4763,-11605,,-114790,387274,758223,355197,-29878,-9355,402100,,,,0.0,27597.0,0.0,,-99119,696,-5978.0,,-3000.0,0.0,-59129,,0.0,-392483.0,40000.0,,0,-91744,0,0,-439247,-96276,376152,279876,279876,-374.0,-85765.0,371.0,-41.0,85765.0,0.0,150.0,1069.0,-3430.0,961.0,,,28522.0,20150.0,,,370949.0,-31054.0,-257.0,-194.0,610.0,0.0,4980.0
1608,2015年01月01日至2015年09月30日,,-447050,-447050,,,167584,177,266101,23121,-221,-5844,,,,,-10580,-76642,,-11483,30717,361488,-18968,274532,,-11282,-82573,-1484,-552,-37865,,-155394,119138,488943,41893,-23329,-9258,95316,,,,0.0,27597.0,,,-78058,592,-7115.0,,-3000.0,,-39459,,-309993.0,,290000.0,,4641,-91537,0,0,-106889,-51032,376152,325120,325120,-240.0,-85765.0,245.0,-41.0,85765.0,0.0,0.0,898.0,,4251.0,0.0,0.0,0.0,20150.0,,,369805.0,-21638.0,-257.0,-194.0,610.0,,
1608,2015年01月01日至2015年06月30日,,-156683,-156683,,,114430,118,48002,15407,-32,-5844,,,,,-5972,-82776,0.0,-12892,21538,226150,-24544,121504,,-15182,-67237,-14,-6473,-44847,,-149734,-28230,126364,-30319,-15723,-9258,-55108,,,,,27596.0,,,-42192,34,-3764.0,,,,1824,,-181671.0,,390000.0,,6084,-9,0,0,214404,161120,376152,537272,537272,-191.0,-20698.0,192.0,0.0,,0.0,0.0,584.0,,2818.0,0.0,,,20150.0,,,154594.0,-15981.0,,,,,
1608,2015年01月01日至2015年03月31日,,-123911,-123911,,,58456,58,-35470,7973,-30,2056,,,,,7636,-20097,0.0,-11041,22060,214343,-26220,186681,,-7255,-9694,-14,-8606,-13930,,-41171,145510,185923,62012,-8528,0,53536,,,,,1319.0,,,-30375,31,-24080.0,,,,-53105,,-271239.0,,290000.0,,2138,-7,0,0,20892,21323,376152,397475,397475,-48.0,,52.0,0.0,,0.0,0.0,302.0,,7116.0,0.0,,,,,,40413.0,-1672.0,,,,,
1608,2014年度,,97447,97447,,,254769,328,-10567,28326,-4237,1574,0.0,52439.0,,,53,-54184,0.0,25508,81269,-916069,-61130,-924553,,9294,-24724,3,-50281,40031,-11575.0,96062,-828491,-776052,-678605,-28303,-18938,-473253,,,,-379000.0,0.0,-31240.0,,-76888,9568,-439.0,0.0,,-120347.0,-187818,,,816909.0,,410000.0,-40,-517118,-31270,-38828,639653,-21418,397570,376152,376152,-426.0,-252168.0,425.0,-454.0,252168.0,-72896.0,456207.0,583.0,15647.0,18610.0,3138.0,,133314.0,24533.0,,,,,,,,,
1608,2014年01月01日至2014年09月30日,,167902,167902,,,195183,255,-4281,20391,-4255,1574,0.0,-22063.0,,,1401,72096,0.0,-24634,-9033,-731674,-84579,-776423,,-2626,-43583,-103,12862,33793,-2638.0,131019,-645404,-667467,-499565,-19845,-17918,-284889,,,,-379000.0,0.0,,0.0,-66263,9566,-840.0,,,,-25909,,460841.0,0.0,450000.0,0.0,-258,-390499,-31270,-38828,323452,12654,397570,410224,410224,-274.0,-252166.0,273.0,-354.0,252166.0,-72896.0,456207.0,456.0,,5407.0,3138.0,15647.0,133314.0,24533.0,-126534.0,,,,,,,,
1608,2014年01月01日至2014年06月30日,,146514,146514,,,131974,169,-74460,13135,-4261,735,0.0,-65001.0,,,-5607,370,-11.0,-15535,5215,-515198,12917,-517849,,-2122,-12338,-107,6106,-5004,-836.0,-14301,-532150,-597151,-450637,-13204,-17918,-481521,,,,,,,,-34660,9564,-343.0,,,,117964,,34962.0,,400000.0,0.0,-155,-9140,-31270,-38828,355569,-7988,397570,389582,389582,-235.0,-135919.0,238.0,-33.0,,-72896.0,213194.0,256.0,,3605.0,3138.0,,,,,,,,,,,,
1608,2014年01月01日至2014年03月31日,,-34365,-34365,,,66285,87,3240,7052,-4754,17,,73675.0,,,2480,-49689,-11.0,360,23385,-357776,-7802,-389053,,-476,25338,-105,5600,-2576,-554.0,27227,-361826,-288151,-322516,-6737,16,-329152,,,,,,,,-15208,10028,-293.0,,,,-70407,,381.0,0.0,400000.0,,-155,0,-30153,-32919,337154,-62405,397570,335165,335165,-84.0,,85.0,-20.0,,-72896.0,4844.0,29.0,,1803.0,3138.0,,,,,,,,,,,,
1608,2013年度,,455238,455238,,,265007,478,-257751,23606,6750,-8968,235042.0,-385659.0,,,14839,146352,21824.0,40423,5324,835737,-12444,1052055,,7413,24850,-54017,17469,-278,-12899.0,-17462,1034593,648934,1104172,-23553,-5210,1352951,,,,0.0,15390.0,0.0,,-75532,3872,0.0,229.0,,0.0,-54682,,,-319742.0,,-300000.0,-6117,-405237,-292473,-88801,-1412370,-114101,511671,397570,397570,-433.0,-277104.0,438.0,-54.0,277104.0,-5141.0,6512.0,-16964.0,-362532.0,7210.0,42.0,,0.0,0.0,,,,,,,,,
1608,2013年01月01日至2013年12月31日,,455238,455238,,,265007,478,-257751,23606,6750,-8968,235042.0,-385659.0,,,14839,146352,21824.0,40423,5324,835737,-12444,1052055,,7413,24850,-54017,17469,-278,-12899.0,-17462,1034593,648934,1104172,-23553,-5210,1352951,,,,0.0,15390.0,0.0,0.0,-75532,3872,,229.0,0.0,,-54682,,,-319742.0,,-300000.0,-6117,-405237,-292473,-88801,-1412370,-114101,511671,397570,397570,-433.0,-277104.0,438.0,-54.0,277104.0,-5141.0,6512.0,-16964.0,-362532.0,7210.0,42.0,,,,,,,,,,,,
