公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 收益費損項目,　　　　 股利收入,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 收取之利息,　　 收取之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　　 預付設備款增加,　　 短期借款增加,　　 以成本衡量之金融資產減資退回股款,　　 取得備供出售金融資產,　　 處分不動產、廠房及設備,　　 發放現金股利,　　　　 非金融資產減損損失,　　 預付設備款減少,　　 存入保證金增加,　　 員工執行認股權,　　 處分子公司股權（未喪失控制力）,　　 其他籌資活動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資
1708,2016年01月01日至2016年09月30日,,426864,426864,,,211075,-108,41729,-643,1252,7971,20601,-2234,6456,,,,14234,1313,36047,740,-6443,45891,,-10342,-71243,-14102,9337,,,-88645,-42754,243341,670205,-43613,-192089,435295,,,8849,-954377,70.0,-916.0,,,-844288,,,588742.0,-267048,0.0,519618,-54360,56265,660663,716928,716928,,-161.0,286095.0,-2295.0,631.0,161.0,-5000.0,5108.0,,0.0,0.0,0.0,178092.0,4964.0,0.0,3900.0,-91360.0,,118114.0,,6200.0,146366.0,-41374.0,157.0,-25000.0
1708,2016年01月01日至2016年06月30日,,272815,272815,,,136490,1,26201,-456,501,3843,12362,-2234,2806,,,,19157,-1133,33671,-7764,5594,49525,,-4779,-40663,10422,7090,,,-29488,20037,199393,472208,-29104,-113578,330144,,,8849,-914478,,-2204.0,0.0,,-654442,,,565913.0,-171194,0.0,525641,-11100,190243,660663,850906,850906,,-158.0,179356.0,-1558.0,460.0,158.0,-5000.0,,,0.0,-258.0,0.0,66073.0,4964.0,,1625.0,,,252060.0,7629.0,6200.0,92394.0,-41374.0,,
1708,2016年01月01日至2016年03月31日,,126546,126546,,,68238,5,12599,-116,-2292,2900,5859,-2234,1451,,,,21155,52543,-45434,-23816,-3688,760,,-10780,-33138,-22535,3927,,,-63330,-62570,23840,150386,-15706,-295,134505,,,8849,-60516,328.0,,117.0,,-25910,,,25000.0,-73381,,61284,-23041,146838,660663,807501,807501,,0.0,86410.0,-804.0,120.0,0.0,-5000.0,0.0,,0.0,0.0,0.0,109665.0,,,5.0,,,30307.0,,,,,,
1708,2015年度,,610421,610421,,,327599,-203,40697,-1299,766,6322,28067,-34088,6816,,,,10239,7022,25095,-21402,5681,26635,,5282,-65444,29210,-19014,,,-52864,-26229,680800,1291221,-39670,-185561,1067944,,,0,-867268,,-275.0,,,-1258214,,-111480.0,502887.0,-288360,-4231.0,-162211,6948,-345533,1006196,660663,660663,,-425.0,707029.0,-2898.0,1529.0,425.0,-5000.0,10208.0,0.0,36811.0,-2014.0,-443002.0,0.0,8205.0,-12960.0,17081.0,-261027.0,332777.0,,,,,,,
1708,2015年01月01日至2015年09月30日,,798443,798443,,,260545,-203,29389,-1015,575,1017,21905,-24528,5181,,,,-30149,-63436,82602,-27063,7717,-30329,,11626,-206686,1424,-28200,,,-223960,-254289,38155,836598,-29256,-182166,626828,,,0,-109938,,-393.0,,,-700264,,,,-182303,-4231.0,-218590,44232,-247794,1006196,758402,758402,,-422.0,292444.0,-2124.0,1230.0,422.0,-5000.0,10208.0,0.0,24205.0,-3471.0,-612688.0,228971.0,8205.0,-12960.0,1568.0,-261027.0,,,,,,,,
1708,2015年01月01日至2015年06月30日,,522207,522207,,,171616,-203,19256,-839,383,1072,17179,-24528,3667,,,,-8650,-51334,-25882,-35007,7735,-113138,,-3147,15506,-26591,-16120,,,-31817,-144955,42523,564730,-19029,-123547,423338,,,0,-87290,,138.0,,,-510015,,,,-125127,-4231.0,-8347,-16504,-111528,1006196,894668,894668,,-125.0,187478.0,-1465.0,1059.0,125.0,-5000.0,10208.0,0.0,24205.0,-582.0,-453694.0,121011.0,2000.0,,,,,,,,,,,
1708,2015年01月01日至2015年03月31日,,264530,264530,,,85996,-197,9545,-439,192,813,6855,-12189,1730,,,,-7428,-48244,-119145,-17096,672,-191241,,-4784,158728,-8085,-10435,,,134666,-56575,35606,300136,-9331,-29,291537,,,0,-58915,,0.0,69.0,,-295308,,,,-71081,0.0,-40066,-9027,-52864,1006196,953332,953332,,-125.0,92181.0,-758.0,636.0,125.0,-5000.0,5140.0,0.0,12189.0,-6.0,-248785.0,31015.0,,,,,,,,,,,,
1708,2014年度,,834682,834682,,,323341,-218,46934,-1911,1506,-2738,27531,-17636,4818,,,,-12004,-90567,-55755,-8728,-4787,-171841,,6852,115635,50527,3677,,,174207,2366,382822,1217504,-46812,-116957,1056667,,,30922,-248163,,-1012.0,,,-894150,,0.0,0.0,-236326,-29986.0,-93878,23488,92127,914069,1006196,1006196,,-1171.0,380456.0,-2484.0,1761.0,1171.0,-15000.0,20087.0,-74097.0,0.0,-6214.0,-651715.0,255300.0,4138.0,0.0,46904.0,-82866.0,0.0,,,,,,,
1708,2014年01月01日至2014年09月30日,,635023,635023,,,240776,-73,36312,-1126,1130,-1944,21323,-17414,3404,,,,-16589,-19752,-165105,-42219,-5383,-249048,,2819,101228,22399,-5608,,,120373,-128675,152542,787565,-36487,-77620,675606,,,30923,-134326,,-1734.0,,,-701865,,,,-150655,-5545.0,72325,13413,59479,914069,973548,973548,,-1171.0,281217.0,-465.0,977.0,1171.0,-10000.0,10007.0,-74097.0,0.0,-5016.0,-556829.0,311391.0,4139.0,0.0,35068.0,-82866.0,,,,,,,,
1708,2014年01月01日至2014年06月30日,,428040,428040,,,160167,-133,25099,-634,753,0,15456,-17414,2412,,,,-4387,-5478,-22079,-25740,2544,-55140,,-1410,-2211,-2016,35126,,,29024,-26116,159531,587571,-25004,-55529,507772,,,30923,-62447,,-986.0,,,-610638,,,,-97710,-5545.0,155947,-1462,51619,914069,965688,965688,,-59.0,185647.0,-465.0,675.0,59.0,0.0,10007.0,-74097.0,0.0,-4819.0,-510885.0,259202.0,1666.0,,,,,,,,,,,
