公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　 收取之利息,　　 退還（支付）之所得稅,　　 存入保證金減少,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 金融資產重分類淨損失（利益）,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 發放現金股利,　　　　　 應付建造合約款增加（減少）,　　 取得無形資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
1727,2015年度,,114302,114302,,,129053,-130,6166,-377,,,,40756,40572,-1608,35001,-8825,1462,9,107367,,3444,-11928,1542,,740,465,,-6572,100795,235918,350220,-6293,324780,,-113008,974,-10888,10111,-124863,-237674,,33072,-45281,9960.0,,0.0,-54749,105,32462,55380,87842,87842,-39.0,39.0,-19186.0,0.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52500.0,,0.0,,135123.0,-835.0
1727,2015年01月01日至2015年09月30日,,83442,83442,,,97216,-94,4471,-107,,,,46553,6330,-3601,-13808,-15795,1434,-31,21082,,-2,56731,-1045,,75,1942,,56959,78041,179855,263297,-4562,239560,,-114763,684,-5684,4666,-84188,-199285,,32230,-69427,39895.0,,0.0,-49802,407,-9120,55380,46260,46260,-10.0,10.0,-19185.0,,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52500.0,,0.0,,101814.0,-742.0
1727,2015年01月01日至2015年06月30日,,50699,50699,,,65662,-63,3097,74,,,,42505,18328,306,11986,-11589,1035,35,62606,,1123,-5157,979,,-127,379,,-3034,59572,128559,179258,-3131,167289,,-49828,360,-4989,4377,-73491,-123571,,60310,-31280,,-49876.0,,-20846,-259,22613,55380,77993,77993,-8.0,8.0,-8846.0,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68987.0,-231.0
1727,2015年01月01日至2015年03月31日,,21705,21705,,,34180,-43,1611,62,,,,21056,-5762,1716,-16349,-28807,1183,23,-26940,,-146,70534,-5337,994.0,-287,718,,66355,39415,75338,97043,-1619,93539,,-38165,116,-4969,4377,-35963,-74604,,0,-18416,0.0,,,-18416,-244,275,55380,55655,55655,0.0,0.0,-1885.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,35923.0,-121.0
1727,2014年度,,133053,133053,,,138760,-2021,5206,-1311,140898.0,,,-76391,-40926,-6302,-96792,13925,-525,-54,-207065,,-6454,30390,-8590,2710.0,-1511,-469,-452.0,15624,-191441,-50543,82510,-5387,55490,,-53047,5567,-10304,12271,-134017,-181783,,129337,-33664,89993.0,0.0,224.0,135706,906,10319,45061,55380,55380,-36.0,36.0,-21669.0,-184.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-50000.0,,-2253.0,,,
1727,2014年01月01日至2014年09月30日,,89218,89218,,,103913,-78,3656,-18,107653.0,,,1414,-107548,-1279,-76313,244,-7746,-2,-191230,,23028,43699,-6517,2702.0,-145,365,-354.0,62778,-128452,-20799,68419,-3797,42962,,-36630,4031,-969,12012,-97883,-121692,,87817,-12055,,79992.0,224.0,105978,336,27584,45061,72645,72645,-8.0,8.0,-21668.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-50000.0,0.0,-2253.0,,,
1727,2014年01月01日至2014年06月30日,,65473,65473,,,69655,-68,2491,-42,72028.0,,,11062,-79698,364,-31946,-4519,-2013,40,-106710,,-8519,54864,-2095,2800.0,81,-35,-238.0,46858,-59852,12176,77649,-2525,64590,,-29735,4015,-714,12012,-78019,-92441,,40958,0,0.0,-9.0,,40949,-21,13077,45061,58138,58138,-8.0,8.0,-10542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年01月01日至2014年03月31日,,26549,26549,,,34735,0,1166,0,35901.0,,,-12385,28258,628,-23179,-6473,-2543,13,-15681,,28679,9494,-11452,2812.0,-222,131,-120.0,29322,13641,49542,76091,-1214,71811,,-9782,0,-184,11964,-43499,-41501,,0,-29252,57.0,,,-29195,112,1227,45061,46288,46288,0.0,0.0,-3066.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,
1727,2013年度,,132092,132092,,,130782,-1040,5131,197,135030.0,,,78722,-1492,-320,22020,-7554,7491,2905,101772,,3239,-39078,613,9.0,-3212,4,-1047.0,-39472,62300,197330,329422,-5366,299288,,-9666,1948,-20712,18402,-159377,-169405,,91386,-175734,0.0,-10055.0,0.0,-131489,-621,-2227,47288,45061,45061,-40.0,40.0,-24808.0,-86.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-37000.0,,0.0,,,
1727,2013年01月01日至2013年12月31日,,132092,132092,,,130782,-1040,5131,197,135030.0,,,78722,-1492,-320,22020,-7554,7491,2905,101772,,3239,-39078,613,9.0,-3212,4,-1047.0,-39472,62300,197330,329422,-5366,299288,,-9666,1948,-20712,18402,-159377,-169405,,91386,-175734,-10055.0,,,-131489,-621,-2227,47288,45061,45061,-40.0,40.0,-24808.0,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-37000.0,,,,,
