公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 短期借款增加,　　 存入保證金減少,　　　　 處分投資損失（利益）,　　　　　 其他應收款（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預收款項增加（減少）,　　 無活絡市場之債務工具投資到期還本,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 預收款項增加－處分資產,　　 存出保證金增加,　　 短期借款減少,　　 舉借長期借款,　　 發放現金股利,　　 取得持有至到期日金融資產,　　 存入保證金增加
1729,2016年01月01日至2016年09月30日,,114250,114250,,,55945,1137,-577,0,3082,-20836,-7805,-12183,,,18763,,,0,-128092,-3972,341901,-11181.0,198656,,72049,-4328,-21198,-249,64139,262795,281558,395808,20836,-3082,413562,,-6554328,6713664.0,-93830.0,-19340,59589,-10123,515039,,,-66500,,,-41432,-77148,810021,1263110,2073131,2073131,,,,,,,30000.0,,,,,17865.0,,0.0,,,,,,,419407.0,-4932.0
1729,2016年01月01日至2016年06月30日,,92492,92492,,,38373,956,-54,0,2154,-12251,-5869,0,,,23309,,,0,-137130,-28756,276323,-30471.0,79966,,69831,-11041,-15094,-164,478505,558471,581780,674272,12251,-2154,684369,,-4314265,3585107.0,-96890.0,-11886,0,-1812,-839746,,,-21000,0.0,,4068,-2860,-154169,1263110,1108941,1108941,,,,,,,30000.0,,,,,434973.0,,0.0,,,,,,,,-4932.0
1729,2016年01月01日至2016年03月31日,,35015,35015,,,20658,396,149,0,1123,-5724,0,0,,,16602,,,0,-64118,-9829,139010,-11060.0,54003,,20098,-14507,4979,-81,10489,64492,81094,116109,5724,-1123,120710,,-1644573,1355662.0,,-6980,0,-101,151798,,,-37500,,,4920,-15136,262292,1263110,1525402,1525402,,,,,,0.0,,0.0,,,,,,,,,,,42000.0,,447790.0,420.0
1729,2015年度,,-13241,-13241,,,97328,2280,19264,0,6699,-23457,867,130,,0.0,101981,,,1823,72440,3615,368383,,452539,,-18499,-4893,1643,504,-29823,422716,524697,511456,23457,-6699,527912,,-40314,,,-27482,54,-7007,400590,,0.0,-218667,,0.0,-439976,4345,492871,770239,1263110,1263110,-302.0,0.0,,0.0,0.0,4137.0,,,-1130.0,2881.0,3397.0,-8578.0,331529.0,-31430.0,0.0,171370.0,-267.0,0.0,0.0,-221309.0,,
1729,2015年01月01日至2015年09月30日,,24333,24333,,,62048,1836,11509,1045,5394,-15957,-1727,-13,0.0,0.0,64135,,,-197413,19819,-337,212416,2959.0,37444,,11290,-9692,-1491,-123,-16,37428,101563,125896,15957,-5394,136459,,-39741,129171.0,,-22135,34,1662,37561,,0.0,-173167,,,-173227,14188,14981,770239,785220,785220,0.0,0.0,0.0,0.0,0.0,-31430.0,0.0,-60.0,,,,,,,,,,,,,,
1729,2015年01月01日至2015年06月30日,,-4140,-4140,,,45101,1296,1530,-813,3845,-10670,-1398,-13,0.0,0.0,38878,,,2636,48448,-12011,71077,6689.0,116839,,28226,-18037,-5021,-93,5075,121914,160792,156652,10670,-3845,163477,,-17387,109300.0,,-12023,34,6064,54558,,0.0,-127667,,-302.0,-127969,-4841,85225,770239,855464,855464,0.0,-31430.0,,,,,,,,,,,,,,,,,,,,
1729,2015年01月01日至2015年03月31日,,3475,3475,,,22740,823,-10842,-471,2044,-5782,-647,-11,0.0,0.0,7854,,,2294,48818,6390,-6915,-6364.0,44223,,21122,-18396,-7096,-46,-4416,39807,47661,51136,5782,-2044,54874,,-1514,111572.0,-31430.0,-11754,15,-37414,29475,,0.0,-63834,0.0,-48.0,-63882,-2955,17512,770239,787751,787751,,,,,,,,,,,,,,,,,,,,,,
1729,2014年度,,-64190,-64190,,,92313,3320,32847,-3752,24023,-15161,-639,-5828,,786.0,113068,,,24807,-138766,-14357,27724,,-100749,,-4788,16897,226,-3306,9405,-91344,21724,-42466,15161,-10542,-38503,,-2383237,,,-19390,49361,-7772,744462,,-322445.0,-148333,,5110.0,-396151,21440,331248,438991,770239,770239,-1963.0,37423.0,,-2158.0,1307.0,0.0,,,-12683.0,-157.0,0.0,376.0,2169322.0,0.0,898755.0,0.0,0.0,-10483.0,80000.0,0.0,,
1729,2014年01月01日至2014年09月30日,,-52452,-52452,,,70113,2122,27107,-2012,18344,-13577,-1132,0,1742.0,71.0,87936,,,-25366,-100759,0,-16862,-9690.0,-152677,,19180,-3315,-9489,-192,6184,-146493,-58557,-111009,13577,-7868,-106138,,-1262086,1186427.0,,-5361,6,-13670,-57017,,-3367.0,-92500,,,-76680,17046,-222789,438991,216202,216202,-1902.0,37667.0,-12684.0,-2158.0,1064.0,0.0,19517.0,-330.0,,,,,,,,,,,,,,
1729,2014年01月01日至2014年06月30日,,-55848,-55848,,,46156,1418,6817,-2802,11631,-10634,-1113,0,-691.0,72.0,50854,,,-31952,-39163,-20495,-21571,-7316.0,-120497,,50349,-15522,-11521,-130,23176,-97321,-46467,-102315,10634,-4633,-98242,,-996068,961942.0,,-2459,4,-7850,-44431,,9.0,-36668,,-3973.0,-40632,-34128,-217433,438991,221558,221558,-1928.0,0.0,,,,,,,,,,,,,,,,,,,,
