公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產減少,　　 其他投資活動
1732,2015年01月01日至2015年09月30日,,-5017,-5017,,,7327,443,-13.0,2,-585,-9.0,0.0,166,7331.0,,,61,7892,14197,-1038,21112,,-3673,-12367,1390,-5034.0,-19684,1428,8759,3742,593,9.0,-2,-363,3979,,-3332,0.0,-1183.0,0.0,-200.0,-4715,,0.0,0.0,1619,883,125004,125887,125887,,,,,,,,
1732,2015年01月01日至2015年06月30日,,-6263,-6263,,,4880,295,8.0,1,-337,0.0,0.0,111,4958.0,,,-1922,2821,8932,2063,11894,,3574,-8653,44,-4786.0,-9821,2073,7031,768,349,0.0,-1,0,1116,,-2379,0.0,-494.0,0.0,0.0,-2873,,0.0,400.0,-414,-1771,125004,123233,123233,400.0,,,,,,,
1732,2015年01月01日至2015年03月31日,,-1126,-1126,,,2430,148,3.0,1,-150,,,55,2487.0,,,-755,-59,3963,668,3817,,3164,-22224,71,-4530.0,-23519,-19702,-17215,-18341,166,,-1,0,-18176,,-379,,,-422.0,,-2268,,,,-208,-20652,125004,104352,104352,,-1467.0,,,,,,
1732,2014年度,,-11497,-11497,,,10124,689,-17.0,9,-544,-4.0,25.0,222,,,,382,7626,14362,-3574,18796,,-6804,2728,611,,-13798,4998,15502,4005,538,4.0,-9,-96,4442,,-1957,0.0,,-294.0,0.0,-2976,,,,1509,2975,122029,125004,125004,,-725.0,,10504.0,-10333.0,,,
1732,2014年01月01日至2014年09月30日,,-3491,-3491,,,7667,542,16.0,9,-403,-4.0,25.0,166,8018.0,,,-239,1877,13270,-3567,11341,,-5354,-173,1711,-10127.0,-13943,-2602,5416,1925,381,4.0,-9,-96,2205,,-2426,0.0,0.0,135.0,0.0,-2291,,0.0,0.0,513,427,122029,122456,122456,,,,,,,,
1732,2014年01月01日至2014年06月30日,,2847,2847,,,5215,394,34.0,6,-261,0.0,15.0,111,5514.0,,,-3253,13763,12082,-2054,20538,,-5326,-4986,441,-410.0,-10281,10257,15771,18618,261,0.0,-6,-96,18777,,-1444,0.0,0.0,137.0,0.0,-1307,,0.0,0.0,99,17569,122029,139598,139598,0.0,,,,,,,
1732,2014年01月01日至2014年03月31日,,5205,5205,,,2730,246,-10.0,3,-102,,,55,2922.0,,,-728,3906,4325,-1379,6124,,-9122,-22831,-190,-203.0,-32346,-26222,-23300,-18095,110,,-3,-97,-18085,,-98,,,130.0,,30,,,,457,-17598,122029,104431,104431,,-2.0,,,,,,
1732,2013年度,,-9226,-9226,,,10912,1831,-154.0,5,-538,-4.0,-122.0,222,,,,5641,5213,3342,-2203,11993,,-4140,462,273,,-5551,6442,18594,9368,532,4.0,-5,0,9899,,-3693,245.0,,-198.0,-465.0,-3765,,,,564,6698,115331,122029,122029,,346.0,,12152.0,-2146.0,,,
1732,2013年01月01日至2013年12月31日,,-9226,-9226,,,10912,1831,,5,-538,-4.0,-122.0,1988,,,,5584,5116,1576,-2203,10073,,-4140,462,273,,-5551,4522,18594,9368,532,4.0,-5,0,9899,,-3693,245.0,,,-465.0,-3765,,0.0,0.0,564,6698,115331,122029,122029,,-198.0,,14072.0,,-2146.0,346.0,
1732,2013年01月01日至2013年09月30日,,-3948,-3948,,,8129,1440,,3,-406,-4.0,-122.0,166,,,,7669,11846,10478,-2641,27352,,-16777,-12184,139,,-29574,-2222,6984,3036,398,4.0,-3,-261,3174,,-2863,245.0,,,-358.0,-2978,,0.0,0.0,390,586,115331,115917,115917,,-351.0,,9206.0,,-752.0,349.0,
1732,2013年01月01日至2013年06月30日,,383,383,,,5372,846,,2,-247,,-150.0,108,,,,4227,-3211,9160,-3571,6605,,-8900,-6398,542,,-15263,-8658,-2727,-2344,247,0.0,-2,-7,-2106,,-1624,245.0,,,-21.0,-1411,,0.0,0.0,634,-2883,115331,112448,112448,,-451.0,,5931.0,,-507.0,440.0,
1732,2013年01月01日至2013年03月31日,,2527,2527,,,2730,516,,1,-101,0.0,0.0,55,,,,2287,-5607,3715,-2046,-1651,,-5452,-13568,82,,-19196,-20847,-17646,-15119,101,0.0,-1,-9,-15028,,-463,0.0,,,-21.0,-156,,0.0,0.0,465,-14719,115331,100612,100612,,-15.0,,3201.0,,-258.0,343.0,
1732,2012年01月01日至2012年12月31日,,1296,1296,,,12572,2208,,100,-554,-11.0,15.0,1161,,,,1032,14058,-13248,2841,4683,,-3382,-16910,30,,-21096,-16413,-922,374,559,11.0,-100,-1994,-1150,,-5780,0.0,,,-195.0,-6243,,-16978.0,-16978.0,-2890,-27261,142592,115331,115331,,181.0,,15491.0,,-834.0,-449.0,
1732,2012年01月01日至2012年09月30日,,-2872,-2872,,,9614,1679,,6,-404,-11.0,15.0,1120,,,,1732,9219,-8925,1385,3411,,-2631,-19758,158,,-22972,-19561,-7542,-10414,407,11.0,-6,-1768,-11770,,-5305,0.0,,,,-5597,,-16978.0,-16978.0,-432,-34777,142592,107815,107815,,-292.0,,12019.0,,-741.0,,
1732,2012年01月01日至2012年06月30日,,-5315,-5315,,,5837,1122,,5,-230,,0.0,1065,,,,1018,-9862,-6206,1767,-13283,,-1649,-15762,113,,-17834,-31117,-23318,-28633,235,,-5,-1126,-29529,,-4204,0.0,,,,-4310,,,,-55,-33894,142592,108698,108698,,-106.0,,7799.0,,-536.0,,
1732,2012年01月01日至2012年03月31日,,-3294,-3294,,,2661,564,,3,-111,,,614,,,,-1010,-8379,-4683,782,-13290,,-1522,-17197,-312,,-19251,-32541,-28810,-32104,111,,-3,0,-31996,,-2563,,,,,-2623,,,,111,-34508,142592,108084,108084,,,,3731.0,,-220.0,,-60.0
