公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 其他應付款－關係人減少,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款－關係人增加,　　 其他預付款項增加,　　 舉借長期借款,　　 存入保證金增加,　　 現金增資,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 庫藏股票買回成本
1735,2015年01月01日至2015年09月30日,,130402,130402,,,71142,1803,38725,20048,-3816,-860,3812.0,-23916,1028,107966.0,,,-57097,218570,-3512,131762,18160.0,-7637,300246,,-36251,-103987,818,-391.0,9508,170.0,-130133,170113,278079,408481,3816,-20071,-30982,361244,,0.0,0.0,13893.0,-63202,990,0,288.0,4363.0,-1732.0,-105695.0,133775.0,-43140.0,-60460,,3240286,-3417592,-4895,-18000,0.0,-59633.0,0,0.0,-259834,20879,61829,241564,303393,303393,,,,,,,,,,,,
1735,2015年01月01日至2015年06月30日,,86044,86044,,,47416,1172,24673,15637,-2689,-661,3812.0,-19546,-1989,67825.0,,,-4395,125225,54321,67452,15189.0,3645,261437,,-10101,-26490,-36732,-903.0,-5994,113.0,-80107,181330,249155,335199,2689,-15656,-25368,296864,,0.0,0.0,-16983.0,-58183,707,0,288.0,4363.0,-1732.0,-101209.0,133775.0,-35276.0,-74250,,2199223,-2335476,-4997,-12000,0.0,0.0,0,,-153250,-31252,38112,241564,279676,279676,,,,,,,,,,,,
1735,2015年01月01日至2015年03月31日,,26196,26196,,,23903,574,-5955,10304,-1651,6,,-7290,-702,19189.0,,,-24935,186457,7029,54385,8837.0,-18647,213126,,-57430,-46325,-38639,612.0,3916,57.0,-137809,75317,94506,120702,1651,-10311,-4613,107429,,0.0,0.0,,-49257,0,144,,510.0,,-70584.0,123939.0,-18910.0,-13911,,1209908,-1257963,-9903,-6000,,0.0,0,,-63958,-16964,12596,241564,254160,254160,247.0,,,,,,,,,,,
1735,2014年度,,88572,88572,,,98985,2174,37314,39623,-4204,-81,-25.0,15089,-3377,,,,-76988,222173,4841,-77268,17327.0,-8688,81397,,-92266,-92961,-14568,-2964.0,2084,,-208922,-127525,57973,146545,4204,-39659,-32344,78746,,-28000.0,28025.0,,-37664,136,-2176,,,-1231.0,-194648.0,156754.0,-40937.0,-119161,,5461361,-5428654,9942,-24000,-649.0,-49694.0,-59984,-18750.0,-110428,45601,-105242,346806,241564,241564,1887.0,,185498.0,-8247.0,-1307.0,0.0,0.0,0.0,0.0,,,
1735,2014年01月01日至2014年09月30日,,35089,35089,,,73129,1632,27990,31973,-3207,-31,-25.0,2085,-3886,129660.0,,,-41555,215958,9081,-76513,0.0,-28319,78652,,-64948,-28788,-42256,-3515.0,19382,306.0,-119819,-41167,88493,123582,3207,-32002,-28936,65851,,-28000.0,28025.0,0.0,-29624,82,-3119,993.0,-1307.0,0.0,-193148.0,139217.0,-30144.0,-117025,,4229660,-4202448,10014,-18000,644.0,-49694.0,-59984,-18750.0,-108558,19620,-140112,346806,206694,206694,,,,,,,,,,,,
1735,2014年01月01日至2014年06月30日,,9797,9797,,,48163,1088,9632,22310,-1873,-19,0.0,442,-2536,77207.0,,,-62014,143103,11756,-22530,11272.0,-824,80763,,-12013,-444,-44833,-3140.0,11700,204.0,-48526,32237,109444,119241,1861,-22330,-20080,78692,,-28000.0,23000.0,0.0,-14226,50,-3025,993.0,-91.0,0.0,-162675.0,87752.0,-23744.0,-119966,,2748832,-2694396,9919,-12000,-34.0,-18750.0,-59984,,-26413,-714,-68401,346806,278405,278405,,,,,,,,,,,,
1735,2014年01月01日至2014年03月31日,,-3274,-3274,,,23788,559,2825,12346,-756,-28,,834,3163,42731.0,,,-50167,187713,-1382,-23687,-5591.0,4129,111015,,-26262,-61635,-50322,-3727.0,3449,102.0,-138395,-27380,15351,12077,756,-12356,-2016,-1539,,-28000.0,19995.0,,-6016,50,-2112,,307.0,,-162728.0,64460.0,-18837.0,-132587,,1544474,-1504055,9984,-6000,,-18750.0,-59984,,-34331,22507,-145950,346806,200856,200856,294.0,,,,,,,,,,,
1735,2013年度,,95799,95799,,,106412,2687,20686,45637,-3718,446,-81.0,16750,4450,,,,29499,-66034,12473,-24705,-35584.0,87928,3577,,2193,-110801,7224,4059.0,15888,,-90879,-87302,105967,201766,3718,-45674,-36931,122879,,0.0,0.0,,-1221,190,12400,,,-2483.0,-96317.0,94068.0,-70020.0,-63520,,3011690,-2788750,-26592,-72153,-365113.0,-59633.0,-146998,0.0,-155547,17426,-78762,425568,346806,346806,809.0,,193269.0,-9442.0,-504.0,-442.0,144500.0,480.0,147022.0,,,
1735,2013年01月01日至2013年09月30日,,74539,74539,,,80581,1699,21945,30280,-2544,-124,-81.0,2847,8644,,,,-7462,-21252,21165,-46922,,61138,6667,,-11614,-108120,-63651,3693.0,-12939,,-191272,-184605,-41358,33181,2544,-30978,-33929,-29182,,0.0,0.0,,-1079,190,-685,10471.0,,-1997.0,-76176.0,78433.0,-49038.0,-39723,,2558510,-2388729,-26611,-56903,-365113.0,0.0,-146998,0.0,-133838,9845,-192898,425568,232670,232670,606.0,,143247.0,1359.0,-62.0,-386.0,144500.0,484.0,147022.0,,,
1735,2013年01月01日至2013年06月30日,,41195,41195,,,54065,1364,18777,20639,-2232,-124,,2449,3440,,,,9911,60761,22237,-78249,,46950,61610,,-51316,-91260,-50893,466.0,-6025,,-198498,-136888,-38510,2685,2232,-20628,-16846,-32557,,0.0,0.0,,-674,190,-4125,13911.0,,-1783.0,-55383.0,66681.0,-31508.0,-13350,,1158633,-1105689,-26534,-56653,-71375.0,0.0,-146998,,-101110,42494,-104523,425568,321045,321045,-597.0,,98378.0,530.0,-62.0,,,484.0,147022.0,,,
