公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　　 未實現外幣兌換損失（利益）,　　　　　 預收款項增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分無活絡市場之債券投資,　　 其他預付款項增加,　　 其他籌資活動,　　　　 非金融資產減損迴轉利益
1902,2015年01月01日至2015年09月30日,,272955,272955,,,198181,9537,-83.0,13950,19554,-35528,-19448.0,-51601,2054,-5468.0,-14701,42971.0,159418.0,,,-8340,133741,3374,112872,-25312,4069,220404,,5959,-71476,34755,38912,-20320.0,-12170,208234,367652,640607,52871,-19663,-37191,636624,,-570960.0,337968.0,-702677.0,729357.0,0.0,-195189.0,-17673,116.0,-41,0.0,-210,-2420,0,8217.0,159826.0,-253686,,-195990.0,0.0,-189720.0,1690000,-1556997,188.0,0.0,-33871.0,-286390,48681,145229,798801,944030,944030,,,,,,,,,,,,,,,
1902,2015年01月01日至2015年06月30日,,125264,125264,,,130850,6225,-83.0,21475,12711,-24170,-117.0,-35445,2054,-5468.0,-14969,84202.0,177265.0,,,-1537,45072,96849,-35633,-15854,-9137,79760,,4547,-36903,42341,-349,-17826.0,-8190,71570,248835,374099,24068,-12796,-37123,348248,,-247014.0,308236.0,-284613.0,343673.0,0.0,-195189.0,-13470,184.0,-41,0.0,0,-2420,0,15044.0,334.0,-75276,,-259.0,-169684.0,,930000,-977886,,52.0,-33870.0,-251647,-17923,3402,798801,802203,802203,0.0,,,,,,,,,,,,,,
1902,2015年01月01日至2015年03月31日,,53495,53495,,,65925,3164,-69.0,1775,7241,-12691,,-16702,0,-138.0,-255,36564.0,84814.0,,,25385,89980,-62849,-109381,-5068,3565,-58368,,825,-74097,3937,-173,-6882.0,-68867,-127235,-42421,11074,41719,-7552,-13354,31887,,-178729.0,2552.0,0.0,74324.0,,,-1658,,-34,0.0,0,-1574,5103,6066.0,89075.0,-4875,,,307.0,,380000,-555388,,616.0,-32498.0,-190762,14155,-149595,798801,649206,649206,16201.0,0.0,7523.0,,,,,,,,,,,,
1902,2014年度,,113567,113567,,,321937,12180,-4026.0,1004,32185,-56281,-13066.0,-80622,1009,1197.0,-5482,328445.0,,,,-7353,-110353,-81948,163226,-89535,-14589,-140552,,-19494,-1826,-42329,-538,,-219648,-360200,179163,292730,48851,-32941,-52,308588,,-242055.0,88242.0,,,-55.0,,-108939,651.0,3099,,-1545,-4275,19781,1645.0,13066.0,-259921,,,,179708.0,2560000,-2921726,,-258.0,32970.0,-351692,42025,-261000,1059801,798801,798801,-202386.0,0.0,-36075.0,,883.0,539363.0,-119386.0,-29644.0,108.0,,,,,,
1902,2014年01月01日至2014年09月30日,,79131,79131,,,242179,9098,0.0,4607,24719,-42609,-13066.0,-60961,6378,0.0,-5481,0.0,164864.0,,,-13378,-78955,2597,89807,31037,-24690,6418,,-9819,-14223,15608,-25439,-95001.0,-128874,-122456,42408,121539,48321,-25529,-18786,125545,,-26691.0,88242.0,-441938.0,457634.0,-55.0,0.0,-232855,594.0,0,42.0,-1545,-3211,30554,0.0,13066.0,-116163,,-440167.0,110072.0,0.0,1890000,-1996647,0.0,-512.0,-123.0,-437377,4037,-423958,1059801,635843,635843,,,,,,,,,,,,,,,
1902,2014年01月01日至2014年06月30日,,-25796,-25796,,,162454,6052,0.0,-391,16694,-28334,-9807.0,-40226,1254,0.0,-124,0.0,107572.0,,,-941,-57660,127,-167042,1953,-35552,-259115,,6286,777,-36627,18541,795.0,-10228,-269343,-161771,-187567,20207,-16549,-17617,-201526,,-191.0,224.0,-30489.0,0.0,-55.0,0.0,-117335,0.0,0,6.0,-588,-1978,-4988,0.0,9807.0,-145587,,0.0,-29957.0,,1110000,-1160466,,241.0,0.0,207936,-5237,-144414,1059801,915387,915387,288118.0,,,,,,,,,,,,,,
1902,2014年01月01日至2014年03月31日,,-11857,-11857,,,81813,3099,0.0,272,8900,-14059,,-18276,796,0.0,0,0.0,55516.0,,,63,-32822,-9359,49754,-10365,-2158,-4887,,3463,-65122,-31828,14609,4248.0,-74630,-79517,-24001,-35858,13571,-8571,-10092,-40950,,0.0,0.0,-35062.0,0.0,,,-79748,,0,41.0,-120,-650,1241,0.0,0.0,-114298,,,89889.0,,460189,-555099,,169.0,0.0,81063,34650,-39535,1059801,1020266,1020266,85915.0,-7029.0,0.0,,,,,,,,,,,,
1902,2013年度,,6507,6507,,,343866,12425,-351.0,-1805,34009,-63049,-13141.0,-68033,3584,0.0,-201,0.0,,,,26876,67334,31781,196527,43468,-2057,363929,,-10657,11528,93335,578,,118090,482019,733514,740021,63371,-33725,-31792,737875,,-12165.0,4340.0,,,0.0,,-161031,591.0,-3,,-1120,-1657,-2637,7412.0,42941.0,-321596,,,,-100012.0,1650690,-1769228,,-2666.0,-21911.0,-193869,23683,246093,813708,1059801,1059801,49258.0,4191.0,15923.0,,0.0,251495.0,7383.0,-198267.0,0.0,,,,,,
1902,2013年01月01日至2013年12月31日,,6507,6507,,,343866,12425,-351.0,-1805,34009,-63049,-13141.0,-68033,3584,,-201,,,,,26876,67334,31781,196527,43468,-2057,363929,,-10657,11528,93335,578,,118090,482019,733514,740021,63371,-33725,-31792,737875,,-12165.0,4340.0,,,,,-161031,591.0,-3,,-1120,-1657,-2637,,42941.0,-321596,,,,-100012.0,1650690,-1769228,,-2666.0,-21911.0,-193869,23683,246093,813708,1059801,1059801,49258.0,4191.0,15923.0,,,251495.0,7383.0,-198267.0,,,,,7412.0,0.0,
1902,2013年01月01日至2013年09月30日,,70662,70662,,,262032,9472,,-1201,25231,-48412,-13141.0,-49176,3021,,-192,,,,,16411,37361,33313,95724,34234,-5497,211546,,-4633,14208,59938,8549,,91236,302782,499232,569894,57549,-25089,-24695,577659,,,,,,0.0,,-131697,568.0,-132,0.0,-782,-1657,4328,,42941.0,-288919,,,,-30032.0,1140239,-1213823,,-2415.0,-7.0,-216938,4044,75846,813708,889554,889554,-110900.0,8816.0,,,,196450.0,13174.0,-200076.0,,-12165.0,2330.0,0.0,7423.0,,
