公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 處分避險之衍生金融資產,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 已實現銷貨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分持有至到期日金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他借款減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應付建造合約款（增加）減少,　　 處分採用權益法之投資,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 存出保證金減少
2002,2015年01月01日至2015年09月30日,,11901620,11901620,,,26257959,242195,126154,2777227,-313827,-377676.0,-154258,40022,-1892.0,-682429,72740.0,1924058,-1612081.0,3418356,31716548.0,,,721342,-125883,-134392.0,1559966,221461.0,-2344019,127094,4264738,839731,5130038,,-668032,-88.0,522539,-284129.0,-1906108.0,-1241982,-4298407,-750392,-7941.0,-8634540,-3504502,28212046,40113666,-4527058,35586608,,-4526006,5306162,-21882270,2846097,108159,-45441.0,848915.0,-30216,-105382.0,-641220,0.0,-18111567,107553,-50169,-116361,-325194.0,0.0,1323377,229879.0,322028,654555,-34087101,,168472940,-162104579,25128217,9996610,-163002.0,29836740,-42785781,-3138214.0,169120,-15741664,0,8556.0,-2997910,-3169935,3511098,-146972,4863633,10659657,15523290,16774843,-1251553,,,,,,,,,,,,,,,,,
2002,2015年01月01日至2015年06月30日,,10606583,10606583,,,17946555,164607,-121141,1819770,-224172,-124703.0,-200832,32330,-1206.0,-162620,,2154190,,2417174,22595930.0,,,271880,-41708,-107647.0,755722,67342.0,-1571942,-242207,-336425,867186,-337799,,-895110,-88.0,-631668,-298525.0,-1581290.0,3952093,-3816191,-697973,8343.0,-3960409,-4298208,18297722,28904305,-4171713,24732592,,-3298241,2569609,-1689132,1177737,85426,-45441.0,848915.0,-30216,,-29249,0.0,-12970008,70868,-20257,-112099,-237422.0,0.0,1308451,-738172.0,234815,160044,-12714372,,111203839,-111239598,13433438,10000000,,11908221,-31975392,-2937698.0,155199,-3627,0,13325.0,-1844718,-2604833,-3891844,-1105339,7021037,10659657,17680694,19682666,-2001972,-1104022.0,,,,,,,,,,,,,,,,
2002,2015年01月01日至2015年03月31日,,6039319,6039319,,,9011144,78356,-95135,908457,-119104,,-186108,6335,-685.0,-68613,,1514947,,2787873,13837467.0,,,53081,-59550,-185862.0,1562467,-82163.0,-900504,242521,-4319093,-178227,-3867330,,-535575,1909.0,782590,-502050.0,-811659.0,-846725,-2758991,-166666,-3869.0,-4841036,-8708366,5129101,11168420,-547375,10621045,,-1634092,1496535,-466613,427787,85426,-45441.0,0.0,-30216,,-29249,,-6523592,1771,-3218,-13910,,0.0,1218651,-74873.0,124905,62,-5466067,,56703068,-51643585,4968295,0,,5515155,-14557393,-2936668.0,-6160,-2457,0,13324.0,-1042092,-80387,-3068900,-334335,1751743,10659657,12411400,15507186,-3095786,,,,,,,,,,,,,,,,,
2002,2014年度,,28576234,28576234,,,35354714,368943,-127501,3787776,-511164,-379552.0,-617995,214424,-73327.0,-740942,930366.0,2102323,,6704916,,,,-107934,-45546,444860.0,-701378,-214259.0,-4012,748434,603865,-83485,640545,,369365,-668.0,-2639859,532251.0,-415411.0,559896,-5689752,-43294,,-7551124,-6910579,40102402,68678636,-4225392,64453244,,-6714162,6448991,-7237912,2995987,53438,,,0,,-942591,11550.0,-30970004,99390,76382,-71234,0.0,89.0,-292737,211931.0,508355,956331,-35652168,,205793710,-203954160,-10674204,34900000,-3500000.0,41533502,-61918263,0.0,223170,-10709909,-198602,0.0,-3808487,-2388290,-29564154,881293,118215,10541442,10659657,13632013,-2972356,,,0.0,47012981.0,-223652.0,-39155.0,24861.0,0.0,-771678.0,-14862621.0,,,,,,,
2002,2014年01月01日至2014年09月30日,,20242206,20242206,,,26345375,301002,-74501,2851980,-397737,-338260.0,-622293,137673,-72934.0,-640881,94400.0,562819,0.0,3802291,31948934.0,,,-30936,-4589,235297.0,-731984,-634599.0,279724,1003941,5799621,-602548,5313927,,105917,-756.0,-1265789,677897.0,-274996.0,-150683,-2228679,-166721,-155165.0,-3458975,1854952,33803886,54046092,-3434332,50611760,,-5657989,5191197,-6373547,2158202,44163,-19853.0,9758.0,0,-853388.0,-282859,11550.0,-25462566,16058,34111,-62643,0.0,89.0,-4667,41816.0,404819,904006,-29901743,,150840516,-144979710,5957715,34900000,0.0,18497636,-48095861,-17860503.0,171548,-10572788,-198602,0.0,-2699202,-2403450,-16442701,240284,4507600,10541442,15049042,16946040,-1896998,,,,,,,,,,,,,,,,,
2002,2014年01月01日至2014年06月30日,,11678360,11678360,,,17316033,189382,-135241,1908501,-268101,-39903.0,-321963,97156,-72249.0,-486800,,-12283,,1345890,19553988.0,,,-168524,243290,319749.0,-678927,-507925.0,-54941,758172,5381999,-470272,4822621,,-169425,-756.0,829918,587588.0,-315890.0,2110871,-595297,-518823,-125680.0,1802506,6625127,26179115,37857475,-2641111,35216364,,-4313558,1945994,-5327299,1188558,44163,-15822.0,9758.0,0,,-141934,11550.0,-16141809,12162,27726,-48275,0.0,89.0,-391361,166546.0,258931,276437,-22438144,,104435442,-96007521,-4174723,34900000,,11385271,-37412397,-8865322.0,-1945,-3191,-122627,0.0,-1443236,-2512241,177510,10075,12965805,10541442,23507247,24522952,-1015705,33566.0,,,,,,,,,,,,,,,,
2002,2014年01月01日至2014年03月31日,,5065084,5065084,,,8559973,89153,-79419,918561,-118316,,-256007,65018,-71563.0,-305675,,-128165,,1514987,10188547.0,,,-51750,60997,121261.0,-1786524,-313944.0,-42059,-34436,2548734,19140,521419,,-595303,-756.0,533356,106519.0,-25232.0,-2179772,-702947,328412,-122556.0,-2658279,-2136860,8051687,13116771,-86775,13029996,,-1599184,799619,-3066706,798964,0,-9690.0,9758.0,0,,-45714,,-8250095,6586,-50304,-35093,,89.0,-1178836,500731.0,112979,224954,-11781942,,58047397,-58217153,4264621,22900000,,6404511,-22272725,-7264691.0,-28987,-2205,-5034,0.0,-690416,30254,3165572,379008,4792634,10541442,15334076,16822994,-1488918,,,,,,,,,,,,,,,,,
2002,2013年度,,23209052,23209052,,,31345401,293117,-225006,2985370,-472294,-364527.0,-281422,111761,0.0,-674749,153215.0,371296,,4308836,,,,-215872,-223510,-87609.0,454020,84545.0,123196,515700,-5894599,-709282,-5953411,,721620,-412.0,259209,-73935.0,2161444.0,894106,-3493517,695626,,1115633,-4837778,32308725,55517777,-1251708,54266069,,-5331769,4713063,-10341835,3137250,64500,,,-102112,,-9403092,0.0,-60718197,132927,-71422,-236845,-11309.0,0.0,273317,-1363882.0,467105,431184,-79171814,,299839209,-300050470,2106870,19894618,-11275000.0,63921305,-48495770,3098302.0,-55213,-5976436,0,281372.0,-3650011,-2037708,17601068,886863,-6417814,16959256,10541442,13700839,-3159397,,,-404495.0,37146503.0,-48508.0,-14593.0,29330.0,82236.0,-907670.0,0.0,,,,,,,
2002,2013年01月01日至2013年12月31日,,23209052,23209052,,,31345401,293117,-225006,2985370,-472294,-364527.0,-281422,111761,,-674749,192985.0,371296,,4245200,,,,-215872,-311119,,538565,,123196,515700,-5894599,-709282,-5953411,,721208,,185274,,,894106,-3493517,695626,,1115633,-4837778,32284859,55493911,-1251708,54242203,,-5331769,4713063,-10341835,3137250,64500,,,-102112,-907670.0,-9403092,0.0,-60718197,132927,-71422,-236845,-11309.0,,273317,-1363882.0,467105,431184,-79171814,,299839209,-300050470,2106870,19894618,-11275000.0,63921305,-48495770,3098302.0,-55213,-5976436,0,281372.0,-3650011,-2037708,17601068,910729,-6417814,16959256,10541442,13700839,-3159397,,,-404495.0,37122637.0,-48508.0,-14593.0,29330.0,82236.0,,,,2161444.0,0.0,,,,
2002,2013年01月01日至2013年09月30日,,18038629,18038629,,,22558842,212947,-108779,2100388,-333098,-336325.0,-265106,69813,0.0,-482934,,-261037,,3820499,,,,-72407,114789,-3193.0,503333,373045.0,-195343,-1102270,-5201286,316210,-5267122,,463802,0.0,1596744,-95952.0,1170438.0,-23735,-1972125,693820,,1781268,-3485854,23085426,41124055,-1140004,39984051,,-3787311,3913157,-5570070,2675004,58127,,,-102271,32973.0,-9317350,0.0,-48189474,111586,-37751,-16432,-6560.0,0.0,-1238769,-507283.0,310654,395379,-61208643,,217051970,-208369909,14092737,19900000,,33674554,-39915439,-5518129.0,-50206,-6164936,0,,-2252616,-2017963,20430063,-843849,-1638378,16959256,15320878,16391213,-1070335,,,-403930.0,26571280.0,-51724.0,-14616.0,0.0,82364.0,,,,,,,,,
