公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他借款增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得按攤銷後成本衡量之金融資產,　　 處分按攤銷後成本衡量之金融資產,　　 短期借款減少,　　 處分不動產、廠房及設備,　　 其他金融資產減少
2014,2015年01月01日至2015年09月30日,,-608172,-608172,,,1439919,30985,198002,-1973,-33734.0,-99011,228,0.0,171590.0,-1612081.0,10200.0,104125.0,,,9617,0.0,218443,19368,-113105,-185118.0,2882077,98407,1851,2931540,,-17386,-595518,21998,-86163,-10200.0,1049,-29123.0,-715343,2216197,2320322,1712150,-150,1712000,,0.0,2024.0,-439801,-228.0,135013.0,-22525.0,0.0,2176,33734.0,-289607,,4109358.0,-602272.0,1800000,-6476924,-170.0,-226738,-1396746,25647,19604,45251,45251,,,,,,,,,,,
2014,2015年01月01日至2015年06月30日,,-1117081,-1117081,,,956909,19314,133540,-1487,-625.0,5139,228,0.0,564338.0,-1128307.0,10200.0,559249.0,,,4497,,55197,-27372,-5390,-391934.0,2087525,24356,1057,1747936,,-17386,-613614,-13824,209319,-10200.0,197661,-20332.0,-268376,1479560,2038809,921728,-72,921656,,0.0,0.0,-243156,-1720.0,135013.0,-22525.0,0.0,1690,625.0,-130073,,1542507.0,-142731.0,1800000,-3688461,653.0,-155917,-643949,147634,19604,167238,167238,,,,,,,,,,,
2014,2015年01月01日至2015年03月31日,,-1403798,-1403798,,,476688,5701,66517,-588,,2799,0,,977287.0,,10200.0,1538604.0,,,5951,,36109,3562,-100834,-129522.0,-1788140,-20629,2576,-1990927,,-17386,-82035,-1497,163855,,68827,-11422.0,120342,-1870585,-331981,-1735779,-10,-1735789,,0.0,,-179498,,135013.0,,0.0,738,,-43747,,3953194.0,,1800000,-3688462,365.0,-73944,1848670,69134,19604,88738,88738,0.0,-142483.0,,,,,,,,,
2014,2014年度,,209801,209801,,,1901870,-8727,261758,-4057,-23397.0,-62020,685,-13417.0,42987.0,0.0,-2983.0,,,,8848,,-293935,22657,6133,-85227.0,-1125198,282061,21155,-1163506,,-92725,-565731,-5089,-79063,,-4713,,-769934,-1933440,159259,369060,72,369132,,,,-982636,,,,-9500.0,3872,23397.0,-655479,,0.0,,12350000,-12626923,1299251.0,-306034,203230,-83117,102721,19604,19604,12350.0,260745.0,,2092699.0,0.0,-22613.0,281372.0,15666.0,-773809.0,,
2014,2014年01月01日至2014年09月30日,,230666,230666,,,1429631,7153,193897,-2021,-23397.0,-65097,685,-13417.0,37382.0,0.0,0.0,1564816.0,,,2752,-751.0,-596084,-26525,-99818,-67055.0,50676,244742,6994,-485069,,-110111,-732042,-4147,-21471,0.0,52414,-22150.0,-837507,-1322576,242240,472906,161,473067,,281372.0,15666.0,-862675,12351.0,0.0,0.0,-9500.0,1945,23397.0,-537444,,2119909.0,245168.0,7900000,-11326923,1298877.0,-229018,8013,-56364,102721,46357,46357,,,,,,,,,,,
2014,2014年01月01日至2014年06月30日,,170523,170523,,,944713,4825,129637,-1351,-675.0,5169,685,-13417.0,330.0,0.0,0.0,1069916.0,,,5503,,-643400,-166552,-696,-45208.0,-815252,71609,11874,-1582122,,-100342,422612,379308,-49719,0.0,-11562,-15043.0,625254,-956868,113048,283571,217,283788,,281372.0,2249.0,-667979,12433.0,0.0,0.0,-12059.0,1347,675.0,-381962,,1290492.0,-491551.0,5300000,-7238462,1299854.0,-153730,6603,-91571,102721,11150,11150,,,,,,,,,,,
2014,2014年01月01日至2014年03月31日,,156387,156387,,,468962,1181,63861,-566,,2558,685,,-14932.0,,0.0,521749.0,,,237,,-645667,17740,-103579,-342817.0,-479591,100813,13650,-1439214,,-101754,142690,480397,3051,,-4060,-9262.0,511062,-928152,-406403,-250016,66,-249950,,281372.0,,-383892,,0.0,,-9500.0,585,,-99383,,1280187.0,,3050000,-5738462,1299521.0,-76745,279340,-69993,102721,32728,32728,12052.0,464839.0,,,,,,,,,
2014,2013年度,,139985,139985,,,1852735,7313,285041,-2445,-19865.0,-28737,0,-76897.0,0.0,-220378.0,90750.0,,,,10794,,654491,-30839,-793,146370.0,1219306,79607,-10626,2068310,,78191,42713,-176599,-40162,,1844,,-215730,1852580,3740097,3880082,-15,3880067,,,,-3014937,,,,0.0,2401,19865.0,-2986026,,128113.0,,11450000,-12576923,0.0,-318254,-864933,29108,73613,102721,102721,4146.0,452131.0,,1887517.0,-90750.0,-30967.0,0.0,2499.0,0.0,,
2014,2013年01月01日至2013年12月31日,,139985,139985,,,1852735,7313,285041,-2445,-19865.0,-28737,0,-76897.0,,-220378.0,90750.0,,,,10794,,654491,-30839,-793,146370.0,1219306,79607,-10626,2068310,,78191,42713,-176599,-40162,,1844,,-215730,1852580,3740097,3880082,-15,3880067,,,2499.0,-3014937,0.0,,,,2401,19865.0,-2986026,,128113.0,,11450000,-12576923,,-318254,-864933,29108,73613,102721,102721,4146.0,452131.0,,1887517.0,-90750.0,-30967.0,,,0.0,0.0,0.0
2014,2013年01月01日至2013年09月30日,,-176828,-176828,,,1387778,15716,215899,-1674,-19865.0,-31696,0,0.0,0.0,-215232.0,195750.0,,,,4812,0.0,-89508,-6851,-82355,-231789.0,2339372,122666,-6459,2049888,,-23776,-444229,-68388,6138,,-13471,,-661053,1388835,2935511,2758683,54,2758737,,0.0,2499.0,-2309558,-5339.0,,,0.0,1705,19865.0,-2290828,,1329020.0,,7650000,-9476923,0.0,-238301,-214788,253121,73613,326734,326734,0.0,521416.0,,1546676.0,-90750.0,-26577.0,,,,,
