公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 現金增資,　　 預付投資款增加,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 發放現金股利,　　 按攤銷後成本衡量之金融負債減少,　　　　 股份基礎給付酬勞成本,　　 預付設備款增加,　　 處分子公司股權（未喪失控制力）,　　 預付設備款減少
2017,2015年01月01日至2015年09月30日,,31193,31193,,,161128,46544,-1129,42429,-1005,-16.0,462,-566.0,-6886.0,1249.0,-6448,142150,-7025,370887.0,,,16244,37379,35889,2132,58099,-16807,132936,,-3322.0,-6230,29667,-24010,3390,-348,-844.0,123,-1574,131362,502249,533442,-41162.0,492280,,-30973,9264,141700.0,-8643.0,8637.0,-177532,2509,0.0,15651.0,-16546,-41,88165.0,96.0,1390,8766.0,-34429.0,8014,,4022996,-4249885,1930200,-1928000,1538916,-1792016,0,-348.0,0.0,0.0,-39631,-27148.0,-544916,-44622,255491,210869,210869,,,,,,,,,,,,,,,,,,,,,
2017,2015年01月01日至2015年06月30日,,13030,13030,,,106974,30857,-2990,28330,-850,-16.0,-41,-1538.0,-8681.0,429.0,-448,100899,-9492,243433.0,,,14876,5773,6619,-904,-46365,11938,-8063,,-3106.0,-24324,53601,-17775,27939,-553,-569.0,82,35295,27232,270665,283695,-23762.0,259933,,-20858,9262,2200.0,-22600.0,8605.0,-164084,2045,,17188.0,-10349,-41,30416.0,,519,3458.0,-34429.0,-178605,,2730245,-2718167,1321901,-1212000,961940,-1178907,0,-202.0,-43.0,0.0,-27669,-25556.0,-117868,-36540,255491,218951,218951,63.0,30590.0,,,,,,,,,,,,,,,,,,,
2017,2015年01月01日至2015年03月31日,,-54245,-54245,,,53756,15370,-2960,14056,-308,,1582,-1304.0,,157.0,-455,60574,-11930,128538.0,,,15666,-15586,-8817,2321,182937,17609,194130,,-411.0,-23754,32402,-34881,-15144,1526,-285.0,41,-40506,153624,282162,227917,179.0,228096,,-17067,8482,,-25841.0,0.0,-38488,1789,907.0,,-3498,-41,,33.0,137,3442.0,,-71145,,1031646,-1062881,799705,-720000,499473,-678890,0,,,0.0,-13940,-25556.0,-139875,17076,255491,272567,272567,,30590.0,-1000.0,-22.0,,,,,,,,,,,,,,,,,
2017,2014年度,,-17722,-17722,,,206427,57170,121,49758,-3306,-2366.0,-6276,266.0,-6325.0,12.0,-6926,266180,8289,,,,-12619,-20808,-19829,3385,-431692,-10720,-492283,,30.0,-782,-127310,17421,20591,-1437,,-42,-93013,-585296,-43952,-61674,-29779.0,-91453,,-40100,109946,0.0,,,-269617,631,,-7.0,-71577,-70008,15524.0,128.0,2719,10659.0,-28360.0,-315046,,6233443,-5789509,1233983,-1144000,2448728,-2529914,137,-196.0,,-21831.0,-48335,3155.0,341871,-64628,320119,255491,255491,,,,-83.0,,-36.0,-21644.0,541344.0,-1484.0,-84812.0,67067.0,-10000.0,500.0,42761.0,9500.0,-43707.0,,,,,
2017,2014年01月01日至2014年09月30日,,40422,40422,,,154153,41809,111,36764,-1175,-2366.0,-47,160.0,-3804.0,0.0,-5718,191693,4683,416263.0,,,3241,22915,-33296,4667,-179830,-7284,-189587,,-157.0,7324,-122371,5622,18768,-2356,-1070.0,69,-94171,-283758,132505,172927,-29662.0,143265,,-31728,81422,0.0,-17474.0,416.0,-228533,631,-247.0,0.0,-70404,-12410,9766.0,96.0,709,10659.0,-28360.0,-285457,,4157300,-4078108,937800,-818000,1806451,-1784392,107,-103.0,-61.0,-21831.0,-36182,-42707.0,120274,-21918,320119,298201,298201,,,,,,,,,,,,,,,,,,,,,
2017,2014年01月01日至2014年06月30日,,-16717,-16717,,,102360,25880,120,23773,-841,0.0,-2596,249.0,0.0,0.0,-274,128893,239,277803.0,,,3241,-2383,-24366,5170,27322,9808,18792,,-157.0,-158,-17786,-1298,36489,-2513,-631.0,46,13992,32784,310587,293870,-15887.0,277983,,-25510,14308,0.0,0.0,5944.0,-183476,512,,225.0,-68927,-12407,0.0,,525,2985.0,-28360.0,-294116,,2331135,-2403339,531979,-402000,969479,-1025887,52,0.0,-41.0,-21831.0,-23358,1000.0,-42811,-58944,320119,261175,261175,65.0,0.0,,,,,,,,,,,,,,,,,,,
2017,2014年01月01日至2014年03月31日,,-42443,-42443,,,51759,11151,95,12158,-353,,-2738,4.0,,0.0,-244,69080,9660,150572.0,,,-1770,-17456,-50669,3912,176269,8135,118421,,-157.0,-1519,-105143,-8949,-6779,-1014,-316.0,23,-123854,-5433,145139,102696,0.0,102696,,-6716,6258,,-14784.0,20320.0,-35476,20,580.0,,-28957,-103,,32.0,191,0.0,,-58635,,776436,-1088889,315695,-216000,605058,-505767,22,,,-6126.0,-11917,0.0,-131508,-87447,320119,232672,232672,,0.0,0.0,-20.0,,,,,,,,,,,,,,,,,
2017,2013年度,,14692,14692,,,219027,46162,-48,37960,-4427,-3159.0,-4170,639.0,0.0,17906.0,28,328737,3740,,,,-3241,119695,70410,-2479,-376876,8596,-183895,,157.0,899,36567,6085,8497,6629,,-133,57031,-126864,485967,500659,-30025.0,470634,,-37003,16986,4648.0,,,-186818,2146,,-2071.0,-89523,-446794,0.0,-6784.0,4225,17317.0,-28338.0,-363099,,4054640,-3767345,1340096,-1510000,1867074,-1914564,80,-53.0,,0.0,-37480,0.0,-9255,98280,221839,320119,320119,,,,-76.0,,0.0,-29564.0,612831.0,-1670.0,0.0,430006.0,-42671.0,0.0,0.0,1575.0,-41627.0,,,,,
2017,2013年01月01日至2013年12月31日,,14692,14692,,,219027,46162,-48,37960,-4427,-3159.0,-4170,639.0,,17906.0,28,328737,3740,,,,-3241,119695,70410,-2479,-376876,8596,-183895,,157.0,899,36567,6085,8497,6629,,-133,57031,-126864,485967,500659,-30025.0,470634,,-37003,16986,4648.0,,,-186818,2146,,-2071.0,-89523,-446794,,-35122.0,4225,17317.0,,-363099,,4054640,-3767345,1340096,-1510000,1867074,-1914564,80,-53.0,,0.0,-37480,0.0,-9255,98280,221839,320119,320119,,0.0,,-76.0,,,-29564.0,612831.0,-1670.0,0.0,430006.0,-42671.0,0.0,,1575.0,-41627.0,,0.0,,,
2017,2013年01月01日至2013年09月30日,,40545,40545,,,165568,34508,701,28798,-2038,-3159.0,1869,-728.0,0.0,,47,252821,1081,,,,5024,46890,34987,-808,-273689,8735,-178861,,0.0,9147,73242,-6482,-3109,-2758,,103,69063,-109798,369670,410215,-29411.0,380804,,-26148,12960,4648.0,,,-160281,1498,,802.0,-41269,-346357,0.0,-765.0,1962,17317.0,-28338.0,-123568,,2929389,-3054776,1239776,-1280000,1631490,-1486886,80,-43.0,-55.0,0.0,-29392,0.0,-92044,165192,221839,387031,387031,,,,,,,,479468.0,-1080.0,-16178.0,456581.0,,,,,-41627.0,,,,,
