公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 存出保證金增加
2031,2015年01月01日至2015年09月30日,,-53451,-53451,,,66055,784,-4780,177579,79371,5125,-945,-386338,-417.0,121725.0,0,56918,-2404,112673.0,,,-68503,326140,-71841,31707.0,667189,49545,-7340,926897,,-204838,-26963,-17368,-249169,677728,790401,736950,-11462.0,725488,,0.0,868.0,-44710.0,459935.0,-59986,2732,1745.0,0,13143.0,-8052.0,1042.0,366717,,8764477,-9603469,150000.0,0.0,-1560,242.0,0.0,-278838.0,0.0,-25943.0,-75919,-1581.0,-1072591,2019,21633,398927,420560,420560,,,,,
2031,2015年01月01日至2015年06月30日,,150795,150795,,,43914,523,-1061,194881,52626,3417,-580,-385556,,,48917,158757,-281,115557.0,,,-66313,168786,22634,-712.0,310267,35174,-2837,466999,,-214156,-10530,9772,-214914,252085,367642,518437,-11462.0,506975,,0.0,,-41092.0,459935.0,-36042,1732,1324.0,4715,,-7430.0,1042.0,384184,,6045481,-6758378,100000.0,0.0,-1040,242.0,0.0,,,,-54448,-1581.0,-669724,-1508,219927,398927,618854,618854,,,,,
2031,2015年01月01日至2015年03月31日,,284483,284483,,,21984,261,-430,129327,25481,1708,-30,-385541,,,22705,119894,-152,-64793.0,,,-21878,256637,-58484,1927.0,86968,33070,-22211,276029,,-34022,44131,28466,38575,314604,249811,534294,-1830.0,532464,,,,-53650.0,459935.0,-16151,1462,389.0,4757,,-7193.0,,389549,,3035540,-3749108,,0.0,-520,242.0,,,,,-29672,,-743518,-638,177857,398927,576784,576784,0.0,,,,
2031,2014年度,,267493,267493,,,84581,1051,5138,-121638,120669,6833,-19395,-785,-3087.0,,-2044,120653,1366,,,,340806,-95369,212608,44995.0,-825892,-39494,2394,-359952,,-28757,-14208,-25921,-68886,-428838,-235496,31997,523.0,32520,,-30000.0,15522.0,-14456.0,,-251309,7967,6543.0,-3335,,-547340.0,3724.0,-812684,,14371866,-14216741,,1650000.0,-889827,,-229563.0,-276993.0,11178.0,,-106684,-2130.0,311106,118,-468940,867867,398927,398927,0.0,,193342.0,0.0,
2031,2014年01月01日至2014年09月30日,,263358,263358,,,60805,784,6505,15985,88842,5125,-16945,3794,0.0,0.0,-7220,31636,1038,190349.0,,,202614,-164990,-401744,51711.0,-791961,-56079,-14419,-1174868,,71428,57319,-16630,112117,-1062751,-872402,-609044,-1135.0,-610179,,-30000.0,0.0,0.0,0.0,-189072,333,6540.0,-99,0.0,-547541.0,827.0,-759012,,11281838,-10433195,0.0,1650000.0,-889827,104.0,-229563.0,-276993.0,11071.0,0.0,-74932,-2126.0,1036377,-87,-332901,867867,534966,534966,,,,,
2031,2014年01月01日至2014年06月30日,,192522,192522,,,38471,519,7646,-10600,53348,3416,-9958,535,,,-7645,-27452,1167,49447.0,,,280649,-253323,-512148,7399.0,-555679,-42221,742,-1074581,,56322,103,17189,73614,-1000967,-951520,-758998,-851.0,-759849,,-30000.0,,0.0,0.0,-133465,67,6790.0,-5322,,-499147.0,0.0,-661077,,7490162,-5891141,-30000.0,150000.0,-312366,104.0,-229563.0,,,,-43082,-2126.0,1131988,-159,-289097,867867,578770,578770,,,,,
2031,2014年01月01日至2014年03月31日,,72258,72258,,,19170,260,143,-33625,25530,1708,-3044,441,,,6109,28439,1299,46430.0,,,65382,-20586,-161094,8446.0,-117481,-24559,267,-249625,,-129649,241817,-23131,89037,-160588,-114158,-41900,-31.0,-41931,,,,0.0,0.0,-23804,0,1580.0,-71,,0.0,,-22295,,3128476,-3077022,,150000.0,-283859,0.0,,,,,-22275,,-184680,146,-248760,867867,619107,619107,-80000.0,,,,
2031,2013年度,,351802,351802,,,76090,1218,2462,-197018,105567,7374,-15289,-1092,9034.0,,-106373,34892,6151,,,,110908,200365,-330049,-84425.0,837957,8798,-1981,741573,,85041,21335,50235,156611,898184,821200,1173002,220.0,1173222,,-10574.0,52174.0,0.0,,-111552,3293,3160.0,-14714,,633.0,398.0,-77182,,15931144,-17136737,,305000.0,-101071,,0.0,-138378.0,2982.0,,-104106,-2635.0,-653801,75,442314,425553,867867,867867,90000.0,,-76984.0,500000.0,
2031,2013年01月01日至2013年09月30日,,271318,271318,,,56800,1062,2442,-122873,79742,5666,-11921,-130,9034.0,,-105893,20576,4562,,,,46658,151487,-221556,0.0,455310,1083,-2784,430198,,-104903,-3228,12799,-95332,334866,273933,545251,0.0,545251,,0.0,52174.0,,,-89914,1150,,-14777,,0.0,398.0,-47515,,12399463,-12889036,,305000.0,-99369,0.0,0.0,-138378.0,2757.0,,-78439,-2635.0,-410637,10,87109,425553,512662,512662,90000.0,,-60933.0,,3454.0
2031,2013年01月01日至2013年06月30日,,209171,209171,,,37634,715,-6161,-73156,53848,3958,-8223,-130,9034.0,,-103607,62909,3451,,,,165104,26463,-70977,,74119,13517,-299,207927,,24335,-34253,-10368,-20286,187641,167913,377084,,377084,,0.0,52174.0,,,-73112,1150,,-13530,,,398.0,-29468,,8107553,-8668731,,305000.0,-50523,,,,744.0,,-50975,-2634.0,-269566,157,78207,425553,503760,503760,90000.0,,-19728.0,,3452.0
