公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款減少,　　 存入保證金增加,　　　　　 預收款項增加（減少）
2032,2015年01月01日至2015年09月30日,,32655,32655,,,19791,240,-1220,-87,157,-1193,-28247,-2081.0,-309,-12949.0,,,40424,-43.0,36779,-1868,2154,193784,1808,72.0,0.0,80,273190,,-5739,58,44286,15314,105.0,239,-1267,-5118.0,47878,321068,308119,340774,1116,8856.0,-157,-4538.0,346051,,-266000,202309,-4946,2641.0,-2919.0,-135000.0,0.0,-19438.0,-223353,,-50000.0,-19998.0,-32630.0,-102628,20070,69514,89584,89584,,,,,,,,,,,,
2032,2015年01月01日至2015年06月30日,,35792,35792,,,13617,161,-964,-68,118,-604,-24256,-2081.0,-216,-14293.0,,,13728,,39331,-3973,-334,117776,979,-6.0,0.0,40,167541,,-4424,181,28045,-1936,81.0,333,-60,-1832.0,20388,187929,173636,209428,565,8856.0,-109,-2980.0,215760,,-214000,151216,-776,2641.0,-2219.0,-74000.0,0.0,-2238.0,-139376,,-25000.0,-19998.0,,-44998,31386,69514,100900,100900,,,,,,,,,,,,
2032,2015年01月01日至2015年03月31日,,6395,6395,,,7319,80,-1281,-68,43,-218,-5900,,-52,-77.0,,,43592,,41234,-792,-188,42035,1466,-244.0,0.0,20,127123,,-12843,106,76501,-5681,131.0,277,-1327,581.0,57745,184868,184791,191186,205,,-43,-20.0,191328,,-132000,46052,-380,,,-26000.0,,-72.0,-112400,,,,,-54999,23929,69514,93443,93443,-40000.0,-14999.0,,,,,,,,,,
2032,2014年度,,75757,75757,,,29992,253,-258,222,511,-892,-10814,-488.0,-810,,,,-18618,,1798,701,4886,-94169,-1926,31.0,-37000.0,357,-143940,,2408,-167,-1997,2764,2.0,81,6,,3064,-140876,-123160,-47403,844,10332.0,-511,-1069.0,-37807,,-302800,415110,-1199,488.0,,,-163.0,,107337,,,,-97891.0,-47891,21639,47875,69514,69514,50000.0,0.0,,0.0,17716.0,-33.0,1875.0,0.0,-330.0,-5644.0,,
2032,2014年01月01日至2014年09月30日,,72625,72625,,,22630,173,-623,183,428,-680,-6635,-488.0,-661,14327.0,,,11893,0.0,11641,130,6150,-95040,52,4.0,-21000.0,301,-85869,,-7806,-179,15682,4607,0.0,192,-3337,-98.0,9061,-76808,-62481,10144,644,10332.0,-419,-1049.0,19652,,-233000,293161,0,488.0,0.0,0.0,-164.0,-494.0,59991,,20000.0,24999.0,-97891.0,-52892,26751,47875,74626,74626,,,,,,,,,,,,
2032,2014年01月01日至2014年06月30日,,82101,82101,,,15152,93,-450,171,253,-479,-3633,-488.0,-520,10099.0,,,-60236,,41667,-3842,2208,-187056,-4757,85.0,-53000.0,210,-264721,,-130,10,22808,3647,0.0,259,-430,1360.0,27524,-237197,-227098,-144997,426,10332.0,-253,-1028.0,-135520,,-113000,183020,0,488.0,0.0,0.0,-164.0,-490.0,69854,,74000.0,50002.0,,124002,58336,47875,106211,106211,,,,,,,,,,,,
2032,2014年01月01日至2014年03月31日,,23490,23490,,,7614,47,9,27,80,-200,-1983,,-234,5360.0,,,8913,,-9563,-2139,4154,-8574,-493,175.0,-41000.0,120,-48407,,-4279,-11,34642,-5439,0.0,168,-795,665.0,24951,-23456,-18096,5394,200,,-67,-15.0,5512,,-70000,67734,0,,,0.0,,-190.0,-2456,,,,,20000,23056,47875,70931,70931,40000.0,-20000.0,,,,,,,,,,
2032,2013年度,,49760,49760,,,27495,186,-2458,-122,1026,-42,-11518,-140.0,-802,,,,73124,,82189,1542,-7066,133158,-401,-175.0,-23000.0,-10,259361,,6277,11,-31495,-235,0.0,37,1678,,-23638,235723,250848,300608,42,7235.0,-1080,-3.0,306802,,-461000,394802,-51361,140.0,,,0.0,,-107194,,,,0.0,-220000,-20392,68267,47875,47875,-170000.0,-50000.0,,1500.0,15125.0,89.0,0.0,1967.0,0.0,8258.0,,
2032,2013年01月01日至2013年12月31日,,49760,49760,,,27495,186,-2458,-122,1026,-42,-11518,-140.0,-802,,,,73124,,82189,1542,-7066,133158,-401,-175.0,-23000.0,-10,259361,,6277,11,-31495,-235,,37,1678,,-23638,235723,250848,300608,42,7235.0,-1080,-3.0,306802,,-461000,394802,-51361,140.0,0.0,,,,-107194,,,,0.0,-220000,-20392,68267,47875,47875,-170000.0,-50000.0,,1500.0,15125.0,89.0,0.0,1967.0,0.0,8258.0,,
2032,2013年01月01日至2013年09月30日,,29529,29529,,,20410,140,-2945,-140,942,-21,-7833,-9.0,-526,,,,57853,,118188,-3182,-212,113160,-4811,0.0,0.0,-132,280864,,2292,-168,-3258,-1734,,314,1134,,286,281150,291168,320697,21,7235.0,-991,-1.0,326961,,-380000,293526,-1697,9.0,,,0.0,-30510.0,-116704,,0.0,0.0,0.0,-190000,20257,68267,88524,88524,-140000.0,-50000.0,,,10018.0,1706.0,,1968.0,,,,
2032,2013年01月01日至2013年06月30日,,8262,8262,,,13586,93,-2003,-96,810,-21,-7381,-9.0,-317,,,,44217,,63300,641,83,83413,-590,0.0,0.0,152,191216,,31209,-156,-4307,-7959,,328,2026,,22425,213641,218303,226565,21,7235.0,-863,0.0,232958,,-288000,222817,-1538,9.0,,,0.0,-30034.0,-94779,,0.0,0.0,,-158546,-20367,68267,47900,47900,-118546.0,-40000.0,,,4662.0,1284.0,,1967.0,,,,
2032,2013年01月01日至2013年03月31日,,30286,30286,,,6795,47,-2161,25,541,-11,-2650,,-236,,,,26865,,81111,3229,-5107,-33344,-90,0.0,0.0,126,72790,,664,14,-15972,-4940,,194,7804,,-11592,61198,63548,93834,11,,-554,0.0,93291,,-208000,165236,-2929,,0.0,,,0.0,-43726,,,,,-79039,-29474,68267,38793,38793,-50000.0,-30000.0,,,2350.0,644.0,,1967.0,,,961.0,
2032,2012年01月01日至2012年12月31日,,9579,9579,,,25264,143,857,-14,3342,-34,-12260,-499.0,-814,,,,163300,,33388,5990,569,89143,2039,0.0,0.0,-3093,291336,,-2579,153,24970,6343,,-1012,330,,26891,318227,336102,345681,34,7043.0,-3355,-3977.0,345426,,-387500,381813,-53969,499.0,-1779.0,,,,-10081,,,,-12923.0,-297923,37422,30845,68267,68267,-135000.0,-150000.0,,1890.0,17875.0,-1314.0,19305.0,0.0,-1310.0,32860.0,,
2032,2012年01月01日至2012年09月30日,,3021,3021,,,18547,96,2199,-61,2746,-18,-9940,-470.0,-596,,,,178981,,-5581,6376,-10326,155542,722,,,-3777,321937,,738,552,31795,2314,,1093,-215,,36901,358838,373231,376252,18,7043.0,-2725,-3979.0,376609,,-341000,315596,-7862,470.0,-2330.0,,,-7612.0,-44048,,,,-12923.0,-272923,59638,30845,90483,90483,-95000.0,-165000.0,,1890.0,14393.0,624.0,,0.0,-1310.0,,,
2032,2012年01月01日至2012年06月30日,,2807,2807,,,12338,49,-702,6,2003,-11,-6900,-404.0,-465,,,,85771,,35845,7969,-470,6209,-2133,,,-909,132282,,10585,142,12776,-2000,,789,4131,,26288,158570,166374,169181,11,7043.0,-2071,-3977.0,170187,,-288000,259464,-3237,404.0,-3103.0,,,-855.0,-36637,,,10000.0,,-122524,11026,30845,41871,41871,-132524.0,0.0,,1890.0,7804.0,-135.0,,0.0,-1310.0,,,
2032,2012年01月01日至2012年03月31日,,20334,20334,,,6186,14,-3124,-5,1120,0,-2980,,-248,,,,129205,,76766,1382,-1397,-91230,-2204,,,333,112855,,-3521,-6,29661,-4845,,401,21,,21030,133885,134848,155182,0,,-1139,,154043,,-179000,137249,-1208,,-1678.0,,,,-44637,,,,,-91165,18241,30845,49086,49086,-1165.0,-90000.0,,,963.0,771.0,,0.0,,,0.0,-1452.0
