公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 存出保證金減少,　　　　 未實現外幣兌換損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款減少,　　　　　 其他營業負債增加（減少）,　　 預付設備款減少,　　 償還公司債,　　 舉借長期借款,　　 短期借款增加,　　 預付設備款增加
2059,2015年度,,2378248,2378248,,,132533,1609,7887,0,65,-27452,-42,-67.0,2498.0,117031.0,,,-730,25258,7942,53970,-7264,79176,,-9329,-21620,48302,-7234,404.0,10523,89699,206730,2584978,27168,-502,-376002,,,2235642.0,2235642,,-78127,336,-9,-3152.0,-80952,,-350000,-857674.0,-1207674,-162,946854,5396781,6343635,6343635,,,,,,,,,,,,
2059,2015年01月01日至2015年09月30日,,1842631,1842631,,,100563,1167,786,0,65,-20427,-42,1701.0,3112.0,86925.0,,,-467,32836,5201,16975,-260,54285,,-17319,-12141,-1340,2071,316.0,-28413,25872,112797,1955428,20527,-502,-375795,,,,1599658,,-65328,336,-10,,-66066,,-350000,-857674.0,-1207674,762,326680,5396781,5723461,5723461,-1064.0,,,,,,,,,,,
2059,2015年01月01日至2015年06月30日,,952376,952376,,,68518,815,3503,0,65,-13723,10,2408.0,2272.0,63868.0,,,1257,113796,3703,-22509,1792,98039,,-7527,-11179,-72431,5464,230.0,-85443,12596,76464,1028840,14071,-502,-256058,,,,786351,,-35415,68,0,,-36389,,-350000,,-350000,-382,399580,5396781,5796361,5796361,-1064.0,22.0,,,,,,,,,,
2059,2015年01月01日至2015年03月31日,,475240,475240,,,36055,393,2640,0,65,-6982,-6,841.0,2695.0,-38650.0,,,4318,116477,4044,-35085,1424,91178,,1439,2696,-100719,11189,76.0,-85319,5859,-32791,442449,7252,-502,-14363,,,,434836,,-26722,6,2,,-27666,,-350000,,-350000,-259,56911,5396781,5453692,5453692,-952.0,,-74351.0,,,,,,,,,
2059,2014年度,,2160802,2160802,,,138343,1858,-4953,143,6233,-29170,-197,1271.0,1773.0,115301.0,,,2622,-210784,-13769,-8478,8860,-221549,,31867,17220,79509,-15473,2083.0,115206,-106343,8958,2169760,28149,-6229,-292240,,,1899440.0,1899440,,-90094,197,-24,-645.0,-90566,,-60000,-714728.0,-774728,1823,1035969,4360812,5396781,5396781,,,,,,,,,,,,
2059,2014年01月01日至2014年09月30日,,1427494,1427494,,,103169,1540,-5776,143,4746,-20446,-190,2953.0,0.0,86139.0,,,4699,-56421,-4091,24001,1120,-30692,,23128,11164,20706,-10665,17.0,44350,13658,99797,1527291,18935,-4759,-291336,,,,1250131,,-73029,190,-121,,-73100,,-60000,-714728.0,-774728,291,402594,4360812,4763406,4763406,-140.0,,,,,,,,,,,
2059,2014年01月01日至2014年06月30日,,917631,917631,,,68968,1242,956,143,3257,-13471,-190,2793.0,0.0,63698.0,,,5315,-50712,-3757,27697,4232,-17225,,31086,-3976,-30210,-18995,11.0,-22084,-39309,24389,942020,13228,-3234,-196400,,,,755614,,-44032,190,-50,,-44032,,-30000,,-30000,-118,681464,4360812,5042276,5042276,-140.0,0.0,,,,,,,,,,
2059,2014年01月01日至2014年03月31日,,539854,539854,,,35105,684,772,143,1659,-6556,-16,3163.0,0.0,-39549.0,,,8520,26992,-971,-8206,1187,27522,,4679,9197,-59628,-3396,6.0,-49142,-21620,-61169,478685,6507,-1618,-624,,,,482950,,-18817,16,-877,,-19678,,-30000,,-30000,344,433616,4360812,4794428,4794428,0.0,,-74503.0,,,,,,,,,
2059,2013年度,,1673617,1673617,,,145973,2435,-729,-19545,15162,-16346,37,0.0,0.0,,,,-3264,156030,14913,10045,16339,194063,,-14593,-2616,145172,6822,,134785,328848,371465,2045082,15591,-8034,-245862,,,1806777.0,1806777,,-83795,1620,0,,-81718,,-60000,-560982.0,-650982,-4304,1069773,3291039,4360812,4360812,-2509.0,2966.0,-84370.0,,42617.0,-30000.0,,,,,,
2059,2013年01月01日至2013年12月31日,,1673617,1673617,,,145973,2435,-729,-19545,15162,-16346,36,,,,,,-3264,156030,14913,10045,16339,194063,,-14593,-2616,145172,6822,,134785,328848,455834,2129451,15591,-8034,-245862,,,1891146.0,1891146,,-89687,1620,2966,,-81718,,-60000,-560982.0,-650982,-88673,1069773,3291039,4360812,4360812,-2509.0,,,,126986.0,-30000.0,,5892.0,0.0,0.0,0.0,
2059,2013年01月01日至2013年09月30日,,1216401,1216401,,,110040,1750,-1926,-20441,13018,-12833,36,1559.0,,,,,4924,249381,13679,-29586,21822,260220,,-25593,8308,101159,8033,,94738,354958,393731,1610132,12945,-6311,-242223,,,,1374543,,-72275,1620,2947,,-70217,,-60000,-560982.0,-650982,851,654195,3291039,3945234,3945234,-2509.0,,-52430.0,,38773.0,-30000.0,2831.0,,,,,
