公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　 存出保證金增加,　　 其他非流動資產增加,　　 其他金融資產減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 預付設備款減少,　　 其他投資活動,　　 發放現金股利,　　 非控制權益變動,　　 其他預付款項減少,　　 停業單位稅前淨利（淨損）,　　 短期借款減少,　　　　　 其他金融資產（增加）減少
2106,2015年01月01日至2015年09月30日,,3372545,3372545,,,835424,23301,4040,-521,129558,-133435,-151828.0,4475,0.0,711014.0,,,11482.0,-6149,1752,154996,1303,5480,675064,210906,14831,1069665,,-172623,-319026,61521,-148482,1681.0,38111,-6867,-13514.0,-559199,510466,1221480,4594025,103355,151828.0,-132907,-699677,,,4016624.0,4016624,,6732,-544029,24272,24838.0,-2950,-884430.0,-125489.0,-299837.0,-316677.0,-2117570,,-652259.0,0.0,1014264,-823553,2581.0,-458967,156928,1597015,12279655,13876670,13876670,,,,,,,,,,,,,,,,,,
2106,2015年01月01日至2015年06月30日,,1879910,1879910,,,561471,14925,10185,-820,90466,-69951,,4037,,610313.0,,,11482.0,-84878,1752,50705,572,-4321,315007,53509,14065,357893,,-170861,-104320,75104,-219771,2652.0,48136,-4510,-9284.0,-382854,-24961,585352,2465262,73485,,-94072,-422955,,,,2021720,,6732,-380175,21854,,-2950,-826066.0,,-165412.0,-293352.0,-1731422,,-490381.0,,705992,-500841,2887.0,-282343,-241465,-233510,12279655,12046145,12046145,0.0,33391.0,-125444.0,,,,,,,,,,,,,,,
2106,2015年01月01日至2015年03月31日,,692970,692970,,,283610,7787,-311,-731,42720,-33088,,1177,0.0,301164.0,,,11482.0,-71789,1752,276344,-813,-10373,442467,16607,14761,680406,,-85826,-209917,65150,-262397,4398.0,160637,-6018,-4837.0,-338810,341596,642760,1335730,23370,,-44475,-91196,,,,1223429,,0,-232676,11394,,0,,,-72876.0,-224298.0,-1015083,,-163655.0,0.0,370000,-402281,,-194700,-140734,-127088,12279655,12152567,12152567,-32.0,45744.0,0.0,-542371.0,1236.0,,,,,,,,,,,,,
2106,2014年度,,4577568,4577568,,,1092553,40023,9602,-372,144575,-132250,,4166,0.0,,,,9690.0,38711,-366,-495794,9165,2492,-435003,15109,141284,-714712,,165525,-244426,12846,367142,,-7747,-52,,273183,-441529,716768,5294336,123913,0.0,-169752,-1089003,,,4159494.0,4159494,,0,-788237,54983,,-12370,-1949534.0,,,-265623.0,-3516292,,217042.0,0.0,3679159,-2401875,,613889,494156,1751247,10528408,12279655,12279655,0.0,8213.0,3498.0,,492985.0,,0.0,1158297.0,-20105.0,0.0,-567222.0,0.0,-1373454.0,32.0,,,,
2106,2014年01月01日至2014年09月30日,,3514150,3514150,,,817929,33257,13895,-108,102408,-99463,-29163.0,4525,0.0,843280.0,,,9568.0,43171,1386,-672344,5078,13267,-275805,-53796,152405,-777070,,78916,-199131,6919,262702,-70.0,116937,-6972,-15257.0,244044,-533026,310254,3824404,88996,29163.0,-123028,-857245,,,2962290.0,2962290,,0,-631922,39973,5350.0,-5706,-658837.0,3287.0,-452352.0,0.0,-1700207,,358528.0,61.0,1576098,-1665985,5044.0,273746,132541,1668370,10528408,12196778,12196778,,,,,,,,,,,,,,,,,,
2106,2014年01月01日至2014年06月30日,,2270202,2270202,,,551430,25598,9501,-82,66322,-66369,,3115,,589515.0,,,2563.0,150862,1386,-574289,2781,9498,-476335,-163717,126912,-920635,,-1694,-47182,1671,308729,44.0,106503,-5622,-10013.0,352436,-568199,21316,2291518,56123,,-82011,-589008,,,,1676622,,0,-461518,38003,,-4942,-1082279.0,,-354076.0,0.0,-1854071,,451984.0,,187228,-393343,5227.0,251096,-22007,51640,10528408,10580048,10580048,-296.0,8460.0,2281.0,,,,,,,,,,,,,,,
2106,2014年01月01日至2014年03月31日,,1078338,1078338,,,275301,12668,2159,80,33083,-31696,,773,0.0,292368.0,,,2325.0,9132,1386,-509331,-27932,11543,-269223,-11528,155903,-663159,,-966,-102006,4360,-20156,6076.0,115285,-7135,-4802.0,-9344,-672503,-380135,698203,23862,,-42277,-305540,,,,374248,,0,-299746,10798,,-1034,,,-91627.0,0.0,-1008501,,343949.0,286.0,50161,-137172,,257469,171507,-205277,10528408,10323131,10323131,-25434.0,9447.0,-3543.0,-632796.0,245.0,,,,,,,,,,,,,
2106,2013年度,,4338410,4338410,,,960520,33537,25175,-372,97468,-77507,,10103,1148.0,,,,2506.0,33784,1462,-60131,33902,78455,316430,-466189,-153856,-174786,,-26211,20442,-17122,255114,,86015,7618,,294704,119918,1169990,5508400,77614,0.0,-155341,-843912,,,4586761.0,4586761,,23188,-931042,26437,,-8612,-547194.0,,,-70.0,-3240428,,91068.0,10000.0,3166000,-2242976,,-351258,307374,1302449,9225959,10528408,10528408,38851.0,-42805.0,50595.0,,-128094.0,,0.0,1050072.0,-31152.0,-591800.0,-1219125.0,0.0,-1247256.0,0.0,,,,
2106,2013年01月01日至2013年12月31日,,4338410,4338410,,,960520,33537,25175,-372,97468,-77507,,10103,1148.0,,,,2506.0,33784,1462,-60131,33902,78455,316430,-466189,-153856,-174786,,-26211,20442,-17122,308988,-53874.0,86015,7618,,294704,119918,1169990,5508400,77614,0.0,-155341,-843912,,,4586761.0,4586761,,23188,-931042,26437,,-8612,-547194.0,,,-70.0,-3240428,,91068.0,10000.0,3166000,-2242976,,-351258,307374,1302449,9225959,10528408,10528408,38851.0,-42805.0,50595.0,,-128094.0,,0.0,1050072.0,-31152.0,-591800.0,-1219125.0,0.0,-1247256.0,,,,,
2106,2013年01月01日至2013年09月30日,,3346122,3346122,,,689036,25876,-14360,516,77795,-55314,,13955,1148.0,,,,5000.0,113481,2848,-222393,39818,68725,639399,-238325,2844,411397,,-13651,-90169,-19746,225197,-31523.0,110545,41,,156724,568121,1306773,4652895,42088,,-79906,-716816,,,3898261.0,3898261,,23188,-705773,18641,,-1953,-2812.0,32676.0,,,-1871634,,-468824.0,10000.0,1854184,-2238876,2141.0,-841375,256147,1441399,9225959,10667358,10667358,,-40482.0,,,,,,738652.0,-23970.0,,-1195119.0,,,,,,,
