公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款減少,　　 舉借長期借款,　　　　　 持有供交易之金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
2114,2015年01月01日至2015年09月30日,,403837,403837,,,75255,5569,1790,0,-4414,-30,78170.0,,,74092.0,-1835,55404,-25411,65409,5891,173550,,-63661,-59605,-17686,0,-9691,23.0,-150620,22930,101100,504937,4414,0,-135141,374210,,-30995,56,-50.0,-122.0,-4933,-63892.0,-99936,,0.0,0,-337626.0,3324.0,-334302,160,-59868,794324,734456,734456,,,,,,,,
2114,2015年01月01日至2015年06月30日,,228037,228037,,,49739,3994,320,0,-3065,-30,50958.0,,,50413.0,3145,80925,-6124,29190,-770,156779,,-42893,-72327,-15709,0,12067,15.0,-118847,37932,88890,316927,3065,0,-83315,236677,,-26974,56,,0.0,-4307,-31508.0,-61633,,,0,,,0,0,175044,794324,969368,969368,1100.0,0.0,0.0,,,,,
2114,2015年01月01日至2015年03月31日,,112046,112046,,,24749,2667,-331,0,-1155,-30,25900.0,,,36390.0,-2049,31819,3951,-2755,5579,72935,,-1047,-44737,-15082,0,30328,8.0,-30530,42405,68305,180351,1155,0,-890,180616,,-9158,56,1250.0,0.0,-2178,-30898.0,-40928,,0.0,0,0.0,,0,0,139688,794324,934012,934012,,,0.0,0.0,,,,
2114,2014年度,,601330,601330,,,92411,7349,1312,293,-4633,-1534,,,,-77194.0,-8423,-4682,-3004,-65689,25966,-133026,,29896,47596,7717,0,927,,85671,-47355,58840,660170,4633,-350,-58147,606306,,-78995,6416,3248.0,-898.0,-5413,-52959.0,-128601,,-100000.0,-76493,-306933.0,,-465426,-10997,1282,793042,794324,794324,,,18000.0,-104.0,,10997.0,106195.0,-361.0
2114,2014年01月01日至2014年09月30日,,434143,434143,,,68259,3657,-445,293,-3334,394,68824.0,,,-44638.0,-18744,-1025,-3461,-73065,21501,-119432,,23381,27405,2376,0,16063,23.0,69248,-50184,18640,452783,3334,-350,-58018,397749,,-54092,621,2828.0,-742.0,-48842,0.0,-100227,,-100000.0,-58493,-306933.0,0.0,-465426,-50,-167954,793042,625088,625088,,,,,,,,
2114,2014年01月01日至2014年06月30日,,271536,271536,,,44135,2338,-344,259,-2364,394,44418.0,,,-84846.0,-6513,-35152,-1197,-61290,29583,-159415,,22847,-10083,1994,0,15277,15.0,30050,-129365,-84947,186589,2364,-316,-33552,155085,,-31931,621,,-742.0,-30491,0.0,-60460,,,-58493,,,-158493,-61,-63929,793042,729113,729113,2083.0,-100000.0,0.0,,,,,
2114,2014年01月01日至2014年03月31日,,129940,129940,,,21559,1037,0,252,-1065,-13,21770.0,,,-59930.0,-9030,20984,875,-49055,38505,-57651,,4413,-1490,-8847,0,-53,8.0,-6157,-63808,-42038,87902,1065,-302,-107,88558,,-13977,56,1523.0,0.0,-1782,-13213.0,-27393,,-100000.0,-31500,0.0,,-131500,-10,-70345,793042,722697,722697,,,0.0,-188.0,,,,
2114,2013年度,,509805,509805,,,83545,5323,0,2110,-4392,194,,,,0.0,-353,-1766,41270,28770,-23787,44134,,-36791,-16297,6833,-1413,-17221,,-65103,-20969,55263,565068,4392,-2083,-75369,492008,,-104246,256,-8123.0,-150.0,-7094,-63421.0,-182778,,62000.0,-6000,-306933.0,,-250933,10738,69035,724007,793042,793042,,,0.0,-36.0,,-10548.0,76232.0,-178.0
2114,2013年01月01日至2013年12月31日,,509805,509805,,,83545,5323,0,2110,-4392,194,,,,,-353,-1766,41270,28770,-23787,44134,,-36791,-16297,6833,-1413,-17221,,-65103,-20969,55263,565068,4392,-2083,-75369,492008,,-104246,256,-8123.0,-150.0,-7094,-63421.0,-182778,,62000.0,-6000,-306933.0,,-250933,10738,69035,724007,793042,793042,,,,-36.0,,-10548.0,76232.0,-178.0
2114,2013年01月01日至2013年09月30日,,376587,376587,,,63214,4579,0,1408,-2948,156,,,,-140.0,-12573,40084,45026,7399,14768,94564,,-53970,-40608,657,-1414,-11280,,-106591,-12027,48111,424698,2948,-1320,-70864,355462,,-98783,242,,0.0,-47104,,-148811,,,-4500,-306933.0,,-149433,6480,63698,724007,787705,787705,-3166.0,162000.0,,,,-6271.0,60138.0,24.0
2114,2013年01月01日至2013年06月30日,,253584,253584,,,41020,3690,-3697,690,-2122,121,,,,2443.0,-8142,7023,23335,-51086,-13933,-40360,,-52278,-25280,4759,-1414,-21662,,-95859,-136219,-96517,157067,2122,-691,-45332,113166,,-90316,139,,0.0,-41239,,-132718,,,-3000,,,-3000,159,-22393,724007,701614,701614,-1302.0,0.0,,,,0.0,39702.0,16.0
2114,2013年01月01日至2013年03月31日,,130280,130280,,,20085,1922,-300,350,-1002,59,,,,84.0,-7968,31063,24810,-72993,-33729,-58733,,-53312,-18466,-3161,-1414,83,,-76263,-134996,-113882,16398,1002,-345,-3230,13825,,-108224,2,-1152.0,0.0,-2259,,-111633,,,-1500,0.0,,-1500,107,-99201,724007,624806,624806,0.0,0.0,,,,0.0,21114.0,7.0
2114,2012年01月01日至2012年12月31日,,516492,516492,,,75914,5443,-70,335,-3723,677,,,,,-2960,-71529,-41235,74938,-18674,-59460,,26480,22577,5245,-4775,-20825,,28634,-30826,66851,583343,3723,-362,-46466,540238,,-7739,346,-179.0,-506.0,-2996,-134456.0,-145530,,38000.0,-87582,-245546.0,,-295128,-19166,80414,643593,724007,724007,,,,-13.0,,19101.0,97677.0,-55.0
2114,2012年01月01日至2012年09月30日,,374544,374544,,,57082,4025,-41,335,-2568,3,,,,-182.0,-8513,-41829,-15763,33192,-3396,-36491,,24323,21079,-2189,-2599,-96,,40509,4018,75486,450030,2568,-345,-46198,406055,,-11339,17,662.0,,-117440,,-128100,,38000.0,-99175,-245546.0,,-306721,-12720,-41486,643593,602107,602107,,,,,,12632.0,71468.0,-9.0
2114,2012年01月01日至2012年06月30日,,231199,231199,,,37982,2767,-41,305,-1603,3,,,,197.0,-9562,-676,-13250,-9736,-14997,-48024,,52235,47198,4417,-4001,13714,,113563,65539,104952,336151,1603,-320,-29156,308278,,-3760,17,661.0,,-83030,,-86112,,,-59581,,,-59581,-64,162521,643593,806114,806114,,,,,,,39413.0,0.0
