公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產減少,　　 現金增資,　　 處分無形資產,　　 應付短期票券減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 應計退休金負債增加（減少）
2311,2015年01月01日至2015年09月30日,,18716616,18716616,,,21750748,421472,-3196273,1681237,-192162,-74374,35919,21268,154815,2312693,22915343.0,,,3025524,-257928,60383,-8570434,150732,-5591723,,-1148709,4288374,-1942685,2068894,190377,3456251,-2135472,20779871,39496487,182419,74374,-1713548,-3735975,34303757,,-81789096.0,84672199.0,-469291,1972254,30545.0,-35673097.0,-24695271,213284,-393507,-1265725.0,-294186,-57691891,,4148082.0,6136425.0,0.0,29382813,-16649534,-15297474.0,854609,-5333406.0,8910346.0,36517.0,-1035,12187343,1916095,-9284696,51694410,42409714,42409714,,,,,,,,,,,,,,,
2311,2015年01月01日至2015年06月30日,,10906427,10906427,,,14479934,272376,1302247,1113450,-116277,-72720,19355,50590,16201,-357770,16571917.0,,,1207714,2154407,-186847,-1761714,125019,1538579,,-481254,-1456094,-859009,844552,101959,-1849846,-311267,16260650,27167077,115460,72720,-930674,-2857286,23567297,,-57120657.0,57069981.0,-169291,820369,27645.0,0.0,-18014203,158856,-235988,303895.0,-107830,-17267223,,,,,11522159,-14113844,,687056,-5333406.0,8910346.0,-46994.0,-1295,-1440602,-2379308,2480164,51694410,54174574,54174574,-135469.0,-3064624.0,,,,,,,,,,,,,
2311,2015年01月01日至2015年03月31日,,5506616,5506616,,,7256998,135828,968918,577332,-51305,-65750,12875,-3804,0,-63404,8550901.0,,,535510,9899771,411,-3183220,528999,7781471,,-166653,-3705388,-1417585,306642,184121,-4798863,2982608,11533509,17040125,52766,65750,-559232,-573431,16025978,,-31598532.0,31595385.0,-149279,700404,,0.0,-7762448,31255,-162975,-12013.0,-32942,-7391145,,-4041624.0,,,5005910,-5803317,,557403,-5333406.0,,,-3136,-9618170,-1296637,-2279974,51694410,49414436,49414436,-216787.0,,,,,,,,,,,,,,
2311,2014年度,,28473599,28473599,,,25805042,545734,-1838840,2324426,-243474,-101252,110157,108726,899480,1717372,,,,823313,-9703070,-8625,-8208824,102353,-16994853,,-835779,6422305,3045452,703764,-111843,9223899,-7770954,21584838,50058437,233457,101252,-2065244,-2463153,45864749,,-108958658.0,109825159.0,-3565428,4388130,20411.0,-100000.0,-39598964,421207,-396466,,-480711,-38817889,,-3442162.0,8888562.0,-729790.0,32030868,-40978403,-9967215.0,1498343,,,9905673.0,-2879,-2797003,2418182,6668039,45026371,51694410,51694410,,,,28421.0,29355792.0,0.0,0.0,0.0,-372569.0,0.0,,,,,
2311,2014年01月01日至2014年09月30日,,18969748,18969748,,,18917510,396642,-667028,1723479,-188675,-88574,83817,81391,812003,1213050,22283615.0,,,359875,-5259976,-804691,-6269002,-391366,-12365160,,-336446,5892965,1942223,436313,-588529,7346526,-5018634,17264981,36234729,176231,88574,-1505070,-2008308,32986156,,-83622451.0,83882866.0,-2065428,4350752,20411.0,-100000.0,-31962979,269208,-299132,-415878.0,-393429,-30336060,,-6440272.0,8888562.0,-729790.0,19563383,-28702253,-9967215.0,1313988,0.0,0.0,-85766.0,-2913,-16162276,1453852,-12058328,45026371,32968043,32968043,,,,,,,,,,,,,,,
2311,2014年01月01日至2014年06月30日,,10364712,10364712,,,12517824,269544,626300,1160339,-129289,-18448,60848,94827,426190,462672,15470807.0,,,167202,2135523,-39026,-1268495,-188122,807082,,-189655,-2286965,1103878,180643,-19665,-1211764,-404682,15066125,25430837,113213,18448,-918039,-1567949,23076510,,-50348597.0,50487648.0,-1952490,3829378,20411.0,-100000.0,-14538192,159409,-183848,-104088.0,-390429,-13120798,,,,,9740197,-12491602,,759748,0.0,0.0,-85766.0,74054,-13265488,13272,-3296504,45026371,41729867,41729867,0.0,-11262119.0,,,,,,,,,,,,,
2311,2014年01月01日至2014年03月31日,,4298312,4298312,,,6269956,135271,-326296,589916,-58712,-3417,33487,64226,58668,848000,7611099.0,,,308372,5393323,30320,144372,-27716,5848671,,-137870,-3517508,-22647,-73957,29187,-3722795,2125876,9736975,14035287,69151,3417,-556723,-383502,13167630,,-23879381.0,24072435.0,-1942512,2370171,,-100000.0,-3975218,17536,-88151,-9806.0,3946,-3530980,,-11399502.0,,,4853794,-6123956,,452581,0.0,,,2505,-12214578,1129045,-1448883,45026371,43577488,43577488,0.0,,,,,,,,,,,,,,
2311,2013年度,,19356692,19356692,,,24696607,774304,-795359,2257144,-212801,-131449,260801,-26300,949015,1345390,,,,1122280,-5767254,-6540,-3241115,-108425,-8001054,,-1011975,4722462,1068223,2796,-174306,4607200,-3393854,25919823,45276515,182164,176058,-2200143,-2138639,41295955,,-53135894.0,55032536.0,-3474152,1093408,27368.0,0.0,-29142719,351546,-313110,,-104499,-29925843,,7051874.0,11900051.0,0.0,28715694,-31382333,-7834877.0,1071854,,,-72101.0,-48291,12794871,867872,25032855,19993516,45026371,45026371,,,,196325.0,29313677.0,-88169.0,73716.0,-250387.0,4513.0,3393000.0,,,,,
2311,2013年01月01日至2013年12月31日,,19356692,19356692,,,24696607,774304,-795359,2257144,-212801,-131449,260801,-26300,949015,1345390,,,,1122280,-5767254,-6540,-3241115,-108425,-8001054,,-1011975,4722462,1068223,2796,-174306,4607200,-3393854,25919823,45276515,182164,176058,-2200143,-2138639,41295955,,-53135894.0,55032536.0,-3474152,1093408,27368.0,,-29142719,351546,-313110,,-104499,-29925843,,7051874.0,11900051.0,,28715694,-31382333,-7834877.0,1071854,,,-72101.0,-48291,12794871,867872,25032855,19993516,45026371,45026371,,,,196325.0,29313677.0,-88169.0,73716.0,-250387.0,4513.0,3393000.0,0.0,,,,
2311,2013年01月01日至2013年09月30日,,13564797,13564797,,,18370848,605914,-661579,1617816,-140253,-58945,209068,24030,754837,110112,,,,699380,-1203254,-24852,-3502435,-411497,-4442658,,-802117,2735810,446587,-76854,28750,2332176,-2110482,18917691,32482488,123240,58945,-1870159,-2012490,28782024,,-30099982.0,31561981.0,-218757,196615,19062.0,0.0,-22490154,316460,-236252,-377015.0,445,-21592437,,5596708.0,11900051.0,0.0,22444446,-23323300,-7834877.0,504352,,,-72101.0,-56504,12551775,559625,20300987,19993516,40294503,40294503,,,,196325.0,21028173.0,-88169.0,73716.0,-250387.0,,3393000.0,,,,,
