公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益,　　 支付之股利,　　 取得持有至到期日金融資產,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 其他預付款項減少,　　　　 處分其他資產損失（利益）,　　 應付短期票券增加,　　　　 金融資產減損損失,　　　　 其他項目,　　 以成本衡量之金融資產減資退回股款,　　 償還公司債,　　　　 金融資產減損迴轉利益,　　 停業單位稅前淨利（淨損）,　　　　 處分投資性不動產損失（利益）,　　　　　 其他金融資產（增加）減少
2352,2015年01月01日至2015年09月30日,,2523225,2523225,,,1531161,160507,3412.0,586734,-132476.0,-42223.0,7385.0,-1009433,561,-112180.0,-129286.0,864162.0,,,-48885,923879,1268962,71855,1046,27108,6811,20641.0,2271417,,-2197277,-700385,-956,33706,-845327,77887,-3632352,-1360935,-496773,2026452,138752.0,445293.0,-543070,-541456.0,1525971,,-612664,182980,-115120,0.0,-75548.0,145092.0,-1226380,46763,-22673,-69080,-43832,-301906.0,0.0,-2092368,,7711640,-3802238.0,3724800,-6437651,-4488.0,-1180069.0,-901476,23499.0,-247319,22421.0,-1090881,345397,-1311881,8988974,7677093,7677093,0,,,,,,,,,,,,,,,,,,
2352,2015年01月01日至2015年06月30日,,1820467,1820467,,,1015518,106434,8829.0,386778,-100885.0,-34366.0,4831.0,-647297,689,-112180.0,-38063.0,590288.0,,,59305,2796940,1147031,278782,-4332,50783,170421,16109.0,4515039,,-4165419,-238831,2036,-19860,-495414,51325,-4866163,-351124,239164,2059631,110455.0,192.0,-359031,-421021.0,1390226,,-612664,180039,-63000,,,145092.0,-761645,19740,-16021,-31342,-47344,-120971.0,0.0,-1308116,,1291559,,3724800,-3966602,-15731.0,,-510265,23499.0,0,22046.0,569306,-203684,447732,8988974,9436706,9436706,0,,,,,,,,,,,,,,,,,,
2352,2015年01月01日至2015年03月31日,,776736,776736,,,505960,53673,4827.0,193920,-53323.0,-192.0,2433.0,-349981,-970,,-40546.0,315801.0,,,-212822,814516,248598,442307,7037,554637,309755,1182.0,2165210,,-3177931,-353490,-5544,-49306,-700827,15971,-4271127,-2105917,-1790116,-1013380,34150.0,192.0,-178861,,-1278791,,-162563,174376,-63000,,,,-402856,16112,-18490,-8200,-31345,251801.0,,-244165,,4237547,,1989000,-3023710,-13438.0,,-31460,23499.0,20235,,3201673,-116950,1561767,8988974,10550741,10550741,0,0.0,-120892.0,0.0,,,,,,,,,,,,,,,
2352,2014年度,,3687870,3687870,,,1996479,182313,-1214.0,876317,-274554.0,-40275.0,9513.0,-1205447,11234,,-161497.0,,,,-186638,-10220585,-2528589,653678,1333,-3100406,736130,-46578.0,-14691655,,3528751,788218,-35666,50356,929459,112747,5373865,-9317790,-7924921,-4237051,257964.0,192497.0,-845445,-624459.0,-5256494,,-373162,44986,-325072,2460.0,0.0,,-1413320,25596,-30861,-148564,-437940,,-35855.0,-2662433,,4276458,,10634750,-13211069,-46360.0,,-69410,344950.0,3030402,-61039.0,4898682,529329,-2490916,11479890,8988974,8988974,0,,,,,0.0,1392869.0,-22508.0,51807.0,,,,,,,,,,
2352,2014年01月01日至2014年09月30日,,2740214,2740214,,,1495074,166166,10941.0,682632,-228211.0,-40229.0,7053.0,-776357,10151,0.0,-22644.0,1304576.0,,,-199578,-11116553,-2417884,1021693,4676,-2201745,773185,-81615.0,-14217821,,4204325,352922,21970,68416,882869,15452,5545954,-8671867,-7367291,-4627077,212867.0,192451.0,-657942,-390509.0,-5270210,,-333981,14261,-253784,2460.0,0.0,0.0,-991436,3462,-26232,-84255,-358049,295620.0,-35855.0,-1767789,,12495340,-6757736.0,8885250,-12768725,-32922.0,0.0,-63416,344950.0,-61039,3026271.0,5067973,131376,-1838650,11479890,9641240,9641240,0,,,,,,,,,,,,,,,,,,
2352,2014年01月01日至2014年06月30日,,1561386,1561386,,,1004074,106261,18227.0,478599,-165189.0,-18277.0,5646.0,-261252,2718,0.0,-110113.0,1060694.0,,,-196310,-6879376,-2796132,640069,2191,-29887,769502,-60024.0,-8549967,,193637,-20587,29194,48791,281260,168,532463,-8017504,-6956810,-5395424,159376.0,18277.0,-460414,-300043.0,-5978228,,-212106,10568,-40904,,,0.0,-379734,1784,-11651,-61979,-619728,205696.0,-35855.0,-1143909,,4369783,,4085250,-5575710,-21332.0,,-1225,344950.0,-60992,3021764.0,6162488,147217,-812432,11479890,10667458,10667458,0,,,,,,,,,,,,,,,,,,
2352,2014年01月01日至2014年03月31日,,514294,514294,,,497442,45328,9544.0,238770,-70007.0,-5870.0,2462.0,18844,1583,,-110296.0,627132.0,,,67682,-3243861,-1518138,483961,8068,215450,453674,-19913.0,-3553077,,-1121786,-49157,2480,84012,-453071,25268,-1512254,-5065331,-4438199,-3923905,67795.0,5870.0,-231474,,-4188388,,-406,9970,-11777,,,,-436283,851,-2065,-33956,-205279,37127.0,,-682335,,9660579,,0,-5040604,-10666.0,,-1225,8745.0,2999700,,7616529,306602,3052408,11479890,14532298,14532298,0,-668.0,-106674.0,-40517.0,,,,,,,,,,,,,,,
2352,2013年度,,1726187,1726187,,,2301479,203987,42071.0,1016010,-191207.0,-17140.0,0.0,-287767,-50877,,240387.0,,,,-41505,-2363686,-745748,41002,-3018,359559,502094,280250.0,-1971052,,2891124,249026,33242,-97318,893615,-20809,3948880,1977828,5235290,6961477,153253.0,103381.0,-974884,-439505.0,5803722,,-35000,2303078,-2000,138856.0,-177187.0,,-1949505,355903,-39608,-101218,-809229,,0.0,-804425,,1713807,,6361201,-10858527,0.0,,-7069,0.0,24500,-5591.0,-2771679,347171,2574789,8905101,11479890,11479890,0,,,,,519.0,3257462.0,-488515.0,0.0,,,,,,,,,,
2352,2013年01月01日至2013年12月31日,,1726187,1726187,,,2301479,203987,42071.0,1016010,-191207.0,-17140.0,,-287767,-50877,,240387.0,,,,-41505,-2363686,-745748,41002,-3018,359559,502094,280250.0,-1971052,,2891124,249026,33242,-97318,893615,-20809,3948880,1977828,5235290,6961477,153253.0,103381.0,-974884,-439505.0,5803722,,-35000,2303078,-2000,138856.0,-177187.0,,-1949505,355903,-39608,-101218,-809229,,0.0,-804425,,1713807,,6361201,-10858527,,,-7069,,24500,-5591.0,-2771679,347171,2574789,8905101,11479890,11479890,0,,,,,519.0,3257462.0,-488515.0,,,,0.0,0.0,0.0,0.0,,,,
2352,2013年01月01日至2013年09月30日,,865065,865065,,,1737260,154845,17433.0,781261,-148533.0,-16635.0,0.0,-230603,2725,,241816.0,,,,30697,-3290849,-1156386,269658,5578,250774,550017,-137040.0,-3477551,,1590984,174617,8414,-77039,327913,68875,2093764,-1383787,1102005,1967070,118301.0,68073.0,-763404,-302032.0,1088008,,-35000,2249487,-2000,138367.0,-177187.0,,-1068620,26512,-23622,-132035,-697646,0.0,190817.0,-142253,,6670873,,2510508,-10582085,-6400.0,,-7069,0.0,18909,0.0,-1395264,188981,-260528,8905101,8644573,8644573,0,,,,,,2485792.0,-611326.0,,-53777.0,,,,,,,,,
