公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票處分,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款增加,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他非流動資產減少,　　　　　 應付建造合約款（增加）減少,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他投資活動,　　 預付設備款減少
2360,2015年01月01日至2015年09月30日,,1165886,1165886,,,244638,1507,13592,31535,-20920,-27973.0,21784.0,-67951,-1591,-14,0.0,28540,246.0,-34891,188502.0,,,-542,-35274,153695,-170133,-115291,-45518,-27088,-240151,,4821,36301,85697,99356.0,-127361,317382,20583,-4246.0,432533,192382,380884,1546770,-270140,1276630,,-300000,7078,-189425.0,0.0,0.0,11750.0,-16140.0,-327201,5605,-1752,10897.0,-5497.0,19261,68453.0,-716971,,446000.0,0.0,0.0,-16000.0,0.0,41794.0,-3450,0.0,-982439.0,12166.0,0.0,-31643,29400.0,-504172,46718,102205,1847648,1949853,1949853,,,,,,,,,,,,,,
2360,2015年01月01日至2015年06月30日,,588669,588669,,,159792,1005,-9310,20920,-12721,0.0,17257.0,-41393,-1315,-14,0.0,17034,202.0,24944,176401.0,,,-1513,-24223,410748,-102778,-32705,-52153,-7495,189881,,3152,194514,-84048,15586.0,-30005,480204,1632,-2848.0,578187,768068,944469,1533138,-167185,1365953,,-300000,7078,-1746.0,0.0,0.0,,,-159074,4177,-2627,10897.0,-9497.0,11285,0.0,-443852,,,-157859.0,,0.0,0.0,,-2451,0.0,,,0.0,-21353,29400.0,-152263,-43759,726079,1847648,2573727,2573727,-4345.0,,,,,,,,,,,,,
2360,2015年01月01日至2015年03月31日,,143366,143366,,,79950,503,-6040,10368,-5200,,8627.0,-9587,-1066,-11,0.0,5249,,17577,100370.0,,,-595,1132,528643,24102,-23647,-33334,10120,506421,,371,81424,-200227,285662.0,-89447,5369,-824,-1295.0,81033,587454,687824,831190,-24603,806587,,-100000,6074,-42499.0,0.0,,,0.0,-30099,2375,-2950,,-3683.0,6308,,-272265,,0.0,-170000.0,0.0,,,,-1123,,,,,-10799,,-181922,-20034,332366,1847648,2180014,2180014,-107791.0,0.0,,,,,,,,,,,,
2360,2014年度,,1521374,1521374,,,297188,3928,18699,31300,-24192,-34325.0,34203.0,-82578,-2852,-17325,15500.0,62450,,30233,,,,38398,-14760,-271946,-52055,-253889,9472,-30267,-575047,,-3933,-14797,82408,-9358.0,61901,36593,14707,,163988,-411059,-78830,1442544,-214887,1227657,,-2351975,747261,,,-30000.0,,-33000.0,-97019,18731,-14149,0.0,,26080,64184.0,-1635003,,-374416.0,,0.0,-64000.0,1994680.0,0.0,-4970,-426.0,-937111.0,,741.0,-26186,0.0,588312,47150,228116,1619532,1847648,1847648,-21151.0,,,0.0,332229.0,-3533.0,0.0,49607.0,6428.0,,,,,
2360,2014年01月01日至2014年09月30日,,1156242,1156242,,,218314,3426,23636,18376,-16557,-32805.0,25575.0,-68308,-1057,-15458,2410.0,35126,0.0,3228,195906.0,,,-2795,-18120,-587568,-94774,-318212,-48196,-32895,-1102560,,-2493,49673,381986,5101.0,-34247,129572,55394,-4167.0,580819,-521741,-325835,830407,-148547,681860,,-2201975,540865,0.0,193405.0,-30000.0,0.0,0.0,-95689,14593,-25454,0.0,-3474.0,18976,62664.0,-1526089,,0.0,-143886.0,136000.0,0.0,1994680.0,0.0,-3302,-434.0,-937111.0,0.0,741.0,-18113,0.0,1028575,8018,192364,1619532,1811896,1811896,,,,,,,,,,,,,,
2360,2014年01月01日至2014年06月30日,,589470,589470,,,143426,2444,11073,8635,-11215,-30726.0,16948.0,-41428,-1127,-12269,2410.0,21406,0.0,2083,111660.0,,,-2893,-837,-89182,-92020,-291914,-26909,-21866,-525621,,-1989,19595,529310,18303.0,10049,107124,61153,-2769.0,740776,215155,326815,916285,-91768,824517,,-2100000,174752,0.0,75189.0,-30000.0,,,-76931,14125,-4336,0.0,-1844.0,12969,6373.0,-1929703,,,-543940.0,,-64000.0,1994680.0,,-2127,-438.0,,,741.0,-9150,0.0,1375766,-14437,256143,1619532,1875675,1875675,0.0,,,,,,,,,,,,,
2360,2014年01月01日至2014年03月31日,,197540,197540,,,70392,1223,3996,3228,-5632,,8319.0,-13983,-263,-1411,2410.0,9564,,-20894,56949.0,,,-828,3640,143177,-17634,-3875,-7957,-8275,108248,,0,-35499,-53200,-11671.0,-84900,57640,78510,-1253.0,-50373,57875,114824,312364,-9314,303050,,-50000,1579,0.0,75450.0,,,-30000.0,-30039,5426,-4940,,-2760.0,7352,,-15703,,12744.0,0.0,20000.0,,,,-1073,,,,,-3669,,28006,41842,357195,1619532,1976727,1976727,12229.0,4.0,,,,,,,,,,,,
2360,2013年度,,1417036,1417036,,,309547,4387,19792,14219,-23335,-23790.0,16639.0,-51095,-21286,-83079,2000.0,48216,,14632,,,,-1780,26169,-186795,28414,9463,-6550,31104,-99975,,0,10750,-495650,-46495.0,162307,-29115,-5323,,-409586,-509561,-282744,1134292,-193995,940297,,-540000,854695,,,0.0,,-2767.0,-125854,82455,-1602,68219.0,,21553,43720.0,-1201926,,144071.0,,80000.0,0.0,0.0,700911.0,-3288,-490.0,-749669.0,,0.0,-13923,-11602.0,146010,41842,-73777,1693309,1619532,1619532,-1180887.0,,,-30.0,226817.0,-6060.0,-439600.0,0.0,18142.0,,,,,
2360,2013年01月01日至2013年12月31日,,1417036,1417036,,,309547,4387,19792,14219,-23335,-23790.0,16639.0,-51095,-21286,-83079,2000.0,48216,,14632,,,,-1780,26169,-186795,28414,9463,-6550,31104,-99975,,0,10750,-495650,,162307,-29115,-5323,,-409586,-509561,-282744,1134292,-193995,940297,,-540000,854695,,,0.0,0.0,-2767.0,-125854,82455,-1602,68219.0,,21553,43720.0,-1201926,,144071.0,,80000.0,0.0,,700911.0,-3288,-490.0,-749669.0,,,-13923,-11602.0,146010,41842,-73777,1693309,1619532,1619532,-1180887.0,,,-30.0,226817.0,-6060.0,-439600.0,,18142.0,-46495.0,0.0,0.0,0.0,
2360,2013年01月01日至2013年09月30日,,1070728,1070728,,,233932,3164,11564,6595,-12140,-23410.0,8319.0,-42987,4659,-41629,0.0,29445,,30871,,,,-1573,23390,-385876,-18447,-58205,-29218,-11531,-481460,,0,5099,-171406,-3119.0,102455,-21406,43403,,-45881,-527341,-318988,751740,-186292,565448,,-520000,784071,,,0.0,,,-119742,10586,-2112,68219.0,6379.0,12485,43340.0,-1387035,,863000.0,-598867.0,80000.0,,0.0,700913.0,-2908,-492.0,-749669.0,,0.0,-5092,-11602.0,275283,21111,-525193,1693309,1168116,1168116,-1111530.0,,,-30.0,208353.0,-907.0,-558731.0,0.0,,,,,,
