公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得按攤銷後成本衡量之金融資產,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 償還公司債,　　　　 金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　 存出保證金增加,　　　　　 預付款項（增加）減少
2364,2015年01月01日至2015年09月30日,,-154997,-154997,,,24851,17306,7994,-290,-1272.0,0,83,-402.0,220.0,48490.0,,,109.0,-4986,440,15422,-3316,7669,,-57,37129,-829,585,22589,-868,58549,66218,114708,-40289,275,-8076,-14.0,-48104,,2365.0,8800.0,0.0,-4876,-4741,1272.0,2820,,2105000,-2085000.0,-102.0,19898,1296,-24090,214493,190403,190403,,,,,,,,,,,,,,
2364,2015年01月01日至2015年06月30日,,-118284,-118284,,,16636,11110,5269,-219,-1272.0,0,67,-402.0,146.0,31335.0,,,-143.0,-3332,549,44787,-5032,36829,,-106,-5666,-5284,141,11234,-868,-549,36280,67615,-50669,219,-5446,-12.0,-55908,,,8800.0,0.0,-2190,-701,1272.0,9546,,40000,,-102.0,39898,-1836,-8300,214493,206193,206193,2365.0,,,,,,,,,,,,,
2364,2015年01月01日至2015年03月31日,,-60278,-60278,,,8379,5451,2558,-107,,0,67,0.0,74.0,16422.0,,,104.0,-3682,518,12891,-2975,6856,,-91,-6163,-11358,105,6288,-471,-11690,-4834,11588,-48690,107,-2573,-6.0,-51162,,,,0.0,-1848,1606,,-242,,40000,,,40122,-224,-11506,214493,202987,202987,,122.0,,,,,,,,,,,,
2364,2014年度,,-179953,-179953,,,34814,22811,10422,-1596,-528.0,2776,23,-4821.0,287.0,,,,-98.0,6694,1638,-38912,-7476,-38154,,-68,3678,-416,402,-16905,-1328,-14637,-52791,11366,-168587,1596,-10324,414.0,-176901,,,0.0,28321.0,-3935,-29129,528.0,-4264,,-10000,,,-10000,23961,-167204,381697,214493,214493,,0.0,,-31.0,0.0,64157.0,0.0,10.0,-59.0,0.0,,,,
2364,2014年01月01日至2014年09月30日,,-161781,-161781,,,26103,15633,7866,-1426,-528.0,2776,34,-4821.0,214.0,45851.0,,,11.0,-29792,-541,-72298,-2753,-105373,,89,53597,-1245,1280,-214,-1158,52349,-53024,-7173,-168954,1411,-7802,411.0,-174934,,0.0,0.0,28321.0,-3847,-24811,528.0,191,,10000,0.0,0.0,10000,2031,-162712,381697,218985,218985,,,,,,,,,,,,,,
2364,2014年01月01日至2014年06月30日,,-121830,-121830,,,17507,9821,5177,-1067,-528.0,2776,26,-4821.0,143.0,29034.0,,,-7.0,-5008,-806,-48837,-952,-55610,,58,73862,221,796,597,-1077,74457,18847,47881,-73949,1067,-5263,436.0,-77709,,,0.0,28321.0,-3419,-10701,528.0,14729,,15000,,0.0,15000,283,-47697,381697,334000,334000,0.0,,,,,,,,,,,,,
2364,2014年01月01日至2014年03月31日,,-58925,-58925,,,8964,4939,2582,-556,,2776,0,-4588.0,71.0,14188.0,,,-4.0,3535,-267,-14608,-9989,-21333,,-62,19180,-10768,415,6889,-586,15068,-6265,7923,-51002,556,-2555,480.0,-52521,,,,28321.0,-539,-3270,,24512,,15000,,,15000,2667,-10342,381697,371355,371355,,0.0,,,,,,,,,,,,
2364,2013年度,,-168170,-168170,,,37775,19502,8465,-994,-3102.0,11591,85,-17851.0,513.0,,,,-11.0,29765,-98,-29565,-9832,-9741,,103,-36983,-12990,812,1028,88,-47942,-57683,-1734,-169904,994,-8331,2668.0,-174573,,,36000.0,0.0,-2861,-32417,4454.0,24642,,135000,,,116689,6403,-26839,408536,381697,381697,,189.0,,-33.0,-2.0,55949.0,17851.0,73.0,1542.0,-18500.0,,,,
2364,2013年01月01日至2013年12月31日,,-168170,-168170,,,37775,19502,8465,-994,-3102.0,11591,85,-17851.0,513.0,,,,-11.0,29765,-98,-29565,-9832,-9741,,103,-36983,-12990,812,1028,88,-47942,-57683,-1734,-169904,994,-8331,2668.0,-174573,,,36000.0,,-2861,-32417,4454.0,24642,,135000,,,116689,6403,-26839,408536,381697,381697,,189.0,,-33.0,-2.0,55949.0,17851.0,73.0,,-18500.0,0.0,0.0,1542.0,
2364,2013年01月01日至2013年09月30日,,-146175,-146175,,,28193,14243,6075,-681,-3102.0,10483,89,-8117.0,442.0,,,,-1769.0,-19683,-181,-82169,-1618,-105420,,327,22138,-17597,1234,11616,58,17776,-87644,-40021,-186196,666,-5869,2171.0,-189228,,,36000.0,0.0,-1496,-27645,3102.0,18146,,65000,,,46629,4926,-119527,408536,289009,289009,,129.0,,,-2.0,47623.0,8117.0,68.0,,-18500.0,,,,
