公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 收取之股利,　　 存入保證金增加,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　 不影響現金流量之收益費損項目,　　　　 已實現銷貨損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 應付短期票券增加,　　　　 金融資產減損損失,　　　　　 生物資產（增加）減少
2368,2015年01月01日至2015年09月30日,,170410,170410,,,1040483,6464,-41438,23891,168419,-16019,17211,73914,196132,44684,1513741.0,,,-83871,784882,231989,239537,17991,-5074,1185454,,-3003,-861590,-331308,-11983,-1207884,-22430,1491311,1661721,16011.0,-226785,1450947,,0.0,75000.0,-517961,39827,0,7730.0,-7727,18118,23468,0.0,-361545,,7418384,-7846244,-50000.0,2502068.0,-2340213,-15688,0.0,-31201,0,-66960,27776.0,-174780,-576858,-184283,328261,3127895,3456156,3456156,,,,,,,,,,,,,
2368,2015年01月01日至2015年06月30日,,156246,156246,,,696097,4493,-16308,-40727,114826,-11164,9938,85768,129515,42691,1015129.0,,,-14613,1676939,236395,135154,-36914,5972,2002933,,-948,-1282424,-340800,-12809,-1636981,365952,1381081,1537327,,-144409,1404093,,,75000.0,-309777,30348,-941,,-2022,14789,-4562,,-197165,,8272900,-8694874,,2758184.0,-2689783,-5870,,-29145,0,0,27776.0,-120428,-481240,-20350,705338,3127895,3833233,3833233,11175.0,0.0,,,,,,,,,,,
2368,2015年01月01日至2015年03月31日,,236011,236011,,,354064,2220,7772,-65381,60913,-5174,3760,24802,73475,24531,480982.0,,,-8927,799980,66291,-279737,16533,6213,600353,,2660,-426952,-89997,-2258,-516547,83806,564788,800799,5175.0,-21671,784303,,,,-145271,8878,3068,,-1031,7791,5888,,-120677,,2690570,-2711287,,2017720.0,-2013133,-9493,,-16434,0,0,27776.0,-66592,-80873,-11137,571616,3127895,3699511,3699511,,,,,784303.0,,,,,,,,
2368,2014年度,,860291,860291,,,1398041,7893,6041,-3049,253135,-19108,14994,-51145,-214974,27093,,,,-60739,-1502935,-61460,-283702,32234,-4063,-1880665,,-1057,541691,178203,-1835,717002,-1163663,238927,1099218,,-92068,1026147,,,,-629078,71346,-4083,,-4985,15321,22466,-13091.0,-616862,,19235036,-18541013,0.0,1482000.0,-2354738,-5766,,19317,0,0,13342.0,-249428,-351250,-7143,50892,3077003,3127895,3127895,18997.0,,,,,,19112.0,-35443.0,1402590.0,-74758.0,50000.0,,
2368,2014年01月01日至2014年09月30日,,313786,313786,,,1048597,5762,5970,11256,191218,-14208,10332,-91939,38357,2921,1208266.0,,,-41683,-641908,3674,-277173,26573,2393,-928124,,-223,177508,-76074,3289,104500,-823624,384642,698428,14105.0,-72821,639712,,-74948.0,0.0,-426943,67368,-7802,0.0,-4985,15298,-25604,-12513.0,-470129,,13741567,-13631690,0.0,1107400.0,-1890289,-4125,0.0,-27509,0,0,13342.0,-189134,-880438,-82751,-793606,3077003,2283397,2283397,,,,,,,,,,,,,
2368,2014年01月01日至2014年06月30日,,-126735,-126735,,,705199,3927,6769,-54402,129392,-10646,7652,-70246,63523,-7865,773303.0,,,21769,-58181,5110,-38031,24197,-2549,-47685,,-583,-321584,-260026,-8440,-590633,-638318,134985,8250,,-44287,-25416,,,0.0,-313419,46998,-9565,,-763,12085,14324,,-250340,,12998030,-12996114,,1022300.0,-1408586,0,,23464,0,0,0.0,-123834,-484138,-31557,-791451,3077003,2285552,2285552,10621.0,602.0,,,,,,,,,,,
2368,2014年01月01日至2014年03月31日,,-254979,-254979,,,355647,1957,-7639,-12008,64471,-4804,3932,-11973,-859,13447,402171.0,,,9687,503204,19758,-69838,22864,3281,488956,,-2575,-457415,-167103,3499,-623594,-134638,267533,12554,4221.0,-2538,14237,,,,-186031,19768,-272,,-683,3744,11879,,-151595,,4841158,-4326070,,628930.0,-953391,-15840,,37955,0,0,0.0,-59717,153025,-59183,-43516,3077003,3033487,3033487,,,,,14237.0,,,,,,,,
2368,2013年度,,-658391,-658391,,,1465610,13546,24781,5502,191866,-18997,30031,-84382,61370,95549,,,,-12565,-907526,-109918,-230073,46241,-1636,-1215477,,4552,681580,109434,17117,812683,-402794,1411092,752701,,-25056,746931,,,,-1135729,191851,-22507,,-6451,12912,-8767,0.0,-968691,,23232875,-22676758,-60000.0,1571520.0,-1816269,-45448,,22284,-1162,-8041,9085.0,-184275,43811,-298476,-476425,3553428,3077003,3077003,19286.0,,,,,,29010.0,0.0,1813886.0,0.0,0.0,,
2368,2013年01月01日至2013年12月31日,,-658391,-658391,,,1465610,13546,24781,5502,191866,-18997,30031,-84382,61370,95549,,,,-12565,-907526,-109918,-230073,46241,-1636,-1215477,,4552,681580,109434,17117,812683,-402794,1411092,752701,,-25056,746931,,,,-1135729,191851,-22507,,-6451,12912,-8767,,-968691,,23232875,-22676758,-60000.0,1571520.0,-1816269,-45448,,22284,-1162,-8041,9085.0,-184275,43811,-298476,-476425,3553428,3077003,3077003,19286.0,,,,,,29010.0,,1813886.0,0.0,,,
2368,2013年01月01日至2013年09月30日,,-493213,-493213,,,1105552,11490,36922,-22882,138514,-14791,23498,-115127,-113878,-32469,,,,-21951,-1378817,50723,-174167,38710,2280,-1483222,,765,499775,8894,5449,514883,-968339,48490,-444723,14666.0,-22607,-452664,,,,-889387,159595,-4733,,-6938,9783,-20515,0.0,-752195,,17046521,-16049682,,0.0,-1145568,-44481,17282.0,0,-1162,-8041,0.0,-146869,-332000,-49270,-1586129,3553428,1967299,1967299,,,,,,,,,1016829.0,0.0,,,
