公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 取得無形資產,　　 因合併產生之現金流入,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產增加,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分無形資產,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 以成本衡量之金融資產減資退回股款,　　　　 金融資產減損迴轉利益,　　 應付短期票券減少
2385,2015年01月01日至2015年09月30日,,3473362,3473362,,,1503317,74973,295,-550063,52232,-58871,-226740.0,136654,119276,2038.0,-88846,39000.0,0.0,1003265.0,,,110874,-39383,-1809705,-60348,-1233,47467,100150,13160,-1639018,,-26827,361777,17732,1072728,0.0,6224,-4551,1427083,-211935,791330,4264692,58970,226740.0,-46014,-623240,3881148,,-3006178,2393600,-321835.0,3150.0,-1720419,174784,-149012.0,198834.0,-41524,-210437.0,-1893763.0,-1114700,-93023.0,-5780523,,3931989.0,300000.0,5634030,-3762785,-3060817.0,-422415.0,2620002,266549,987176,1980696,2967872,2967872,,,,,,,,,,,,,,,,
2385,2015年01月01日至2015年06月30日,,2257726,2257726,,,995033,48203,6162,122763,30232,-37075,-195590.0,98382,19257,,-136726,26000.0,0.0,976641.0,,,-37393,-680,-253852,67817,-119859,967990,63699,13317,701039,,-19880,-4698462,-120452,230770,,55109,1313,-4551602,-3850563,-2873922,-616196,28464,5014.0,-22001,-462382,-1067101,,-2430024,1823042,-244220.0,3150.0,-1024190,229995,-65507.0,198834.0,-26676,,-1893763.0,-123927,,-4588966,,4313732.0,0.0,4262565,-2499960,,8503.0,6084840,-594551,-165778,1980696,1814918,1814918,-210437.0,-825243.0,,,,,,,,,,,,,,
2385,2015年01月01日至2015年03月31日,,873503,873503,,,499006,23969,-253,82029,12879,-11283,,51260,2210,,-49336,13000.0,0.0,623481.0,,,42160,-10286,2786778,-20425,-19287,-207653,46820,-14565,2603542,,-24347,-3968033,-116189,-389100,,-20737,1294,-4517112,-1913570,-1290089,-416586,11246,,-13415,-228405,-647160,,-944773,662554,,,-499840,109191,0.0,201860.0,-27956,,-1893763.0,-20067,,-3236949,,1817784.0,,2200873,0,,10359.0,4029016,-168754,-23847,1980696,1956849,1956849,,-831191.0,7036.0,,,,,,,,,,,,,
2385,2014年度,,5605857,5605857,,,1899068,108087,-5087,-415444,46587,-52387,-210185.0,91916,45798,,-645673,,-66221.0,,,,396295,27840,-576348,-122878,13669,-1308377,-705950,-26189,-2301938,,15717,3083365,-145384,1093554,-224245.0,-47443,-33688,3741876,1439938,2236397,7842254,52053,232867.0,-41987,-912304,7172883,,-4147769,3740399,-652331.0,16000.0,-4094872,170860,-56516.0,,-69863,525.0,,-251095,0.0,-5344662,,1401319.0,,911060,-1370570,-2991280.0,-358574.0,-2408245,982383,402359,1578337,1980696,1980696,,,,,0.0,0.0,796459.0,0.0,0.0,0.0,0.0,0.0,-200.0,,,
2385,2014年01月01日至2014年09月30日,,3773262,3773262,,,1366035,78729,-6496,-67474,32742,-33381,-209249.0,54148,4583,0.0,-498356,0.0,-66221.0,655060.0,,,220845,7329,-253518,-65742,-30035,-953072,-286094,-6880,-1367167,,-6879,1230021,-38769,844796,-224245.0,-34301,-9776,1760847,393680,1048740,4822002,33287,231931.0,-31085,-801598,4254537,,-2989792,2807314,-52331.0,16000.0,-2824999,119574,-42411.0,0.0,-60925,525.0,0.0,-87940,0.0,-3114985,,2963657.0,0.0,895525,-1370570,-2991280.0,-358574.0,-861242,275530,553840,1578337,2132177,2132177,,,,,,,,,,,,,,,,
2385,2014年01月01日至2014年06月30日,,2399711,2399711,,,898682,46928,-8134,137773,20503,-20741,-194643.0,17171,5883,,-459715,0.0,-66221.0,377486.0,,,65169,14595,1451113,25928,77451,801307,-282933,883,2153513,,-14683,-2730529,-55118,176580,,-26694,-31749,-2682193,-528680,-151194,2248517,20205,5030.0,-19940,-513825,1739987,,-2363487,2308047,0.0,0.0,-1636868,80640,-21612.0,0.0,-47695,,0.0,-27309,,-1708284,,1024645.0,10000.0,500000,-1370570,,2991.0,167066,-95495,103274,1578337,1681611,1681611,0.0,0.0,,,,,,,,,,,,,,
2385,2014年01月01日至2014年03月31日,,912731,912731,,,469822,24089,-1140,30681,10421,-5910,,-1662,-1297,,-324300,0.0,-66221.0,134483.0,,,158154,18118,2236081,23121,37210,-181540,28781,-2992,2316933,,-8718,-1532295,-85232,-315974,,17212,-50043,-1975050,341883,476366,1389097,3337,,-10471,-250140,1131823,,-742684,149287,,,-641728,47176,-31221.0,0.0,-39083,,0.0,-53815,,-1312068,,1502215.0,,500000,-1370570,,0.0,631645,209592,660992,1578337,2239329,2239329,,0.0,0.0,,,,,,,,,,,,,
2385,2013年度,,4983020,4983020,,,1679936,90295,-42637,-402696,85470,-32950,-153962.0,-35994,11778,,-591139,,0.0,,,,332422,48989,-1192795,-26235,218221,-160612,-70529,-572,-851111,,3691,2076017,-109920,1456370,0.0,20712,32389,3479259,2628148,3580981,8564001,35362,153962.0,-102326,-795243,7855756,,-3062819,2987161,-106277.0,5850.0,-3258951,213037,-17737.0,,-108084,0.0,,-771366,119101.0,-3715284,,0.0,,5036790,-8518035,-2622754.0,1933762.0,-5161676,761048,-260156,1838493,1578337,1578337,,,,,20556.0,324176.0,952833.0,-282739.0,567493.0,47.0,-1006296.0,14857.0,0.0,,,
2385,2013年01月01日至2013年12月31日,,4983020,4983020,,,1679936,71600,-42637,-402696,85470,-32950,-153962.0,-35994,11778,,-591139,,,,,,332422,48989,-1192795,-26235,218221,-160612,-70529,-572,-851111,,3691,2076017,-109920,1448091,,20712,40668,3479259,2628148,3610613,8593633,35362,153962.0,-102326,-795243,7885388,,-3062819,2987161,-106277.0,,-3258951,213037,-17737.0,,-108084,,,-800998,119101.0,-3744916,,,,5036790,-8518035,-2622754.0,1933762.0,-5161676,761048,-260156,1838493,1578337,1578337,,,0.0,,20556.0,372503.0,982465.0,-282739.0,567493.0,47.0,-1006296.0,14857.0,,5850.0,,0.0
2385,2013年01月01日至2013年09月30日,,3722657,3722657,,,1254850,67052,-4990,-229708,58212,-23536,-153506.0,5050,3695,,-543049,,0.0,,,,196447,19746,-1387287,-3356,31827,-193297,-197463,-9285,-1542668,,-4268,141441,-335394,526028,0.0,115608,52633,496048,-1046620,-611796,3110861,25827,153506.0,-60595,-741745,2487854,,-1831769,2187813,-6278.0,5850.0,-2214190,155969,-11306.0,,-72877,0.0,,-773308,17984.0,-1984291,,2084426.0,250000.0,5471730,-7270200,-2622754.0,1042856.0,-1043942,228512,-311867,1838493,1526626,1526626,,,,,754.0,,434824.0,,557774.0,47.0,,,,,,
2385,2013年01月01日至2013年06月30日,,2422478,2422478,,,809241,41877,7334,-242726,47064,-14214,,22399,2498,,-297046,,0.0,,,,298399,13635,-525056,35047,-161253,294405,-317095,-11411,-373329,,-6609,-1713650,-110708,898362,,-6704,49078,-890231,-1263560,-886379,1536099,16826,,-51572,-549873,951480,,-951748,1303192,-6278.0,,-1481480,122216,-18485.0,,-48051,,,-728120,,-1648569,,323428.0,0.0,4549850,-5718515,,618740.0,-226497,576349,-347237,1838493,1491256,1491256,,,,,754.0,,377181.0,,154289.0,46.0,,,,5850.0,,
2385,2013年01月01日至2013年03月31日,,1258534,1258534,,,392539,19854,3516,-210867,25574,-6885,,20205,138,,-254817,,,,,,242204,44371,983603,-19659,6256,-675591,-96634,-8719,475831,,-6585,-1097889,-480289,-75017,,72584,8014,-1579182,-1103351,-1114094,144440,6831,,-33972,-208149,-90850,,-258792,593892,,,-685132,38688,0.0,,-36756,,,-381802,,-694645,,146789.0,,2380760,-2693640,,,-166091,538748,-412838,1838493,1425655,1425655,,,18127.0,,,,-10743.0,,17084.0,46.0,,,,,0.0,
2385,2012年01月01日至2012年12月31日,,4905739,4905739,,,1228759,70056,7296,-27036,127974,-36506,-158589.0,38721,-6052,,-742396,,,,,,-49668,-14858,-2810152,-36681,-216751,-1143080,-27845,957,-4298078,,9469,3696563,271095,1024222,,48737,17034,5067120,769042,1367706,6273445,36474,183647.0,-118270,-654551,5720745,,-1184400,2434219,-167518.0,,-1817374,73905,0.0,,-88584,,,-203991,243425.0,-696819,,,,8997359,-8086570,-2438325.0,89678.0,-4342742,-166885,514299,1324194,1838493,1838493,,,5812.0,,53239.0,43198.0,598664.0,0.0,7687.0,0.0,-2418278.0,13394.0,,0.0,,-500000.0
2385,2012年01月01日至2012年09月30日,,3368183,3368183,,,948085,55055,1989,5529,90980,-21951,-152309.0,30562,-13104,,-394642,,,,,,-27917,-15564,-2162988,-11247,28729,-1406781,15138,-723,-3581353,,11910,2249599,-27593,874337,,111275,373,3219901,-361452,188742,3556925,24526,152309.0,-94574,-496958,3142228,,-623106,1432568,-167518.0,,-1142885,83839,,,-58119,,,-172654,207679.0,-432509,,-562577.0,-350000.0,6245556,-5388425,-2438325.0,89678.0,-2404093,-345238,-39612,1324194,1284582,1284582,,,,,0.0,,550194.0,,7687.0,0.0,,,,0.0,,
2385,2012年01月01日至2012年06月30日,,1883318,1883318,,,642339,31181,4554,-5510,64205,-20678,,24666,-369,,-305066,,,,,,66180,-9456,-234219,-24972,-413046,-878093,63587,-723,-1430742,,4256,1411471,60235,357160,,107776,2213,1943111,512369,947691,2831009,23241,,-49841,-354015,2450394,,-268071,824086,-67518.0,,-413241,63834,,,-49154,,,-438181,,-340558,,-1242868.0,-500000.0,4752050,-5066355,,132469.0,-1924704,-160417,24715,1324194,1348909,1348909,,,,,0.0,,435322.0,,7687.0,0.0,,,,0.0,,
2385,2012年01月01日至2012年03月31日,,860767,860767,,,288269,15429,7125,-10629,37214,-16231,,21372,6143,,-301406,,,,,,-9397,-7158,1339628,-9565,-114715,-773890,96408,771,522082,,9835,616124,-170470,-57337,,128765,-3702,523215,1045297,1092583,1953350,16162,,-31679,-77696,1860137,,-268071,745551,-67518.0,,-110828,11484,,,-41218,,,32198,,309285,,-1120391.0,-500000.0,1707145,-1794830,,,-1708076,-408690,52656,1324194,1376850,1376850,,,,,,,47286.0,,7687.0,0.0,,,,,,
