公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 附買回票券及債券負債增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分避險之衍生金融資產,　　 除列避險之衍生金融負債,　　 採用權益法之被投資公司減資退回股款,　　 處分投資性不動產,　　 附買回票券及債券負債減少,　　 其他非流動負債增加,　　 員工執行認股權,　　　　 其他項目,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 避險之衍生金融負債增加（減少）
2412,2015年01月01日至2015年09月30日,,40303213,40303213,,,22908486,2307507,355601,-25753,23662,-244365,-218232.0,43443.0,-688533,86366,20.0,419,-8058.0,107179,145171,85976,24878889.0,,,1142,-1926573,17000,433097,-2887536,345741,-787329,-4804458,,-4590834,-56257,-1410614,-71333,-144494,-124686,300062.0,191563,-5906593,-10711051,14167838,54471051,-23848,-7113819,47333384,,0,-1002167.0,3850000,-29077.0,1285.0,18921.0,-5607,16156.0,-113983.0,-15473946,1396,-226081,-11477394,11644733,-589296,264877,758982.0,-12361201,,2750000,-3255255,0.0,-103666,0.0,-128086,1220592.0,-37673263.0,45128.0,-837514.0,-37982064,58743,-2951138,23559603,20608465,20608465,,,,,,,,,,,,,,,,
2412,2015年01月01日至2015年06月30日,,26072936,26072936,,,15414664,1539430,189959,1002,15502,-162102,-218172.0,28962.0,-488890,43762,20.0,240,-8058.0,25910,91356,-5874,16467711.0,,,1142,-1494289,59370,292322,-3327097,725534,-254280,-3997298,,-3191146,23877,-2233733,30571,-296413,-125674,201192.0,173859,-5417467,-9414765,7052946,33125882,-15569,-3195027,29915286,,0,-1002167.0,1775000,-22338.0,966.0,0.0,-5607,10847.0,,-10320391,1286,-126593,-11448339,553677,361789,138565,405702.0,-19677603,,2750000,-2454400,0.0,-100000,,-107203,466393.0,,45128.0,-35254.0,564664,-77431,10724916,23559603,34284519,34284519,,,,,,,,,,,,,,,,
2412,2015年01月01日至2015年03月31日,,12523058,12523058,,,7783538,770295,180264,288,8657,-67297,,14481.0,-300526,29100,20.0,240,-7409.0,25910,53386,-113624,8377323.0,,,1142,-1545056,20451,165821,-3383542,302729,292428,-4146027,,-3622725,-152314,-1205451,25471,-368695,-128225,99942.0,319098,-5032899,-9178926,-801603,11721455,-8775,72543,11785223,,0,,700000,0.0,966.0,,0,10847.0,,-5531847,397,-74653,-1000,135800,238547,68850,,-4452093,,1050000,-1054400,,-50000,,-123227,74194.0,,45128.0,,-58305,-32963,7241862,23559603,30801465,30801465,,,,,,,,,,,,,,,,
2412,2014年度,,46559138,46559138,,,31896394,2218298,325691,-1142,46148,-288134,-77658.0,93287.0,-797473,-25276,,-45795,0.0,23334,288428,-164039,,,,91,-3618366,-11705,463214,-116179,741399,1268003,-1273543,,2972181,-148844,-1867671,19229,449329,12955,,-302862,1623468,349925,33236635,79795773,-42718,-8372656,71380399,,81229,,4257500,-59583.0,3489.0,83892.0,-252485,0.0,,-32559459,149260,-644165,-411000,470666,-718670,339846,667067.0,-27377505,,895000,-584957,348000.0,-148000,13000000.0,-69047,,-35103221.0,,-634772.0,-35116269,87873,8974498,14585105,23559603,23559603,,-605353.0,32886710.0,489151.0,0.0,0.0,0.0,0.0,1214908.0,-13000000.0,180728.0,0.0,,,,
2412,2014年01月01日至2014年09月30日,,36805784,36805784,,,23990235,1498752,211405,-3830,34127,-215907,-77658.0,79696.0,-667017,33373,0.0,-45795,0.0,8976,256135,199190,25301682.0,,,91,-2990860,6305,-993550,-3458233,129080,-644967,-7952134,,70864,-185402,-3846431,-13465,412496,9559,305810.0,-181943,-3428512,-11380646,13921036,50726820,-33749,-8248529,42444542,,81229,0.0,2845000,-59583.0,3489.0,43740.0,-133485,0.0,0.0,-20971880,3590,-342670,-411000,437273,-262246,36602,513205.0,-18216736,,895000,-134357,348000.0,-50000,4000000.0,-76901,44817.0,-35103221.0,0.0,-632120.0,-30708782,-5104,-6486080,14585105,8099025,8099025,,,,,,,,,,,,,,,,
2412,2014年01月01日至2014年06月30日,,25127850,25127850,,,16105591,784700,148370,456,19285,-142732,-76998.0,53131.0,-391722,19505,0.0,-44377,0.0,8976,247684,107722,16839591.0,,,91,-855279,-376,-593196,-3171800,-1306006,-274231,-6200797,,-3255927,82927,-4187853,-12966,-403290,6328,196291.0,-134874,-7709364,-13910161,2929430,28057280,-19270,-4005213,24032797,,81229,0.0,1570000,-47078.0,3489.0,43740.0,-133485,0.0,,-13089921,3808,-149163,-411000,434607,-340956,21857,451807.0,-11561066,,830643,0,348000.0,0,,-58707,-4739.0,,0.0,0.0,1115197,-30690,13556238,14585105,28141343,28141343,,,,,,,,,,,,,,,,
2412,2014年01月01日至2014年03月31日,,12340618,12340618,,,8043905,323496,51292,713,8726,-59123,,26566.0,-172106,8510,0.0,-15662,0.0,629,156848,-71990,8301804.0,,,91,-132198,7285,-1252509,-3108505,-63673,-72805,-4622314,,-3192133,-54025,-3077926,9540,-69387,3077,98375.0,-85918,-6368397,-10990711,-2688907,9651711,-8711,-26679,9616321,,44217,,650388,-26719.0,0.0,,-50000,0.0,,-5768063,5274,-58272,-230951,322212,-188118,60952,,-5239080,,50000,0,,0,,-78328,18225.0,,0.0,,-10103,33713,4400851,14585105,18985956,18985956,,,,,,,,,,,,,,,,
2412,2013年度,,49110373,49110373,,,30954469,1237820,253090,676,36412,-562808,-78612.0,69579.0,-674977,-85512,,-76291,-15425.0,66342,229264,20728,,,,9097,1219112,-25366,-854692,-286905,589110,-1283,649073,,2075671,-280521,447383,-13349,-730453,88473,,-137905,1734550,2383623,33758378,82868751,-36361,-7544166,75288224,,3984458,,4236182,-60127.0,4985.0,36000.0,-90000,24182.0,,-36381555,204519,-39871850,-18198714,37927854,-290818,672249,474905.0,-49166620,,1398522,-1255638,0.0,-358372,2925000.0,-49979,,-41502339.0,,-769532.0,-42465812,-9159,-16353367,30938472,14585105,14585105,,0.0,31374755.0,285251.0,-1762132.0,15288.0,-108433.0,16387.0,0.0,-2925000.0,21590.0,49936.0,,,,
2412,2013年01月01日至2013年12月31日,,49110373,49110373,,,30954469,1237820,253090,676,36412,-562808,-78612.0,69579.0,-674977,-85512,,-76291,-15425.0,66342,229264,20728,,,,9097,1219112,-25366,-854692,-286905,589110,-1283,649073,,2075671,-280521,447383,-13349,-730453,88473,,-137905,1734550,2383623,33758378,82868751,-36361,-7544166,75288224,,3984458,0.0,4236182,-60127.0,4985.0,36000.0,-90000,24182.0,,-36381555,204519,-39871850,-18198714,37927854,-290818,672249,474905.0,-49166620,,1398522,-1255638,0.0,-358372,,-49979,21590.0,-41502339.0,,-769532.0,-42465812,-9159,-16353367,30938472,14585105,14585105,,,31374755.0,285251.0,-1762132.0,15288.0,-108433.0,16387.0,,,,49936.0,,0.0,0.0,
2412,2013年01月01日至2013年09月30日,,37673536,37673536,,,23110206,914917,173374,1075,23920,-471040,-43989.0,45303.0,-525180,21914,,-76291,,28692,153371,-7881,,,,9361,-155459,-4428,-1024052,-3086921,517357,-216867,-3961009,,-1137278,-371062,-2750149,-16611,-366646,-29394,,-71470,-4529154,-8490163,14858228,52531764,-24004,-7503973,45003787,,3984458,,2396950,-35785.0,4985.0,18000.0,-60000,,,-23307270,35847,-511871,-17845775,37724255,-910676,539364,424437.0,618029,,1238522,-274773,0.0,-358372,0.0,-70400,-76533.0,-41502339.0,,-826146.0,-41833505,23130,3811441,30938472,34749913,34749913,,,23348391.0,213456.0,-1762132.0,15288.0,-108433.0,16387.0,,,,36536.0,,,,
