公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 其他預付款項增加,　　 其他預付款項減少,　　 短期借款增加,　　　　 金融資產減損損失,　　 預收款項增加－處分資產,　　 其他非流動資產增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分子公司,　　 取得無活絡市場之債券投資,　　　　 股利收入,　　 收取之股利,　　 退還（支付）之所得稅,　　 存出保證金增加,　　 存入保證金增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金減少,　　 取得無活絡市場之債務工具投資,　　 存入保證金減少,　　　　 未實現外幣兌換損失（利益）
2434,2016年01月01日至2016年09月30日,,-139562,,-139562,,,27674,,24294,2085,-122,-8102,,,,11096,6436,247,22592,429,40800,,-3046,-2370,-2778,-122,,-12651,28149,74074,-65488,122,-2100,-67491,,-19134,,,-18130,,0,,,,-35727,,-5727,6181,-85167,112124,26957,26957,,,,30000.0,0.0,,,,,,-8.0,8.0,-25.0,-4.0,,,45925.0,-4335.0,1000.0,,0.0,104.0
2434,2016年01月01日至2016年06月30日,,-99508,,-99508,,,18146,,23110,1366,-116,-4047,,,,14207,649,143,3137,4663,22799,,-4693,6245,-193,265,,-1490,21309,59768,-39740,116,-1355,-41003,,-6814,,,-6421,,0,,,,-23752,,6248,-7209,-48385,112124,63739,63739,,,,30000.0,0.0,,,,,,,,-24.0,-7.0,,,38459.0,-3114.0,400.0,,0.0,
2434,2016年01月01日至2016年03月31日,,-50336,,-50336,,,9764,,0,699,-88,2389,,,,14480,-4007,45,11730,-2181,20067,,1089,2847,-4170,1,,-231,19836,32600,-17736,88,-720,-18368,,-6726,,,-6334,,0,,,,-11842,,-11842,-2100,-38644,112124,73480,73480,,,,0.0,0.0,,,,,,,,,,,,12764.0,2.0,392.0,,,
2434,2015年度,,-293414,,-293414,,,33470,,29555,4685,-3634,134995,,,,-21566,-4059,27459,7077,17807,26718,,4394,-9708,-7298,464,,-12941,13777,214282,-79132,3634,-4776,-80355,,-50715,,,-38778,,-245000,,,,-55053,,-156647,3378,-272402,384526,112124,112124,0.0,,0.0,145000.0,1441.0,,,0.0,0.0,,-7.0,7.0,-81.0,-1000.0,0.0,,200505.0,-793.0,12930.0,,-1594.0,
2434,2015年01月01日至2015年09月30日,,-268337,,-268337,,,25097,,18730,3890,-3260,168004,,,,-9257,-3684,29293,-42070,21306,-4412,,29,8327,-3602,414,,6349,1937,215839,-52498,3260,-3968,-53290,,-861,,-15577.0,-4028,,-245000,,,,-42450,,-144044,-492,-201854,384526,182672,182672,0.0,,0.0,145000.0,1441.0,,,0.0,0.0,,0.0,0.0,-84.0,,,,213902.0,1181.0,12410.0,0.0,-1594.0,
2434,2015年01月01日至2015年06月30日,,-92381,,-92381,,,16557,,5629,2836,-2555,15877,,,,-8365,13418,-208,-36636,21892,-9899,,1306,-7996,-4798,-132,,-10813,-20712,19073,-73308,2555,-2867,-73703,,-247,,-7245.0,-7694,,-200000,,,,-27409,,-97851,4165,-175083,384526,209443,209443,0.0,,,130000.0,1441.0,,,0.0,0.0,,,,-83.0,-202.0,,,39785.0,807.0,,0.0,-442.0,
2434,2015年01月01日至2015年03月31日,,-45099,,-45099,,,8368,,2996,1521,-1148,10873,,,,-3872,8284,-248,-33272,19119,-9989,,1505,2163,-6770,988,,-1689,-11678,12373,-32726,1148,-1464,-33042,,-325,,-5763.0,-5770,,-100000,,,,-14092,,-14092,1220,-51684,384526,332842,332842,0.0,,,100000.0,1441.0,,,0.0,0.0,,,,,,,,24051.0,425.0,318.0,,,
2434,2014年度,,275417,,275417,,,34821,,7096,6751,-5903,44259,-343867.0,,,14121,25594,-2872,-36099,-70590,-69846,,-8456,-1292,-11877,-739,1576.0,-20788,-90634,-434501,-159084,5903,-6795,-159951,,-74373,,-30468.0,291878,,-400000,,0.0,0.0,-55793,0.0,14659,33311,179897,204629,384526,384526,-448301.0,0.0,6824.0,470000.0,6991.0,0.0,,10424.0,402563.0,,-5.0,5.0,25.0,-12673.0,452.0,,,,,,,
2434,2014年01月01日至2014年09月30日,,181425,,181425,,,33175,,5446,5158,-4231,27524,-372305.0,,,37931,-12870,14,37493,-17404,45164,,-3796,15456,-13223,2187,1182.0,1806,46970,-325335,-143910,4231,-5206,-144885,,-47741,,-4382.0,288875,,-230000,,0.0,0.0,-41759,0.0,28241,7701,179932,204629,384561,384561,-448301.0,,6824.0,300000.0,,,,8929.0,389941.0,-55772.0,-5.0,5.0,,,,,,,,,,
2434,2014年01月01日至2014年06月30日,,241673,,241673,,,20970,,8814,3517,-1696,4613,-403154.0,,,37220,-28190,54,101507,-15081,95510,,-3282,-15921,-24737,3863,791.0,-39286,56224,-346930,-105257,1696,-3540,-107101,,-33854,,-619.0,301086,,-130000,,0.0,0.0,-27782,0.0,42218,2447,238650,204629,443279,443279,-448301.0,,0.0,200000.0,,,,8929.0,389941.0,-54382.0,,,,,,,,,,,,
2434,2014年01月01日至2014年03月31日,,320926,,320926,,,8629,250.0,1922,1876,-68,4613,-422150.0,,,38135,-25021,27,73444,-21285,65300,,-7059,-17616,-27199,909,366.0,-50599,14701,-407449,-86523,68,-1799,-88254,,-31100,,0.0,358841,,0,,0.0,0.0,-13862,0.0,56138,3631,330356,204629,534985,534985,-448301.0,,,70000.0,,,,8929.0,389941.0,,,,,,,,,,,,,
2434,2013年度,,-175246,,-175246,,,69310,,2854,6875,-763,93644,186161.0,,,56864,-11548,-57,-63507,706,-17542,,-2995,2647,17479,-197,1328.0,18262,720,186881,11635,763,-7016,5397,,-117789,,-14124.0,2789,,-30000,,-14985.0,100000.0,-71100,59997.0,43912,8141,60239,144390,204629,204629,0.0,-25316.0,15618.0,0.0,14246.0,144395.0,,0.0,0.0,,-5.0,5.0,15.0,0.0,0.0,,,,,,,
2434,2013年01月01日至2013年12月31日,,-174646,,-174646,,,69310,,2854,6875,-763,93044,186694.0,,,56864,-11548,-57,-63507,-407,-18655,,-2995,2647,17479,-197,1328.0,18262,-393,186301,11655,763,-7016,5402,,-117789,,-14124.0,2784,,-30000,0.0,-14985.0,100000.0,-71100,59997.0,43912,8141,60239,144390,204629,204629,1128.0,-25316.0,15618.0,0.0,14246.0,144395.0,0.0,,,,,,,,,,,,,,,
2434,2013年01月01日至2013年09月30日,,-52350,,-52350,,,53196,,3647,5088,-540,9751,72026.0,,,28184,19288,-39,-47449,-3671,-3687,,1479,16848,1339,38470,923.0,59059,55372,127398,75048,540,-5229,70359,,-81069,,-7461.0,-72912,,-30000,0.0,-14985.0,100000.0,-55627,59997.0,59385,3950,60782,144390,205172,205172,884.0,0.0,15618.0,0.0,,,,,,,,,,,,,,,,,,
2434,2013年01月01日至2013年06月30日,,-33716,,-33716,,,35897,,3961,3650,-392,7745,51500.0,,,9606,13971,-103,-22712,-3863,-3101,,154,22907,6637,-482,508.0,29724,26623,78123,44407,392,-3491,41308,,-37266,,-6270.0,-27918,,-30000,0.0,-14985.0,100000.0,-36044,59997.0,78968,6351,98709,144390,243099,243099,639.0,0.0,15618.0,0.0,,,,,,,,,,,,,,,,,,
2434,2013年01月01日至2013年03月31日,,-18212,0.0,-18212,,,18337,316.0,4149,1622,-89,2400,26735.0,,,-14441,2487,2076,-14039,-2919,-26836,,-3444,21708,12619,-2254,131.0,28760,1924,28659,10447,89,-1596,8940,,-9401,0.0,-6142.0,-15543,,-30000,0.0,-14985.0,100000.0,-17350,59997.0,97662,10113,101172,144390,245562,245562,,,,,,,,,,,,,,,,,,,,,,
2434,2012年01月01日至2012年12月31日,,-161581,,-161581,,,74233,,-3475,5994,-466,2856,104019.0,,,-38653,103186,3469,10454,8367,86823,,-9665,-25019,-4782,-2772,582.0,-41656,45167,149186,-12395,466,-5761,-17690,,-5295,,0.0,-40746,,0,14985.0,0.0,230000.0,-193804,0.0,96181,-3659,34086,110304,144390,144390,1397.0,0.0,0.0,45000.0,23480.0,0.0,-35451.0,,,,,,,,,,,,,,,
