公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 處分不動產、廠房及設備,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　 收取之利息,　　 收取之股利,　　 存出保證金減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 發放現金股利,　　　　 金融資產減損損失,　　　　　 其他營業資產（增加）減少,　　　　　 預收款項增加（減少）,　　 其他籌資活動,　　　　 處分其他資產損失（利益）,　　 處分以成本衡量之金融資產
2453,2014年度,,116278,116278,,,77455,1193,-338,2993,5957,1728,-1779,4412,5071,90410,,,18825,39745,-3024,-79838,31190,1200,8215,,-4027,67880,27745,1187,-633,-1512,6703,97113,213391,-2982,-30031,186589,,-1375500,1316563,12363,0,-63049,,-119,,484,-117109,,79091,-3750,352,0.0,15693,10720,95893,341361,437254,437254,-52.0,281.0,,-6190.0,6159.0,52.0,-8172.0,,,-60000.0,0.0,117.0,-93664.0,0.0,-40.0,40.0
2453,2014年01月01日至2014年09月30日,,95097,95097,,,58084,940,-331,1710,2165,330,-1320,5368,1378,64492,,,26337,474183,1355,71554,29731,-527,602633,,-4328,-378431,-96230,1489,379,-572660,29973,94465,189562,-1710,-31850,159905,,-1269500,1090166,13710,0,-37064,,-119,73.0,-980,-209678,,95282,-2196,289,0.0,33375,1723,-14675,341361,326686,326686,-52.0,278.0,,-3780.0,3851.0,52.0,-6242.0,0.0,0.0,-60000.0,,,-95539.0,,,
2453,2014年01月01日至2014年06月30日,,78178,78178,,,39022,629,-73,714,2810,-147,-995,1577,-1594,38457,,,24113,306722,2376,-10025,35913,-557,358542,,-3878,-201812,-102226,996,945,-412586,-54044,-15587,62591,-714,-19272,46152,,-1008000,863788,-456,0,-24555,-1388.0,-6,,-652,-170991,,49039,-2382,263,,46920,639,-77280,341361,264081,264081,,278.0,,-3486.0,3547.0,,,,,,,,-106611.0,,,
2453,2014年01月01日至2014年03月31日,,10692,10692,,,19792,316,-207,343,1715,-189,-404,-1132,3258,21986,,,10779,901436,2560,-32147,6556,-2156,887077,,-4170,-331803,-128328,4936,565,-571738,315339,337325,348017,-343,-1327,347904,,-894500,546181,14270,0,-15423,,-6,,-3232,-349020,,-18914,-2139,-161,,-21214,1573,-20757,341361,320604,320604,,266.0,,-1506.0,1557.0,,3424.0,,,,,49.0,-112938.0,,,
2453,2013年度,,113217,113217,,,83756,1228,-497,4482,3932,9921,-1473,23183,5844,127849,,,-11965,-125242,-3152,99853,26665,6780,-6799,,3687,40334,113970,-23631,-578,170508,163709,291558,404775,-4487,-5213,398804,,-1201800,1132447,-16898,-65000,-142361,,-212,,3168,-281875,,-126593,-2271,-2095,2980.0,-177979,3941,-57109,398470,341361,341361,-51.0,312.0,,-3682.0,3678.0,51.0,8469.0,,,-50000.0,1206.0,262.0,36726.0,0.0,0.0,0.0
2453,2013年01月01日至2013年12月31日,,113217,113217,,,83756,1228,-497,4482,3932,9921,-1473,23183,5844,127849,,,-11965,-125242,-3152,99853,26665,6780,-6799,,3687,40334,113970,-23631,-578,170508,163709,291558,404775,-4487,-5213,398804,,-1201800,1132447,-16898,-65000,-142361,,-212,,3168,-281875,,-126593,-2271,-2095,2980.0,-177979,3941,-57109,398470,341361,341361,-51.0,312.0,,-3682.0,3678.0,51.0,8469.0,,,-50000.0,1206.0,262.0,36726.0,0.0,,
2453,2013年01月01日至2013年09月30日,,91121,91121,,,59417,919,78,1557,2804,1542,-1168,7896,3033,74052,,,7559,699963,-2967,-193622,79782,-30888,559827,,6947,-302155,1632,-121834,-205,-415615,144212,218264,309385,-1557,-12183,297671,,-1085800,866143,3501,-65000,-61594,,-203,210.0,0,-353976,,-29031,-306,3272,0.0,-76065,3545,-128825,398470,269645,269645,-51.0,26.0,0.0,-1975.0,1975.0,51.0,15167.0,11346.0,-37772.0,-50000.0,,,,,,
2453,2013年01月01日至2013年06月30日,,71103,71103,,,39438,608,345,784,-1596,1022,-1021,4375,5813,49768,,,13762,267831,3181,-152362,29623,-18476,143559,,8220,-239167,1058,37753,-271,-192407,-48848,920,72023,-1592,-9920,60511,,-762800,695511,8261,-65000,-45557,15938.0,-161,25.0,-29905,-183688,,-24392,-675,6454,347.0,-18266,1941,-139502,398470,258968,258968,0.0,0.0,,,,,,,,,,,,,,
2453,2013年01月01日至2013年03月31日,,13538,13538,,,19757,301,-348,220,-2357,942,-149,178,-14618,3926,,,5512,736022,3096,17251,38988,-27366,773503,,905,-369002,-18257,-50306,363,-436297,337206,341132,354670,-220,-4110,350340,,-456000,145851,16426,-65000,-18967,15890.0,-104,123.0,9710,-352071,,-133039,1448,1610,177.0,-129804,19032,-112503,398470,285967,285967,,,,,,,,,,,,,,,,
2453,2012年01月01日至2012年12月31日,,97054,97054,,,77841,1147,1183,4621,-2105,11340,-763,7743,-6640,90308,,,-10997,-137846,9711,-62503,-36099,5715,-230963,,-12487,164173,-45274,13507,1362,165687,-65276,25032,122086,-4616,-15925,106597,,-809700,909062,-48708,0,-74830,,-282,,2542,-23237,,71011,8924,3190,0.0,32883,-5759,110484,287986,398470,398470,-47.0,433.0,,-4012.0,4025.0,1027.0,-1754.0,,,-50000.0,0.0,1056.0,44406.0,-242.0,,
