公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 收取之股利,　　　　　 其他應收款－關係人（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 其他金融資產增加,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　　　　 股利收入,　　 存出保證金減少,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　 其他金融資產減少,　　 其他投資活動,　 匯率變動對現金及約當現金之影響,　　 存出保證金增加
2471,2014年度,,71231,71231,,,1912,306,-7257,11186,0,-14394,,,20880.0,-3702,0.0,-15193,-600,1407,-2420,-13,,149,,0,6435,-1725,9502,0,677,3546,18435,18584,4190,75421,6404,-12313,69512,,-38.0,0,184586,213669,270324,483993,483993,2817.0,-210.0,867.0,-79298.0,,-47254.0,-47254.0,-807.0,0.0,-1976.0,-10933.0,-6825.0,249320.0,10933.0,6825.0,-15.0
2471,2014年01月01日至2014年09月30日,,8644,8644,,,1506,6,-4973,5645,0,-14296,,,0.0,125,0.0,3792,-714,-248,-9614,4253,,-2406,,0,-1787,-1395,-7726,283,8150,2657,182,-2224,-16520,-7876,4959,-12256,-15173,,-38.0,0,2956,-56823,270324,213501,213501,2817.0,0.0,867.0,-69074.0,,-47254.0,-47254.0,-807.0,-13.0,-2092.0,-10933.0,-2648.0,57464.0,10933.0,2648.0,
2471,2014年01月01日至2014年06月30日,,7785,7785,,,1037,-150,-3171,2842,0,-9512,,,0.0,136,0.0,-9142,-78,-1141,-7139,4530,,-12834,,0,-1278,-582,-18787,0,8213,1767,-10667,-23501,-33013,-25228,3499,-7669,-29398,,0.0,0,-3179,-35532,270324,234792,234792,1129.0,0.0,0.0,-56695.0,,,,0.0,-10.0,-2092.0,-10933.0,2955.0,41464.0,10933.0,-2955.0,
2471,2014年01月01日至2014年03月31日,,13834,13834,,,541,-65,-1732,718,0,-14126,,,,-7556,0.0,14952,-773,-6616,-4808,8355,,3554,,0,1458,1344,-24714,0,-5595,870,-26637,-23083,-37209,-23375,2251,-861,-21985,,,0,8908,-12802,270324,257522,257522,,,,-3490.0,,,,,0.0,-2380.0,-10933.0,-275.0,1465.0,10933.0,275.0,
2471,2013年度,,63605,63605,,,2167,-695,-6467,2057,-15,-423,,,0.0,7998,0.0,23490,-27,1892,5054,411,,38818,,-1575,-8003,82,-11460,-41,7572,3308,-10117,28701,28278,91883,6316,-14580,83619,,-667.0,19,-50851,-36818,307142,270324,270324,6840.0,0.0,1530.0,-121701.0,,-70881.0,-70881.0,-752.0,53.0,4577.0,0.0,-1295.0,63075.0,0.0,1295.0,0.0
2471,2013年01月01日至2013年12月31日,,63605,63605,,,2167,-695,-6467,2057,-15,-3705,,,0.0,7998,0.0,28067,-27,1892,5054,411,,43395,,-1575,-8003,82,-11460,-41,7572,3308,-10117,33278,29573,93178,6316,-14580,84914,,-667.0,19,-50851,-36818,307142,270324,270324,6840.0,0.0,1530.0,-58626.0,,-70881.0,-70881.0,-752.0,53.0,,,,,,,
2471,2013年01月01日至2013年09月30日,,31848,31848,,,1633,-632,-4287,2458,-21,-849,,,0.0,7573,,17632,0,526,-12120,2913,23.0,16547,,-1575,-7553,-1720,-22117,-41,-341,2438,-30909,-14362,-15211,16637,4688,-13972,7353,,-327.0,19,-42109,-105637,307142,201505,201505,6088.0,0.0,1530.0,-49419.0,,-70881.0,-70881.0,,,,,,,,,
2471,2013年01月01日至2013年06月30日,,40298,40298,,,1100,-720,-2911,2294,-19,-256,,,0.0,4158,,-11239,-212,-43588,-2332,5293,23.0,-47897,,107,-16162,-1063,-20874,-41,-10452,1565,-46920,-94817,-95073,-54775,3296,-7640,-59119,,0.0,19,4848,-54271,307142,252871,252871,4829.0,,,,,,,,,,,,,,,
2471,2013年01月01日至2013年03月31日,,28992,28992,,,572,-114,-1401,1199,-19,237,,,0.0,5580,-190.0,13717,-107,-52732,-7303,3804,9.0,-37222,,-1575,-12134,-3062,-30042,-41,-8006,850,-54010,-91232,-90995,-62003,2112,-213,-60104,,0.0,19,19,-60085,307142,247057,247057,,,,,,,,,,,,,,,,
2471,2012年01月01日至2012年12月31日,,98158,98158,,,2444,1374,-5885,-6492,241,-9019,,,5603.0,2989,0.0,58086,706,-569,-11996,22737,,77558,,1575,-51886,-2857,-8020,41,-8442,6128,-63461,14097,5078,103236,5372,-509,108099,,-1890.0,0,-45840,5555,301587,307142,307142,701.0,2.0,1800.0,-47079.0,,-56704.0,-56704.0,-701.0,628.0,,,,,,,
2471,2012年01月01日至2012年09月30日,,69268,69268,,,1843,1048,-4247,-8805,8,-10153,,,5603.0,1513,,64357,706,-43,-6471,30199,653.0,96498,,0,-35941,-2392,-18165,0,-13541,4464,-65575,30923,20770,90038,4205,-407,93836,,-1114.0,0,-49713,-12581,301587,289006,289006,0.0,-19.0,1800.0,-50399.0,,-56704.0,-56704.0,,,,,,,,,
2471,2012年01月01日至2012年06月30日,,40359,40359,,,1281,189,-2854,-7407,1,-8790,,,5603.0,7038,,46281,396,-61127,-10302,28906,650.0,17445,,0,-29095,-1826,-27050,0,-18636,3025,-73582,-56137,-64927,-24568,3133,-301,-21736,,-1114.0,0,-1114,-22850,301587,278737,278737,0.0,,,,,,,,,,,,,,,
2471,2012年01月01日至2012年03月31日,,26867,26867,,,567,-603,-1345,-8118,1,-9498,,,5603.0,5027,0.0,5441,1,-56039,-5454,16733,674.0,-28014,,0,-17030,66,-37060,0,-20772,1362,-73434,-101448,-110946,-84079,1617,-162,-82624,,-867.0,0,-867,-83491,301587,218096,218096,,,,,,,,,,,,,,,,
