公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 其他非流動資產減少,　　 短期借款減少,　　　　 股利收入,　　　　 處分無形資產損失（利益）,　　 收取之股利,　　 以成本衡量之金融資產減資退回股款,　　 其他金融資產減少,　　 存入保證金增加,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
2480,2016年01月01日至2016年09月30日,,271850,271850,,,14715,3956,-1644,1613.0,105,-5569,25,-12648,,,,3197,298538,-380,-346168,-82362,-37,-127212,,-1033,107376,-82905,512928,4568,,538790,411578,411274,683124,3876,0,-60601,628566,,-20480,91327,0,-5196,49,2987,-206,-14065.0,-1308.0,53108,,,0.0,,-223965,-13313,444396,1208877,1653273,1653273,1310.0,,40776.0,-2167.0,0.0,2167.0,0.0,,1161.0,-265902.0,,-304.0,-2144.0
2480,2016年01月01日至2016年06月30日,,164780,164780,,,9765,2661,-1676,2770.0,0,-3646,25,-2857,,,,2344,187574,-91,-249059,-46356,-209,-105797,,-4546,-134244,-44813,137032,2557,,-45440,-151237,-144195,20585,2558,0,-31872,-8729,,-19576,11494,0,-1718,49,10794,0,-14054.0,,-13371,,,,-179.0,-179,-7729,-30008,1208877,1178869,1178869,0.0,-360.0,0.0,,,,0.0,,,,,7042.0,-1426.0
2480,2016年01月01日至2016年03月31日,,76297,76297,,,4899,1332,101,1613.0,0,-1195,0,0,,,,4159,117215,1172,5481,-22834,-205,104988,,-7051,-14226,-51186,2214,-555,,-71510,33478,40228,116525,656,0,-13618,103563,,-2895,0,0,-195,0,8201,0,-749.0,-674.0,3688,,0.0,0.0,-100.0,-100,-3385,103766,1208877,1312643,1312643,,,,,,,0.0,,,,,6750.0,-706.0
2480,2015年度,,330060,330060,,,21883,5734,3000,-1613.0,96,-7650,-794,416,,,,5483,420780,-1275,102852,3639,-571,530908,,-5045,6182,-10611,-25103,-3796,,-41887,489021,506015,836075,10347,-114,-67202,783184,,-8044,16,793,-7088,1333,4557,0,-9747.0,,-14785,,,0.0,,-280914,-192,487293,721584,1208877,1208877,0.0,91.0,-15321.0,-4078.0,0.0,4078.0,3304.0,,308.0,-265901.0,,16994.0,-3514.0
2480,2015年01月01日至2015年09月30日,,238352,238352,,,16862,4369,3000,-2788.0,90,-5857,27,416,,,,1884,-35293,-1407,122025,-16085,-540,70584,,-11748,-15388,-30549,-2721,1148,,-61931,8653,20694,259046,7737,-106,-66934,203821,,-6270,16,793,-6035,0,14980,0,,67.0,2533,,,0.0,,-273317,3218,-63745,721584,657839,657839,0.0,,-7518.0,-4078.0,0.0,4078.0,3304.0,-4322.0,102.0,-265901.0,,12041.0,-2673.0
2480,2015年01月01日至2015年06月30日,,146091,146091,,,11494,2927,3000,-529.0,64,-3184,9,416,,,,7551,117033,-28,28159,-29027,-505,123183,,-10059,18685,-26854,-58660,-464,,-79140,44043,58240,204331,4526,-82,-36590,172185,,-5815,16,793,-3679,0,15168,0,-3687.0,,5951,,,,102.0,-7872,-3336,166928,721584,888512,888512,0.0,-149.0,-7974.0,,,,3304.0,,,,,14197.0,-1788.0
2480,2015年01月01日至2015年03月31日,,74223,74223,,,5767,1463,1500,0.0,32,-787,9,407,,,,3046,313924,-3407,93986,278,-191,407636,,-10499,-129600,-46690,-130109,-4125,,-321921,85715,94106,168329,2748,-22,-14110,156945,,0,0,793,-1298,0,11897,0,-4000.0,-152.0,10544,,-6615.0,0.0,77.0,-6538,-2622,158329,721584,879913,879913,,,,,,,3304.0,,,,,8391.0,-898.0
2480,2014年度,,327803,327803,,,25660,7127,9963,0.0,430,-7640,-45744,-192,60504.0,,,-1288,-542967,349,-246386,-34583,255,-824620,,6887,73278,28120,150681,3042,-3015.0,258993,-565627,-505123,-177320,7432,-579,-52516,-220093,,-12927,7056,11476,-14119,82015,5606,-312,,,76670,,,0.0,69.0,-311087,4479,-450031,1171615,721584,721584,73790.0,-803.0,-45255.0,-2890.0,0.0,2890.0,0.0,-1322.0,,-265901.0,,,
2480,2014年01月01日至2014年09月30日,,234625,234625,,,19943,5518,2997,0.0,393,-6466,-45744,-192,47349.0,,,6288,-313637,362,-405897,-41837,94,-754627,,9810,7049,-30499,18742,2480,-2302.0,5280,-749347,-701998,-467373,6714,-518,-52499,-510786,,-10172,7056,11476,-5381,82015,13759,-169,,-1086.0,96419,,,0.0,,-315098,-872,-730337,1171615,441278,441278,73790.0,,-49267.0,-2890.0,0.0,2890.0,0.0,-1079.0,70.0,-265901.0,,,
2480,2014年01月01日至2014年06月30日,,131096,131096,,,13445,3683,1497,,272,-3875,-45751,-100,18721.0,,,-6546,47767,-2448,-252053,-88888,-48,-302216,,-5533,158816,-11423,-22317,-1508,-1559.0,116476,-185740,-167019,-35923,3826,-344,-23287,-55728,,-8571,5503,11476,-4695,82015,8049,-39,-943.0,,91421,,,0.0,48.0,-12577,-4947,18169,1171615,1189784,1189784,49550.0,-1374.0,-12625.0,,,,,,,,,,
