公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　　　 其他項目,　　 收取之股利,　　 存出保證金減少,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產減少,　　 預付設備款減少,　　 存入保證金減少,　　 非控制權益變動,　　 支付之股利,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 取得投資性不動產,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　　　 金融資產減損損失,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分無活絡市場之債務工具投資,　　　　 處分採用權益法之投資損失（利益）,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資
2483,2016年01月01日至2016年09月30日,,149199,149199,,,77292,2912,84,360,120,-740,-9598,-2092,-2286,,5493,,,,-25211,-427,-28021,-827,-36542,5080,-85948,,-136.0,20021,-8085,3553,,6669,-79279,-19563,129636,740,-120,-31942,-32750,,2933,-75611,8339,-539.0,10745.0,-90726,,40000.0,0.0,0,169927,-20311,26140,832403,858543,858543,-4544.0,-4841.0,-1921.0,13370.0,,-2911.0,,,0.0,-73.0,0.0,-144434.0,6198.0,0.0,0.0,0.0,130000.0,0.0,0.0,,,594.0,,59716.0,-8684.0,9842.0,-523.0,-5316.0,-45000.0
2483,2016年01月01日至2016年06月30日,,103534,103534,,,52541,1741,0,-2413,1,-478,-8320,579,-2286,,4908,,,,-54840,9815,-17958,1917,-16929,3130,-74865,,,10374,9615,-330,,18691,-56174,-13533,90001,478,-1,-22357,68121,,2933,-52591,3823,-1029.0,0.0,-69662,,0.0,,0,-19,-9809,-11369,832403,821034,821034,0.0,0.0,-2635.0,,0.0,-2839.0,0.0,,11990.0,-19.0,0.0,,5100.0,,,,,,0.0,,,,,42641.0,-968.0,9842.0,-997.0,-1891.0,-45000.0
2483,2015年01月01日至2015年09月30日,,198186,198186,,,82957,3036,0,434,66,-1042,-10431,0,-7220,,-4316,,,,7910,3664,-9644,2774,53749,-6289,52164,,-552.0,7910,-7411,-2718,,-591,51573,48326,246512,1042,-66,-11639,100766,,9243,-64220,2041,-1301.0,-2201.0,45609,,0.0,0.0,-8653,-8653,10629,148351,631208,779559,779559,-2546.0,-74848.0,-577.0,9453.0,,-1824.0,,,0.0,0.0,0.0,-144536.0,7828.0,0.0,75209.0,0.0,0.0,0.0,11240.0,,,0.0,,-3247.0,2180.0,20834.0,0.0,0.0,0.0
2483,2015年01月01日至2015年06月30日,,115497,115497,,,55486,1968,0,2028,60,-707,-4910,99,-7220,,-4786,,,,3398,-2220,-2477,-1717,36423,-4607,28800,,,16529,-475,-46,,14469,43269,21318,136815,707,-60,-3210,134252,,9243,-45684,40,-1321.0,-607.0,4499,,0.0,,0,-13,-9038,129700,631208,760908,760908,0.0,-74848.0,-361.0,,0.0,-1333.0,23080.0,,0.0,-13.0,0.0,,0.0,,,,,,11240.0,,,,,-21951.0,-1539.0,21081.0,0.0,0.0,0.0
2483,2015年01月01日至2015年03月31日,,25965,25965,,,28553,1001,0,-4450,13,-253,-2297,8,-4170,-4456.0,-2226,,,,3872,-7067,14169,-3418,22301,-959,28898,,371.0,-4096,-19300,-1364,,-24474,4424,16147,42112,253,-13,-1789,40563,,5384,-11582,105,-1072.0,1168.0,25555,,20000.0,-8.0,0,19992,-3649,82461,631208,713669,713669,,,,,,-198.0,,,,,,,,,,,,,,,,,,11723.0,-85.0,31750.0,,,
2483,2014年度,,196635,196635,,,118339,3069,521,-21377,556,-1079,-12967,909,-4524,,-235,79734.0,,,9716,-9266,24757,25742,4975,12388,68312,,-1295.0,-51745,-20359,10327,-2367.0,-65439,2873,82607,279242,1079,-556,-31953,94264,,5980,-161735,3397,1179.0,-2586.0,-170464,,0.0,29.0,0,29,18649,-57522,688730,631208,631208,-8601.0,-12770.0,15633.0,14967.0,,-3521.0,28111.0,,0.0,,0.0,-168515.0,496.0,0.0,,,,0.0,2260.0,-41785.0,0.0,0.0,,,,,,,
2483,2014年01月01日至2014年09月30日,,156856,156856,,,88333,2147,614,-10783,79,-740,-10637,-67,-4524,,-1096,48973.0,,,9083,-17147,-46738,23554,19607,-3548,-15189,,-69.0,682,-28776,6735,-1297.0,-22725,-37914,11059,167915,740,-79,-17108,-380,,5980,-147782,3709,-5396.0,-2732.0,-120004,,,6.0,0,70006,4051,-46327,688730,642403,642403,-8558.0,-12770.0,6975.0,14923.0,,-2390.0,,,0.0,,0.0,-166771.0,496.0,0.0,28111.0,0.0,70000.0,0.0,,,,,,,,,,,
2483,2014年01月01日至2014年06月30日,,95159,95159,,,59267,1453,217,-9539,1,-538,-7343,-25,-5139,,-50,28297.0,,,3241,1040,-37208,25974,24511,-2536,15022,,-656.0,-5512,-28112,9513,-701.0,-25468,-10446,17851,113010,538,-1,-11133,102414,,5284,-35218,2218,,,-6757,,0.0,,0,-4,-2825,92828,688730,781558,781558,0.0,-12770.0,2763.0,0.0,0.0,-743.0,28111.0,1478.0,-7887.0,-4.0,0.0,,,,,,,,,,,,,,,,,,
2483,2014年01月01日至2014年03月31日,,40952,40952,,,29834,290,210,-7456,1,-218,-3789,-219,-3989,-855.0,-62,13747.0,,,3241,-2312,4481,26677,24669,-362,56394,,-484.0,-39362,-39827,4702,-113.0,-75084,-18690,-4943,36009,218,-1,0,36226,,5283,-14599,1163,-297.0,-7162.0,-15612,,3899.0,7.0,0,3906,8328,32848,688730,721578,721578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2013年度,,153044,153044,,,113959,4497,0,-8497,240,-1185,-10867,46,-38718,,-425,78552.0,,,-49588,6806,52034,-19481,-9537,-16853,-36619,,-1946.0,-23364,33601,-2183,-3111.0,2997,-33622,44930,197974,1185,-240,-16339,158860,,1294,-112251,905,-2814.0,-5651.0,-74787,,-2169.0,401.0,-12003,-11030,50112,123155,565575,688730,688730,-7119.0,0.0,26621.0,10360.0,,-332.0,0.0,,0.0,,2741.0,-34080.0,0.0,-207.0,,,,0.0,0.0,0.0,-1500.0,45769.0,,,,,,,
