公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損損失,　　　　　 應收票據－關係人（增加）減少,　　 取得以成本衡量之金融資產,　　 償還公司債,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 應付租賃款增加,　　 收取之股利,　　 短期借款減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 其他非流動負債增加,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 處分以成本衡量之金融資產,　　 其他非流動負債減少,　　 取得無活絡市場之債券投資,　　 員工執行認股權,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　　 收益費損項目,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 停業單位稅前淨利（淨損）,　　　　 非金融資產減損迴轉利益,　　 取得無活絡市場之債務工具投資,　　 其他非流動資產減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 按攤銷後成本衡量之金融資產到期還本,　　 處分採用權益法之投資
2484,2016年01月01日至2016年09月30日,,181870,181870,,,164585,3398,3285,-572,7504,-1605,,-35716,7763,25877,,,,2811,-6227,-9328,-74130,1249,2857,,-167089,,-29014,-4014,-13814,7720,,-20946,-188035,-33538,148332,1605,-7159,-65136,83585,,,,-78691,75842.0,-1122,,16037,,,20000,-148280,,-324608,16196,-208790,852077,643287,643287,,,,,,,,5943.0,-5032.0,,9.0,,,,,,,2358.0,-191305.0,,,154497.0,2466.0,,-20022.0,,17650.0,-84321.0,15710.0,,
2484,2016年01月01日至2016年06月30日,,127579,127579,,,112340,2254,-148,-572,5642,-1161,,-21179,7868,22925,,,,1460,79819,1037,-77560,-1428,2338,,-134364,,9457,6084,-12905,3511,,19366,-114998,-7293,120286,1161,-5453,-41472,74522,,,,-69060,75645.0,-501,,17270,,,0,-148280,,-153301,15003,-46506,852077,805571,805571,,,,,,,,,-5032.0,,11.0,,,,0.0,,,1275.0,,,,107705.0,2796.0,,-20264.0,,9911.0,-140030.0,10423.0,,
2484,2016年01月01日至2016年03月31日,,24888,24888,,,56554,1147,-38,-1073,3001,-488,,-8344,854,24429,,,,1731,110091,-9569,-34649,-2109,3929,,-40136,,-4266,11027,-37423,4361,,-26136,-66272,8543,33431,488,-3410,10227,40736,,,,-44365,52.0,-118,-4694.0,-49125,,,0,-50748,,-50744,6815,-52318,852077,799759,799759,,,,,,,,,,,4.0,,,,,,,,,,-1227.0,74815.0,2186.0,,,,,-109560.0,-2021.0,,
2484,2015年度,,332015,332015,,,218472,4520,5262,110,12274,-1609,,-41707,-3116,-49424,,,,3190,-18978,-6979,79149,-7382,-2427,,26571,,-25269,606,23237,5257,,12783,39354,194883,526898,1609,-12263,-3798,515741,,-38437.0,,-153885,11206.0,-8646,,-180892,,0.0,80000,-81833,,-161252,15630,189227,662850,852077,852077,,12757.0,,,,,,3295.0,0.0,,2.0,-2010.0,0.0,,,,0.0,3306.0,-159421.0,,,155529.0,-763.0,,,,6424.0,-20002.0,9715.0,-5525.0,4665.0
2484,2015年01月01日至2015年09月30日,,253375,253375,,,163286,2919,5202,2001,9250,-1032,,-34168,-2285,11652,,,,4714,-142500,-4507,27964,-9233,3741,,-119821,,-63877,-898,-2404,9006,,-55037,-174858,-19651,233724,1032,-9799,0,228252,,0.0,,-136102,23401.0,-780,0.0,-79992,,,80000,-80906,,-160324,12933,869,662850,663719,663719,,,,,,,,3295.0,0.0,,3.0,,0.0,,0.0,,0.0,1500.0,-159421.0,,,155207.0,3136.0,,-1618.0,0.0,31989.0,,,,
2484,2015年01月01日至2015年06月30日,,129300,129300,,,108470,2024,5202,-506,6186,-683,,-19761,-2041,-5964,,,,3162,-13257,-5931,-7923,-10705,1722,,-32932,,-65301,-56374,-20506,-986,,-140088,-173020,-81703,47597,683,-6736,0,41544,,0.0,,-45121,22562.0,-743,0.0,-60405,,,70000,-83574,,-13576,-253,-32690,662850,630160,630160,,,,,,,,,0.0,,0.0,,,,-2.0,,0.0,,,,,91317.0,3079.0,0.0,-1610.0,0.0,-37103.0,,,,
2484,2015年01月01日至2015年03月31日,,62451,62451,,,54248,1122,3687,-628,3139,-265,,-11084,17528,3615,,,,803,-29867,-5484,-28048,-11796,2034,,-72358,,-6585,-55528,-21435,131,,-80049,-152407,-100017,-37566,265,-2976,-1518,-41795,,0.0,,-39851,10489.0,-617,-6494.0,-36473,,,70000,-80227,,-10227,1651,-86844,662850,576006,576006,,,,,,,,,0.0,,0.0,,,,,,,,,,-18972.0,52390.0,3368.0,,,,,,,,
2484,2014年度,,324690,324690,,,231010,9391,-32,213,11977,-1162,,-18353,6560,0,257110.0,,,-970,-178410,32606,21141,6473,-1549,0.0,-120709,,8562,7035,-4975,-834,-342.0,9446,-111263,145847,470537,1162,-12074,-30981,429467,,-130042.0,0.0,-83082,169.0,-1891,-9832.0,-224188,,6135.0,450000,-528229,,-144167,-20156,40956,621894,662850,662850,,11038.0,,0.0,0.0,0.0,,823.0,-14265.0,,-5.0,,6468.0,,,,36683.0,490.0,-94486.0,,,,,,,,,,,,
2484,2014年01月01日至2014年09月30日,,194469,194469,,,174464,8133,2021,476,11597,-911,,-14011,4569,-3558,189248.0,,,36,-168460,-3455,10807,-1422,-2560,0.0,-165054,,-1093,-20396,-22132,4061,-32.0,-39592,-204646,-15398,179071,911,-11060,-30907,138839,,-54653.0,0.0,-66332,1548.0,-247,-5684.0,-154878,,0.0,446436,-527420,,-177948,6537,-187450,621894,434444,434444,0.0,,,0.0,0.0,,,824.0,-14265.0,0.0,-1.0,,6468.0,,,-30000.0,11788.0,490.0,-94486.0,,,,,,,,,,,,
2484,2014年01月01日至2014年06月30日,,102179,102179,,,117551,6479,-286,-576,8105,-598,,-8885,3781,-10345,115226.0,,,-2472,-2237,-810,-11865,-836,-4988,0.0,-23208,,-66356,-32766,-20847,3338,162.0,-116469,-139677,-24451,77728,598,-7905,-21126,49295,,-54653.0,0.0,-35368,947.0,0,-5265.0,-124339,,0.0,427427,-529087,,-114601,5271,-184374,621894,437520,437520,0.0,,,0.0,0.0,0.0,,,-14265.0,,3.0,,,,,-30000.0,1321.0,,,,,,,,,,,,,,
